,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Applications Engineer,London,Application Support Engineer,-1,"Job Details: Application Support Engineer

Full details of the job.
Vacancy Name Application Support Engineer
Employment Type Full Time
Location Country United Kingdom
Location Head Office
Job Details
An exciting opportunity has arisen, JATO are seeking an Application Support Engineer to join the Technology team based at our Head office in Uxbridge.

As an Application Support Engineer, you will be providing 2nd and 3rd line support to our internal and external customers. Ensuring they are supported and get the best out of our JATO solutions.

Key Responsibilities - Liaise with JATO customers to resolve application support issues
Be responsible for critical applications and take Ownership of Incidents and Service Requests raised by the customer
As part of the support team, you will work towards and meet internal Service Level Agreements as well as meeting customer Service Level Agreements
Create and maintain detailed service support documentation relevant to the applications where required
Proactively work closely with other support and development teams within JATO
Identify continual service improvement initiatives
Work with newly built applications on cloud technologies
Ensure reports are sent out for any anomalies and write automation scripts
Key Requirements - Excellent communication skills, verbal and written
Self-motivated and strong self-awareness
Understanding of ITIL processes and their importance in a support environment with specific consideration to incident, problem, change and release management
Experience of working with application monitoring and management tools
Understanding and working knowledge of cloud-based technologies (preferably Azure)
Experience of working in a DevOps/Agile environment (desirable)
The ability to translate technical issues into user friendly language
Working knowledge of SQL, Transact SQL, backup & restore
Working knowledge pf Web Application Management hosted on IIS
The ability to work independently and as part of a team
Proficient with MS Packages
Please note all CVs must be submitted in English in order to be considered for the role. You must have the right to work and live in the country you are applying for.",3.4,"JATO Dynamics
3.4","Uxbridge, England",-1,501 to 1000 Employees,1984,Company - Private,Research & Development,Business Services,$50 to $100 million (USD),-1
1,Applications Engineer,London,"Senior Systems Engineer – Project Engineer, Helicopters",-1,"QinetiQ comprises teams of dedicated people; experts in defence, aerospace, security and related markets. We draw on our extensive technical knowledge and intellectual property to provide the know-how and support to solve some of the world’s most challenging problems. Our people make the critical difference to customers by providing unique approaches to problem solving. Why don’t you join some of the world’s finest scientific and technical minds and help us make tomorrow work today?

Job description/Person specification
Senior Systems Engineer - Aerospace

Permanent, Salisbury

Within Systems Engineering we are looking for Senior Systems Engineers to fulfil the roles within the Air Engineering business, with excellent leadership skills and who is willing to work in a team environment, both civilian and military.

What will I be doing?

As a Systems Engineer you will operate at platform level and be the overarching technical lead for projects, accountable for the technical solution, its quality and assurance and delivery to schedule.

You will coordinate activities between the various disciplines, working in partnership with the Project Managers to ensure a consistent approach to the creation and delivery of our products and advice.

You will engage with our customers to elicit and understand their requirements, and manage the process of analysis and decomposition of the requirements.

You will also provide significant technical support to the Sales and Bid teams in terms of the creation of the Technical Delivery Plans and estimates, supported by Subject Matter Experts, to develop robust technical solutions.

What do I need?

A strong aerospace background

HNC/HND/Degree in a relevant subject, or other qualifications with suitable experience

Recent experience of delivering multi-disciplinary complex solutions

Knowledge and understanding of a Systems Engineering V-Model approach

A good knowledge of UK Military Aviation Authority regulatory publications, certification, Release to Service, and UK military trials activities and processes

The following would be desirable:

Chartered/Incorporated Engineer Status or the willingness to undertake the application for registration
Experience of aviation trials
Experience in the identification of hazards and subsequent risk assessment, combined with the ability to clearly articulate these in written and verbal communications.

Click to apply!

#MH",3.6,"QinetiQ
3.6","Salisbury, England",-1,5001 to 10000 Employees,2001,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1
2,Applications Engineer,London,Software Engineer,-1,"At Gearset, we build a cutting-edge release management solution for the millions of developers building applications on Salesforce, the world's biggest enterprise PaaS. You'll join a passionate and experienced cross-functional development team with a laser focus on quality - from infrastructure, to code, to user experience. The features you build will make thousands of businesses around the world more effective.

You'll be a good fit if you:
Can write code and solve complex problems. Generally, this means having a bachelor's degree from a top university, or a few years experience working as a programmer in a software development team
Like to write well-structured, testable code, with a focus on simplicity and maintainability
Care about quality, not only of the code you write, but of the product you're building
Are comfortable with both frontend and backend development
Enjoy working with a collaborative team of varied disciplines, including developers, designers, marketers and salespeople
Have an enthusiasm for working directly with users to build and deliver the right features
Are a skilled developer, but more importantly, have an innate desire to learn and improve
Working at Gearset, you will:
Maintain and extend existing features, and collaborate with the rest of the development team to spec, design and build new features end-to-end
Learn from, and share your experience with, a great team - alumni of Microsoft, EA and Cambridge University to name a few
Become familiar with a pragmatically-chosen tech stack, including a mix of cutting-edge and proven technologies such as Docker, AWS, C#, and TeamCity
Work closely with users, delighting them with support, researching new features and soliciting feedback
Contribute opinions on a range of topics, from development practices to product strategy and roadmap
Nice to haves:
Familiarity with JavaScript and C#
Experience working on a hosted product
Experience working in an agile development team, following software engineering best practices
Benefits:
Salary is £32k - £60k, depending on experience
Bupa health care
Flexible working hours
Free lunch",4.7,"Gearset
4.7","Cambridge, East of England, England",-1,51 to 200 Employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
3,Applications Engineer,London,Graduate Electrical Engineer - Buildings,-1,"Graduate Electrical Engineer - Buildings*
Location: *Bristol, Cardiff, London, Manchester, Newcastle, Sheffield
Arup is an independent firm of designers, planners, engineers, consultants and technical specialists offering a broad range of professional services. Through our work, we make a positive difference in the world.

As one of the world's leading building design consultancies, we offer clients the innovation and technical know-how to continually deliver their projects on schedule and on budget, without compromise.

Our Electrical Building Services Engineers apply their specialist skills to buildings projects across the globe. We offer our clients a broad spectrum of expertise and consulting services in, but not limited to, the following types of developments: commercial and residential developments, tall buildings, Universities, colleges and schools, hospitals and healthcare buildings, laboratories and research facilities, transport projects, including airports and rail stations, sports facilities and stadia, theatres and performance venues, museums and art galleries, large-scale industrial and manufacturing facilities and data centres..
Are you interested in a Career in Electrical Engineering?*
We are currently recruiting Graduate Electrical Engineers to join our multi-disciplinary design teams across the UK. As well as an IET accredited training scheme to support you towards obtaining professional status, we offer excellent training and development opportunities to our colleagues. We pride ourselves on our extensive support network and our strength in numbers.
About you*
We are looking for graduates with an enthusiasm for a career in building design and have the following:
Master’s degree in Electrical, Architectural, General or Building Services Engineering, or Engineering Science, at 2.1 or above, however strong Bachelor’s degrees in these subjects will also be considered
Studying, or have studied, an IET, CIBSE or Engineering Council accredited course
Analytical and problem-solving ability
Possess a strong working knowledge of Office and demonstrate an ability to learn new software within a working environment that utilises 3D design and digital automation
Enthusiasm for a career in building design, underpinned through a knowledge and understanding of electrical engineering
Organised approach to planning work and meeting deadlines
Demonstrate a creative and inquisitive approach to problem solving and seek to improve existing ways of working, by finding efficiencies in processes
The aptitude to work on your own initiative and be proactive
Arup offers*
Arup offers extensive opportunities for your personal and career development and:
A competitive salary and settling in allowance
Profit share scheme
A comprehensive benefits package, including a flexible benefits fund and highly competitive pension
An interesting and varied workload
The opportunity to work on international projects
Technically challenging projects that will stretch and challenge your skills
Opportunities to work abroad
A supportive and friendly team, based in an excellent working environment
Mentorship and support towards professional accreditation and career development opportunities
Does this role sound of interest to you? Please find further information below: *
Assessment centres will take place from December 2020, so we recommend that you apply as soon as possible so you don't miss out on this exciting opportunity.
Please note that we are unable to offer Skilled Worker Visa sponsorship for this role. Therefore you must ensure that you are eligible to work in the UK without our sponsorship in order for your application to be considered*.
_Shape your time with us_*
_Our goal is to shape a better world. And to do that, we need to make Arup a great place to work for everyone. If we want to solve problems for people around the world, we must seek and attract the best people from the widest talent pool_ _and create an environment that supports and includes them. We aim to encourage a culture where people can be themselves and be valued for their contribution. We therefore welcome applications from diverse candidates. This includes people with disabilities so please discuss any adjustments that you may require throughout the selection and assessment process with your recruitment contact._

_At Arup, you'll be a welcomed member of the team with opportunities to participate in cultural and social events with the local community (e.g. as a STEM ambassador) or by joining one of our staff networks for women, culture or LGBT+ people. As a firm with an increasingly agile workforce, we're open to flexible working arrangements where appropriate. _

Job Type: Full-time",3.9,"Arup
3.9","London, England",-1,10000+ Employees,1946,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD),-1
4,Applications Engineer,London,Customer Support Engineer,-1,"Gearset is Cambridge’s fastest growing startup, rocketing from 7 people in 2017 to over 60 today. We build a cutting-edge DevOps solution for the millions of developers building applications on Salesforce, the world's biggest enterprise PaaS. In a few short years, Gearset has become the DevOps solution of choice for some of the world’s biggest companies, including IBM, McKesson, and even Salesforce themselves.

From the start, we’ve focused on providing truly outstanding support to all our users. Our focus on delighting our users in every interaction is one of the main reasons for our success. It differentiates us from the competition.

What’s the opportunity?

We’re looking for a Customer Support Engineer to join our Customer Success team. This is a very hands-on, technical role, that is much broader than a typical ticket-based support position. If you’re driven by understanding how things work, committed to delivering a great customer experience, and able to digest and explain complex topics, our customer success team is right for you.

You’ll ensure everyone who interacts with Gearset receives world-class customer support. From answering the in-app chat to jumping on technical calls, you’ll be unrelentingly focused on going above and beyond for our users: diagnosing and solving issues, guiding them through the product, and soliciting feedback to help us continually improve. Our approach to support is friendly, personal, and fun, and you’ll engage in dynamic conversations without relying on predetermined scripts or automated bots.

You’ll work in a cross-functional team of developers, salespeople, and marketers, proactively diving into unfamiliar technical topics to become an expert, and clearly and succinctly summarising them to educate and guide, ultimately ensuring users get the most from Gearset. You’ll act as the bridge between our users and our product teams to ensure we’re acting on their feedback and continually driving the development of the product.

After an initial training period on UK hours, you’ll work US East Coast hours (2pm - 10pm UK), helping support our global user base.
Working at Gearset, you will:
Act as the first point of call for users with questions about Gearset, prioritising and responding to their questions through in-app chat, by email, and on technical screen-shares
Debug complex issues by developing a deep understanding of Gearset, Salesforce, our users, and their challenges
Provide consultative support and advice to our users on how to best use Gearset and streamline their development process
Be a customer champion, ensuring their views are represented in the company
Influence product development by working closely with our product, marketing, and sales teams to collect and digest user feedback
Maintain a laser focus on quality, with top-notch written and spoken communication
Contribute to our support documents to ensure they’re clear and accurate, and research and write new content to fill any gaps
You’ll be a good fit if you have:
A bachelor's degree or equivalent direct work experience
A technical predisposition, and the desire to learn
Demonstrable exceptional writing skills and attention to detail
A can-do attitude with a focus on delighting users
The ability to convey complex technical topics with simplicity
User empathy, and an aptitude for using this to foster user relationships that resonate and engage
Excellent organisation and prioritisation skills
Previous experience in technical support roles or problem solving in a technical environment would be beneficial
A little about our benefits:
You'll work 40 hours per week, Monday to Friday, in our Cambridge office; hours will primarily be US East Coast (2pm - 10pm UK)
Salary is £28-35k, depending on experience
Bupa health care
Flexible working hours
Free lunch
You’ll work with an amazing team of friendly, approachable, and knowledgeable people",4.7,"Gearset
4.7","Cambridge, East of England, England",-1,51 to 200 Employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
5,Applications Engineer,London,Remote Software Engineer,-1,"At Gearset, we build a cutting-edge release management solution for the millions of developers building applications on Salesforce, the world's biggest enterprise PaaS. You'll join a passionate and experienced cross-functional development team with a laser focus on quality - from infrastructure, to code, to user experience. The features you build will make thousands of businesses around the world more effective.
You'll be a good fit if you:
Can write code and solve complex problems. Generally, this means having: a bachelor's degree from a top university, or a few years experience working as a programmer in a software development team
Like to write well-structured, testable code, with a focus on simplicity and maintainability
Care about quality, not only of the code you write, but of the product you're building
Are comfortable with both frontend and backend development
Enjoy working with a collaborative team of varied disciplines, including developers, designers, marketers and salespeople
Have an enthusiasm for working directly with users to build and deliver the right features
Are a skilled developer, but more importantly, have an innate desire to learn and improve
Can work closely with your team members and make an active effort to collaborate effectively

Working at Gearset, you will:
Maintain and extend existing features, and collaborate with the rest of the development team to spec, design and build new features end-to-end
Learn from, and share your experience with, a great team - alumni of Microsoft, EA and Cambridge University to name a few
Become familiar with a pragmatically-chosen tech stack, including a mix of cutting-edge and proven technologies such as Docker, AWS, C#, and TeamCity
Work closely with users, delighting them with support, researching new features and soliciting feedback
Contribute opinions on a range of topics, from development practices to product strategy and roadmap
Nice to haves:
Familiarity with JavaScript and C#
Experience working on a hosted product
Experience working in an agile development team, following software engineering best practices
Previous experience working remotely
Benefits:
Salary is £32k - £60k, depending on experience
Bupa health care
Flexible working hours
Note that you must be based in the UK for this role.",4.7,"Gearset
4.7","Cambridge, East of England, England",-1,51 to 200 Employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
6,Applications Engineer,London,Android Software Engineer,-1,"ABOUT THE ROLE
Collaborate closely with product designers with a focus on new feature design and prototyping
Be involved in the user experience design process, from wireframes and mockups through implementation and release
Work closely with designers and business to define and implement elegant solutions to interesting problems
Help define and maintain visual guidelines and ensure consistency throughout the app
Fast prototyping of new user interactions and iteration based on feedback from peer

We use: Kotlin, Dagger 2, RxJava 2, Room.

WHAT YOU’LL NEED
Deep understanding of the Android SDK
Worked on apps which support multiple Android devices
Experience collaborating on software projects with design and backend aspects
Quick learner with an ambitious and results driven personality
Excellent communication and organisational skills
Works well as part of a team in a fast-paced environment
Flexible working hours
Fluent English

Bonus points:
Insightful opinions about developing for mobile
A GitHub account with some cool projects in it
Amazing debugging skills
Experience developing location aware mobile applications

A little about us…When Revolut was founded in 2015, we had a vision to build a sustainable, digital alternative to traditional big banks. Our mission now is to help our customers improve their financial health, empower them to have more control, and promote financial cohesion across the communities in which we operate. Launching into 2020 with 10 million Personal customers and over a quarter of a million Business customers only reinforced our belief in the vast need across the world for better financial services. As our customer base has boomed in the last year, we’ve expanded our team to match that growth. We started 2019 with several hundred employees; we closed it out with 2000.

What we’re looking for…Revolut is being scaled up by people all around the world who share our vision. We’re looking for people who align with our four core values: we Never Settle, we Get It Done because we Think Deeper and we’re Stronger Together. You’re the kind of person who wants to join a community of forward-thinking people, all personally and professionally invested in Revolut’s mission. You thrive in a collaborative space where everyone’s learning from each other, and learning fast. We believe in empowering our Revoluters in their work, giving them autonomy and ownership of what they do. We want everyone at Revolut to own their story and their successes - working with us means you’re not just another cog in the machine.

THE BENEFITS
• Competitive salary
• Biannual discretionary performance bonus (equity)
• All the latest tech you need
• Roll with a free Revolut Metal subscription
• Pension plan
• Private health insurance
• Start the day properly with fresh fruit and cereals
• Rest up with 29 days’ holiday per year",3.1,"Revolut
3.1","London, England",-1,1001 to 5000 Employees,2015,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable,-1
7,Applications Engineer,London,Double Glazing Engineer,-1,"We are currently seeking a full time double glazing engineer for a specialist double glazing company based in Caterham, Surrey.

Working pattern is Monday to Friday, between 8 - 5pm (variable hours) 40 hours per week. Flexibility required for on-call work.

Successful candidate will ideally have at least 5 years experience with good knowledge of maintenance and repairs to have the ability to diagnose problems and provide a solution to a professional standard.

Must have the ability to use smartphones and applications and hold a clean and full UK drivers licence is essential as they will be required to travel via the company van which we will provide.

Salary starting from £20,000 - £30,000 depending on years experience.

Interviews will entail technical questions and practical assessment to demonstrate their ability for the role.

Job Type: Full-time

Salary: £20,000.00-£30,000.00 per year

Benefits:
Company car
Company pension
Schedule:
Monday to Friday
No weekends
COVID-19 considerations:
You will be supplied with gloves and masks for all necessary works.

Experience:
engineering: 10 years (Preferred)
Licence:
Drivers License (Required)
Flexible Working Options Available:
Not offered
Work remotely:
No",-1,SRS WINDOWS AND DOORS LTD,"Caterham, England",-1,-1,-1,-1,-1,-1,-1,-1
8,Applications Engineer,London,Data Engineer,-1,"At Cabot, we pride ourselves on being the best at what we do and we recognise that it’s the people that make the difference to any organisation. So, are you ready for a new challenge?! As we are on the lookout for ­­a Data Engineer to join our Data Engineering departing in either our Kent or Worthing office.
Not heard of us? Here’s our story: *
Cabot Credit Management (CCM) is a market leader in credit management services. We are an award winning, Investors in People Gold accredited organisation and we are passionate about the ethical treatment of our customers and employees.
Things you should know: *
We require a developer in our Data Engineering team to help build new data processes and applications, manage data through the business, develop complex ETL routines, interpret and manipulate data to make it useful across the Cabot Group of businesses. The role will also entail the building and administration of new and existing reports (preferably in Power BI) & analytical datasets for use by key stakeholders in the business.

In the role, you will be using a combination of Power BI, Excel, SQL Server, SSRS and SSIS and Azure as your main tools. You will work with large, complex data sets and will be required to build up your knowledge of the data as well as gaining a good understanding of how the business areas function.

Some of the key responsibilities include:
Building & Maintaining the ETL processes in Azure & on premise.
Assisting the rest of the team with building their understanding of these new processes
Work with customers & project teams to define requirements for new analytical data stores and processes.
Identifying areas for improvement or gaps in existing processes and leading the development of new data capture and processes.
Validating data before use in reporting or analytics and ensuring the integrity of all data used within the reporting suite.
Troubleshoot and investigate anomalies.
Working with the other teams and businesses within the Cabot group to deliver objectives and ensure delivery on time and to a high standard.
Updating your sprint items to ensure the accurate documentation of progress on solutions.
The fun facts: *
Not only are we offering a competitive salary of £30-40k and a fantastic bonus scheme, you will also be entitled to loads of great benefits such as gym membership subsidy, discount and cash back on hundreds of high-street shops, healthcare cash back plan, travel insurance, pension, 23 days holiday, plus much, much more.
Things we need from you: *
The most important part for any applicant is that they have the technical skills and the mindset to look beyond the obvious, own their own work and work independently. Key needs are strong SQL, Power BI & Azure data processing, investigative skills, some level of design capability, the desire to understand what people need and the ability to deliver it. A can do attitude is a must.

Other key requirements include:
Demonstrable experience in using Azure Portal to build & manage resources such as Azure databases, Data Factories and Pipelines to move, transform and analyse data from on-premise data to the cloud.
Good knowledge of T-SQL, SQL Server, SSIS and SSRS
Power BI (preferable)
Working knowledge of object-oriented languages (preferable)
Experience of turning customer needs and concepts into automated MI processes or reports
Experience of automating reports, including data extraction, transformation/manipulation, summarisation and delivery.
Logical troubleshooting expertise
SQL Performance Tuning
What happens next?*
If this sounds like you and if you would like to join our rapidly expanding company that offers excellent career progression, then we would love to hear from you! We are looking for people to interview via video and join us asap.
_Diversity and inclusion_* _are very important to us at Cabot and we value a multitude of diverse talent within our business. We want everyone to be themselves at work and encourage a culture that includes everyone. Our policies ensure that every candidate and employee are treated fairly and with equal opportunities. _
Job Types: Full-time, Permanent

Salary: £30,000.00-£40,000.00 per year

Experience:
Azure tools and products: 1 year (Required)
Power BI: 1 year (Preferred)
T-SQL, SQL Server, SSIS and SSRS: 1 year (Required)
Education:
Bachelor's (Required)
Work remotely:
Yes, temporarily due to COVID-19",-1,Cabot Financial,"Worthing, South East England, England",-1,-1,-1,-1,-1,-1,-1,-1
9,Applications Engineer,London,Software Engineer Robotics,-1,"JOB TITLE: * Robotics Software Engineer
REPORTING TO: * Steve Wisbey Managing Director
LOCATION: * NIC Instruments Ltd, Folkestone, Kent CT19 5NF
The appointee will be based at NIC Instruments Ltd
OVERALL PURPOSE OF JOB *
NIC Instruments has an on-going programme of robotics research and development, based largely on their unmanned ground vehicle (UGV) product line. The product is primarily aimed at the bomb disposal market, and requires on-going research and development.

The technology currently in use is a combination of in-house design and off the shelf solutions. The immediate focus will be to assist with the release of some exciting new features, but will then move onto developing new functionality whilst supporting the released software in the field. The UGV is seen as on-going development, with limitless possibilities for expansion, including the development of additional robotic products.

This is an exciting opportunity for a skilled and experienced software engineer with an aptitude for control algorithms, who has ideally already worked in a commercial programming environment. The candidate should be comfortable with creating new projects, bug fixing and working with existing projects that have been written by other people.

The right candidate will be a quick learner, a team player, and have a range of the following skills and qualifications:
1. **Overall: *
a. Competency in Microsoft Word, Excel, and Outlook essential

b. The ability to work alone, and as part of a small team

c. The ability to compile technical proposals, requirements and specifications

d. A desire to constantly learn and actively partake in their own Continuing Professional Development (CPD)
2. **Experience: *
a. Significant hands-on programming experience plus a minimum of 3 years in a related role

b. Experience or knowledge of working with a software development methodology

c. Experience of working with serial ports under Windows®, Linux® and within custom C++ and C# applications, including RS232 and RS485 protocols.

d. Vector based graphic manipulation is an advantage

e. Embedded code

f. streaming audio and video technologies

g. integration of third-party code
3. **Qualifications: *
a. A degree in Computer Science/Cybernetics/Control Engineering or equivalent

b. A Masters, a PhD, and Chartership are all preferred
4. **Skills: *
a. Ability to design, develop and productionise software using multi-threaded C++ and C#

b. Familiarity with Linux and it’s control via the terminal

c. The ability to perform minor Linux Kernel modifications at the source level

d. Familiarity with version management software such as GIT

e. An aptitude for aesthetically pleasing, user-friendly Windows GUI design

f. A strong bug finding ability additionally within multithreaded environments

g. Knowledge and experience in Communication bus systems, motor control, RF transmission systems and video processing would be an advantage, as would a basic knowledge of electronics and mechanical design
Further information: *
Salary is dependent on relevant experience and qualifications. NIC operate a discretionary bonus scheme.

References will be taken up if you are invited to interview.

Applications should be sent by email only

Please Note: It is not possible to discuss this application by telephone. All questions or queries must be via email.

Job Type: Full-time

Salary: £30,000.00-£60,000.00 per year

Benefits:
Casual Dress
Childcare
Company Pension
Flexible Schedule
Private Medical Insurance
Sick Pay
Work From Home
Schedule:
8 Hour Shift
Experience:
software engineering: 3 years (Preferred)
c++: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Flexible Working Options Available:
Flexitime
Staggered hours
Compressed hours
Work from home
Work remotely:
No",-1,NIC Instruments Ltd,"Folkestone, England",-1,-1,-1,-1,-1,-1,-1,-1
