,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Computer programmer,London,Programmer I,-1,"Statistical Programmers Early Oncology

Location: Cambridge, UK

Competitive financial package

Are you a Statistical Programmer eager to apply your knowledge and skills in a truly meaningful setting? Would you like to play a key role the development of medicines to patients? If so, we would love to hear from you!

At AstraZeneca, we put patients first and strive to meet their unmet needs worldwide. Working here means being entrepreneurial, thinking big and working together to make the impossible a reality. If you are swift to action, confident to lead, willing to collaborate, and curious about what science can do, then youre our kind of person.

The new R&D Oncology organisation brings together early and late oncology teams, from discovery through to late-stage development, with oncology specific Regulatory and Biometrics groups.

In this role, we will give you the chance to utilise your statistical programming expertise in analysis and reporting of clinical trial programs; submission and defence of regulatory filings and the generation of evidence to support product commercialisation and reimbursement.

Main Duties and Responsibilities


Depending on your previous experience and education, you will use and develop your programmer know-how in a data driven environment. You may already be equipped to lead programmer employees, either by technical leadership or line management. We offer a role suited for your competence.

Your responsibilities will include:
Statistical programming deliverables for regulatory submissions, including specification and delivery of coordinated databases, outputs and response to regulatory questions; commercialisation and reimbursements
Delivery of the Clinical Study Report (CSR), Study Data Tabulation Model (SDTM)/Analysis Data Model (ADaM) databases and Tables, Figures and Listings (TFL) outputs through both internal and external delivery models, following applicable data standards and regulations
Statistical programming contribution to Development Safety Update Reports (DSUR), Periodic Benefit-Risk Evaluation Report (PBRER), Investigators brochures (IB)
Contribute to or lead the statistical programming thinking, analysis and reporting to relevant groups in product and study teams
Development of standard methodology to improve quality, efficiency and effectiveness
Essential Requirements


You are focused on solving challenging problems through collaboration and partnerships. You are a specialist in your field, or aspire to be a specialist, and you know that the best results are achieved by utilising the strengths of every individual.
You have a degree in Mathematics, Computer Science, Statistics, Life Sciences or similar area
You have SAS Programming and CDISC standards knowledge
You possess excellent interpersonal skills
We would like to know more about you. If you are interested, apply now!

At AstraZeneca when we see an opportunity for change, we seize it and make it happen, because any opportunity no matter how small, can be the start of something big. Delivering life-changing medicines is about being entrepreneurial - finding those moments and recognising their potential. Join us on our journey of building a new kind of organisation to reset expectations of what a bio-pharmaceutical company can be. This means were opening new ways to work, pioneering cutting edge methods and bringing unexpected teams together. Interested? Come and join our journey.

Where can I find out more?
Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/
Follow us on Facebook https://www.facebook.com/astrazenecacareers/
Follow us on Instagram https://www.instagram.com/astrazeneca_careers/?hl=en",4.1,"AstraZeneca
4.1","Cambridge, East of England, England",-1,10000+ Employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
1,Computer programmer,London,Programmer I,-1,"About Us
Diamond Light Source is one of the most advanced scientific facilities in the world. It houses the UK’s synchrotron light source, producing beams of light 10 billion times brighter than the sun, to probe the structure and composition of matter. From viruses and vaccines, to alternative energy solutions and nanotechnology, it underpins research and innovation for more than 8000 scientists.
The Diamond Scientific Software, Controls and Computation (SSCC) department consists of several specialist groups and is critical to our scientific output.
About the Roles
We now have excellent opportunities for Scientific Software and Computing Graduates for our 2021 Graduate intake.
Working within the Diamond Scientific Software, Controls and Computation department, you will work in a research focussed environment alongside world leading scientists and professional engineers addressing technically challenging problems for the good of mankind.
To help you get started in your career, in this exciting and challenging environment, we offer a two-year-long rotational development programme in software technologies, development methodologies, and personal growth. During this you will gain hands-on experience and exposure to a wide range of cutting edge technologies, including:-
Big Data Technologies
High Performance Data Acquisition
Scientific Data Analysis
Data Science
Machine Learning
Data Visualisation
Augmented and Virtual Reality
Web Services
Distributed Controls Systems
Robotics, Remote Control and Automation

On completion of the development programme, a review will be undertaken with a view to a promotion and increased contribution to the science and research carried out at Diamond.
About You
You will have recently achieved, or be expected to achieve, a 2:1 or above in Computer Science or a STEM subject.
You will be passionate about science or engineering and have a strong understanding and interest in software and computing technologies.
Benefits
Diamond offers an exceptional benefits package to support staff in achieving a positive work/life balance. This includes 25 days annual leave plus 13 days of statutory and company holidays, along with flexible working hours and an excellent pension scheme. Staff also have access to a range of amenities on site including a nursery, cafes, a restaurant and sports and leisure facilities.

We take an active approach to ensuring equality, diversity and inclusion are at the heart of our activities at Diamond, with a dedicated commitment to ensuring we provide a fulfilling and enjoyable place to work, where all staff feel valued and recognised for their individual contribution.
To Apply
Applicants are required to outline their suitability for this role via the online application process.
The closing date for applications is 15th November 2020 with interviews scheduled for week commencing 30th November.

Other information
Company benefits
Life at diamond

Where relevant, and possible for the role, we will consider flexible working arrangements and secondment opportunities.
Diamond attract talented individuals from around the world and currently employ 39 different nationalities. Reflecting trends in our sector we employ more men than women (78% men and 22% women as at 5 April 2019). Therefore, in accordance with law and good practice, we particularly welcome applications from suitably qualified women.
If you are disabled and would like to be considered under the Guaranteed Interview Scheme, please let us know via the online application process.
Diamond are members of Working Families (the UK’s work-life balance organisation), we have also achieved the Athena SWAN Bronze award and Disability Confident Level One.",3.8,"AstraZeneca
4.1","Cambridge, East of England, England",-1,501 to 1000 Employees,-1,Nonprofit Organization,Research & Development,Business Services,Unknown / Non-Applicable,-1
2,Computer programmer,London,Programme Support Officer,-1,"Vacancy details

Job Profile


Administration - Administrative Roles


Title


Programme Support Officer


Contract Type


Permanent


Job Purpose

The post holder has responsibility for supporting the Apprenticeship, CPD and covering the academic administration as required of the School of Nursing Portfolio at Waterloo, South East England and RDaSH.

This role may require occasional day return travel to other sites in South East England.

Key Responsibilities:


Please see attached JD for a full list of key responsibilities.


Department


School of Nursing
Vacancy location

Location


UK, London, London Waterloo
Candidate criteria

Candidate Criteria


• Ability to work on own initiative and self-motivated
• Excellent communication skills (oral and written) and demonstrable presentation skills
• Be able to prioritise workloads and to work under pressure.
• An awareness of GDPR confidentiality issues.
• Excellent organisational skills
• Computer literacy in standard computing packages & the Internet and a knowledge of, or experience in, an educational establishment would also be an advantage.
• Experience of client management.
• Basic knowledge of the Apprenticeship Levy.
• Experience of working to tight deadlines and changing priorities.

Please note that this role may occasionally involve national travel.

Please note that the successful candidate will be required to undergo a DBS check
Employment Details

Contract Hours


37.50


FTE


1.00


Salary


Competitive

Attachments



Full Job Description


Programme Support Officer JD.pdf (171 Kb)",3.9,"BPP Holdings
3.9","London, England",-1,1001 to 5000 Employees,1976,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable,-1
3,Computer programmer,London,Graduate Development Programme,-1,"Ordnance Survey (OS) provides national mapping services for Great Britain and is world-leading provider of geospatial solutions.

OS location data and expertise has helped governments make smarter decisions, businesses gain valuable data insight, and everyone experience the world outside for over 225 years.

Ordnance Survey Graduate Development Programme

Ordnance Survey (OS) provides national mapping services for Great Britain and is world-leading provider of geospatial solutions.

OS location data and expertise has helped governments make smarter decisions, businesses gain valuable data insight, and everyone experience the world outside for over 225 years.

What do we do and why?

Population growth, climate change, and disruptive technology are impacting every nation. Geospatial data is helping to solve the complex problems of a changing world. We’re exploring how business can use location data more intelligently, through analytics, joining multiple data sources, data integration, and sharing platforms or environments. We are working at the heart of making national data connected and valuable, providing the framework for a wide range of public and commercial services and helping the development of a ‘smarter’ more connected world. We’re also leading machine-to-machine use of data at a level of detail never before seen in national mapping agencies.

Working with countries all over the world, our expertise and capability supports the sustainable development and delivery of efficient public services – improving quality of life for millions of people. Our advisory services work with organisations, governments and other geospatial bodies and partners to improve policy making and increase geospatial capabilities demonstrating how GB is using the same approach to geospatial data and standards to save millions of pounds per year; reduce carbon emissions; make the best possible evidence-based decisions; deliver effective public services and plan new developments.

How do we do it?

Every day, our people use their world-class skills to deliver innovative solutions and grow our service offer. Innovation is at the heart of everything we do, and we not only operate at the cutting edge of collecting, managing and sharing data we seek new and relevant ways to solve real world challenges through the use of location based, big data and services.

Our people are experts. Along with surveyors and data visualisation experts, our teams include data analysts, research and data scientists, developers and engineers; our technical relationship consultants and technical product managers are working alongside customers every day in GB and across the world to solve customer problems with our data and services. Our innovators are exploring how Augmented Reality, Virtual Reality and gamification can bring location data to life. Meanwhile, our thought leaders are re-imagining and re-thinking the use of geospatial on a global stage, improving lives everywhere.

We want to ensure we continue to grow our unique geospatial capability through a graduate programme that will bring together your enthusiasm for making a difference with our expertise and passion for continuing our development as the world’s most trusted geospatial partner.

What will I be doing as a graduate at OS?

Our graduate programme will provide you with the opportunities to develop to be our future Technical experts, consultants and future leaders. As part of a team, you will be working on projects and activities that build on your core technical expertise, gaining experience and exposure to our full end to end data capture, processing, analysis and solutions business.

During the programme, you will be embedded in our geospatial teams working through a number of placements – for some, this may be centred around a specific geo data science technical capability, while others may have a broader series of placements ranging from geospatial operations to data analysis and customer engagement. Your programme may also include the opportunity to spend time with some of our geospatial partners within the UK, for example in wider Government bodies or with our commercial partners. As you develop and grow your technical expertise, we will work together to identify where your skills and aspirations lie.

Some of the projects you may be involved with include:

OS OpenData: We believe easy-to-access data is a catalyst for fresh thinking. We’re supporting communities to use our data, accelerating new technologies and businesses, and enabling the Internet of Things. It underpins a range of applications, while promoting government transparency & accountability and encouraging greater use of geographic information.

Smart Cities: To build communities with improved quality of life – better housing, air and transport – decision-makers need an accurate understanding of place. With location data at the core, we can explore how to use emerging technologies to meet the complex and interconnected needs of society. For example, sharing vehicle location and movement data can help improve not just passenger journeys, but also safety, air quality and traffic flow.

Housing & Transport: We support the government’s plans to boost availability of land in the right places for homes, and to ensure that better use is made of underused land in towns and cities. As well as detailed, accurate topography, our data also provides information about addresses; roads; sites of interest; greenspaces; postcode units and more.

Energy & Infrastructure: Our data, services and consultancy help energy and infrastructure organisations plan, build, manage and maintain networks more effectively by understanding the landscape in detail and integrating data. Electricity, gas, water and telecommunications sectors can find out in-depth information about a road and the environment, so they can plan exactly where to install new assets or carry out underground maintenance.

E-CAVE: Enabling Connected and Autonomous Vehicle Environments (E-CAVE) research project to design the frameworks, data and resources for CAV data exchange. E-CAVE will enable real-time vehicle-to-vehicle (V2V) and vehicle-to-infrastructure (V2I) data sharing, using open standards and architecture.

Our graduate programme is about providing you on the job learning and development throughout the programme to enable you to grow your technical and professional skills. You work on real life projects, programmes and business challenges. Our graduate scheme provides opportunities to develop your core technical expertise; to be our future technical experts, consultants and leaders.

Where will I be based?

During the development programme you will be based primarily at our Headquarters in Southampton, but your project work may see you working throughout the UK (and potentially internationally) but at the moment due to the current circumstances, most of our employees are working from home.

Who we’re looking for

Successful graduates at Ordnance Survey don’t just have great qualifications, they have the right mindset to make a difference; you’re motivated by doing the right thing and understand that it’s not just about what you do but how you do it.

When you apply to our graduate programme we’ll be looking to see if you’re insightful, engaging and enjoy working with others. Communicating well with people is important to you, and you know when its right to involve other people to get something done. You’ve probably done some networking already or may have been involved in events with others in your field, because you understand the value of sharing knowledge and experience with different people.

If you’ve got, or will have, an undergrad degree (predicted or achieved 1st or 2:1); if what we do and where we are going inspires and motivates you, then we would love to hear from you.

As a technical programme, we particularly welcome applications from people studying the disciplines below or have an interest in:

Geospatial Science (i.e. Geomatics, Geodetics)

Data Science & Analytics

Computer Science (particularly Machine Learning & Artificial Intelligence)

Data visualisation (including Gamification)

Rewards and Benefits

We want you to love what you do. That’s why our benefits package rewards a job well done. We’ll give you:

£24,000 basic salary package, with £500 relocation bonus on appointment (if appropriate)

Personal development & training

Laptop, mobile phone, flexible working options, benefits package and pension

25 days of annual leave plus 3 days extra at Christmas

Paid volunteer day for a cause that’s important to you

Healthcare, retail and fitness discounts

Fantastic Sports & Social club network

What happens at the end of the programme?

During the programme we will work together to jointly identify where your aspirations and skills and our technical needs come together. At the end of the programme, our aim is that every graduate will be considered for a permanent role at OS where possible.

Please click here to see how our graduates from the 2019 intake found their first week at OS!

How to apply

To apply, please submit your CV and covering letter by clicking the apply now button. In your cover letter, in addition to telling us; why you think you are suited to the Ordnance Survey graduate programme, please identify a national challenge where you believe the improved use of geospatial data will have a positive impact – what is the challenge, why have you chosen it and how would the improved use of geospatial data help? We recommend you focus this towards your field of interest for example if you have a particular interest in Data Science, tailor your letter to this field. Your cover letter should be no longer than 1200 words.

The closing date for applications to the programme is 22 November 2020

The interview process will take place in March 2021 and include a mix of online assessment, face to face interview and assessment centre depending on the national situation with COVID-19 guidance at the time.

Placements on the programme will start in September 2021

We believe diversity and inclusion is about working together – in a supportive and respectful environment to reach our full potential. We think combining different backgrounds, experiences and perspectives will help us reach our vision and be trusted and admired across the globe for setting the standards and leading the way. We are looking for talented and experienced individuals from a range of backgrounds and welcome applications from any race, age, gender, background or religion.

We’re individually talented and collectively powerful and we give you the space to take your career in whichever direction you want.

We’re always happy to hear from you, so don’t forget to follow us on Twitter, LinkedIn or find us on Facebook",3.3,"Ordnance Survey
3.3","Southampton, England",-1,1001 to 5000 Employees,1800,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
4,Computer programmer,London,Technology Graduate Programme 2021,-1,"Technology Graduate Programme 2021

Do you want to join YouView as one of our fantastic Graduates?
Based in the heart of London, we create the future of television, today. Driven by an ambitious and highly skilled team, we are looking for the next generation of talented software engineers to shape personalisation and multi device experiences for viewers across the UK.
As a small, ambitious tech business working with some of the biggest players in the industry including the BBC, ITV, Amazon, Netflix and Sony, we bring together a diverse team of some of the smartest and most talented individuals in their fields from across the globe.
We are at the forefront of innovation, defining the future of television in the UK so come and join us!

What to expect:
The Grad Scheme you will join at YouView has been designed to develop your technical skills and industry knowledge as well as provide an environment to exercise fundamental abilities to succeed in the software industry such as:
· Analytical Thinking
· Continuous Learning
· Problem Solving
· Collaboration

Key responsibilities

We need you to have a minimum of 2:1 in a Computer Science, Maths, Physics or Engineering degree as well as a real passion for problem solving and bringing things from concept to reality. You must be extremely computer literate with practical programming experience in as many of the following languages and technologies as possible:
· C/C++ development (Linux)
· Javascript
· HTML / CSS
· Python
· Clojure
· Web service development (client or server side)
· Linux
You’ll also need to be a good communicator and have bags of initiative.
We’ll give you a competitive salary and annual bonus (reflecting organisational and individual performance), generous holiday entitlement and the opportunity to select from a range of other benefits.

Timings as follows for the recruitment process:

Applications close: 31st December 2020
Assessment Centre: January/February 2021


Company profile

At YouView we are changing the way you watch TV and transform the daily viewing experience of the UK television audience. It’s a brilliantly simple way to find and watch the programmes you love. YouView combines live channels with on-demand, unlocking a world of content and services, and bringing web-based services and interactive extras to your living room.
You will benefit from the opportunity to work within a number of our technology teams alongside industry experts, as well as having access to a full schedule of structured training to accelerate your personal development.


Only the data that you explicitly entered into the application form above will be sent to YouView. This data is subject to our application and candidate privacy policy",4.1,"YouView
4.1","London, England",-1,51 to 200 Employees,2010,Company - Private,TV Broadcast & Cable Networks,Media,$5 to $10 million (USD),-1
5,Computer programmer,London,Programme Manager,-1,"Job Details: Programme Manager

Full details of the job.
Vacancy Name Programme Manager
Employment Type Full Time
Location Country United Kingdom
Location Head Office
Job Details
JATO are hiring!

JATO products serve many needs in the entire automotive sector that depend on data, insight tools and business process automation solutions variously delivered through API’s and User Interfaces.

As a Programme Manager, you will report to the Head of Global Delivery Services and work for a vertical business area, driving one or more major product releases through the entire lifecycle including analysing, implementation and customer rollout ramping down only when all customer deployments are transitioned into continuous support.

Key Responsibilities - Ensure quality definition of Epic scope, KPI’s and the metrics of success including the means to measure performance through the life of the product action
Ensure clear definition of scope for Minimum Viable Products and the backlog of continuous improvement including sizing of economic value for features
Ensure decomposition and sizing of Epics into Features by working with Product Managers, Architects and Product Delivery Teams
Plan in dependant activities which need to support the delivery and success of Epics but which operate outside of SAFe such as data acquisition
Define and track high-level and low-Level plans in line with SAFe. This will include dependency management both within the Program and external to the program
Ensure high quality in all Epic documentation especially Features which are planned into Product Delivery teams
Ensure the creation of a full business case in line with business requirements and track that the business is delivered via budget management and Return on investment model
Maximise local autonomy, skills and resources to unblock issues/risks (RAID) so that escalations are exceptional
Commission/create all necessary tools to allow program members and stakeholders to contribute and work together
Define and manage governance in line with the SAFe framework and operate as an Epic Owner within the framework
Drive all status reporting across all key product epics, and communicating status up to the senior management team and other governing bodies
Lead business engagement and management of communications with all stakeholders
Capture and drive closure of Risks / Issues / Actions / Decisions
Initiating extra activities and other management interventions wherever gaps appear
Prepare and deliver dashboard KPI’s and monthly Programme Board presentations
Key Requirements - Demonstrated experience in leading major programs from idea to launch across multiple time zones and sites
Experience in leading B2B technology/data solutions programs working with SaaS, Cloud Computing, and/or emerging technologies
Experience of Lean Agile, SCRUM and Scaled Agile Framework
Cross-functional experience across engineering, sales, and marketing teams in data/cloud computing or related technical fields
Ability to manage the expectations, demands, and priorities of multiple internal stakeholders based on overarching purpose/vision
Proactive and action oriented who can lead teams through ambiguity in an organised fashion.
Ability to thrive in a fast-paced environment, and to adapt flexibly with the changing needs and direction of a rapidly-growing organization
Experience in various tools i.e. JIRA, MS Project for management and planning
Solid communication skills having previously work with senior leadership teams (written and verbal)
Please note all CVs must be submitted in English in order to be considered for the role. You must have the right to work and live in the country you are applying for.",3.4,"JATO Dynamics
3.4","Uxbridge, England",-1,501 to 1000 Employees,1984,Company - Private,Research & Development,Business Services,$50 to $100 million (USD),-1
6,Computer programmer,London,Senior or Principal Statistical Programmer - Late Respiratory & Immunology,-1,"Senior or Principal Statistical Programmer Late R&I

Location: Cambridge, UK

Competitive financial package

Are you a Statistical Programmer eager to apply your knowledge and skills in a truly meaningful setting? Would you like to play a key role the development of medicines to patients? If so, we would love to hear from you!

At AstraZeneca, we put patients first and strive to meet their unmet needs worldwide. Working here means being entrepreneurial, thinking big and working together to make the impossible a reality. If you are swift to action, confident to lead, willing to collaborate, and curious about what science can do, then youre our kind of person.

Our Late R&I Biometrics team is dedicated to the development of innovative treatment of Respiratory and Immunology (R&I) diseases. You will join a global, diverse and cross-functional environment where you will get personal and professional development.

Welcome to Cambridge (UK), one of over 400 sites here at AstraZeneca, providing a collaborative environment where everyone feels comfortable and able to be themselves is at the core of AstraZenecas priorities, its important to us that you bring your full self to work every day.

In this role, we will give you the chance to utilise your statistical programming expertise in analysis and reporting of clinical trial programs; submission and defence of regulatory filings and the generation of evidence to support product commercialisation and reimbursement.

Main Duties and Responsibilities


Depending on your previous experience and education, you will use and develop your programmer know-how in a data driven environment. You may already be equipped to lead programmer employees, either by technical leadership or line management. We offer a role suited for your competence.

Your responsibilities will include:
Statistical programming deliverables for regulatory submissions, including specification and delivery of coordinated databases, outputs and response to regulatory questions; commercialisation and reimbursements
Delivery of the Clinical Study Report (CSR), Study Data Tabulation Model (SDTM)/Analysis Data Model (ADaM) databases and Tables, Figures and Listings (TFL) outputs through both internal and external delivery models, following applicable data standards and regulations
Statistical programming contribution to Development Safety Update Reports (DSUR), Periodic Benefit-Risk Evaluation Report (PBRER), Investigators brochures (IB)
Contribute to or lead the statistical programming thinking, analysis and reporting to relevant groups in product and study teams
Development of standard methodology to improve quality, efficiency and effectiveness
Essential Requirements


You are focused on solving challenging problems through collaboration and partnerships. You are a specialist in your field, or aspire to be a specialist, and you know that the best results are achieved by utilising the strengths of every individual.
You have a degree in Mathematics, Computer Science, Statistics, Life Sciences or similar area
You have advanced SAS Programming and CDISC standards knowledge
You possess excellent interpersonal skills
You have experience working in the Respiratory or Vaccine therapeutic area
We would like to know more about you. If you are interested, apply now!

At AstraZeneca when we see an opportunity for change, we seize it and make it happen, because any opportunity no matter how small, can be the start of something big. Delivering life-changing medicines is about being entrepreneurial - finding those moments and recognising their potential. Join us on our journey of building a new kind of organisation to reset expectations of what a bio-pharmaceutical company can be. This means were opening new ways to work, pioneering cutting edge methods and bringing unexpected teams together. Interested? Come and join our journey.

Deadline for applications is 31st December 2020",4.1,"AstraZeneca
4.1","Cambridge, East of England, England",-1,10000+ Employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
7,Computer programmer,London,Senior or Principal - Statistical Programmers - Early Biometrics & Statistical Innovation (EBSI),-1,"Statistical Programmers - Senior / Principal, Early Biometrics & Statistical Innovation

Are you a goal-oriented Statistical Programmer looking for a new challenge? Would you like to be a part of a group with direct strategic impact on drug development that plays a key role in getting new medicines to patients who need them? Welcome to join AstraZeneca with your expertise!

We are currently recruiting Statistical Programmer at senior level or higher depending on your previous experience to join our growing Early stage portfolio. Our main therapy areas are Cardiovascular, Renal, and Metabolism (CVRM) and Respiratory & Immunology (R&I). The positions can either be based in Cambridge, UK.

Description

At AstraZeneca were driving leading-edge approaches to drug development across many business areas within Early Biometrics & Statistical Innovation (EB&SI) a data-centric focus is helping us work more efficiently and creatively to bring the right medicines to the right patients. Our biometrics teams use their expertise in statistics and programming to answer drug development objectives and reduce uncertainty in product development, driving better business decisions with quantitative reasoning.

The Senior/Principal Programmer sits within our Early Programming group in EB&SI, aligned either to Cardiovascular/ Renal/ Metabolism (CVRM) or Respiratory, Inflammation, and Autoimmunity (R&I), and is responsible for providing statistical programming expertise to support the design and interpretation of early clinical studies and development programmes.

Working as part of Data Science and AI, youll be able to access technology at the forefront of science in an innovative environment, where you will have scope to develop creative statistical ideas and approaches, and to apply them in your work.

Main duties and responsibilities

The Senior/Principal Programmer provide Statistical Programming support and/or lead all programming related activities of the analysis and reporting process including, but not limited to, CSR development, regulatory activities and the scientific utilization of our data for AstraZeneca products. There are many career options you can pursue for progression including technical pathways, management of global projects or line management.

You will work in the Programming department that not only oversees and delivers the programming aspects of analysis and reporting but also manages and maintains our end-to-end standards and our analysis and reporting production tools.

Youll be part of a global team that pulls together to put patients first.

Requirements

To succeed in this role, youll be an experienced programmer with good knowledge of technical and regulatory requirements related to programming within the pharmaceutical or healthcare industry. Youll enjoy multitasking, have an appetite for solving problems with a strong team focus who enjoys collaborating to achieve the best results.

We have several opportunities across both Senior and Principal levels.

Desirable experience includes:

Both
BSc in a Mathematical (i.e. Applied Math, Engineering, etc.), Statistical, Computer Science or Life Science subject
Excellent problem-solving skills
Diligence attention to detail and ability to manage concurrent projects and activities
Excellent verbal and written communication skills and ability to influence stakeholders
Senior
SAS programming expertise gained within a clinical drug development or healthcare setting
Knowledge of CDISC standards and industry best practices
Knowledge of database set-up and report publishing requirements
Principal
Extensive SAS programming expertise to an advanced level
Extensive Knowledge of Analysis and Reporting within Clinical Development
Comprehensive knowledge of technical and regulatory requirements with submission experience
Wide-ranging knowledge of CDISC standards and industry best practices
Travel willingness and ability to travel domestically and/or internationally
Team centric approach: keen to take steps to understand and appreciate the roles, skills and strengths of others on the team
More information

For more information about these positions please contact

Catherine Rochez Catherine.Rochez@astrazeneca.com +46723015130

Pontus Boman Pontus.Boman@astrazeneca.com +46730563324

For more information, please visit our websites:

Gothenburg site: https://www.astrazeneca.com/our-science/gothenburg.html

Cambridge site: https://www.astrazeneca.com/our-science/cambridge.html

Gaithersburg site: https://www.astrazeneca.com/our-science/gaithersburg.html",4.1,"AstraZeneca
4.1","Cambridge, East of England, England",-1,10000+ Employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
8,Computer programmer,London,Gameplay Programmer,-1,"Introduction:

Mediatonic is one of the UK's largest independent game developers with around 200 people across 6 locations worldwide. With incredibly diverse games, from top-grossing mobile titles, to hardcore PC simulators, from major IPs to completely original titles.

Above all, we take pride in crafting games that challenge and inspire us and we invest in technology that will keep us at the forefront of the industry. We hire experts to take on the biggest creative and technical challenges we can get our hands on and we invest in our people for the long term.

In the coming years, we have plans to grow across all our studios/locations, in order to achieve this we are looking to hire several Programmers to join our new team on a brand new project.

Responsibilities

Details:
Interpreting design requirements as well as the studio's creative aspirations
Agree and implement strategy for project R&D, infrastructure, systems and features
Analysing technical capabilities and resourcing requirements
Collaborate on the roadmap and sprint planning, providing estimates and technical plans
Coordinate planning to ensure technology plans are robust and communicated to stakeholders, reporting progress both internally and externally
Mentoring team members, giving feedback, setting expectations and delegating
Collaborating with the Principal Engineering Team shaping best standards across the studio
Act as ambassador for the studio both internally and externally
Requirements

Details:
Excellent programming skills in C# and / or C++, with an understanding and passion for readable, robust code and best practices
Previous commercial experience in a game studio and / or commercial experience working in a large development team
Familiarity with game engines like Unity (preferably) or Unreal
Strong understanding of game development tooling and processes, art workflow, performance optimization and memory management
Experience using source control systems such as Git & Perforce
Strong maths skills
A strong passion for making games
Desirable experience:
Experience leading a project or mentoring a team
Programming for consoles including an understanding of TCRs/TRCs and the certification process
Experience with modern graphics programming, including Cg/HLSL and/or compute shaders, is a strong plus.
Experience with mobile SDKs (Android & iOS) and frameworks (e.g. 2DToolkit).
Understanding of client / server communication and data serialisation.
Understanding of 2D and 3D animation principles.
Experience with build scripts and systems i.e. Jenkins, Team City, Ant, Make etc...
Skills in scripting languages (JavaScript, Python).
Experience using and scripting common art and 3D software packages (Photoshop, Illustrator, Blender...) is a plus.
Benefits

Description:

Are you interested in creating moments that matter, for millions of players, in games that run for years?

Does the idea of working together with a friendly team of Tonics towards the common goal of making great games appeal to you?

Did we mention our out of control but totally cool sticker obsession?

Details:

How to apply & really impress us

As a people first studio, our biggest priority is to hire the right person. A cover letter that tells us a bit about you and what you’re passionate about really helps to get our attention and distinguish your application from the crowd.

Successful applications will usually have a phone chat before being invited to an interview at Mediatonic. If you are applying for a creative role, remember a portfolio is essential. For all applications we suggest you read the job description carefully and let us know why you believe you’re the right person to take on this job.",4.5,"Mediatonic
4.5","London, England",-1,201 to 500 Employees,2005,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1
9,Computer programmer,London,Data Engineering & Analytics Graduate Programme,-1,"Would you love to explore a career in Data Science, Engineering or Analytics? If you are either a recent graduate or have at least 1 years’ commercial experience in an analytical role we would love to hear from you.
Kubrick Group is a specialist data consultancy with a twist. We hire a diverse range of junior professionals and graduates from across the country, we pay you while we train you in the latest data and business skills and then place you into industry-leading companies in a variety of different sectors. Through our training we will develop you into a highly skilled data consultant who can go onto becoming a leading expert in your field.
We work across all sectors and our projects have included helping retailers predict fashion trends, car manufacturers project sales of new models and even hospitals understand the real reason for the growth in patient numbers in their A&E departments.
If these sorts of challenges excite you Kubrick would like to hear from you. We are looking for our next intake of data specialists to join our journey. Embark on your exciting and challenging 15-week training period in our data labs in London and then get to work for one of our most exciting clients in the UK.
What you’ll do:
Immediately be paid to be trained by us, from the day you join. We fully prepare our people in our London data labs before they go on client site.
Be taught all the latest technology skills relevant to data challenges such as Hadoop, Python, Spark, SQL, Tableau, Machine Learning and NoSQL databases
Receive soft skills training including office basics, communication skills, networking, career management, interview practice, transitioning to client site, etc. in addition to Q&As with our HQ Team, consultants on client site, Kubrick Alumni and Clients.
Learn from the best in the sector, our courses are designed by industry figure heads
Work as a consultant for Kubrick following your training and integrate yourself into a company’s data team with the option to join them permanently after your two years on client site.
Here are some examples of the projects we have worked on:
We have built chatbots to enhance customer experience
Complex dashboards with AI, for banking clients so they have greater information at their fingertips
Implementation of blockchain within the travel industry making transactions quicker and more secure
Created a data analytics database for computational chemistry as part of a wider data infrastructure for augmented drug discovery
Sentiment Engines built for retailers to better understand demand
Used Machine Learning and predictive modelling to foresee and solve potential customer problems before they happen for a telecommunications client
Improving health treatments and food nutrition for pets using Natural Language Processing on vets’ notes
What we need from you:
Curious, analytical and great at solving problems – we don’t need any previous coding skills, just excitement to learn!
Desire to work with data and how it can help an organisation make better decisions
Flexible and adaptable communicator who can work collaboratively
Committed to producing high quality solutions
Dedicated to continuous personal and professional development
Educated to degree level with at least A level mathematics or statistics and minimum of 120 new (300 old) UCAS points
Geographic flexibility able to attend training in London and then be placed either in London or around the UK. Send us your CV and a cover letter letting us know about what makes you tick.
Salary: £32,000 after commencing client project work, with a rise after one year of project work to £40,000",3.9,"Kubrick Group
3.9","London, England",-1,201 to 500 Employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
