,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Computer programmer,San Francisco,Entry Level Computer Programmer,-1,"As the fastest growing employer of emerging tech talent across the U.S, Revature looks to hire over 300 innovative Entry Level Computer Programmers in the next 4 weeks.

One day someone is going to ask you where you got your start…This is IT!

With a wide range of Fortune 500 enterprises, government organizations and top systems integrators as our clients, we not only provide you with the skills needed to succeed through an employer-paid training program but will also give you the opportunity to put those skills to use, on projects that matter.

What We Are Looking For

College degree (Associates or Bachelors)
Must be authorized to work in the US
Strong desire to learn to code – No prior professional experience required.
A natural problem solver
Strong communication and interpersonal skills
Willing to relocate anywhere in the US – Relocation assistance provided

What We Offer

Competitive salary
Relocation & housing assistance
Health, vision & dental insurance
Paid time off
Industry Certifications
Life Insurance Policy
401k
Mentoring program and ongoing support throughout your entire Revature career
Experience with the largest and most reputable companies in the US

Apply Today. Interviews are going on now.
#SoftwareEngineering

Equal Employment Opportunity

The Company is an equal opportunity employer. We will extend equal opportunity to all individuals without regard to race, religion, color, sex, pregnancy, childbirth or related medical conditions, sexual orientation, gender identity, national origin, disability, age, genetic information, marital status, veteran status, or any other status protected under applicable federal, state, or local laws. This policy applies to all terms and conditions of employment, including but not limited to, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, benefits, compensation and training. If you require an accommodation to work based on any of these protected factors, please notify the Human Resources Department, and the Company will evaluate the request and provide an accommodation in accordance with applicable law.

We seek to comply with all applicable federal, state and local laws related to discrimination and will not tolerate the interference with the ability of any of the Company’s employees to perform their job duties. Our policy reflects and affirms the Company’s commitment to the principles of fair employment and the elimination of all discriminatory practices.",3.8,"Revature
3.8","San Francisco, CA",-1,1001 to 5000 Employees,2003,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
1,Computer programmer,San Francisco,CNC Metal Programmer,-1,"Why work here?*
_“Come work for a growing global company which offers competitive compensation, great benefits package and opportunity for growth”_
About Us*
You will enjoy working for a fast-paced, globally recognized custom manufacturer that has aggressive growth goals. We have recently acquired an additional 130,000 sq ft facility in Hayward, CA. Our core competencies are in low to medium volume plastic component manufacturing and module assembly. We serve equipment manufacturers in semiconductor, electronics, medical, biomedical, solar, green energy, oil & gas, testing instruments and other industrial equipment.

CHawk Technology’s manufacturing processes include plastic thermoforming (vacuum, pressure and drape forming), plastic fabrication, hot gas welding, fusion and diffusion bonding, contamination free and high precision CNC machining (3-5 Axis) and module

assembly.
General Information*
Under general supervision, the Metal CNC Programmer reports to and assist production personnel to resolve all print issues concerning legibility, missing dimensions or any vital information that will prevent us to produce the product. The programmer also verifies the process flow of the part through the traveler and prepares/creates CAD geometry and operational programs for the fabrication of precision parts. Develops and maintain concepts of quality, efficiency and priority.
Responsibilities - Includes but not limited to the following: *
CNC Metal Programming.
Review and validating that the blue prints are legitimate and contains all required information to successfully manufacture the part.
Process planning for manufacturing parts from start to finish, utilizing all production departments.
Quoting manufacturing times for Sales.
Create prints from CAD models for Sales and manufacturing use.
Review and approving job traveler sequence of operations.
Provide accurate information and clear instructions on setup sheets for machining
Indicate changes/additional information on job procedures, run time, and submit to the Sales Personnel for adjustments Technical assistance to Sales Personnel. (quoting, procedure, feasibility)
Submit purchase request for special tools.
Following in-house training, expected to logon and input required vital information into network system (Epicor)
Update job sheet information. (Procedure, blank size, machine allocation.)
End of project review. (finalize program and run time documentation)
Generate accurate part geometry and prints
Knowledge and Skill Requirements: *
Fully understand the program software and CNC machines (metal work)
Ability to read and follow blueprints and general understanding of tolerance and GD&T
Education/Experience Requirements: *
Bachelors degree and 5+ years of relevant work experience, or work experience in lieu of a degree
3yrs of CNC metal mill setup and machining experience
5yrs of CNC programming using CAM Surfcam or equivalent education. MasterCam is a plus.
2yrs of CAD modeling using SolidWorks or equivalent education. Other CAD proficiency is a plus.
Work Environment & Physical Demands: *
Regularly required to use hands and fingers to handle, feel and operate computer, phone and other tools as needed
Ability to do repetitive work, requiring strong dexterity and hand/eye coordination
Ability to lift and/or move up to 25 lbs.
Normal to corrected vision required
Compensation / Benefits*
Hourly (DOE)
100% covered by Employer for Employee coverage: Medical, Dental, Vision, Basic Life insurance
401k Retirement Plan with Employer matching
Paid Time Off – Vacation, Float Personal Day, Sick Time
Employment Type*
Full-Time
Hourly
Non-Exempt
To Apply*
Please submit your resume online via Indeed *OR *through our website at www.chawktechnology.com > Company > Careers
Job Type: Full-time

Experience:
Machining: 5 years (Preferred)
Education:
Bachelor's (Preferred)
Location:
Hayward, CA (Required)
Work authorization:
United States (Preferred)
Shifts:
Morning (Required)
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Schedule:
Monday to Friday
Work Remotely:
No",2.7,"CHawk Technology
2.7","Hayward, CA",-1,51 to 200 Employees,-1,Company - Private,Industrial Manufacturing,Manufacturing,$10 to $25 million (USD),-1
2,Computer programmer,San Francisco,Fire Alarm Installer / Programmer,-1,"_*A note from the CEO: Pacific Signaling is looking by the end of 2019 to hire 2 full time technicians who can perform complete install and programming of Fire Alarm and Security Systems. We are a growing company who needs top level technicians to work alongside other top level installers and technicians as we install dynamic life safety and alarm solutions. If you are looking for a challenging place to grow and be supported, we would love to meet you and talk about your future and growth in new solutions.*_

_*-Aaron Eddy*_

*FIRE ALARM INSTALLER / PROGRAMMER*

*Job Purpose*

Technical Labor: Installations, Terminations, Programming and Testing of Fire Alarm and Security Systems

*Description of Duties and Tasks*

_Essential duties and responsibilities include the following. Other duties may be assigned._

*_Required_*

* Installs, modifies, maintains, programs and repairs fire alarm panels.
* Test all systems and equipment, after repairs are made, to ensure performance of system.
* Installs pull stations, smoke detectors, and duct detectors.
* Performing maintenance service calls at customer sites on security, fire, PA and various other systems.
* Install, diagnose and repair/replace wiring, devices and both analog and digital control panels for fire alarm systems
* Maintain and repair smoke and heat detectors, magnetic door holders, and fire alarm system components, including circuit cards, power supplies, software, copper and fiber optic systems platforms.
* Serve as a technical advisor on systems programming and configuration, as well as coordinate code requirements with local fire marshals.

*Knowledge*

_Must possess required knowledge and be able to explain and demonstrate, with or without reasonable accommodations, that the essential functions of the job can be performed._

*_Required_*

• All aspects of fire alarm hardware and software systems.

* NFPA codes and local codes.
* Possess knowledge of computer programming and technologies related to fire alarm, security and other low voltage systems.

*Skills*

_Must possess required skills and be able to explain and demonstrate, with or without reasonable accommodations, that the essential functions of the job can be performed._

*_Required_*

* Communicate systems performance to customer.
* Oversee and ensure proper completion of work performed by team members, and train technicians and other employees on proper procedures.
* Read and interpret blueprints, diagrams, submittals and product manuals to properly program and verify new systems.

• Maintaining confidentiality of work related information and materials.

• Effective organization and planning skills.

• Ability to communicate in a concise and effective manner.

• Ability to understand and follow instructions precisely.

• Ability to work independently.

• Safely drive a company vehicle.

*Physical Requirements*

*_Required_*

• Ability to hear horn and/or warning devices at a distance of 30 yards.

• Lifting up to 35 pounds.

* Perform tasks requiring bending, stooping, kneeling, standing and walking significant distances.
* Visual ability (uncorrected or corrected) to observe and detect signs of dangerous obstacles at a distance of 30 yards and to verify written information at a close range.

• Work from ladders and scaffolds at heights above 30 feet.

*Work Experience*

*_Required_*

* Four years related experience to include one year experience specifically working with fire alarm systems.
* California Fire Life Safety Technician Certification

*Education*

*_Required_*

• High School diploma or educational equivalent.

*Licenses/Certifications*

*_Required_*

* Minimum of NICET Level I – Fire alarm certification

• Valid CA Driver's License

*Other*

*_Preferred_*

* Installation, service, troubleshooting and programming numerous Fire Alarm Systems including: Silent Knight, Simplex , Notifier, EST, Fire Lite , and Mircom

*Safety*

*_Required_*

* Work safely and follow safety rules. Report unsafe working conditions and behavior. Take reasonable and prudent actions to prevent others from engaging in unsafe practices

Job Type: Full-time

Experience:
* Fire Safety: 3 years (Required)",1.0,"Pacific Signaling Systems
1.0","Pleasanton, CA",-1,1 to 50 Employees,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
3,Computer programmer,San Francisco,CNC Machinist/Programmer,-1,"CNC Machinist/Programmer

Company Profile
Must Machining & Fabrication is the leading manufacturing and fabrication company for the wine industry in Northern California

Job Summary & Responsibilities
Must is hiring a CNC Machinist/Programmer to help us continue to grow and increase efficiency of manufacturing our product lines. General responsibilities include:
• Quickly changeover machine setups to new projects
• Create/edit product technical drawings and setup/run sheets
• Read technical drawings and set up machines in accordance with these blueprints
• Use computer software to model cutting paths and program machines accordingly
• Perform QA tests to ensure products meet design specifications
• Write programs based on technical drawings
• Run CNC Lathe/mill
• Adjust machine cutting paths or settings to optimize production while maintaining quality
• Consider tools required to cut particular materials and program machines accordingly
• Troubleshoot and resolve problems with machines as they arise
• Perform basic machine maintenance such as cleaning and maintaining fluid levels
• Train new employees on how to properly operate CNC machines and programs

Position Information:
Salary Range Dependent on Experience ($35/hr - $55/hr)
Full Time with *Seasonal Overtime*
Shift Hours Monday -Friday. 8am-5pm
Benefits include: Vacation, Holiday, Health Benefits after 30 days and Eligible for 401K after 1 year.

Physical Demands
• Lift and Move equipment and materials that may weigh up to 100lbs
• Often squat, kneel, bend, stoop or stand
• Stand for prolonged periods of time
• Use overhead hoists
• Push carts that may weigh from 250-600 pounds

Work Environment
• Schedule is subject to change with only 12-24 hours notification.
• Ability to work in confined and dusty spaces and wear respirator or other required safety gear as needed.
• Ability to work in a shop environment where temperatures can vary seasonally from 40°F to 110°F.
• Ability to work around and be exposed to smells and dangerous and/or hazardous substances generally found in machine and fabrication shops.
• Ability to follow safe precautions and utilize appropriate safety devices, equipment and gear to safely perform duties with exposure to environmental requirements.
• Ability to work in areas where noise levels may exceed 90 dB.
• Ability to read, write and perform basic arithmetic calculations.
• Ability to communicate and work effectively with co-workers and supervisors.
• Ability to follow verbal and written instructions.
• Ability to record information accurately as is necessary to perform the job responsibilities.

QUALIFICATIONS
Required
• Previous experience working in a manufacturing setting
• Strong attention to detail
• Experience with CNC Lathes and CNC Mills
• Experience with CAD/CAM Software
• Experience writing in G-code
• Read and use micrometers and calipers
• Ability to estimate time, methods and materials needed from construction documents
• Ability to read and understand documents such as complex technical procedures, work instructions, blueprints, manuals, specifications, and diagrams
• Ability to keep a clean and orderly workstation

Preferred
• Experience on manual lathes
• Experience on Manual mills
• Experience on surface grinders
• Good interpersonal, oral and written communication skills
• Skill in operating shop equipment and tools common to the skilled trade and equipment such as drill press, saws and various hand/power tools.
• Knowledgeable on proper application of precision measuring and calibration equipment.

EEO Statement
Must Machining & Fabrication LLC is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, protected veteran status, or other protected categories covered by the Must Machining & Fabrication LLC nondiscrimination policy.
Principals only. Recruiters, please don't contact this job poster.
do NOT contact us with unsolicited services or offers
Job Type: Full-time

Pay: $35.00 - $55.00 per hour

Benefits:
401(k)
401(k) matching
Health insurance
Paid time off
Schedule:
8 hour shift
Day shift
Monday to Friday
Overtime
COVID-19 considerations:
We require face masks at all times and sanitize touched surfaces daily and as needed.

Experience:
CNC Lathe: 5 years (Preferred)
CNC Milling Machine: 5 years (Required)
cnc programming: 5 years (Required)
Location:
Saint Helena, CA 94574 (Required)
Work Remotely:
No",-1,Must Machining & Fabrication,"Saint Helena, CA",-1,-1,-1,-1,-1,-1,-1,-1
4,Computer programmer,San Francisco,Infotainment Platform Senior Software Engineer,-1,"CIeNET is a leading global technical consulting, software engineering, and technical solutions provider.

Our team is working on design, development and maintenance of next-generation best-in-class automotive infotainment systems based on Android for a leading automobile manufacturer and looking for experienced engineers with extensive software development background in developing RTOS or Android based software solutions.

Candidate will play a key role in our global software team that works on architecture, design, development, integration, and testing of software modules in various embedded and real-time systems including mobile devices, IoT devices, automotive components and other systems.
Day to day responsibilities include:
Design, develop and integrate Linux and Android components into an RTOS based infotainment software.
Contribute to technical discussion and defect analysis with various technical teams.
Perform complex design analysis across multiple components
Provide work estimate project milestone planning
Be responsible for the complete SDLC , including requirements analysis, design, development, code review, integration, and maintenance of the infotainment software.
Follow agile SDLC process where quality comes first and ensure that the designed solutions conform to architectural requirements such as scalability, maintainability, reliability, extensibility, usability and security.
Work on multiple release branches in parallel with competing priorities and across multiple geographical teams
Work on new feature development, existing feature maintenance and bug fixes
Collaborate with team members in software development activities using the Scrum/Agile development process.
Requirements*
Minimum 5 years of relevant software development in the industry
Bachelor's degree in Computer Science, Software Engineering, Computer Engineering, Electrical Engineering or related field required
Strong background in Android native and Java framework is desirable
Experience bring up new hardware and development boards
System performance profiling, analysis and optimization experience in Linux, Android or RTOS a plus
Strong programming experience in C, C++ and scripting languages like Shell, Python
Experience working in Agile software development process
Experience with various software configuration, build, test and debug tools
Test driven development experience and experience with unit test frameworks
Excellent communication skills needed - including verbal communication, technical writing, organizational , and interpersonal
Experience working with global teams and communication skills to work in a geographically and culturally diverse team is desired
Prior experience with vehicle infotainment, telematics or navigation systems a plus
CIeNET is an equal opportunity employer. We would like to thank all candidates for expressing interest. However only those selected for interviews will be contacted. Reference and/or background check may be conducted with candidates permission.
Benefits*
Full-time salaried position
Excellent Health Benefits
PTO and Sick Leave
401K Matching
Must be able to pass a background check
Job Type: Full-time",-1,CIeNET International,"Santa Clara, CA",-1,-1,-1,-1,-1,-1,-1,-1
5,Computer programmer,San Francisco,Field Service Software Engineer,-1,"Leading the future of luxury mobility

Lucid’s mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience. Working at Lucid Motors means having a shared vision to power the future in revolutionary ways. Be part of a once-in-a-lifetime opportunity to transform the automotive industry.

We are currently seeking a Field Service Engineer, Software. This position requires an experienced professional with a strong background in Automotive Software, including diagnostic systems and ECU communication . Our ideal candidate exhibits a can-do attitude and approaches his or her work with vigor and determination. Candidates will be expected to demonstrate excellence in their respective fields, to possess the ability to learn quickly and to strive for perfection within a fast-paced environment.
The Role
Collaborate with Service and Engineering to outline diagnostic and repair procedures
Aid in the development of applications and technical service processes
Work closely with Diagnostics to develop a comprehensive Service platform
Develop database strategies to ensure seamless support for Field Service
Embed with vehicle engineering teams, providing direct links to technology developed in manufacturing
Acquire a thorough knowledge of Lucid vehicle software systems and strategies
Qualifications
5+ years of Automotive experience in Software or Diagnostics
Strong knowledge of relevant standards: ISO 14229 (UDS), ISO 15765 (DoCAN), ISO 13400 (DoIP), ISO 22901-1 (ODX)
Diagnostic specification / authoring tool experience (CANdela Studio, ODX Studio or similar)
Hands-on experience in using test equipment and validation tools such as CANoe, CANalyzer
Supplier management experience and a strong background in working with cross functional groups
Experience in automotive applications and applicable interfaces such as CAN, LIN, Automotive Ethernet
Strong skills in database management
Experience in diagnostic sequences such as ECU reprogramming and how the tester exchanges data with client ECUs
Bachelor of Science, in the areas of Electrical, Mechanical, Manufacturing, Automotive, Computer Science, or other related fields.
Field experience with OEM automotive diagnostic tools and software
Technical writing experience
Hands-on experience working on vehicles
Degree in either Mechanical Engineering, Electrical Engineering, Automotive Technology, or equivalent experience
LMMP

Be part of something amazing

Come work alongside some of the most accomplished minds in the industry. Beyond providing competitive salaries, we’re providing a community for innovators who want to make an immediate and significant impact. If you are driven to create a better, more sustainable future, then this is the right place for you.

At Lucid, we don’t just welcome diversity - we celebrate it! Lucid Motors is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, national or ethnic origin, age, religion, disability, sexual orientation, gender, gender identity and expression, marital status, and any other characteristic protected under applicable State or Federal laws and regulations.

To all recruitment agencies: Lucid Motors does not accept agency resumes. Please do not forward resumes to our careers alias or other Lucid Motors employees. Lucid Motors is not responsible for any fees related to unsolicited resumes.",3.8,"Lucid Motors
3.8","Newark, CA",-1,1001 to 5000 Employees,2007,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
6,Computer programmer,San Francisco,Software Engineer,-1,"Overview

Under general supervision, the Software Engineer is responsible for applying their skills and expertise leading to software solutions that improve the accuracy, efficiency, thoroughness and speed at which staff can perform their duties.

Responsibilities

Include, but are not limited to the following:
Assist with the planning and engineering of software solutions.
Develop, test, deploy and maintain customized software solutions.
Create database solutions, deploy and test to ensure optimal functionality.
Create standard operating procedures to ensure databases are being consistently maintained.
Create flowcharts and other documentations to identify requirements for software and to propose possible solutions.
Apply computer science, engineering, and mathematical analysis to the software development process.
Coordinates with internal departments and other staff to forecast whether the design will be feasible under cost and time constraints.
Communicate with customers and clients to establish maintenance procedures for software systems.
Ability to solve complex mathematical equations by applying geometry, trigonometry and calculus in the software domain.
Research, develop, and present new ideas to internal customers that effectively improve the core business and engineering processes.
Make recommendations to improve and promote quality and efficiency.
Performs other related duties as assigned.

Qualifications

Include, but are not limited to the following:

EDUCATION/ EXPERIENCE

Bachelor's Degree (B.S) in Computer Science, Software Engineering, or Mathematics required.
At least five plus (5+) Years of full-time dedicated professional software development / programming experience.
Has designed, built, deployed and managed MySQL and/or SQL Server database solution(s) in a multi-user, multi-site, enterprise environment.
Authored and deployed services for Windows servers and .Net client-server solutions for desktop.
Competent in Software language skills: Microsoft .Net, SQL, C++.
10 + Years of full-time dedicated professional software development / programming experience preferred.
Proficiency with AutoCAD, Revit or equivalent design software preferred
Excel experience developing smart spreadsheets and calculators preferred

SKILLS/ABILITIES

Strong communication skills in the English-language written and verbal.
Exhibits professional nonverbal communication skills.
Ability to present numerical data effectively both verbal and written.
Ability to work effectively in a team environment.
Proficiency in MS Office applications (Word, Excel, etc.).
Strong problem solving and analytical skills.
Maintain professional behavior and appearance.
Exhibit dependability and accountability.
Demonstrated ability to multi-task on multiple projects.

PHYSICAL REQUIREMENTS:

Regularly sit, stand, and walk for long and short distances.
Required to hear with or without correction to be able to interpret and receive information and directions.
Regularly required to communicate: verbal and written, in order to describe and explain detailed, important, and accurate instructions.
Occasionally lift and/or move material up to 25lbs.
Occasionally stoop, kneel, or crouch.
Noise level is usually moderate.

PI125406503",-1,Construction Innovations Corporate (Sacramento),"Rancho Cordova, CA",-1,-1,-1,-1,-1,-1,-1,-1
7,Computer programmer,San Francisco,Clinical Data Programmer/Analyst,-1,"Clinical Data Programmer/Analyst supports clinical trial data management and programming tasks associated with creating, verifying, and documenting analyses and reporting while adhering to study protocols, analysis plans and industry standards.
GENERAL DUTIES AND ESSENTIAL JOB FUNCTIONS: *
Plan and manage programming activities across multiple trials to deliver all data analysis outputs to agreed timelines and quality, (e.g., analysis datasets, tables, figures and listings for regulatory submissions and publications).
Assist in deploying process changes and user adoption of EDC platform, reporting platforms, CTMS, LIMS, eTMS and other Clinical applications across the enterprise.
Proficiency in developing reports requested by stakeholders using ANSI SQL and other scripting languages
Support data migration activities including data cleaning and adjudication processes.
Implement data standards within a function, or therapeutic area in accordance with industry standards
Experience creating status reports, including building KPIs, dashboards and data visualization capabilities for use in study teams is desirable
Responsible for programming and QC across a trial/asset including submission activities adhering to relevant SOPs / policies.
Participate in the design of other trialdelivery components (e.g. case report forms, trial databases).
Review and input into key study documents (e.g. SAP, CRFs, Data Management Plans etc).
Develop broader technical knowledge and expertise (e.g. UNIX scripting, computing environments).
Provide technical advice, mentoring and training as relevant.
Identify recurring problems and work with colleagues to initiate process improvement
Possesses the analytical ability to define problems and interpret the information
Oversee outsourced tasks to third party vendors to meet the agreed timelines, quality and budget requirements established for the project or study.
Understanding of US regulations and guidelines applicable to clinical trials, inspection readiness and system validation
Skills/Competencies

Required Qualifications:
Bachelor’s Degree in engineering, Biotechnology, Computer Applications or related disciplines
Proficient in writing fine-tuned SQL queries, stored procedures (eg. PL/SQL code) and working with data in relational databases like Postgres, SQL Server, MySQL, Oracle etc.
More than 2 years’ experience in SQL and/or programming for clinical trial databases
Database design/administration experience (Design, implementation, modification) for clinical trial databases
Ability to recognize and resolve system related problems; work independently and make necessary decisions throughout the systems process within department guidelines.
Effective written and verbal communication skills.
Preferred qualifications:
Knowledge of non-SAS programming packages/languages (e.g. Tableau, Spotfire, S-Plus, R)
Familiarity with Object Data Model (ODM) and xpath form development
Working knowledge of CDISC data standards, primarily the creation and use of ADaM datasets
Experience of interacting with clinical study team members
Ability to manage conflicting demands and priorities
Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Flexible Schedule
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Retirement Plan
Vision Insurance
Schedule:
Monday to Friday
Experience:
relevant: 2 years (Required)
Application Question:
Demonstrated knowledge of FDA and GCP guidelines and regulations covering clinical trials, statistics, and data management
Work Location:
One location
Company's website:
https://www.quantumleaphealth.org/
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible",-1,Quantum Leap Healthcare,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
8,Computer programmer,San Francisco,Infotainment Platform Software Engineer,-1,"CIeNET is a leading global technical consulting, software engineering, and technical solutions provider.

Candidate will play a key role in our global software team that works on architecture, design, development, integration, and testing of software modules in various embedded and real-time systems including mobile devices, IoT devices, automotive components and other systems.
Our team is working on design, development and maintenance of next-generation best-in-class automotive infotainment systems based on Android for a leading automobile manufacturer and looking for experienced engineers with extensive software development background in developing RTOS or Android based software solutions.
Day to day responsibilities include:
Design, develop and integrate Linux and Android components into an RTOS based infotainment software.
Contribute to the entire life cycle of assigned product domain, including requirements, system design, development, deployment, and maintenance of the infotainment software.
Follow Agile based SDLS process to ensure quality and that the designed solutions conform to required scalability, maintainability, reliability, extensibility, usability and security.
Work on new feature development, existing feature maintenance and bug fixes
Collaborate with team members in software development activities using the Scrum/Agile development process.
Communicate with various internal and external teams to define/refine system requirements, and design.
Requirements*
Minimum 3 years of relevant software development in the industry
Bachelor's degree in Computer Science, Computer Engineering, Electrical Engineering or related field required
Strong background in Android native and Java framework is desirable
Experience bring up new hardware and development boards
System performance profiling, analysis and optimization experience in Linux, Android or RTOS a plus
Strong programming experience in C, C++ and scripting languages like Shell, Python
Experience working in Agile software development process
Experience with various software configuration, build, test and debug tools
Test driven development experience is a plus
Excellent communication skills needed - including verbal communication, technical writing, organizational , and interpersonal
Experience working with global teams and communication skills to work in a geographically and culturally diverse team is desired
Prior experience with vehicle infotainment, telematics or navigation systems a plus
CIeNET is an equal opportunity employer. We would like to thank all candidates for expressing interest. However only those selected for interviews will be contacted. Reference and/or background check may be conducted with candidates permission.
Benefits*
Full-time salaried position
Excellent Health Benefits
PTO and Sick Leave
401K Matching
Must be able to pass a background check
Job Type: Full-time",-1,CIeNET International,"Santa Clara, CA",-1,-1,-1,-1,-1,-1,-1,-1
9,Computer programmer,San Francisco,Embedded Software Engineer,-1,"Responsibilities:
Transfer a PC software framework to an AI chip platform
Handle various memory and computing resource issues
Communicate with chip IP design engineers and ASIC architecture engineers to fix the problems.
Qualification:
BS degree in ECE or equivalent experience
Familiar with the hardware, clock-level issues, delays, interrupt, etc.
Experience in firmware development, embedded system debugging, and C/C++ software programming
Experience in Computer vision and Deep learning is big plus
Experience in Robotics/Autonomous Driving field is big plus
Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Employee discount
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Referral program
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Work Remotely:
Yes, temporarily due to COVID-19",-1,Black Sesame Technologies Inc,"Santa Clara, CA",-1,-1,-1,-1,-1,-1,-1,-1
