,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Computer scientist,San Francisco,Research Scientist (Computational Biology),-1,"IDL-US works on the state-of-the-art deep generative models for natural language / speech / music. In particular, we are interested in the novel architecture & methodology for modeling very long sequence. The applications include language modeling with long context, music generation etc.

Job Duties:

Conduct cutting-edge research by applying advanced AI technologies in the computational biology and biomedical field. Strengthen the position of Baidu as a leading company in AI research. Conduct research on protein structure prediction, protein design, and AI-powered drug discovery. Compete with top computational research teams and publish peer reviewed articles in top journals and publications.

Qualifications:
PhD degree in computer science, computational biology, bioinformatics or related fields.
Must have experience in each of the following:
Strong skills in algorithms and coding;
At least two (2) years of experience in deep learning;
Published papers in top conferences or journals;
Research experience in computational biology.
Development experience in C++.
Culture Fit:
Mission alignment: If you want to be part of a team to accomplish this great mission, we will provide you the best possible platform to do that.
Self­-directed: We work best with people that are driven, motivated, and aspire to greatness. Are you the sort of person that, if you had time on your hands, will independently find interesting and useful things to do?
Hungry to learn: We are eager to see you learn new skills and grow. But learning is hard work and this is something we hope you want to do.
Team orientation: We work in small, fast­-moving teams. We don't believe in lone wolves. We watch out for each other and go after big goals together as a team.",4.2,"Baidu USA
4.2","Sunnyvale, CA",-1,51 to 200 Employees,2000,Company - Public,Internet,Information Technology,$50 to $100 million (USD),-1
1,Computer scientist,San Francisco,Senior Data Scientist - Computational Biology,-1,"At 10x Genomics, accelerating our understanding of biology is more than a mission for us. It's a commitment. This is the century of biology, and the breakthroughs we make now have the potential to change the world.

We enable scientists to advance their research, allowing them to address scientific questions they didn't even know they could ask. Our tools have enabled fundamental discoveries described in over 1000 peer-reviewed publications across multiple application areas, including cancer, immunology, and neuroscience.

Our teams are empowered and encouraged to follow their passions, pursue new ideas, and perform at their best in an inclusive and dynamic environment. The innovations and discoveries that we enable together will lead to better technologies, better treatments, and a better future. Find out how you can make a 10x difference.


About the role:

We are looking for an outstanding individual to join our Computational Biology group. You will work closely with talented biochemists, microfluidics engineers, chemists and software engineers to develop methods for single-cell and spatial genomic assays. Our products have allowed researchers to study biology at unprecedented resolution yielding insights in diverse fields such as cancer biology, immunology, neuroscience, developmental and basic biology.

You will work as a methods developer and analyst creating tools and quantitative analyses that provide insights for both your colleagues and the thousands of customers who use our products. Your strong background in data engineering, analysis and modeling enables you to extract, clean and combine datasets. You will evaluate 10x single cell and spatial genomics data to ensure our customers have clear information. The techniques and methods you develop will help customers answer important biological questions and advance biomedical science. After collecting input from both the published literature and your colleagues, you will determine whether an existing approach is likely sufficient or requires modification.

You will clearly communicate your ideas, work effectively with an interdisciplinary team and incorporate feedback into your analysis. You will think strategically, be highly motivated, and willing to change direction and methods. You will thrive in a fast paced environment, excel at managing multiple priorities, and get the job done.

What you will be doing:
Implementing analysis methods in software that will be used by people all over the world.
Exploring RNA-Seq datasets to convert questions into answers and allow others to do the same.

To be successful in this role, You will need:
A PhD in a quantitative field (e.g. statistics, computational/systems biology, physics, mathematics, computer science, electrical engineering, or related field).
Ability to conceive, implement and iterate on statistical methods in an applied setting.
Ability to use Python and R in method development and data analysis.
Desire to work in a fast-paced and quickly changing environment.
Ability to communicate complex ideas with an interdisciplinary team.
Strong interest in applying analytical tools to solve important and interesting biological problems.

Additional desirable skills to have:
Familiarity with software engineering practices and experience developing production software.
Familiarity with UNIX and cluster computing.
All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability.",4.4,"10x Genomics
4.4","Pleasanton, CA",-1,501 to 1000 Employees,2012,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
2,Computer scientist,San Francisco,Clinical Lab Scientist,-1,"Clinical Laboratory Scientist, Worksite Labs*. www.worksitelabs.com
We're seeking flexible and talented Clinical Lab Scientists to staff dedicated and responsive laboratories for COVID-19 testing, on-site with/for the clients. We are staffing and expanding several laboratories throughout California, Nevada, Arizona, Washington, and Oregon.

This listing is specifically for our San Francisco location. Day and Night Shifts available.

The *Clinical Laboratory Scientist II* is a staff level position reporting directly to the Director, Laboratory Operations and the Medical Director assigned to perform, interpret, and report accurate and timely laboratory testing in the sections of the laboratory assigned according to standard operating procedures and policies and in accordance with state and federal laboratory law. The CLS will be responsible for performing pre-analytic, analytic, and post-analytic laboratory testing according to established policies and procedures in the Molecular Laboratory.
Licensure/Certification: * State of California Clinical Laboratory Scientist License.
Knowledge, Skills, and Abilities*:

· Basic knowledge and experience with the molecular platforms. (Bio-Rad, Biosystems, BioFire, etc.)

· Experience with DNA extraction methods (manual and automated) and Qualitative PCR.

· Experience with initial validation studies desirable.

· Knowledge and experience using Microsoft Office Applications

· Basic medical terminology, typing, math and computer skills.

· Must demonstrate and maintain current knowledge and skill in providing appropriate care for Geriatric, Adult, Young Adult, and Pediatric patients.

· Must be able to work independently, while also serving in a supervisory capacity for junior staffers and field personnel collecting patient samples.
Essential Job Duties*
· Performs molecular and non-molecular laboratory tests according to written laboratory procedure, evaluate test results for accuracy and clinical significance. Reports test results. Tests include various molecular assays/panels for pathogen detection.

· Actively participates in the planning and execution of analytical and clinical validations for new molecular/clinical tests.

· Monitors test analyses and specimen examinations to ensure acceptable levels of analytic performance is maintained.

· Ensure that patient test results are not reported until all corrective actions have been taken and test systems are properly functioning.

· Adheres to all regulatory standards (CAP and CLIA)

· Adheres to the laboratory’s quality control policies, documents all quality control activities, instrument, and procedural calibrations and maintenance performed.

· Documents all corrective actions are taken when test systems deviate from the laboratory’s established performance specifications.

· Regularly communicates with management and support personnel in monitoring and resolving problems.

· Performs necessary clerical and LIS related work accurately.
Qualifications: *
· Bachelor’s degree in the life Sciences

· CLS California License (Required)
Hours of Work: * Days and Swing shifts available; on-demand/per diem shifts come available through the Florence Marketplace App.
Job Types: Full-time, Part-time, Temporary, Contract

Pay: $55.00 per hour

Benefits:
Employee assistance program
Flexible schedule
Professional development assistance
Medical Specialty:
Pathology
Schedule:
10 hour shift
12 hour shift
8 hour shift
Day shift
Holidays
Monday to Friday
Night shift
Weekends
Education:
Bachelor's (Preferred)
Experience:
Phlebotomy: 1 year (Preferred)
Laboratory Experience: 1 year (Preferred)
Contract Renewal:
Likely
Full Time Opportunity:
Yes
Work Location:
One location
Hours per week:
Less than 10
10-19
20-29
30-39
Employment Length:
One week or less
2 - 4 weeks
1 - 3 months
4 - 6 months
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
Detail-oriented -- would rather focus on the details of work than the bigger picture
Autonomous/Independent -- enjoys working with little direction
Company's website:
www.trustflorence.com
Work Remotely:
No",-1,Florence Technologies,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
3,Computer scientist,San Francisco,"Principal Scientist, Computational Chemistry",-1,"Frontier Medicines, *located in South San Francisco, CA, is a pre-clinical stage biopharmaceutical company that is pioneering breakthrough technologies to drug the “undruggable” proteome. Frontier Medicines’ proprietary platform uses chemoproteomics – an innovative approach to chemically interrogate proteins in living systems – to discover and pharmacologically target new binding pockets (or hotspots) on proteins for the purpose of making them accessible to therapeutic intervention. FierceBiotech named Frontier Medicines as one of 2019’s Fierce 15 biotechnology companies, which recognizes the most promising private biotechnology companies in the industry.
Frontier Medicines is seeking a highly motivated individual to fill the position of Principal Scientist, Computational Chemistry. The successful candidate will play a leading role in developing medicinal chemistry optimization strategies for our most important drug discovery campaigns. He/she will be reviewing experimental results and develop SAR hypotheses for activity, selectivity and properties, and make suggestions to improve the profiles of our leading small molecule drug candidates. As a covalent drug discovery focused company, there is the opportunity for method development for this evolving field besides using the full arsenal of existing ligand- and structure based methods and insights from unbiased machine learning type algorithms. In addition, the candidate will have the opportunity to provide project leadership by driving strategies and experimental designs outside the area of core expertise, manage external resources in structural biology, CADD and informatics, and mentor junior scientists.

This role is key to Frontier Medicines’ success and an opportunity to join and work in a highly collaborative and energetic team in a startup environment with short communication lines across functions and departments, and rountine interactions with senior leaders. The position will report to the Head of Computational Chemistry and is located in South San Francisco.
Key responsibilities: *
Design, execute, and analyze computational chemistry experiments utilizing ligand-based and structure-based drug design strategies, and ADMET predictions.
Play a leading role in design efforts with expert knowledge of project SAR, off-target selectivivty and, physiochemical and ADMET properties.
Contribute to project teams across all stages of a program, including: target selection, target validation, lead generation and lead optimization to enable delivery of novel drug candidates into clinical development.
Be curious, innovation driven, and willing to test out hypotheses and embark on novel method development.
Identify gaps in current in current methodologies, be able to implement new technologies in the field of computer aided drug design (CADD), and lead the internalization of promising approaches.
Effectively communicate with colleagues and stakeholders; create and present research updates and provide strategic input to team/company meetings.
Qualifications: *
Ph.D. in a computational chemistry or related discipline with at least 10 years of relevant experience in a biotech or pharma setting.
Expert level experience with a wide range of leading computional tools and approaches including ligand and structure-based techniques, ab initio methods, MD, FEP, QSAR and QSPR predictions/model development with application across all stages of a project from hit ID through to candidate nomination.
Expert knowledge with scripting languages (e.g. Python) is required.
The candidate should be driven, independent, experienced working in a cross-disciplinary team and thrive in a dynamic start-up environment.
Demonstrated track record of accomplishments, publications and conference presentations in computational chemistry and drug discovery.
Excellent writing and verbal skills are required.
Legally authorized to work in the US.
Job Type: Full-time

Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Referral program
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Education:
Doctorate (Required)
Work authorization:
United States (Required)
Work Location:
One location
Company's website:
https://frontiermeds.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",-1,Frontier Medicines,"South San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
4,Computer scientist,San Francisco,Quality Control Scientist,-1,"Position Summary:

The Quality Control Scientist will provide oversight of contract analytical labs and manufacturers. This includes, review of analytical data from release and stability studies and review of method validation protocols and reports. The candidate should have a strong understanding of cGMPs and relevant ICH and FDA regulatory guidelines. Prior hand-on experience working in a QC lab and thorough understanding of root cause analysis for investigations is required. This position will interact and work closely with cross-functional teams, including, manufacturing, quality assurance and regulatory.

Responsibilities:
Review analytical data packages generated during GMP release/stability testing of drug substance and drug product at the contract manufacturing sites
Assist in investigations and formulate a plan to identify/confirm root cause for anomalous results
Write and/or review method validation and transfer protocols and reports
Write and/or review protocols and reports related to stability studies as well as prepare tables summarizing results from stability studies
Track and trend release and stability data for batch analysis and shelf life establishment
Initiate change control for internal specifications and regulatory documents
Evaluate and perform risk assessment for change control documents provided by the contract manufacturing sites
Manage reference standard program for drug substance, impurities and degradants
Qualifications:
B.S. or M.S in analytical chemistry or related scientific disciplines with 5+ years of experience in analytical development with minimum of 3+ years of experience in quality control
Skills, Knowledge & Abilities:
Hands-on proficiency and problem-solving skills with chromatographic techniques e.g. HPLC, UPLC and GC. Familiarity with mass and UV/VIS spectroscopic techniques is an advantage
Prior experience in interacting with contract labs and manufacturing sites is a plus
Hands-on experience with method validations and transfers in support of pharmaceutical manufacturing
Proficiency in performing root cause analysis for investigation
Experience with iStability software is a plus
Passion for learning, creating, relating, communicating, and leading cross functional teams
Excellent verbal and written communication skills
Experience in a start-up environment preferred
Must be pro-active team player, flexible, and open to change
Working Conditions: Will work from the Company's San Francisco Bay Area office, with additional travel as required to oversee the virtual development and manufacturing network (estimated at 25%).

Physical Demands and Work Environment:

This is largely a sedentary role; however, some filing is required. This would require the ability to lift files, open filing cabinets and bend or stand on a stool as necessary.

This job operates in a professional office environment and routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines.

Benefits and Perks:

Apellis offers a great benefit package which includes: health insurance with full premium coverage, 401K with company match, paid time off (PTO), long- term disability insurance, life insurance and more! Visit http://apellis.com/careerbenefits.html to learn more.

Company Background:

We are a clinical-stage biopharmaceutical company focused on the development of novel therapeutic compounds to treat disease through the inhibition of the complement system, which is an integral component of the immune system, at the level of C3, the central protein in the complement cascade. We believe that this approach can result in broad inhibition of the principal pathways of the complement system and has the potential to effectively control a broad array of complement-dependent autoimmune and inflammatory diseases.

Visit http://apellis.com/about.html to learn more.

EEO Statement:

Apellis is an equal opportunity employer and complies with all applicable federal, state and local fair employment practices laws. Apellis strictly prohibits and does not tolerate discrimination against employees, applicants or any other covered persons because of race, color, religion, creed, national origin or ancestry, ethnicity, sex (including pregnancy), gender (including gender nonconformity and status as a transgender or transsexual individual), age, physical or mental disability, citizenship, past, current or prospective service in the uniformed services, genetic information, marital status, AIDS/HIV status, smoker/nonsmoker, and occupational pneumocononiosis or any other characteristic protected under applicable federal, state or local law.

Other Duties:

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

#LI-BE1",3.5,"Apellis
3.5","San Francisco, CA",-1,201 to 500 Employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
5,Computer scientist,San Francisco,Scientist,-1,"ArsenalBio’s mission is to develop efficacious and safe cellular therapies for patients with chronic diseases, initially cancer. Our products are being designed to herald the transition of adoptive cell therapy from a hospital based treatment to outpatient therapy, like most other cancer treatments. Our people are our greatest asset, they bring scientific talents in molecular biology, immunology, pharmacology, protein chemistry, computational biology, automation, genome engineering, software and other fields to make the future happen now.

We are seeking an outstanding Scientist to lead research efforts in areas of immunology that are key to understanding cancer immunity, including T cell and NK cell biology, as well as components of the tumor microenvironment. Strongest consideration will be given to candidates with demonstrated expertise in molecular or synthetic immunology and whose research interests are relevant to the problem of T cell development, mechanisms of immunosuppression, and next generation adoptive cell therapies. The successful candidate is expected to effectively lead cross-functional teams
What You Will Do:
Lead and drive studies applying cellular immunology, gene editing, single-cell sequencing and mouse modeling to address T cell dysfunction
Discovery and evaluation of novel mechanisms of tumor resistance to innate and adaptive immunity
Design and execution of cell-based functional assays to select candidate molecules for clinical development
Design and execution of drug mechanism of action studies using in vivo models and ex vivo methods, such as cell sorting, multi-color flow cytometry, immunohistochemistry/immunofluorescence, primary immune cell assays and 3D/organoid/explant assays.
Drive scientific and technical innovation collaboratively with other members of the company
Identify new ways to make better CAR T cells and collaborate with other ArsenalBio teams to move novel product concept designs to the clinic.
Provide exceptional scientific leadership and mentor and cross-train other scientists and research associates

What You Will Bring:
PhD, MD, DVM, or MD/DVM-PhD with at least 3 years of relevant post-doctoral research experience in Immunology, Biochemistry or Molecular Biology.
A strong work ethic, a steadfast commitment to discovery research and a documented ability to initiate, drive and complete research projects, as evidenced by a strong publication record.
Ability to manage an independent research program and to lead a cross-functional research team
Outstanding written and oral communication skills and the ability to organize and communicate complex data sets in a clear and concise manner to key stakeholders from diverse backgrounds are essential
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status

To all recruitment agencies: ArsenalBio does not accept agency resumes. Please do not forward resumes to our jobs alias, or Arsenalbio employees. ArsenalBio is not responsible for any fees related to unsolicited resumes.",5.0,"Arsenal Biosciences
5.0","South San Francisco, CA",-1,51 to 200 Employees,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
6,Computer scientist,San Francisco,Software Engineer (Backend),-1,"Our Company
Afterpay has transformed the way people pay by allowing shoppers to receive products immediately and pay in four simple installments over a short period of time.The service is completely free for customers who pay on time - helping consumers spend money responsibly, without incurring interest, fees or revolving and extended debt. Afterpay is offered by more than 42,500 of the world’s best retailers and has more than 6.6 million active customers globally. The solution is currently available in Australia, New Zealand, the United States and the United Kingdom where it is called Clearpay. Afterpay is on a mission to be the world’s most loved way to pay.

In the U.S., more than 3.3 million customers use Afterpay and the service is offered by more than 9,000 of the top fashion and beauty retailers across the country including Anthropologie, Forever 21, DSW, GOAT, Finish Line, Levi’s, Mac Cosmetics, Ray-Bans and many others. Afterpay’s U.S. headquarters are located at the heart ofthe retail and business district in San Francisco, California


The Role
Afterpay has a unique opportunity for a Backend Software Engineer to join our team and make an immediate impact on our product by getting involved early on at our San Francisco office. The Backend Software Engineer will influence many aspects of our business through architecting our core systems. This is an exciting opportunity to make a direct, tangible impact on our product and work on projects that are pivotal to our team’s success and our company’s growth.



What You’ll Be Doing
Building our core systems that serve our customers, merchants, risk engines and core payment processing
Contributing to our large-scale applications written primarily in Java and Python
Collaborating with our cross-functional teams consisting of designers, product managers, and QA in an agile, fast-paced environment


What you've Accomplished
Experienced in building and maintaining applications that utilize a modern programming language, mainly Java and Python
Serious about testing and have experience with automated testing frameworks
Enthusiastic about solving business problems with technology and can take ownership of an end-to-end solution
Passionate about continuously learning new technologies, frameworks, and services
Possess an execution mindset and the ability to deliver with cross-functional teams that are globally distributed
BA/MS/PhD in computer science or a related field preferred


What We Offer
Competitive compensation
Medical, dental, vision insurance (100% covered!)
Mobile reimbursement and travel/commuter benefits
Mentorship and growth opportunities- A beautiful office space in downtown San Francisco


How to apply
If you’re excited by the opportunity to work in a fast growth organization, where there’s plenty of opportunities to pitch in on projects and learn new skills, please click apply now!


Afterpay is continuing to hire for all open roles with all interviewing and on-boarding done virtually due to COVID-19. All new team members, in addition to current staff, will temporarily work from home until it is safe to return to our offices.",3.8,"Afterpay
3.8","San Francisco, CA",-1,501 to 1000 Employees,2014,Company - Public,Internet,Information Technology,$5 to $10 million (USD),-1
7,Computer scientist,San Francisco,Clinical Lab Scientist l,-1,"JOB DESCRIPTION & *
COMPETENCY EVALUATION *
POSITION TITLE: *Clinical Laboratory Scientist *JOB CODE: *121
DEPARTMENT: *Clinical Laboratory (7060) *SALARY GRADE: *
REPORTS TO: *Department Manager, Clinical Laboratory *EXEMPT/NON: *Non-exempt
Position Summary: *
Under general supervision and medical direction, performs laboratory test procedures in a manner that provides accurate, timely, and meaningful results.

This position requires the full understanding and active participation in fulfilling the Mission of the Organization. It is expected that the employee will demonstrate behavior consistent with the Core Values. The employee shall support the
Organization’s strategic plan and the goals and direction of the Performance Improvement Plan (PIP).
General Accountabilities: *
_The following are essential job functions and accountabilities *_
_ *_*
Demonstrates an understanding of the District’s guest relations’ policies and programs by initiating and maintaining positive relations with patients, patient families, visitor, medical staff members and other employees of Oak Valley
Hospital District (OVHD), regardless of age, cultural or ethnic backgrounds.
Understands and adheres to hospital requirements for the assessment and provision of care which considers the personal, cultural, spiritual and/or ethnic beliefs of patients.
Assures that the rights of all patients are respected and maintained by allowing for privacy, confidentiality, and dignity in the provision of service.
Demonstrates the ability to follow the Standards of Behavior.
Maintains current professional licenses and/or certifications as and when required by state, regulatory agency, or hospital mandate.
Demonstrates knowledge of, and adheres to, all applicable professional regulatory practice acts, state/federal regulations and policies and procedures of OVHD, including JCAHO, Title XXII and requirements of other regulatory agencies, as applicable.
Identifies patients at risk for abuse and/or neglect, as well as associated signs and symptoms. Adheres to mandatory reporting requirements for healthcare professionals per Administrative Policy & Procedure.
Practices Universal Precautions while providing care and performing other hospital services.
Demonstrates the knowledge and skills to safely and appropriately fulfill job specific responsibilities related to safety, security, emergency preparedness, control of hazardous materials/waste, life safety, medical equipment and utility systems as outlined in the hospitals environment of care plan. Observes safety precautions to ensure a safe environment for patients, patient families and guests of all ages. Adheres to National Patient Safety Goals (NPSG).
Actively supports the organizations mission, vision, values and goals. Participates in activities within the organization that support performance improvement.
Meets current hospital standards as defined by the Oak Valley Hospital District Employee Handbook and the hospital’s
Administrative Policy and Procedure Manual.

Job Description
Laboratory Scientist
Meets the age specific clinical, interpersonal and interactive responsibilities, as outlined in the Human Resources
Policy and Procedure _“Age-Specific Interpersonal and Interactive Relationships”._
Meets the clinical competency requirements as outlined in the Department Specific Skills Checklist.
Meets State of California standards by completing an annual TB test during the established time frame, in accordance with OVHD established TB testing schedule.
Reviews the job description with the designated supervisor during the annual performance appraisal and recommends changes, as necessary.
Position Accountabilities: *
_The following are general job accountabilities *_
_ *_*
Demonstrates the skill to appropriately utilized multiple computer systems and L.I.S.
Demonstrates good communication skills to ensure continuity of care as it pertains to laboratory testing, including relaying information to supervisor, relaying information between shifts, relaying information to the Supervisor and relaying of information between shifts.
Acts as a resource for orientation and training of new employees. Disseminates accurate and complete information.
Judiciously uses supplies and suggests cost saving measures. Ensures appropriate use of inventory and its management.
Is courteous and professional with patients, coworkers and visitors.
_*_
_ *The following are unit-specific accountabilities *_
_ *_*
Read and follow all policies and procedures
Perform quality control on all test systems as required and document corrective action
Operate analyzer according to manufactures specifications and perform maintenance as required
Evaluate sample integrity and reject compromised specimen
Accurately enter test results and document read back
Assist in the work up of new test systems as directed by Medical Director
Communicate problems to supervisor or Medical Director as necessary
Oversee the duties of Lab Assistant I/II. Direct as necessary
Correlate Clinical Data
Phone all alert value results and document read back.
Position Qualifications: *
Minimum Education: *
BS/BA in chemical, physical, biological or laboratory science
Minimum Experience/Skills: *
One (1) year experience as a technologist in a laboratory is preferred

2
_The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified. *_
_ *_*

Job Description
Laboratory Scientist

Able to perform basic mathematical calculations
Licenses/Certificates/Credentials: *
Current CA license as a Clinical Laboratory Scientist
Physical Demands: *
Prolonged, extensive or considerable standing/walking
Lifts, positions, pushes up to 50 pounds
Considerable reaching, stooping, bending, kneeling, crouching
Manual dexterity and mobility
Ability to move quickly
Vision Requirements: *
Ability to adjust vision sufficiently to perform duties
Working Conditions: *
Regularly exposed to the risk of contagious and blood borne diseases
Subject to varying and unpredictable situations
Exposure to unpleasant elements (accidents, injuries, illness)
Emergency and crisis situations
Subject to irregular hours
Increased stress due to multiple calls and inquiries
Occasional exposure to radiation hazards, radioactive substances and biohazard material

3
_The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified. *_
_ *_*

Job Type: Part-time

Pay: $15.24 - $17.31 per hour

Work Remotely:
No",-1,Oak Valley Hospital District,"Oakdale, CA",-1,-1,-1,-1,-1,-1,-1,-1
8,Computer scientist,San Francisco,Software Engineer,-1,"201 Third Street (61049), United States of America, San Francisco, California

Software Engineer

Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who love to solve real problems and meet real customer needs.

We are seeking Software Engineers who are passionate about marrying data with emerging technologies to join our team. As a Capital One Software Engineer, youll have the opportunity to be on the forefront of driving a major transformation within Capital One. Learn more about #lifeatcapitalone and our commitment to diversity & inclusion by jumping to slides 76-91 on our Corporate Social Responsibility Report.

What Youll Do:
Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies
Work with a team of developers with deep experience in machine learning, distributed microservices, and full stack systems
Share your passion for staying on top of tech trends, experimenting with and learning new technologies, participating in internal & external technology communities, and mentoring other members of the engineering community
Collaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences to help millions of Americans achieve financial empowerment
Work with cloud native stack, build on AWS, use technologies like Kubernetes and Serverless
Basic Qualifications:
Bachelors Degree
At least 2 years of experience in software engineering
Preferred Qualifications:
Master's Degree
2+ years of experience in Agile practices
1+ years of experience with AWS, GCP, Microsoft Azure, or another public cloud service
4+ years of experience in at least one of the following: Java, Scala, Python, Go, Javascript/TypeScript, Angular/React.js, or Node.js
2+ years of experience working with big data technologies (e.g. Hadoop, Spark, Presto)
2+ years of experience working on streaming data applications (e.g. Kafka, Kinesis, Flink, or Spark Streaming)
4+ years of experience in open source frameworks
At this time, Capital One will not sponsor a new applicant for employment authorization for this position.",4.0,"Capital One
4.0","San Francisco, CA",-1,10000+ Employees,1994,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1
9,Computer scientist,San Francisco,Full Stack Software Engineer,-1,"Ike’s mission is to make trucks safer, truckers more valuable, and trucking more efficient. Our team is comprised of prominent experts in a wide variety of fields. We are unified by a common passion to transform the way the world moves and build a real commercial product at scale.

About Your Team
Software Infrastructure team serves as the platform which powers autonomy algorithms both onboard and offboard. We are providing computing, storage, communication and data center services & tools to enable autonomy stack to run onboard on the vehicle and offboard inside the data-center. We also provide infrastructure software to support offline machine learning training, data pipelines and simulation for validation and verification.

About Your Role
You will be a key contributor on a small, collaborative team focused on one of the most exciting robotics applications today. As a full stack software engineer, you will specifically play a major role in designing, developing, deploying and supporting Ike’s web development technologies. You will lead Ike’s information representation, UI design and full stack web applications. The list of applications is growing everyday along with the rapid business growth. Web applications serve as interfaces for both internal and external users and it’s the one-stop shop to visualize how well our system is performing.
About Your Work
Build highly-reliable and scalable full-stack products by taking advantage of modern full-stack framework’s features and flexibility
Build complex applications using technologies such as React, Ember, or Angular
Design service application interface, data models for different use cases; integrate with cloud based databases and work in large datasets; build innovative solutions involving huge datasets of imagery and sensor data
Write maintainable and extensible front-end and backend code with high quality tests and documentation, using JavaScript, Python, Golang
Further advance the cutting-edge technology and contribute production quality code to open source projects
Deploy services in cloud based orchestration system such as kubernetes; work with reliability engineers to setup proper monitoring and alerting
About You
BS, MS, or equivalent experience, in Computer Science, Computer Engineering or similar with several years of experience in software development
Expert on web technologies. you've built side projects or professionally utilize the latest stacks and libraries such as Node.js, React, Angular, Rails, Ember, CSS frameworks etc.; you are excited by the amazing pace that the web continues to evolve; you seek new methods and tools to make great web tools faster and better, both on the front-end and back-end; familiarity with principles of architecture patterns and good user experience
Experience with developing, deploying, monitoring services in production environments
Comfortable working across teams and organizations to drive the finish line
Nice to Have
Experience building production cloud infrastructure software
Experience with building user interfaces on Linux Qt environment with C++
Cloud infrastructure like AWS/GCP
Experience in self-driving industry

Please note - we are not currently hiring new graduates for this role. We may post new graduate roles in the future though, so stay in touch by following us on LinkedIn!

Ike is an equal opportunity employer. We celebrate diversity and are committed to building an inclusive environment for all employees. We never discriminate on the basis of race, creed, color, ethnicity, national origin, religion, gender, sex, sexual orientation, gender expression, age, height, weight, veteran status, marital status or disability status.",4.9,"Ike
4.9","San Francisco, CA",-1,51 to 200 Employees,2018,Company - Private,Trucking,Transportation & Logistics,Unknown / Non-Applicable,-1
