,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Quality Manager,London,Data Scientist,-1,"Fixed Term Contract

We're currently seeking Data Scientists based in and around Leamington Spa with experienced of processing large scientific data sets to work within a state of the art, high output diagnostics laboratory environment as part of the UK's NHS Test and Trace programme.

As well as playing a vital role in supporting society's return to a more normal way of life by helping to break the chains of COVID-19 transmission, you will also gain invaluable experience and exposure to some of the country's most highly skilled individuals in the scientific community.

This represents a once in a lifetime opportunity to go above and beyond to support public health, while also extending your already accomplished scientific data skills and positioning your career for further success and growth.

If of interest and you meet the criteria of the below, please apply via the following link - https://bit.ly/34DZEaT.

Your responsibilities:

In the role of Data Scientist, you will be responsible for the analysis of sample data and correct tracking and recording of the analysis in the appropriate LIMS database, to the lab's accreditation standards. You will be expected to process large data sets accurately and to identify anomalous results.

Your priority will be to manage the flow of data out of the laboratories, resulting in correct patient sample reporting. You will also analyse non-clinical data as part of process optimisation and escalate any quality control issues relating to reagent performance to the quality manager.

Your experience:

In order to be successful in the role, you'll need the following education and experience:

Education:

BSc Honours degree in a biological science

Experience:

Proven track record in processing large scientific data sets accurately
Previous experience working with PCR datasets
Knowledge of diagnostic test, particularly PCR
Previous experience within a laboratory environment
Expert use of database and data analysis tools
For a Lead role - you will also need experience of line management and have the ability to delegate workloads and work across a remote platform.

In addition, the following experience is also desirable but not mandatory:

Experience

Practical experience using or administrating Oracle, MS-SQL and Postgres SQL databases.
Experience with Sportfire, R or other visualization and analysis packages.

In return:

As well as a competitive rate of pay (with a 20% uplift applied for night working and end of contract bonus), you'll receive comprehensive training on relevant lab procedures and equipment.

This role will work on a shift pattern and will include day, evening and weekend shifts. Please speak to our team to learn more.

You will also be joining a diverse and hugely welcoming team. Diversity is about reflecting the communities we serve, holding the principles of equality and inclusion at the heart of everything we do and all that we stand for, embracing differences, creating possibilities, and growing together. We aim to foster a culture where individuals of all backgrounds feel confident in bringing their whole selves to work, feel included and their talents are nurtured, empowering them to contribute fully to our purpose.

This is literally a once in a lifetime opportunity to join a team of highly skilled individuals, all focussed on delivering the best possible outcome.

If you're ready for a new challenge and want to be part of the team delivering this essential lab work, please apply today via https://bit.ly/34DZEaT.",-1,NHS Test and Trace,"Royal Leamington Spa, England",-1,-1,-1,-1,-1,-1,-1,-1
1,Data Quality Manager,London,Logistics Manager,-1,"PURPOSE OF THE ROLE

PerkinElmer is on the frontline of fighting Covid 19. Our complete workflows with standardized equipment and kits are available to help labs address their SARS-CoV-2 testing challenges. We are recruiting staff for 12 month fixed term contracts at a new greenfield laboratory based in Charnwood.

The site Logistics Manager acts as the primary coordinator for global inbound flow of goods from PerkinElmer and vendors to PerkinElmer operated Labs within the UK. Primary responsibilities will be to interface with various internal and external partners (e.g. PerkinElmer shipping sites, suppliers, PerkinElmer receiving Labs, PerkinElmer Planning, Transport Carriers and Customs Brokers) for timely delivery and customs clearance of product. Additional responsibilities will include problem research and resolution to deliver site operational support

RESPONSIBILITIES

Own, manage, and coordinate the logistical support required to site overseeing the planning of needs, procurement of needs, from products coming in, the stocking, movement of workflow and removal of waste.
Supervise assigned suppliers, materials and commodities to ensure on-time delivery, high quality items and services, at optimized costs.
Manage the site materials team to support the complete supply chain. This includes forecasting demand, inventory management and releasing both internal and external orders.
Work alongside a second Logistic manager to take ownership of key dual occupancy site role
Maintain and use of logistical spreadsheet to give clear feedback and update briefings to senior management
Facilitate consistent and timely customs clearance and delivery of the above orders via track, trace, and problem resolution as well as obtain and distribute Carrier Proof of Delivery information as needed.
Provide shipping status and order visibility information as required to both internal and external clients, monitoring ship information, closing of shipped orders, etc.
Ensure lab needs are met to ensure daily throughput
Act as the control tower / primary escalation for questions related to inbound shipments: Including research and resolution of delays, site escalation, and carrier and customs broker escalation when needed and escalating urgent requests and challenges as needed across the org to overcome roadblocks.
Interface with internal and external partners to process shipments. Partners routinely include Super Territory Distribution Centers, Manufacturing Sites, Freight Forwarders, Global Order Fulfillment, Sales and Service managers, International Trade Compliance, and Accounting.
Close interaction with Building Service Director/Manager
Create, monitor, review, and reconcile key performance reports for each Lab location incl. collecting and analyzing data related to carrier and warehouse performance.
Perform other tasks and activities, as needed, to support our PerkinElmer Operated Labs, suppliers, PerkinElmer shipping sites, Planning Team, and our Internal and External Partners.
Ensure the site remains fit for purpose, clear of waste and non-productive products
Aside from managing the daily import clearance process, this position is responsible for ensuring that the site has the proper internal controls and that they are documented in an import management system, especially customs broker management.

QUALIFICATIONS

Bachelor Degree or documented working evidence and a minimum of 5 years’ experience in customer order / import / export / distribution processes/ trade compliance.
Experience working with SAP ERP systems and multiple modules (e.g. planning + sales and dist. + warehouse management)
Good working knowledge in Microsoft Excel, Outlook, and other Microsoft Office applications is strongly preferred
Working knowledge of key International Trade Compliance regulations.
Experience in work for a Health Care industry and handling / managing diagnostic, biopharma and life sciences commodities will be an advantage.
Good time management and prioritizations skills to balance shifting priorities
Ability to interact effectively & respectfully in a global, multi-lingual, multi-cultural environment.
Strong capability to effectively communicate, verbally and in writing, in English is required
Strong interpersonal, facilitation, multi-tasking, collaboration, and self management skills
Flexibility to work in a global environment where night and weekend (and even holiday) support is routinely required
Exceptional multi team management knowledge

Working Environment

Clinical and research lab environment; exposure to blood borne pathogens; must wear protective lab gear including lab coat, gloves and completely closed footwear.
Employee may be requested to work shifts other than daylight depending on the needs of the laboratory. Weekend rotation may be required.
Travel is not required.
Ensure safety, security, and the environment in all aspect of the daily activities, and any potential safety hazards are addressed and corrected immediately.
Understand ergonomic relationship between people, equipment and working environment.",3.2,"PerkinElmer
3.2","Loughborough, England",-1,10000+ Employees,1937,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1
2,Data Quality Manager,London,Laboratory Manager,-1,"PURPOSE

PerkinElmer is on the frontline of fighting Covid 19. Our complete workflows with standardized equipment and kits are available to help labs address their SARS-CoV-2 testing challenges. We are recruiting Clinical Laboratory Managers for a 6-12 month fixed term contracts at a new greenfield laboratory based in Newport and another in Charnwood, nr Loughborough that will eventually run on a 24/7 schedule.

This is an exciting opportunity for an independent, creative, service-oriented individual to help build clinical sequencing laboratory services. The candidate will be responsible for daily supervision of a high throughput clinical laboratory including oversight of laboratory technologists, technical trouble-shooting validation and testing processes, reviewing lab results, developing and writing operational procedures, monitoring laboratory key performance indicators, quality metrics and the QC program, timely reporting of quality event reporting to the laboratory director and to quality management, and provide regulatory, due diligence and internal auditing support. Must have experience and be able to apply regulations to clinical diagnostic operations.

RESPONSIBILITIES

Manage the daily operations of assigned laboratory personnel to ensure that specimens are properly shipped and received, tests are performed accurately and efficiently, and results are reported in a timely manner.
Perform pre-analytical, analytical and post analytical test process and evaluate results produced relative to the diagnostic assessment.
Evaluate data for accuracy and verify any questionable finding with proper documentation, thorough investigation, and appropriate follow-through.
Assist with designing processes and procedures to ensure efficient turn-around time and accuracy of results.
Prepare and manage laboratory budget.
Coach and mentor staff on technical expertise and assist in evaluation of employee competencies.
Engage in continuous process and service improvement. Make and implement recommendations to improve operational efficiency and implement new services for areas of responsibility.
Requires strict adherence to quality control guidelines to ensure integrity of laboratory specimens and accuracy of results.
Ensure all work is in accordance with state and Federal regulations, organizational policy, and accreditation/compliance requirements.
Assist in maintaining CAP and other accreditation and regulatory agency standards and regulations.
Performing bench work and other duties as required including shift work.

QUALIFICATIONS & EXPERIENCE

Bachelor's degree in biology or related scientific discipline and a
Extensive experience of clinical molecular experience
Previous Supervisory/Management experience in a clinical laboratory setting.
Quality Assurance and Quality Control applications in clinical diagnostics
Must be detail oriented, organized, with excellent verbal and written communication skills.
Ability to troubleshoot technical applications and work independently under pressure of deadlines and a fast paced, high throughput team environment.
Practical knowledge of routine laboratory equipment and procedures.
Experience with LIMS and laboratory automation highly desired.

WHAT WE OFFER YOU:

Fixed term contract with competitive remuneration package
Stimulating role in startup
Purposeful & inspirational environment
Access to cutting-edge expertise and solutions contributing to the wellbeing of the local community
Being part of a highly qualified team that is committed to excellence

#LI-KS1",3.2,"PerkinElmer
3.2","Loughborough, England",-1,10000+ Employees,1937,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1
3,Data Quality Manager,London,Lab Manager,-1,"This is an exciting opportunity for an independent, creative, service-oriented individual to help build clinical sequencing laboratory services. The candidate will be responsible for daily supervision of a high throughput clinical laboratory including oversight of laboratory technologists, technical trouble-shooting validation and testing processes, reviewing lab results, developing and writing operational procedures, monitoring laboratory key performance indicators, quality metrics and the QC program, timely reporting of quality event reporting to the laboratory director and to quality management, and provide regulatory, due diligence and internal auditing support. Must have experience and be able to apply regulations to clinical diagnostic operations.

RESPONSIBILITIES

Manage the daily operations of assigned laboratory personnel to ensure that specimens are properly shipped and received, tests are performed accurately and efficiently, and results are reported in a timely manner.
Perform pre-analytical, analytical and post analytical test process and evaluate results produced relative to the diagnostic assessment.
Evaluate data for accuracy and verify any questionable finding with proper documentation, thorough investigation, and appropriate follow-through.
Assist with designing processes and procedures to ensure efficient turn-around time and accuracy of results.
Prepare and manage laboratory budget.
Coach and mentor staff on technical expertise and assist in evaluation of employee competencies.
Engage in continuous process and service improvement. Make and implement recommendations to improve operational efficiency and implement new services for areas of responsibility.
Requires strict adherence to quality control guidelines to ensure integrity of laboratory specimens and accuracy of results.
Ensure all work is in accordance with state and Federal regulations, organizational policy, and accreditation/compliance requirements.
Assist in maintaining CAP and other accreditation and regulatory agency standards and regulations.
Performing bench work and other duties as required including shift work.

QUALIFICATIONS & EXPERIENCE

Bachelor's degree in biology or related scientific discipline and a
Extensive experience of clinical molecular experience
Previous Supervisory/Management experience in a clinical laboratory setting.
Quality Assurance and Quality Control applications in clinical diagnostics
Must be detail oriented, organized, with excellent verbal and written communication skills.
Ability to troubleshoot technical applications and work independently under pressure of deadlines and a fast paced, high throughput team environment.
Practical knowledge of routine laboratory equipment and procedures.
Experience with LIMS and laboratory automation highly desired.

WHAT WE OFFER YOU:

Fixed term contract with competitive remuneration package
Stimulating role in startup
Purposeful & inspirational environment
Access to cutting-edge expertise and solutions contributing to the wellbeing of the local community
Being part of a highly qualified team that is committed to excellence

#LI-CW1",3.2,"PerkinElmer
3.2","Loughborough, England",-1,10000+ Employees,1937,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1
4,Data Quality Manager,London,Sign Out Manager 4,-1,"N/A

SUMMARY

Analyses RT PCR data generated by the clinical laboratory team to provide results of Covid 19 diagnosis.

RESPONSIBILITIES:

Interpret RT PCR Data and sign out reports.
Leads and manages team of analysts ensuring quality of results.
Acts a clinical expert leading review of queries and anomalies.
Reviews test results, maintains legible work records, and enters findings into the laboratory information systems.
Participates, as requested, in the training of new employees.
Abides by laboratory safety policies and procedures.

QUALIFICATIONS:

Advanced degree or certified by HCPC
Band 7 NHS equivalent
Scientific knowledge in molecular biology of infectious diseases/ genetic disorders
Experience with high throughput sample testing
5+ years experience in clinical testing
Experience in UK laboratory rules and regulations e.g. ISO 15189
Proven ability in team leadership
Able to work effectively and deliver on tight datelines

WHAT WE OFFER YOU

Fixed term contract with competitive remuneration package
Stimulating role in startup
Purposeful & inspirational environment
Access to cutting-edge expertise and solutions contributing to the wellbeing of the local community
Being part of a highly qualified team that is committed to excellence

#LI-CW1",3.2,"PerkinElmer
3.2","Loughborough, England",-1,10000+ Employees,1937,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1
5,Data Quality Manager,London,Business Development Manager,-1,"See yourself being part of a large, transformational change? This could be the role for you!

Iress is continuing to hire for roles during Covid-19 with all interviewing and on-boarding done virtually. Everyone new to the team, along with our current staff, will temporarily work from home until it is safe to return to our offices.

The role

As a Business Development Manager, you will be actively involved in helping to drive new revenue growth for the Iress Trading & Market Data division. This role will involve face to face solution sales of our Trading & Market Data product suite, working closely with a variety of internal teams across Iress including Client Solutions, Account Management and Product.

What you will be doing

Developing and executing sales plans to support business strategies and goals across the sector

Working closely with the Executive General Manager of Trading & Market Data in new business activities

Articulating and demonstrating our Trading products value proposition both internally and externally

Having hands-on involvement with new business tenders and remaining fully involved in throughout the sales and delivery process with new clients

Contributing to the marketing strategy to ensure the generation of lead flow, and self generate where necessary.

What you will need

You will be driven and self-motivated, with a desire to win.

Experience of working to tight deadlines with consistent quality output is essential

Demonstrable ability to achieve results and work in a constantly changing environment, with a hands on approach to driving new business and building strong relationships with prospective clients

Detailed knowledge of the key business drivers for Financial Services companies with special reference to technology and business change.

Knowledge of the Trading & Market Data sector is essential and experience selling solutions within this industry is key

Excellent communication and presentation skills, with a need to be able to communicate effectively at all client levels, including the Executive level.

Proven track record of closing sales and hitting targets

Why work with us

Competitive remuneration

Global opportunities

Casual dress, flexible work policy

Access to learning and development programs

Health Benefits including Private Medical Insurance

Iress Community

3 days’ leave per year for charity initiatives

Global 36-hour hackathon

Cycle to Work scheme

25 days holiday plus Bank Holidays

Profit Share Plan

Up to 26 weeks’ paid parental leave for primary carers (up to 4 weeks for secondary carers), and the ability to work part-time when returning to work

Employment Type
Employee

Time Type
Full time",4.4,"IRESS Limited
4.4","London, England",-1,1001 to 5000 Employees,1993,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
6,Data Quality Manager,London,Data Science Lead,-1,"Data Science Lead
Location


Solihull

# of openings

0

ID

1305

Apply Now

Data Science Lead - 12 month Fixed Term Contract

The Data Science Lead role provides an exciting opportunity to join the Demand Estimation team here at Xoserve. The team play a crucial role in the delivery of analysis and development of gas demand models/profiles which support daily balancing and invoicing processes within the gas industry.

Reporting to the Business Process Manager, the Data Science Lead is responsible for delivering a range of analytical services to internal and external customers including data extraction and statistical analysis, demand modelling, problem investigation, performance improvement and reporting. The Data Science Lead will be responsible for ensuring that all work is carried out to appropriate and defined standards whilst seeking to introduce continual improvements and demonstrating effective controls. Along with this, the Data Science Lead will work with a wide range of internal and external stakeholders to ensure high quality service delivery and work in collaboration with project teams of their specific business area.

Role Accountabilities

· Act as primary point of contact for internal and external stakeholders for the purpose of delivering the Demand Estimation team’s contractual obligations of producing robust gas demand models and completing related analytical assignments.

· In conjunction with the Business Process Manager, assess the customer’s requirements for each analytical assignment, determine the data and resource needs for the assignment, and select the most appropriate approach to the completion and documentation of the assignment.

· Evaluate the changing needs of the Demand Estimation service, liaising with internal and external customers to identify areas for improvement using the latest data analysis techniques. Make recommendations for service improvement and implement to the satisfaction of internal and external customers.

· Ensure that the team observes and follows established processes, procedures and policies within remit of responsibility adhering to agreed Key Performance Measures, Service Level Agreements and quality standards to maximise customer satisfaction.

· Contribute to operational or business change projects from requirements identification through to user testing and implementation.

· Plan and monitor progress of contractual obligations and analytical assignments and report regularly to the Business Process Manager, anticipating future problems and taking preventative action.

· Engage with other team members and the wider business to ensure processes within own remit of responsibility are consistent and fit for purpose. Share and adopt best practice.

Specialist/Technical Expertise

· Demonstrated experience in one or more of the following in a complex and dynamic environment: code development, data extraction and statistical analysis; demand modelling; problem investigation; performance improvement; reporting.

· Degree level education or the equivalent in either a numerate or science discipline, highly desirable.

· Knowledge of data analysis with hands on experience of working with large volumes of data using a range of analytical toolsets, preferably SAS and/or ‘R’ or Python

· Experience of using Machine Learning to develop new / improve existing processes is highly desirable

Our Core Four Behaviours

The Core Four help us achieve our strategy by underpinning our direction of travel. They provide a clear line of sight to identify strengths and development opportunities. They shape our culture and how we work with one another – they are our DNA. They determine the way we should work to achieve great performance.

We are a diverse team, with a community of dedicated, innovative and talented professionals. Does this sound like you?

Dream Big

We embrace change and the future.
We challenge the ‘norm’ and work together to push boundaries and innovate.

Delight Customers

We do what we say we will .
Our customers are our priority and we identify and anticipate their needs.

Drive Success

Mediocre isn’t an option!
We take responsibility to achieve results and create an environment that enables everyone to perform at their best.

Develop You

We take every opportunity to develop.
We develop ourselves and others and build relationships based on trust and integrity.

Xoserve is an equal employment opportunity employer. We adhere to a policy of making employment decisions without regard to race, ancestry, place of origin, creed, sexual orientation, gender identity, gender expression, age, record of offences, marital status, family status or disability. We promise that your opportunity for employment with us depends solely on your qualifications.

Salary between £38,500 - £ 51,000 per annum plus benefits, depending on experience",4.4,"Xoserve
4.4","Solihull, England",-1,201 to 500 Employees,2005,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,-1
7,Data Quality Manager,London,Global People Operations Manager,-1,"MOO set out to shake up the world of print back in 2006. And we’ve come a long way since. Today we’re a 300 + strong team (we’re thinking of getting matching jackets) who create print and digital products for companies of all sizes – from Google and AirBnB to the guy who makes those amazing prints you found at a craft fair.
Our global HQ is in London, UK, while we also have premises in Dagenham. In the US, you’ll find us in Boston, MA, as well as Lincoln, RI and Denver, CO.

We’re making new and exciting things – and we could really do with your help.

We are continuing to build on creating an amazing People operations team and so we are looking for an experienced People Operations Manager. Someone who is passionate about high quality people experiences and driving day to day operations in our People Team across our global network. We have an employee consumer focus by designing and building people products and experiences that our employees want to interact with, and, which also delivers business results. We have a strong people team foundation, and yet, still early in our quest to build scalable, high quality people experiences, of which you will be integral to our future.
Responsibilities include:
Ensure we have a high quality people operations experience across MOO worldwide
Ensure People services and processes are repeatable, efficient, scalable and engaging
Create new and innovative ways to better our service proposition
Responsible for defining, monitoring and reporting on HR operational delivery as part of agreed KPIs and SLAs
Creation, maintenance and embedding People policy and practice
Implementing an effective self service tiered model
Contribute to the continuous improvement of all HR systems and practices in the organisation (Bamboo, Cultureamp, JIRA, ADP, Small Improvements)
Produce reports and provide clear, meaningful metrics around human capital like headcount, engagement, development and attrition to Leadership and Exec
Responsible for the on boarding process and experience including both the transactional and the learning experience. Transactional including overseeing the generation of offer letters, contracts, reference checking and inductions
Ensure HR System data is up to date, accurate and complies with legislation at all times
Review and upkeep our Policies in line with our standards, values and current legislation.
Own all MOO benefits including communication, review and annual renewal
Oversee the payroll administration and compliance in a timely manner along with reviewing and implementing process improvements
Ensure that all candidates have the correct Right To Work documents and advise and oversee any visa application required to ensure compliance for Sponsorship
Drive and administer the Company’s performance management system including probationary reviews, annual performance reviews, annual salary reviews, performance improvement plans, disciplinary & grievance meetings, and terminations
Manage and develop the People Operations team
Manage and work with internal stakeholders to deliver legal submissions (gender pay reporting, 401k audit)
About You
Strong people operation experience ideally in an ecommerce business
Proven capability at improving and scaling people operations team and services
Have Managed People operations across multiple geographies (ideally USA and UK)
Able to lead and influence internationally and sometimes without direct line management
Have a customer-focused approach to People
Proactive, solutions based HR style
Excellent eye for detail, you make sure all the t’s are crossed and i’s dotted!
Experience managing and working on a global HRIS (Bamboo and ADP)
Strong analytical and reporting skills
Strong visa process knowledge UK and US
Experience working with pension/401k auto enrolment compliance schemes UK and US
Advanced communications skills
Current generalist experience and knowledge of employment law and best practice
Must be highly organised, flexible team player with excellent prioritisation and strong follow-up skills.
Experience of working to and setting SLAs/KPIs within a team.
Strong focus on continuous improvement
What’s it like to work at MOO?
MOO’s the kind of workplace where you can really be yourself. Dye your hair purple. Hit the sofa with your laptop. Whatever helps you feel comfortable and happy at work. We want to help you grow in your career and set you up for success – while also recognising the importance of a healthy work/life balance.

That’s why we offer 25 days holiday rising by one day for each year here (for 5 years), a matched pension scheme, MOO’s share option scheme, and paid parental leave. We’ll offer you private healthcare, life insurance, a season ticket loan, subsidised gym membership and a cycle to work scheme. Finally, we’ll treat you to breakfast and fresh fruit every day, lunch on Fridays and all the ice cream you can eat (just watch for the brain freeze).

Diversity Statement
We are working hard to create a representative, inclusive and super-friendly team, because we know that different experiences, perspectives and backgrounds make for a better workplace. And that creates a better experience for our customers. MOO doesn’t discriminate on the basis of race, colour, religion or belief, gender, national origin, age, sexual orientation, marital status, disability or any other protected class.",3.4,"Moo Print Limited
3.4","London, England",-1,501 to 1000 Employees,2006,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
8,Data Quality Manager,London,Actuarial Manager - Commercial Lines,-1,"Actuarial Manager: Our Ageas actuarial department are looking to bring on board an experienced candidate to join our busy Eastleigh office. Initially working from home, with flexible working options when it is safe and appropriate to return to the office. The role would suit an almost-qualified or recently qualified Actuary, although other candidates with suitable experience will be considered.

Our actuarial department is responsible for pricing, reserving, capital modelling and forecasting our business lines and the Actuarial Manager will be playing a leading role within the Commercial lines team. This is a mixed pricing and reserving role, working regularly with colleagues in finance, claims, risk and underwriting. The Actuarial manager will support the Head of the team and the Chief Actuary in all aspects of the team's work across multiple areas, therefore experience managing and mentoring others to ensure the team develops and delivers consistently high-quality output is crucial. A proven track record of preparing and presenting a wide range of actuarial analysis to other stakeholders is also highly desirable.

The Actuarial Manager would suit someone coming from a consultancy background who wants to make a move into industry or for someone who has some relevant experience and wants to broaden their role and take the next step in their career. The role offers a high degree of autonomy and the Actuarial Manager must be a confident self-starter with the ability to prioritise work, be a confident decision maker and have a flair for manipulating and interpreting data to help deliver high impact, intelligent solutions.

The main responsibilities of the Actuarial Manager:

Oversee elements of the quarterly and monthly reserve review exercises, prepare high quality reports explaining the results as well as additional claims related analyses.
Support in the development and maintenance of effective statistical models and MI in relation to the company's underwriting performance and pricing strength.
Review work prepared by other team members and prepare clear and effective communications to present the results.
Line management responsibilities for up to two team members initially, providing regular and effective feedback and supporting all aspects of their development.
Conduct and oversee regular and ad-hoc pricing analyses to support UW teams, communicating results and their implications.

The successful Actuary Manager will have the following:

Strong general insurance knowledge & experience with a sound understanding of reserving and pricing analysis and principles and experience of a wide range of technical issues, ideally 5 years actuarial experience.
Experience managing and mentoring others with the ability to lead by example, maintain a visible leadership presence.
Experience of managing and addressing performance consistently and ability to delegate effectively ensuring appropriate participation and support.
Strong communication skills, experience of preparing and presenting technical reports for non-actuarial stakeholders.
Good project management skills. Good risk evaluation skills. Proactive and innovative.

Here are some of the benefits you can enjoy within the Actuary Manager role based in Eastleigh:

A competitive pension for which Ageas will pay twice the amount.
Generous amount of holidays with the option to buy up to 10 additional days.
Annual Salary review.
Discretionary annual bonus based on personal and company performance.
Life assurance of 4 x salary with the option to flex up.
Return to work programme scheme.
Flexible benefits package (private medical insurance, health and dental plans, free life assurance policy, discounted gym membership, cycle to work scheme as well as discounts with a wide range of retailers through our partner Perkz.com).
Support groups- well-being activities, yoga, mindfulness sessions, Sports and Social Club events and more.

#INDHP2",3.5,"Ageas Insurance Limited
3.5","Southampton, England",-1,10000+ Employees,1824,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1
9,Data Quality Manager,London,Sr. Product Manager,-1,"At Globality, we're proud to embody the core values of innovation, collaboration, and trust in both our culture and product.

We're creating ground-breaking technology utilizing a world-class, AI-powered Platform that revolutionizes how businesses buy and sell services. We are an open, inclusive, and diverse organization and our employees are at the heart of the great products we create.

We've raised over $172M and are supported by an impressive group of prominent investors, including Al Gore and SoftBank Vision Fund. Our co-founders, Joel Hyatt and Lior Delgo, are seasoned entrepreneurs who bring an extensive business-building experience to our organization. Our impressive board includes Dennis Nally (former Global Chairman of PwC) and Ron Johnson (former SVP of Apple).

We're excited to deliver the best in both innovative technologies and customer-focused experiences to realize our mission of creating a more inclusive global economy. Come help us build something great!

Role Summary:

Are you experienced, passionate Product Manager looking to join a fast-growing company? Are you seeking dynamic role, career growth, and substantially contributing to the creation of a more inclusive global economy?

We are looking for a senior product manager who is passionate about working on cutting edge technology and user-experiences, and bringing them to scale. Our product efforts include adaptive conversational interfaces, AI powered interactions and knowledge graph, combining human experts with machine-intelligence, and habit-forming and habit-changing product dynamics.

What you will be doing:
Own a critical area of the Globality product, an AI-powered solution revolutionizing how businesses buy and sell services.
Work with enterprise customers and internal experts to understand customer challenges and conceptualize solutions.
Define user stories and product requirements that align to company objectives. Prioritize a backlog of features and ideas for your product area.
Employ product management techniques to validate that you are building the right solution (e.g. design thinking, analytics, user testing, prioritization frameworks...)
Be a trusted product leader of your cross-functional team of designers, project managers, and engineers. Maintain high quality standards, focus, and urgency.
Communicate goals, plans, status, and results across the organization.
Serve as primary product subject matter expert on your product area of ownership within the company.
You will be based out of London, UK location and will collaborate closely with colleagues in Menlo Park, CA (HQ), and Bozeman, MT.
What we are looking for:
Has 5+ years of experience as a product manager developing Procurement or Finance SaaS products.
A results-driven cross-functional leader that thrives on accountability. Maintains clarity and focus through effective communication. Knows the big picture and stays on top of small requirements and execution details. Builds team spirit and common sense of purpose.
Has a proven track record of building relationships and influencing without authority at all levels of the organization.
Well-versed in design thinking, adept at observing and analyzing user behavior, is an experienced design collaboration partner.Eager to learn and to share knowledge with others.
BA/BS in Computer Science, Engineering, Mathematics, Statistics, Economics, Finance or related
We are an equal opportunity employer. We believe diversity makes teams better and that discrimination based on race, gender, or anything else is self-defeating.

Keeping your data safe is important to us. Any information provided will be processed by Globality in compliance with applicable data privacy laws and regulations, including, but not limited to, the EU General Data Protection Regulation (GDPR) and the California Consumer Privacy Act of 2018 (CCPA). For any questions you may have in this regard, please contact HR@globality.com.",4.0,"Globality, Inc.
4.0","London, England",-1,201 to 500 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
