,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Database administrator,London,Senior Data Engineer,-1,"About Us:

At Sensyne Health we combine technology and ethically sourced patient data to help people everywhere get better care. To do this, we have created a unique partnership with the NHS that delivers a return to our partner Trusts and unlocks the value of clinical data for research while safeguarding patient privacy. Alongside this, we develop clinically validated software applications that create clinician and patient benefit while providing highly curated data. Our products include vital-signs monitoring in hospitals and patient-to-clinician apps to support self-care and remote monitoring of gestational diabetes and chronic diseases such as COPD and heart failure.

We use our proprietary clinical AI technology to analyse ethically sourced, clinically curated, anonymised patient data to solve serious unmet medical needs across a wide range of therapeutic areas, enabling a new approach to clinical trial design, drug discovery, development and post-marketing surveillance.

The Role:

The Senior Data Engineer will provide best practice data engineering support across all Sensyne Health’s departments and customers.

Responsibilities:
Lead the way in defining architecture for all data engineering projects
Be hands-on, always developing, running and enhancing data pipelines
Define and maintain data models
Review and analyse data for data quality
Implement and maintain best practices for all software engineering
Liaise with other departments to meet their data engineering requirements
Provide technical leadership and mentor other data engineers
Requirements

Essential:
Two or more years’ experience designing, building and running data engineering projects in Azure (using, for example, Data Factory, Event Grid, Azure Storage)
Experience of building infrastructure with ARM templates or equivalent
Experience of full life-cycle software development
Experience operating and supporting complex software products
Data analytics skills (SQL, R, Python)
Two or more years’ experience developing software, ideally in Python
Desirable:
Experience running machine learning algorithms in the cloud (e.g. Azure AutoML)
Personal Qualities:
Communication: You are able to discuss technical issues at all levels of the business and provide clear presentations of technical work.
Technical: You will be a data geek! One who enjoys seeing value and insight derived from data; you will be a technology and cloud enthusiast, who embraces new ideas and processes, yet keeps a keen eye on delivery and providing value.
Skills and Qualifications:

Advanced IT Knowledge, Critical Thinking, Interpersonal Skills, Technological Analysis, Data Analytics, Big Data, Computational Skills, Excellent Written and Oral Communication Skills, Presentations

Benefits
Pension up to 10% employer contribution
Employee Assistance Programme with Cash back benefits and discounts
Group Life Assurance
Group Income Protection
Critical Illness Scheme
BUPA Health Insurance including partners and children
Electric Car Scheme
Health Cash Plan
Dental Insurance
Cycle to Work Scheme
Discounted Gym Membership
Eye care vouchers
Discounted dining",4.0,"Sensyne Health
4.0","Oxford, England",-1,51 to 200 Employees,2018,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1
1,Database administrator,London,Senior Data Engineer,-1,"Our Story
We’re empowering people to FeelGood about their money.
We’ve been on this journey since 2004, when we built the first ever peer-to-peer lending company to give people access to simpler, better-value loans and investments. When it comes to money, we think everyone deserves a fair deal, so since we launched, we’ve helped hundreds of thousands of customers to take the stress out of money by building our business on honesty, transparency and trust.
Our journey’s always evolving, and we’ve just launched a bank. But a different type of bank – one that empowers its customers to take control of their finances and FeelGood about their money.
If you embrace being challenged beyond the norm, aren’t afraid to think differently and are motivated by working somewhere you can really make an impact, you’ll love life here at Zopa.

Job Title: Senior Data Engineer
Salary: Competitive
Location: London Bridge
Advert Start Date: Tuesday 6th October 2020
Closing Date: Tuesday 3rd November 2020

The Role
As Data Engineers at Zopa, our goal is to democratise the data to empower individuals at all levels in the organisation to make right decisions to drive better customer experience.
We work with bigdata, by leveraging the latest tools and technologies in AWS cloud we are building the scalable, reliable and securable data platform at the enterprise level.
We are looking for a Senior Data Engineer to lead the data warehouse and data lakes related projects. This is a fast-paced and dynamic work environment with ever changing needs and tight deadlines. We work in agile ways where we ship the products and new features every week.
A day in the life
Liaise with data scientists, data analysts and decision-makers such as product owners and business analysts to gather and analyse the data requirements
Design, build, refractor and optimise various data pipelines required for the data lakes and data warehouse
Design and implement various data models to ensure the data integrity, ease of data access and for better query performance
Implement various data quality checks to ensure accuracy, completeness, consistency and reliability of the data
Provide guidance and mentorship to other members of the team
About you
You’ll have 4+ years demonstrable experience in data engineering or related domain
You'll have great interpersonal, relationship building and influencing skills
You'll have a true passion for project management, execution and getting things done
You’ll have robust understanding of Python data structures and algorithms
You’ll have experience with building custom data pipelines using Python and PySpark
You’ll have experience with Redshift or Postgres databases and proficient in writing complex SQL queries
You’ll have experience with different AWS services like Lambda, Glue, S3, Athena, DMS, etc.,
You’ll have experience with CI/CD pipelines
You’ll have an understanding of software development life cycle and practices such as coding standards, code reviews and version control using Git
You’ll have excellent analytical, problem-solving and communication skills
You'll be passionate about learning new and cutting-edge technologies!
Bonus points for...
AWS Certifications –Solution Architect, Developer, Data Analytics or equivalent
Knowledge about Streaming applications
Exposure to any BI tools


To thrive here, you’ll need to:
Champion our customers. Whatever your role, you’ll be close to our customers. We care passionately about doing the best for them.
Help us make fearless choices. Our environment is fast-paced, agile and open. You’ll solve interesting and challenging problems, and be trusted and empowered to bring your ideas to life.
Walk the talk. Like us, you’ll be honest, stick to your promises and face the tough moments head-on.
Win smarter. You’ll be always on the lookout for a better way of doing things, going beyond ‘good enough’ and welcoming different points of view.
Be in it together. You’ll join an ambitious, diverse and all-round approachable team with a mix of ideas and talents who inspire each other to be better every day.

Zopa is proud to offer a workplace free from discrimination. Diversity of experience, perspectives, and backgrounds leads to great products and unique company culture. We simply can’t expect to empower our customers to better manage their money without challenging the current status quo. Creating the best place for money is no easy task, which is why we need talent from all walks of life.",4.0,"Zopa
4.0","London, England",-1,201 to 500 Employees,2005,Company - Private,Lending,Finance,$10 to $25 million (USD),-1
2,Database administrator,London,Senior Data Engineer,-1,"About the role:
As a Database administrator, you will be versatile with varied skills in different, relatable aspects such as SQL Database Administration, performance tuning & troubleshooting, SSRS, SSIS. You will be applying your knowledge to meet the changing, growing and evolving systems within this highly successful organisation. This is an amazing opportunity for someone who's looking to work for a driven, rapidly growing company with a passion for database administration to learn and develop invaluable skills as well as lead on projects and work with new and exciting technologies.
You’ll be a crucial player in a team of 2 DBA’s supporting our global infrastructure ensuring in its smooth operation and keeping us up to date on best practices.
Around you will be our Product and Delivery teams who know all there is to know about the world of operations management, and although you’ll come to know much of that yourself you’ll draw heavily on them. You’ll also build on a strong working relationship with Microsoft and you’ll make friends and earn the respect of their technical teams as you go.
Essential Knowledge or Skills:
Experience in Database Administration in SQL Server versions 2012 to 2020
Experience in troubleshooting and resolving database integrity issues, performance issues, blocking and deadlocking issues, replication issues, log shipping issues, connectivity issues, security issues, reporting services, etc.
Experience in Performance Tuning, Query Optimization, using Performance Monitor, SQL Profiler and other related monitoring and troubleshooting tools.
Ability to detect and troubleshoot SQL Server related CPU, memory, I/O, disk space and other resource contention.
Strong knowledge of backups, restores, recovery models, database shrink operations, DBCC commands, Clustering, Database mirroring, Replication.
Strong knowledge of how indexes, index management, integrity checks, configuration, patching. How statistics work, how indexes are stored, how they can be created and managed effectively.
SQL Development – ability to write and troubleshoot SQL Code and design (stored procs, functions, tables, views, triggers, indexes, constraints)
About you:
What does a strong candidate look like?
Great analytical mindset
The ability to pick up new skills quickly
Methodological approach to troubleshooting
Experience/interest in MS Azure SQL working with a PaaS set up
Smart and pro-active
T-SQL experience
Ideally, you will have a degree level qualification, but this is not essential. Industry recognised qualifications, or the willingness to obtain them, would also be beneficial such as MCSE, MCSA etc.
About us:
Since 2005, ActiveOps has been committed to helping organisations improve their operational efficiency by helping managers and teams deliver their best possible performance. ActiveOps provides cloud-based software and services to meet the increasing market demand for back office workforce optimization and digital transformation.
The Workware™ software suite is purpose built for the back-office to quantify work and time, measure productivity and efficiently manage human and robotic resources in real-time. It enables capacity to be optimized, processes to be identified for automation and the agile management of the entire operation. This reduces costs, improves service delivery, staff well-being and customer service.
The Active Operations Management (AOM™) Method enables ‘teams of teams’ to collaborate and sustain higher productivity through a consistent management framework. Better communication and improved control results in higher staff engagement and reduced stress.
ActiveOps operates across the globe from offices in the UK, Australia, India, South Africa and North America supporting back office operations in financial services, shared service centres, government organizations and Business Process Outsourcers (BPOs).
Job Types: Full-time, Permanent
Salary: £40,000.00-£45,000.00 per year
Additional pay:
Bonus scheme
Benefits:
Casual dress
Company events
Company pension
Employee discount
Flexible schedule
Life insurance
Private medical insurance
Sick pay
Work from home
Schedule:
Monday to Friday
Work remotely:
Yes",4.4,"Zopa
4.0","London, England",-1,1 to 50 Employees,-1,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1
3,Database administrator,London,Senior Data Engineer,-1,"Who are we?

We want to help small business win. That’s why we’re here.

We connect small business owners to investors – to create jobs, help families and power economies – because we believe that people are made to do more. And we want to help them.

So, we created the leading online marketplace for small business loans. Our investors have lent £9.8 billion in 130,000 loans to 90,000 small business owners. In a single year, we unlocked 115,000 jobs and contributed £6.5 billion to the global economy. There’s never been a better time to join!

Be part of the team that changes everything. Let’s build the place where small businesses can get the funding they need to win and leave a legacy behind, forever.

This role sits within the “Tech and Data” teams. The drivers behind our platform – brilliant people working together to create, code, and build the next game changers.

What will you be doing?

The data team makes sure that data at Funding Circle is reliable and easily accessible across the company. We leverage the latest technologies and a team of diverse backgrounds to build a data platform to address these challenges. We build tools to help us automate traditional data processing pipelines so that we can build data systems at scale. We also build tools to empower our analysts and data scientists in their day to day work.

Day to day you will be:
Building internal tools and libraries for our engineers and internal customers
Maintaining and monitoring our AWS data infrastructure
We love pairing! Whenever you wish for knowledge sharing or learning between the teammates. Driving design and problem solving sessions.
Researching and learning new tools and technologies in the data space
Synchronising with the teams in London, San Francisco, and Bangalore
Documenting the architecture and decisions made
Working with our stakeholders to iterate on our data products
Collaborating with the team to solve architectural challenges
Are You
A great communicator! A real people person that connects easily with people and brings a strong positive energy to the table.
Fired–up to achieve. Passionate about the power of data to drive better business outcomes for our customers.
Super organised. Someone who knows how to manage their workload, cope with multiple priorities and can organise their days and week effectively
Quick to learn. You get things quickly, can take on feedback and understand how to explain complex concepts and products to our customers simply
Good working knowledge of any of the following: SQL, Python, Clojure, Scala
Looking forward to working in an international team
We’re interested in meeting people from diverse education backgrounds and this role would suit someone who likes to help others
You will have worked on one or two of the following: AWS:Glue, Athena, Redshift, Apache Airflow, Kafka, Spark, Terraform.
Why should you join us?

We’re gearing up for our biggest chapter yet – and it’s being driven by tech.

That means full steam ahead working on our global platform and real challenges for you to noodle and solve – as we build new things, reimagine the stack and go after the greenfield.

We believe that great ideas come from everywhere. So, there are no pigeonholes here. We keep it agile and open. Think big remits and huge ownership in a continuous learning environment. Close knit teams, with mentorships and global career opportunities. Everyone working together to make a genuine difference to small business owners, to us and to you.

Join the team making it happen. Help us define long-term commitments and launch the next game changers – let’s build the incredible.

It’s in our differences that we find our strengths.

At Funding Circle, we celebrate and support the differences that make you, you. We’re proud to be an equal opportunity workplace and affirmative action employer. We truly believe that diversity makes us better. We particularly encourage applications from applicants from underrepresented backgrounds. We welcome applicants who may want to work flexibly.

Want to Build the Incredible? We’d love to hear from you.",3.8,"Funding Circle UK
3.8","London, England",-1,501 to 1000 Employees,2010,Company - Private,Lending,Finance,$50 to $100 million (USD),-1
4,Database administrator,London,Systems Administrator (infrastructure security),-1,"Company:
Nominet
WHAT DRIVES US...

Maybe you know us, maybe you don't. Even though you probably use our services every day. So

we'd like to share more about what we do at Nominet, and why we do it, so that you can help us to

build the right team.

We're proudly at the heart of the UK's critical internet infrastructure. Leading the charge in cyber

security, as we explore and pioneer new tech.

We do this to enable connectivity, inclusivity and security for our world - and create a vibrant digital

future.

That's what drives us - and the kind of people we want to work with.

PERKS

Competitive salary depending on experience, plus excellent benefits including a 10% bonus, 28 days holidays, Healthcare, Pension Scheme, Life Assurance, Wellbeing allowance, Flex benefits and onsite fitness classes and studio.

Main Job Purpose:

We are looking for an additional team member in our Systems Administration Team who would relish the opportunity to work on technology that's at the heart of the internet. This role is focussed on applying continuous improvement to infrastructure and tools, working within the System admin team and working closely with Security and Security Architect.

This role is a great opportunity for the right candidate to gain exposure to a wide range of technologies that underpin the critical national infrastructure for the UK registry services and Nominet's cyber security solutions. Working in a team responsible for supporting and managing the on-premise, hybrid and cloud IT Infrastructure services and systems for Nominet and its customers

Job Summary:
Ensures infrastructure security requirements are clearly defined and adhered to
Accountabilities In the context of Infrastructure Security and Compliance.
Evaluate infrastructure deployed in the current environment to ensure they adhere to security architectural requirements
Ensure all infrastructure is regularly patched and up to date
Knowledge of infrastructure-based vulnerabilities (e.g. issues in OSWAP) and proactively addressing them
Proactively manage both the hardware and software to provide excellent technical support
Work with the wider infrastructure team to deliver infrastructure projects in line with the technical roadmap across multiple technologies and platforms
Management of infrastructure to provide high quality support
Support project activity and balance this with support and administrative tasks
Manage datacentre visits, audits, server install and removal
Server builds/decomission
Build tools/scripts and support previously developed tools and improve automation
Provide support dealing with incidents, daily checks, upgrades, changes, backups & monitoring
Understand and improve/support monitoring infrastructure
Work within an ITIL/ISO 20000 framework to preserve vital production services and produce appropriate documentation
Work to Service Level Agreements to manage uptime and performance of both systems and services
Required for on-call
Key Requirements:
Experience working in System Administration, Server Administation or DevOps role and have proven experience of:
Working within service level agreements
Delivering infrastructure projects
Understanding of a broad range of infrastructure technologies
Must have good knowledge and experience with:
Linux – Redhat RHEL6/7/8
VMWare
Cloud
AWS
Azure
HP/3PAR SAN
HP & Dell Hardware
Ansible & Terraform
Scripting
Perl
Ruby
Python
Bash
PHP
The following experience is desirable but not essential:
Kafka / Cassandra
Docker
Bitbucket or similar
VMWare Horizons
Service Now administration
Zabbix configuration
SQL
DNS
Networking
APPLICATION PROCESS

ONLINE APPLICATION>>VIDEO INTERVIEW>>FACE TO FACE INTERVIEW>>JOB OFFER

Please note: As part of the job application, you will be asked to complete a brief online application form and profile.

Job Segment:
System Administrator, Developer, SQL, Database, Cloud, Technology",3.6,"Nominet
3.6","Oxford, England",-1,201 to 500 Employees,1996,Company - Private,Internet,Information Technology,$25 to $50 million (USD),-1
5,Database administrator,London,Senior Data Engineer,-1,"CCP London is looking for a smart and inspired Senior Data Engineer

As a Senior Data Engineer you will be a key player in designing and building a data platform and leverage big data solutions to deliver insights across the company. You will develop solutions to retrieve information from various sources, build and optimize distributed processing solutions along with designing data models and maintaining data quality. To thrive in this position, you are excited about data and emerging technologies related to the field. You are also comfortable collaborating with engineers, producers, analysts and other product owners.

Your tasks:
Create and maintain systems that load and transform large data sets from various sources
Architect and implement data warehouse structure and table schemas
Develop data models to enable end users to effectively analyze data
Optimize and tune data warehouse for query performance and analytical workloads
Take part in designing and leading the implementation of Cloud data architecture strategy
Work with our Data analysts to create data-driven insights and reports for stakeholders and senior management
Maintain and improve on existing data infrastructure and ETL processes
Your profile:
A degree in Computer Science, Software Engineering or a similar field
4+ years of experience in Data Platform Administration/Engineering/Architecture
Minimum of 3 years’ experience working in the gaming industry
Advanced experience with one or more programming languages such as Spark, Python, or Scala
Deep level understanding and implementation experience across AWS Data Services such as Glue, Kinesis, SQS, Redshift, VPC, IAM, EC2, RDS, SNS, CloudWatch, Step Functions, Lambda, EMR.
Substantial Experience in ETL / Data application development
Experience in Architecting and building data pipelines for cloud data assets.
Expertise in database technologies such as Redshift, PostgreSQL, Aurora, Athena and working with large sets of data
Substantial Experience with some of the Big Data ecosystem such as Hadoop, Hive, Spark and Presto
Collaborative individual who excels in working within a team and with business partners identify, develop and deliver innovative data solutions.
What we can offer you:
The inspiring challenge of working on pioneering ambitious projects with amazingly smart and creative co-workers
An opportunity to mentor and guide other more junior team members and co-workers
A multicultural and international work environment that encourages growth, creativity and innovation
Discretionary performance sharing plan
Free lunches, drinks and snacks
A family friendly work environment with flexible work hours
Employer contributory pension plan
Life Insurance
Private medical and Dental
Annual Transportation grant
Annual Sports grant",4.3,"CCP Games
4.3","London, England",-1,201 to 500 Employees,1997,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1
6,Database administrator,London,Database Administrator (DBA),-1,"Key Responsibilities:

Responsible for maintaining and setting up key eCommerce sites for a wide range of international clients. Experience with DB2 and either Oracle or MySQL is required as well as experience of installing, tuning, maintaining production and test systems on mission critical environments, on hosted and cloud infrastructure as this will be key to the role.

Define and provide database migration strategy from one infrastructure to another and provide mechanism to upgrade database to higher version as and when needed.

Support and maintain database monitoring and proactive alert setup using in house housekeeping suite.

You will also be responsible for reviewing and tuning systems; both database, configuration and SQL as well as working with development, support and architecture teams to design maintainable and performant solutions, provide BAU support and advice to all teams. Escalate the problem to the software provider in order to get RCA for any production issues with IBM or Oracle.

The successful applicants will work within a strong technical services team at Watford and potentially on client site and demonstrate best practice at all times. On-call/out of hours support services are also provided from the DBA team to the wider Wunderman support teams.

You…

Talented, enthusiastic, focused, eye for detail, professional. Keen to learn and to challenge for smarter ways of doing things; a team player proud of their work who wants to share it. You like working in a fast-paced environment and are ready to inspire outstanding online shopper experiences for consumers and brands, no matter what product, service, sector, device or channel!

You will have a customer-first mindset, with the maturity and initiative to do what it takes keep our clients happy, including some working at client locations. When our clients win – we win!

We need you to be really great at:
Experience working on IBM DB2 DBA experience DB2 versions 9.5 to 11.5 LUW (Linux, Unix & Windows).
Cloud server monitoring, using various cloud watch reports
Designing, sizing, tuning, housekeeping, building and all aspects of data management, toolset
Experience of migration and upgrades
Performance analysis
Solid SQL knowledge
UNIX Shell scripting
Also looking for experience in either one of the following two databases:
Experience working on MySQL DBA experience Mysql, Aurora (Linux, Unix & Windows, RDS service). Designing, sizing, tuning, housekeeping, building and all aspects of data.
Experience working on Oracle DBA experience Oracle versions 11g to 19c (Linux, Unix & Windows, RDS ). Knowledge of OEM or statspack in order to do performance tuning. Designing, sizing, tuning, housekeeping, building and all aspects of data.
If you know any of this even better:
Exposure to full project lifecycle in delivering complex enterprise class solutions
Exposure to environments using – J2EE 1.4/1.5/1.6
Exposure to MySQL
Cloud experience across AWS and GCP.
Some exposure to Oracle, Oracle version 11g and 12c running on Linux or Unix
Exposure to IBM WebSphere Application Server v6.x –v8.x, Jboss, Oracle Application Server.
Hands-on experience with Unix based systems (AIX, Linux).
Wunderman Thompson Commerce is a new global eCommerce consultancy that applies strategy, technical know-how and outstanding design to make a big impact through eCommerce.

How? By creating outstanding websites and inspired shopper journeys. It’s why we work with some of the most exciting brands around such as Tempur, DFS, Domino's, Boots, Xerox, Sainsbury’s, Selfridges, Specialized and Ted Baker.

Tell me more! We’re an inclusive group of more than 1350 thinkers and doers from WPP’s leading commerce agencies: Salmon, POSSIBLE Commerce and Gorilla Group alongside two Amazon specialists - all under the world-renowned Wunderman brand. Our reputation is based on having the best in the business – people who are inspired yet straight-talking, and who really want to understand not just our clients but their customers. We are passionate about innovation in everything we do, and proud of what our people achieve, empowering and respecting every one of them.

Together, we keep our clients and their customers inspired and ahead through digital, future-ready sites, solutions and services. When our clients win – we win.

With new, state-of-the-art offices in Watford, and two other cool agency offices in Central London, we’ve got 20 locations mapped across Europe, North America and Asia.

As our business grows internationally, we’re seeking new people who share our values and work ethic. We especially want to encourage more women to join, and take a key role in shaping some of the best eCommerce sites and experiences in the world.",3.9,"Wunderman Thompson Commerce
3.9","Watford, East of England, England",-1,1001 to 5000 Employees,-1,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
7,Database administrator,London,Database Administrator,-1,"Salary: £45,280 - £51,913 per year (inc. London Weighting)
Job type: 12 month fixed term contract
Hours: Full Time
Location: HQ, London
Application closing date: Friday 27 November 2020 at 9am
Role
This is a really exciting time to join Girlguiding. With nearly half a million members we are the largest charity dedicated to girls and young women in the UK, and one of the largest and leading youth charities. We are on a mission to amplify the voices of girls and young women, so they can champion change in their own lives and the wider world; to build strong partnerships that can increase our reach and impact; and to increase the support we offer our 100,000 amazing adult volunteers who deliver incredible experiences to young people across the UK every week. We have recently agreed our 2020+ strategy and begun a process of significant change: transforming the organisation so it can meet the challenges of the future by putting young people and volunteers at the heart of our organisation.
Girlguiding are entering an exciting time of transformation with data at the core of how we achieve this. We are now seeking a talented Database Administrator to ensure we harvest our data to support key transformation projects.
Working as part of Girlguiding's IT Team the primary focus of the role will be on, but not limited to, Azure SQL Databases and Dynamics 365 CRM management and development. This role will also work on other strategic transformative projects around Girlguiding.
To succeed in this role, you will need to be proficient in SQL Scripting, database deployment and management, particularly around front-end web applications. Experience in monitoring and optimising SQL Query performance is also an important aspect of this role.
You will also have experience of replicating and backing up Azure SQL Databases and managing Azure Data Warehouses.
Girlguiding values the differences that a diverse workforce brings and is committed to inclusivity, and to employing and supporting a diverse workforce. Girlguiding is proud to be part of the Stonewall Diversity Champions programme, a member of the Business Disability Forum, and a member of Time to Change. While Girlguiding’s young members may be women only, our staff team is mixed gender. We welcome applicants from all backgrounds.
We are committed to supporting our staff to achieve a good work-life balance and offer flexible working options wherever we reasonably can. Girlguiding is a COVID secure employer, providing support for all employees during the current pandemic. All staff are required to carry out our online health and safety training and complete a DSE risk assessment to ensure we can provide the support you require.
It is important that you submit all of the above documents with your CV, including the declaration form, supporting statement and diversity questionnaire. We will consider only those applications that include these completed documents.
We ask that you submit your CV and supporting information as soon as possible as we reserve the right to close vacancies at any time, when we have received sufficient applications.
Interviews will be held remotely during the pandemic.
How to apply
If you wish to apply, please send your CV, declaration form and completed diversity questionnaire to Human Resources at hr@girlguiding.org.uk.",3.8,"Girlguiding
3.8","London, England",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
8,Database administrator,London,Senior Data Engineer,-1,"Ordnance Survey (OS) provides national mapping services for Great Britain and is world-leading provider of geospatial solutions.
OS location data and expertise has helped governments make smarter decisions, businesses gain valuable data insight, and everyone experience the world outside for over 225 years.
Our growing Technology and Design team plays a key role in ensuring OS is at the cutting edge of geospatial capability and is looking for people to join them. Its mission is to work across the business to provide customer centric design and technology services.
Join us and you’ll have an opportunity to make an impact. To empower projects that deliver real-world benefits across Britain and internationally. To hear our customers say they couldn’t have done it without us. And to be central to OS’s vision: to be recognised as world leaders in geospatial services; creating location insight for positive impact.
About the role
As a Senior Data Engineer joining Ordnance Survey’s Data Engineering team, you will provide leadership and expertise in developing new techniques, tools and pipelines. You will transform and manipulate geospatial data into forms suitable for visualisation, analysis and further development with your Agile team.
Providing insight and experience to inform data-driven decision making, your focus will be on building, maintaining and troubleshooting data processing systems to meet business requirements; with an emphasis on security, reliability, fault-tolerance, scalability, fidelity, and efficiency.
Researching and utilising cutting-edge big data and machine learning technologies to automate and simplify processes, is all part of the role. You’ll be a key team member in one of our development teams, with the primary focus of your day to day activities being data manipulation and delivering data pipelines to aid development.
What we’re looking for
A degree level qualification in a quantitative discipline or significant experience in a relevant field, such as statistical modelling or mathematics
Microsoft Azure Cloud Services (or similar)
Working with Databricks and Spark
Relevant programming language(s) and databases
Geospatial data processing and analysis techniques
Influencing key business and technical stakeholders, with strong presentation and consultancy skills
Providing technical coaching and mentoring
Skills in the following would be advantageous:
Line Management
Hadoop, Elasticsearch, TensorFlow, Keras, or equivalent big data processing and machine learning technologies
The rewards
We want you to love what you do. That’s why our benefits package rewards a job well done. We’ll give you:
Salary: £45,951 - £54,060
Performance related bonus
A competitive pension scheme
37 hour working week (with flexible working options)
25 days annual leave - (30 days after five years) bank holidays and an extra 3 over Christmas
Plus, a suite of excellent additional benefits
Location
This role will be based at our state-of-the-art Headquarters in Southampton. However, all our people, where they can are currently working from home.
Closing date
Sunday 29th November 2020
We believe diversity and inclusion is about working together – in a supportive and respectful environment to reach our full potential. We think combining different backgrounds, experiences and perspectives will help us reach our vision and be trusted and admired across the globe for setting the standards and leading the way. We are looking for talented and experienced individuals from a range of backgrounds and welcome applications from any race, age, gender, background or religion.
We’re individually talented and collectively powerful and we give you the space to take your career in whichever direction you want.
We’re always happy to hear from you, so don’t forget to follow us on Twitter, LinkedIn or find us on Facebook.",3.3,"Ordnance Survey
3.3","Southampton, England",-1,1001 to 5000 Employees,1800,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
9,Database administrator,London,Senior Data Engineer,-1,"DKMS have an exciting opportunity within our office in Chiswick, West London for a Database Administrator. You will be working on a full-time permanent basis (37.5 hours per week, Monday to Friday 9am – 5pm) and in return, you will receive a competitive salary of £25,000 per annum plus great company benefits.
About DKMS:
DKMS UK is a national charity and not-for-profit organisation established in the UK in 2013. The organisation works in the field of blood cancer and blood disorders, with the primary aim of recruiting potential blood stem cell donors to the UK registry, who will then be available to donate their blood stem cells to patients in need of a life-saving blood stem cell transplant.
DKMS has grown and developed massively in its nearly 30-year history and is now the world’s largest blood stem cell donor centre, having passed in early 2020 the milestone of recruiting 10 million donors globally. Since its founding, DKMS has created over 85,000 second chances of life (as of June 2020).
As of June 2020, we have recruited c680,000 donors to the UK registry, which account for just over one-third of the 1.9 million registered donors in the UK. Since founding, we have arranged over 1,000 blood stem cell donations and are growing our work and impact at a fast pace.
The Database Administrator role:
The Database Administrator is responsible for ensuring the data on our rapidly expanding database of blood stem cell donors and fundraising supporters is accurate and kept up to date. As the first point of contact for queries, you will provide excellent customer service to all our donors, supporters and stakeholders.
Key Responsibilities of the Database Administrator:

To complete the data import of new online blood stem cell donor registrations on a daily basis, verify incorrect addresses and prepare data for export to our fulfilment partner so that swab packs can be dispatched.
To support the Database Manager in maintaining clean data on the database, including developing cleansing priorities and strategies, so as to ensure potential donors can be easily and quickly contacted if they are matched to a patient.
To create and manage database reports and visualisations to support other departments.
To identify and clean duplicate records, liaising with our data entry company, where required.
To support the Customer Support Team, to adjust and update contact details in the database.
To liaise with International Data Management Team to collaborate on the continuous improvement of the database.
To maintain confidentiality of donor and supporter data, ensure best practice standards are adhered to.
To respond to subject access requests, as required and approved by the Database Manager and Head of Customer Service.
To support requests for second swab packs, as required.
To provide support for ad hoc projects within the Customer Service Department, such as CRM implementation and retention mailings.
To meet with the Database Manager for the purpose of regular supervision and appraisal.
What are we looking for in our Database Administrator?
Educated to A-Level, or equivalent.
Experience of working with a complex or large Customer Relationship Management database.
At least 1 years’ experience in a similar role.
Advanced Excel skills.
Good skills in the other Microsoft Office suite of programmes.
Experience of using data to create regular and bespoke reports and dashboards.
Highly confident in working with large or large CRM databases.
Excellent communication and interpersonal skills (both written and verbal, with a friendly and professional telephone manner).
Well organised with strong attention to detail.
Collaborative working style and team worker.
Ability to work independently.
Proactive and flexible.
Strong passion for the DKMS mission.
Benefits:
25 days’ holiday per annum (plus public holidays)
Season Ticket Loans
Cycle to Work Scheme
Corporate Eye Care Scheme
DKMS pension scheme – automatic enrolment contribution rate: 3% employee, 5% employer.
Further information on staff benefits are coved on our website.
If you think you have what it takes to become our Database Administrator, please apply online today with a supporting statement, we’d love to hear from you!",3.1,"Ordnance Survey
3.3","Southampton, England",-1,51 to 200 Employees,1991,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,Less than $1 million (USD),-1
