,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Help Desk Technician,London,IT Support Technician,-1,"We are looking for a 1st Line IT Support Technician in our growing, transformational charity.

Key responsibilities:

1st line technical ICT support to staff via phone, email and Microsoft Teams
ownership of customer technical issues through to resolution, escalating where needed.
hardware builds, including PC’s, desktops, tablets, phones etc.
technical advice for the ongoing improvements of the Fundraising, HR/Payroll, Operations and Finance systems.
Update systems and servers, apply patches, test systems and liaise with support partners accordingly.
Aid administration of ICT Systems: Internet, Email, Telecoms, Microsoft Office, antivirus/spam software and web filtering.

Are you a 1st Line Service Support Analyst - Service Desk Analyst - 1st Line Desktop Support – 1st Line IT Technician who has the following experience:

Using remote desktop applications to provide support
Minimum 6 months’ experience of IT support in a relevant environment
Providing advice to key users on ICT and systems issues
Willingness to travel
Full clean driving licence

FitzRoy is a national charity that supports people with learning disabilities to develop life skills & achieve their potential. If you are customer-focussed with the ability to research an IT problem and implement solutions, we can offer a stable, permanent role on a full-time basis at our central offices in Petersfield, Hampshire. Join us and be a part of our ambitious digital transformation strategy!

What we can offer in return:

Secure, permanent role
A friendly, flexible environment
25 days holiday (+ bank holidays) rising with service
Pension

We anticipate a large volume of interest in this post, and reserve the right to close this vacancy early should we find the right candidate.

No agencies please",3.7,"FitzRoy
3.7","Petersfield, England",-1,501 to 1000 Employees,1962,Nonprofit Organization,-1,-1,$25 to $50 million (USD),-1
1,Help Desk Technician,London,Technical Support Analyst,-1,"Founded in 2009, P2P is committed to helping retailers in the UK expand their horizons and reach customers throughout the globe. Our flexible delivery solutions are designed to make international e-commerce available to businesses of all sizes, and improve their reputation with customers through efficient, trustworthy delivery services.

Our comprehensive understanding of these destinations’ distinctive delivery services and strong relationships with trusted final mile delivery partners closes the gap between businesses and their customers worldwide.
SUMMARY *
The position of Technical Support Analyst reports directly to the Returns Development Manager.

Providing both reactive and proactive technical support in order to identify and resolve issues within the application

Managing support tickets for both internal and external customers.

Supporting the department in other areas where required.
ACTIVITIES *
1) Responding to ticket requests

2) Maintaining ticket SLA’s

3) Escalating unresolved issues to relevant SME’s

4) Troubleshooting and technical support (application based)

5) Maintain relationships with technical contacts

6) Cross-skill with other members of the Returns team in order to be able to assist in other areas of the platform lifecycle
SPECIFIC SKILLS REQUIRED*
The person appointed shall have a good understanding of API’s and how they work. They should be able to read and understand technical documentation proficiently.

The successful candidate must be able to manage multiple works streams at the same time and be able to structure their work accordingly.

Maintaining good relationships is a key requirement as the successful candidate will be required to work very closely with other teams and our external customers that are integrated into our technology.

Previous experience in international logistics software is advantageous but not essential as full training will be given. Experience in service desk operations is essential.

The person appointed shall be able to work in a team and be able to work efficiently and effectively in a busy and stressful environment where time is of the essence. A general education to GCSE level A-C is required, including the following key skills:

1) An understanding of API’s and their use

2) A good understanding of CSV files and their construction

3) An understanding of file transfers i.e FTP / SFTP, HTTP POST

4) Troubleshooting and technical support

5) Excellent communication skills

A good degree of personal organisation and the ability to manage a wide range of tasks simultaneously; backed up by good organisational ability will be required. They will be expected to work well within a team environment and be a good communicator to all levels within our supplier and internal/external customer bases.

A pleasant, outgoing personality and efficient technique / manner is essential. The ability to learn quickly and adapt to change efficiently is also a key requirement.

Application Deadline: 09/10/2020

Job Types: Full-time, Permanent

Salary: £20,000.00-£22,500.00 per year

Benefits:
Casual dress
Company pension
On-site parking
Store discounts
Wellness programmes
Schedule:
Monday to Friday
Experience:
An understanding of API’s and their use: 1 year (Required)
CSV files : 1 year (Required)",3.9,"P2P Mailing part of FedEx group
3.9","Laindon, England",-1,1 to 50 Employees,-1,Company - Public,-1,-1,$25 to $50 million (USD),-1
2,Help Desk Technician,London,IT Support Technician,-1,"Company introduction*
Southern Solutions was founded in 2008. We are a friendly dynamic team focusing on customer satisfaction and completing jobs to the highest standard. We focus on working closely with customers across a wide range of industries to provide the highest level of support. Our support is focused at the small to medium business market providing a completely managed service to companies across the south. Flexibility in how we work allows us to support a wide range of customers in many different sectors. We are passionate about personal and professional development and will support any successful candidate in the progression of their career through training and hands-on experience.
The IT Support Technician role*
As an IT Support Technician, you will be joining the company’s expanding support department, supporting clients as a member of their outsourced IT department. You will work closely with the team and customers in a varied role, maintaining the company’s excellent customer service, and presenting a friendly, approachable point of contact for all their IT needs.
In the role you will be required to: *
• Be involved in the day to day running and management of the helpdesk
• Create and resolve IT support tickets for customers
• Resolve issues with broadband and leased lines
• Resolve 2nd, moving to 3rd line IT support requests
• Resolve 2nd, moving to 3rd line server related issues
• Maintain a high level of customer satisfaction
• Perform maintenance tasks for servers and workstations remotely
• Visit site to resolve issues adhering to customers SLA
• Visit site to perform planned upgrades/migrations

For site visits a van will be provided
Essential experience / skills required: *
• Minimum of three years’ experience within a similar IT Support role, preferably supporting SME’s
• Infrastructure diagnosis
• Microsoft 365 support and deployment
• Microsoft Windows Server (2016, 2019)
• Microsoft Azure environments
• Hardware troubleshooting
• Advanced router/firewall configuration
• 2nd -3rd line support
Desirable experience / skills*
• Windows Server installation/migration
• Microsoft 365 migration
• Advanced knowledge of DrayTek and WatchGuard firewalls
• Experience working with SQL servers
• MCP/MCTS qualifications
• 3rd line support
What do you need to be successful in this IT Support Technician role*
The successful candidate must have a good amount of experience in a similar role, be presentable, punctual, and possess excellent communication/organisational skills. The candidate should also show a real interest in IT and a desire to progress and build upon their current skill set. You will need to absorb yourself in new technologies and continuous development within this role. This is an opportunity to become a key member of a small team within which you will be able to expand your knowledge, experience, and progress your career. Training is key to understanding new technologies, courses will be offered based on candidate skill set.
Benefits*
Competitive salary
Training
Company events

You must be eligible to work in the UK.

Reference ID: SS02618

Job Types: Full-time, Permanent

Schedule:
Monday to Friday
Experience:
IT Support: 3 years (Required)
Education:
GCSE or equivalent (Preferred)
Work remotely:
No",-1,Southern Solutions,"Whiteley, England",-1,-1,-1,-1,-1,-1,-1,-1
3,Help Desk Technician,London,Customer Support Technician,-1,"JRNI is a scheduling platform for delivering and managing personalized experiences at scale, helping companies build customer relationships, increase revenue, and grow brand loyalty.

It’s an exciting time to join us, we’re in a steady state of growth, supporting Enterprise household brands globally with our complex software. We have offices in the UK, Australia and two in the US, and are always looking for talented, driven people to join us! Life at JRNI is fast-paced and hands-on. We empower everyone by giving autonomy and exposure to real-life commercial decisions every day and we love seeing people grow and progress in sync with our business!

About the role

Working in a fast-paced agile environment, you will confidently respond to technical queries from our clients, troubleshoot issues creatively & technically and successfully navigate our in-house systems. You will be;
Responding to technical queries from customers and prospects
Diagnosing and solving platform issues
Assisting with the configuration of customer booking systems
Logging and keeping records of customer queries using ZenDesk and JIRA
Following up and making scheduled callbacks to customers where necessary
Identifying and escalating priority issues; redirecting problems to appropriate resource
Handling inbound sales enquiries
Testing changes to the platform
Working remotely via Slack with the rest of the Customer Support Team
Collaborating with other departments such as Engineering and Development
About you

You’re technically minded with the ability to effectively communicate with our clients who may have complex queries. You can develop an in-depth understanding of our software and can quickly assess each customer’s IT/Technical knowledge and adapt your approach accordingly. You have;
The ability to clearly document bugs
Basic HTML knowledge
Experience using Cloud Service Desk solutions, e.g. ZenDesk, ServiceNow, Jira, Confluence, etc
Minimum 2 years customer facing API support and trouble-shooting
Experience with API test tools such as Postman or Ready API
ITIL Foundation Certificate and Bachelor’s degree (desirable)
A proactive self-starter mindset, and love suggesting and trying new ideas
If this sounds like you, we’d love to hear from you! Our strong, values-driven culture makes JRNI a great place to work! We care deeply about the growth and happiness of every member of our team. We offer out of office personal learning days, discounted dental and healthcare and free virtual GP access, weekly yoga, monthly social events and regular training, company shares, and flexible working to help you strike the right balance. If you’d like to help us drive this even further forward then please apply now!

Equal Opportunity Employer - We are committed to creating a diverse environment and are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

The above noted job description is not intended to describe, in detail, the multitude of tasks that may be assigned but rather to give you a general sense of the responsibilities and expectations of this position. As the nature of business demands change so, too, may the essential functions of this position.",4.0,"JRNI
4.0","London, England",-1,51 to 200 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
4,Help Desk Technician,London,Technical Support Analyst,-1,"We are hiring a new Technical Support Analyst to join the UK Granicus team. Come use our state-of-the art technology tools and your unique problem-solving skills to help our customers maximize their use of Granicus’ suite of products. You'll be a part of a fast-growing, mission-driven company that contributes to helping more people live better lives!

The Customer Support department is the heart of the technology team and has complete access to the company’s product experts and technical resources. We have a positive work environment that offers professional growth which allows our support representatives to progress into new roles within the company, including engineering or other technical teams. Apply today!

What You’ll Do:

· Own the customer experience as you provide quality product and technical solutions to help customers realize their goals utilizing our products and services

· Develop, demonstrate and maintain technical skills to troubleshoot issues, create test scenarios and investigate software issues based on customer product use

· Maintain and develop expert product knowledge for various Granicus products

· Seamlessly manage customer request tickets to meet Service Level Agreements (SLAs)

· Foster teamwork and collaboration across all teams to continually innovate product and enhance efficiency

· Contribute to 24/7/365 on-call support

· Be part of a fast-growing, positive company that contributes to helping more people live better lives

Who You Are:

· Excellent customer service skills - the ability to communicate clearly and concisely while also empathetic, accurate, compassionate, resourceful and conscientious

· Proven analytical, technical and problem-solving skills with attention for details

· The ability to evaluate, troubleshoot and follow-up on customer issues; replicate and document issues for further escalation

· The ability to be organized, professional and (hopefully) quick-witted

· Comfortable in a fast-paced environment, able to manage multiple projects on tight deadlines

· Ability to work with large amount of information and prioritise tasks

· Ability to explain technical concepts to non-technical customers or colleagues

· Willing to learn and knowledge share

· Take initiative and willing to mentor less technical colleagues

· Positive attitude and a flexible approach

· A passion for software and technology

Ideal candidates also have experience with:

· 1+ year experience in a SaaS Technical Support role

· Basic HTML, CSS and JavaScript

· Using help desk software (Salesforce.com or other CRM platform preferred)

· Jira or another software engineering workflow application

· Experience with third line (development) support and bug fixing

· Experience with databases and SQL (MySQL and MS SQL)

Additional preferred skills:

· Development experience, particularly with PHP and JavaScript

· Knowledge of git and GitHub

· Experience with Amazon Web Services, especially S3 and SDB services

· An interest in a career path in development, DevOps and technology

Granicus is committed to providing equal employment opportunities. All qualified applicants and employees will be considered for employment and advancement without regard to race, color, religion, creed, national origin, ancestry, sex, gender, gender identity, gender expression, physical or mental disability, age, genetic information, sexual or affectional orientation, marital status, status with regard to public assistance, familial status, military or veteran status or any other status protected by applicable law.

#LI-LR1",4.1,"Granicus
4.1","London, England",-1,501 to 1000 Employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
5,Help Desk Technician,London,IT Service Desk Manager,-1,"Company Description

If you are a customer-focused and have experience in offering high-quality service is to all business users, we want to engage with you !

We are looking for an experienced Service Desk Manager to join our innovative and friendly team.

You will be responsible for leading our IT Support team to provide excellent customer service and resolve all technical issues.

A little bit about us, Air Charter Service was established in 1990 in the basement of our chairman’s home. Not only do we offer aircraft charters in the private, group and cargo sectors, but also further services such as on-board couriers, holiday packages and concierge services. We’re not just the largest charter brokerage in the world, but also the largest charter family, holding those same values that started this business at the core of everything we do.

If you are seeking a new opportunity within an innovative company that is always looking for ways to keep up with ever changing technology, then you have come to the right place.

Job Description
Manage the IT Support team and evaluate performance
Ensure customer service is timely and accurate on a daily basis
Recruit, train and support IT Support technicians
Set specific customer service standards
Contribute to improving customer support by actively responding to queries and handling complaints
Establish best practices through the entire support process
Follow up with customers to identify areas of improvement
Develop daily, weekly and monthly reports on help desk team’s productivity
Liaise with external vendors
Oversea new office openings and relocations.
Qualifications
Proven experience as a Service Desk Manager
Incident and Problem Management Experience
Excellent written and verbal communications skills
Team management skills
ITIL qualification
Service Desk ticketing solution experience (Service Now an advantage)
Additional Information
Free onsite gym and subsidised canteen
Cycle to work scheme
Continued professional development
Private healthcare and pension
22 days holiday per year which increases with length of service
A friendly fun and very exciting environment enhanced with regular company-funded social events such and seasonal parties",4.7,"Air Charter Service
4.7","Surbiton, England",-1,501 to 1000 Employees,1990,Company - Private,Charter Air Travel,Travel & Tourism,$500 million to $1 billion (USD),-1
6,Help Desk Technician,London,IT Support Technician,-1,"IT Support Technician

You will ideally be based in one of the following (or commutable): Sleaford, Boston, Spalding, Bourne, Holbeach, Wisbech, King's Lynn

The sites you will be working out of are in King's Lynn

£24,000 to £26,000 + Pension Scheme + Healthcare + Company Benefits

Are you from background in IT Support and are you looking to play a key role in the ongoing success of an industry leading company that have an excellent company culture?

On offer is a varied role where you will have an input with all IT Support but also involvement in projects for an employer who are continuing to expand.

The company are part of a wider group that operate across the globe. They are specialists in the manufacture and supply of a range of products sold across the UK and overseas.

This would suit an IT Support Technician experienced in Windows 10, Office 365 and specifically SharePoint.

The Role:
Daily general IT Support and assist in the support of the IT Infrastructure
Duties include but not limited to: Training staff on IT systems, raising and resolving support tickets, building SharePoint sites and libraries and working with departments closely on this, support the roll-out of new applications, installing all IT related equipment (hardware, software, systems, printers, networks)
Monday to Friday - 7.30am to 4pm - based in King's Lynn
The Person:
Proven and relevant IT Support Experience
Must have experience in Windows 10, Office 365 and specifically SharePoint
Looking to join an industry leading company with a great company culture
IT Support Technician, IT Support, IT Engineer, Technical Support Engineer, IT Technician, Sleaford, Boston, Spalding, Bourne, Holbeach, Wisbech, King's Lynn

If you are interested and think that you meet these criteria then apply or contact Olly Shone",4.6,"Rise Technical Recruitment Limited
4.6","King's Lynn, England",-1,51 to 200 Employees,2005,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
7,Help Desk Technician,London,IT Support Engineer,-1,"We are looking for a new enthusiastic member of our IT Support team. If you have strong customer facing skills are keen to impress / keen to enhance your skills / want to work in a relaxed environment within our IT support team then this could be the job for you.*
Key skills you should have: *
Microsoft Windows Windows 7, 8, 8.1, 10
Microsoft Office 2007 2010 2013 2016 365
Working understanding of networking including VPN/VLAN/NAT/DMZ/DNS/DHCP/TCPIP
Microsoft Windows Server 2003r2/2008/2012/2012r2/ 2016
Microsoft Exchange 2010/2013/2016
DrayTek routers
Office 365
Hosted Exchange server
Additional Skills, which would be advantageous: *
Advanced Windows Server specific skills including in depth AD and GPO
Virtualization using VMWare Esxi and Hyper-V
Microsoft Azure
Cloud technologies
Microsoft SharePoint
Cisco
Ubiquiti
Veeam
We are now looking for a permanent full time experienced IT Support Engineer to join the team. We are a small friendly IT Support team with many long term clients, we liked to work in a relaxed environment although we fully realise the importance of providing a high level of customer service at all times.

We provide technical support to our clients via on-site visits, remote and telephone support. This will be mainly in the Essex area. Server network and desktop Support. Including On-site installations.You will be expected to have a good understanding of IT systems.
Daily Duties: * IT Support for our growing customer base Remote, on-site support, telephone Installation of desktop and server hardware/software at client sites. Configuration of routers/Firewalls and wireless Participate in pro-active monitoring of customers Servers Take ownership of complex problems through to resolution - both desktop and server based.
You will be expected to have strong problem solving skills. To be well presented, outgoing and friendly. A full, clean driving license and willingness to travel

As a company we have been established for over 18 years, we are a small friendly team looking for a friendly new addition to our team.

Full Time position core hours 09:00 to 17.30, occasional weekend work and email/phone cover when required. Over-time available and we believe in rewarding our staff with bonuses for exceptional service.

Job Type: Full-time

Salary: Up to £25,000.00 per year

Schedule:
Monday to Friday
Licence:
Driving License (Required)
Flexible Working Options Available:
Not offered
Work remotely:
No",-1,Spiderweb systems,"Rayleigh, England",-1,-1,-1,-1,-1,-1,-1,-1
8,Help Desk Technician,London,IT Support Technician,-1,"A talented 1st and/or 2nd Line IT Support Technician is required for a position based in Southampton. A salary of between £25,000 - £27,000 is available depending on experience and qualifications.

This is an excellent opportunity to join a small IT team based in Blaby, Leicester. You will be responsible for providing IT end-user and Network Support to one of our biggest clients in Southampton, you will be expected to work at the client’s site providing IT support and help implement complex technology change projects to support the development of the business. You will be supported by the team at the site in Leicester and will occasionally be expected to come to the head office for meetings and updates.

The ideal candidate will have a background in 1st and/or 2nd line support within the IT sector. Some commercial experience would also be advantageous. Ideally, the candidate should also have some knowledge of ERP software.

Duties will include:
Provide 1st line technical support to the client
To support users remotely on onsite with guidance and troubleshooting
To maintain a high degree of customer service for all support queries and use best practice methods
To take ownership of user problems and be pro-active when dealing with user issues
Support users in the use of computer equipment by providing necessary training and advice.
Assist in setting up new machines with the correct software and hardware configuration and software upgrades.
Move IT related hardware between desks and offices when required
Network troubleshooting
Assist in asset management of IT equipment
Required Knowledge of
Active Directory
Office 365
Group Policy Management,
DNS Configuration
DHCP Configuration
Anti-Virus
VPN’s
IP
Hyper V
Firewalls
Reference ID: M235245

Application deadline: 14/11/2020

Expected start date: 01/12/2020

Job Type: Permanent

Salary: £25,000.00-£27,000.00 per year

Benefits:
Company pension
Flexible schedule
On-site parking
Sick pay
Schedule:
Monday to Friday
COVID-19 considerations:
The interviews will be done using TEAM's remotely.

Experience:
IT Support: 3 years (Required)
Education:
Bachelor's (Preferred)
Work remotely:
No",-1,MR H IT,"Southampton, England",-1,-1,-1,-1,-1,-1,-1,-1
9,Help Desk Technician,London,IT Technician,-1,"Hours: Monday to Friday (09:00 - 17:00 Typically, although regular evening work will be required).

Do you want to work alongside a supportive team and move into the medical sector? If you have a passion for IT and you are keen to start a new challenge, then East Berkshire Primary Care Out of Hours (EBPCOOH) would like to hear from you.
Responsible For: *Successful resolution of tickets assigned to the Service Desk and support for all desktop computing
Key Purpose **of Job: * Perform support functionality for EBPCOOH in accordance with all Service Desk procedures and SLA’s, providing support for internal users across multiple sites.
Key Tasks*:
Accurate logging of helpdesk tickets into the Service Desk tool
Ownership of request through to resolution, following up and closing as necessary
Diagnosis and troubleshooting of assigned tickets to resolution or escalation where necessary
Provide a quality level of service to Customers ensuring communication is at the forefront
Setting up from new and re-building Laptops and Desktops
Installation of IT Hardware and Software.
Regular visits across several sites
Other tasks as directed by the IT Manager
PERSON SPECIFICATION *
Qualifications: *Certificate or Diploma in computing (or equivalent) is an advantage but not essential
Experience*:
General experience with using computers
Must be capable of defining a problem and applying a problem-solving methodology
Must be able to prioritise tasks and work under pressure.
Previous customer facing experience (ideal but not essential)
2nd line experience beneficial
Knowledge & Skills: *
Good working knowledge of the Windows desktop operating systems and most common applications.
Knowledge of EMIS and Adastra (ideal but not essential)
Proven abilities in diagnostics and troubleshooting
Proven knowledge of PC hardware
Understanding of Active Directory
VPN experience
Understanding of virtualisation, inc. Desktop, and its benefits.
Keen to learn and willing to help
A good team player
Excellent communications/telephone skills (essential)
Flexible
The Benefits of working at EBPCOOH: *
Blue Light Card which gives you discounts across hundreds of retailers.
20% off Nando’s.
Free Parking.
Ongoing training and support.
Career progression opportunities.
NHS Pension.
Full Certificates for your personal training and development folder.
Dress down Friday's
Please note, candidates must have a full driving license for this position as travelling to multiple sites across Bracknell, Windsor, Maidenhead, and Slough is required.*
Job Types: Full-time, Temporary

Benefits:
Flexible schedule
Store discounts
Schedule:
8 hour shift
Monday to Friday
Experience:
Information Technology: 2 years (Required)
Licence:
Driving (Required)
Shifts:
Evening (Required)
Work remotely:
No",3.5,"East Berkshire Primary Care Out of Hours
3.5","Bracknell, England",-1,51 to 200 Employees,2004,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
