,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,IT Coordinator,London,Manual Handling Coordinator,-1,"Job Summary

Chailey Heritage Foundation are seeking to recruit a Manual Handling Coordinator, to lead the coordination of manual handling, supporting staff training and competencies to deliver best practice, and completing manual handling assessments of all young people, ensuring we meet all regulatory requirements.

Working 22.2 hours per week, reporting directly to the Director of Social Care, the successful candidate will be a model of excellent practice, working with our multidisciplinary teams to drive the development of our staff across the site.

Chailey Heritage Foundation is one of the leading centres in the UK for children and young people with complex neurodisabilities so Occupational Therapy or Physiotherapy qualifications are essential for the delivery of this role, as well as a recognised Manual Handling Assessor Training Qualification such as EDGE, or similar.

This is an exciting opportunity for someone to support us in the delivery of our strategic goals; for a full understanding of the role and its requirements, please read the attached job description.

Why join us?

Competitive rates of pay starting circa £35k per annum, pro-rated
Pension scheme
Comprehensive benefits package including :
Gym discounts - savings of up to 25% on gym memberships. You can select from 3200 gyms, health clubs, boot camps and yoga studios.
Cycle2Work - savings of at least 32% on a new bike or accessories from Halfords
Mobile phone discounts - average saving of 28% on an EE contract
Appreciation awards - receive Love 2 Shop vouchers at key milestones throughout your career
For full details on our benefits please click here
Excellent Working Hours - 22.5 hours per week with flexibility in the days to be worked-please discuss at interview

Strictly No Agencies

Chailey Heritage Foundation is committed to safeguarding and promoting the welfare of children and young adults; as such an enhanced DBS disclosure is required.

Chailey Heritage Foundation is an equal opportunities employer and is committed to promoting diversity and inclusion for all its young people and staff. We welcome applications from all sections of the community.

As part of our recruitment process, Chailey Heritage Foundation (CHF) collects and processes personal data relating to job applicants. CHF is committed to being transparent about how it collects and uses that data to meet its obligations under GDPR. Please ensure you have reviewed our privacy policy prior to completing an application with us.",4.0,"Chailey Heritage Foundation
4.0","Chailey, England",-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
1,IT Coordinator,London,Activities Coordinator,-1,"Are you creative, organized and have a passion for looking after and entertaining others? If yes then we need you!*
Here at the Meath, we are looking for a fun-loving and enthusiastic Activities Coordinator to organize and host a variety of interesting and enjoyable sessions for our residents.
The Role: *
This role is based in Godalming, Surrey and is a one-year, fixed term contract. This is a full time position working 37.5 hours over 5 days a week, Monday to Sunday.

As an Activities Coordinator, it is your responsibility to efficiently co-ordinate SEC (Skill and Enterprise Centre) to be meaningful to people supported at The Meath and external clients who use the centre for connection within the community, peer support, wellbeing integration and sessions involving education and creative experiences.
Key* *Responsibilities: *
These include, but are not limited to;

· Manage, create and design activities based in the Skill and Enterprise Centre.

· Co-ordinate activities with and for the people we support at The Meath, outreach customers and external customers.

· Motivate all staff and people we support to have a meaningful and fun time and to join in the activity.

· Support clients with all aspects of care including personal care, mealtimes and mobility when required.

· Support clients with seizures and their recovery.

· Record daily notes after the session, including a register of attendance, complete review reports, actively be involved with risk assessments and action plans.

· Work in conjunction with the Meath’s Policies and Procedures.

· Attend training to enable you to assist in medication requirements and other needs for protection of yourself and others in the SEC.

· To be able to work with the manager of the SEC to be creative and design and implement new sessions and ideas to keep fresh and exciting with new trends in the activity sector.
Essential: *
· Previous experience working in an activities centre, kids club, SEN school, holiday entertainer or with an activity group such and Cubs or Brownies.

· Understanding of health and wellbeing leading to meaningful relationships (Mental Health signs and symptoms).
Desirable: *
· Previous experience working with epilepsy and/or other learning difficulties.

· Extroverted personality to continually motivate others.

· Willing to train and learn new skills to constantly improve the quality of sessions.

What we offer*:

· 33 days annual leave full time equivalent (including bank holidays)

· Generous pension Scheme – employer 7% contribution / employee 5% contribution

· Perkbox subscription for retail discounts

· UK Health policy (cash back policy for optical, dental, therapy treatments & consultations)

· Free on-Site Gym

· Subsidised onsite café

· Discount in social enterprise café on Godalming High Street

· Godalming station less than 5 mins walk away / free car parking

· DBS free of charge

Contract length: 12 months

Application Deadline: 23/10/2020

Job Types: Full-time, Temporary

Salary: £9.55 per hour

COVID-19 considerations:
To keep our staff and residents safe, we are adhering to the government recommended guidelines, such as keeping a two meter distance when able, using PPE when needed and using hand sanitiser as often as necessary.

Experience:
working with epilepsy/learning difficulties: 2 years (Preferred)
activity coordinating: 2 years (Required)
Location:
Guildford (Preferred)
Work remotely:
No",-1,The Meath Epiliepsy Charity,"Guildford, England",-1,-1,-1,-1,-1,-1,-1,-1
2,IT Coordinator,London,eCommerce Sales Account Coordinator,-1,"International

eCommerce Sales Account Coordinator

Full-time

Rickmansworth, London – United Kingdom

We’re seeking an energetic and dynamic E-Commerce Sales Account Coordinator to join our friendly team in the Rickmansworth office, London. You’ll partner with our sales team to support the growth agenda of Melissa & Doug, Amazon business in Europe. You’ll be involved in many exciting things including account & item set up and management, order processing & tracking and ad hoc sales support. You’ll be an essential part of our mission to inspire creativity and imagination in children throughout the world with thoughtfully designed toys that spark free play.

Our Story

Melissa & Doug started with just a boy, a girl, and a dream. Like many great start-up stories, there was even a garage involved. Nearly 30 years and hundreds of employees later, the company still has that entrepreneurial, playful vibe. With its consistent growth over the past three decades to over $350 million in sales across 100+ countries, with focus on accelerating growth to new levels. To learn even more about our mission, our history and our movement to Take Back Childhood, go to www.MelissaAndDoug.com

Major responsibilities:
Liaise with departments across the organization to provide outstanding support to Amazon Europe
Verify and process orders
Set up products on Amazon’s vendor central
Work alongside Account Managers to ensure best in class content on Amazon through the use of monitoring of our product detail pages and providing recommendations to improve current content
Work with Operations, Safety, Finance, etc. to understand and meet customer requirements
Manage agreements in vendor central
Support operations team through reviewing ongoing chargebacks and operational queries
Support eCommerce Sales Analyst with ad hoc analysis queries

Requirements:
Educated to degree level (Desirable)
Minimum 2 years of experience working in a similar role
Previous Amazon experience at seller level, vendor central and E-commerce
Excellent written and verbal communication skills
Ability to multi-task, prioritize and meet deadlines
Proficiency with MS Office including Excel, Word, Power-point, Outlook and Internet
Excellent attention to detail, strong sense of urgency and ownership
Confident, self-motivated, flexible and willing to learn new skills
Able to think logically, accurately and pro-actively
Fluency in any European language- German, French, Italian and Spanish (preferred)

How to apply for this job:

Please send your resume to Recruiting@MelissaAndDoug.com",2.7,"Melissa & Doug
2.7","Rickmansworth, England",-1,501 to 1000 Employees,1988,Company - Private,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),-1
3,IT Coordinator,London,Sales Coordinator,-1,"International

Sales Coordinator

Full-time

Rickmansworth, London – United Kingdom

We’re seeking an energetic and dynamic Sales Coordinator to join our friendly team, working together to drive sales and build lasting customer relationships. You’ll partner with our sales team and support the Sales Managers in Europe to facilitate the best possible service to the key accounts in France, Italy & Spain. You will be based in Rickmansworth, London. You’ll be an essential part of our mission to inspire creativity and imagination in children throughout the world with thoughtfully designed toys that spark free play.

Our Story

Melissa & Doug started with just a boy, a girl, and a . Like many great start-up stories, there was even a garage involved. Nearly 30 years and hundreds of employees later, the company still has that entrepreneurial, playful vibe. With its consistent growth over the past three decades to over $350 million in sales across 100+ countries, with focus on accelerating growth to new levels. To learn even more about our mission, our history and our movement to Take Back Childhood, go to www.MelissaAndDoug.com

Major Responsibilities:
Act as the facilitator for a smooth order process and be the go-to person to resolve any order related question
Liaise with departments across the organization to provide outstanding support to our customers
Ensure orders maximize container space before shipping
Complete customer quote sheets and listing sheets with all relevant product data.
Collect and distribute product images for catalogs, websites, customer needs
Collect and distribute test reports and compliance documents for customers
Collect and process sample orders for our customers
Provide product set up information to customers
Work with Operations, Safety, Finance, etc. to understand and meet customer requirements
Responsible for monitoring a complete admin check with our customers twice a year
Create final planogram presentations utilizing Spaceman software

Requirements:
Fluency in written and spoken English and French (Essential)
Educated to degree level (Desirable)
Minimum 2 years of experience working in a similar role
Excellent communication and interpersonal skills to connect with internal and external contacts
Ability to multi-task, prioritize and meet deadlines
Proficiency with MS Office including Excel, Word, Power point, Outlook and Internet Explorer
Excellent attention to detail and strong numerical skills.
Strong sense of urgency and ownership
Self-motivated, flexible and willing to learn new skills
Confident, professional telephone manner and customer focused
Able to think logically, solving problems accurately and pro-actively

How to apply for this job:

Please send your resume to ukcareers@melissaanddoug.co.uk",2.7,"Melissa & Doug
2.7","Rickmansworth, England",-1,501 to 1000 Employees,1988,Company - Private,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),-1
4,IT Coordinator,London,User Involvement Coordinator,-1,"User Involvement Coordinator - South

This role will engage a diverse range of service users across the UK, to listen to their views on how Terrence Higgins Trust services should develop, pilot projects to test this and to facilitate how they can actively participate in these future developments. You will:
Test innovative approaches with users to keep our work fresh and relevant, shaping how we work and what we do.
Develop and implement digital activity to support the programme
Actively work with users and colleagues to promote meaningful engagement with the programme
The nature of this programme is exploratory and so you will be comfortable with working in a fluid environment.

This role will cover the South & Home Counties region with a focus on our Brighton, Hove and West Sussex services. The base of the role can be discussed in more detail at interview.

This is a full time post, however flexible options can be considered. Please indicate preference in the body of your application.

We particularly welcome applications from people from Black African and Minority Ethnic communities, and from those living with HIV.

This recruitment is happening on a rolling basis so early applications are encouraged. Recruitment may close early should a suitable candidate be found before the closing date.

The organisation

Terrence Higgins Trust was set up in 1982 following the death of its namesake Terry Higgins, who was one of the very first people to die of an AIDS-related illness in the UK. As an organisation we are always aiming to ensure we are always meeting the needs of people affected by HIV and poor sexual health.

The Directorate

The Transformation and Operations team sits at the heart of our charity. Made up of our Income Generation department that works to find every pocket willing to give to our cause and our services that deliver to our many beneficiaries, this is the sharp end of where our passion and focus to end HIV and improve sexual health come together.

Why join Terrence Higgins Trust

A courageous organisation

We formed in 1982 following the death of Terry Higgins, one of the very first to die from an AIDS-related illness in the UK. Since then, we’ve acted boldly and passionately to meet the challenges of this ever-changing epidemic. Now as the UK’s leading HIV and sexual health charity, we are looking to take new, innovative steps to drive forward our ambition.

An ambitious organisation

We are working to end HIV transmission in the UK, help people to live with HIV and improve the nation’s sexual health. It’s a critcal moment - for the first time our goals are within reach. We are working together with our beneficiaries and partners to make the end of HIV transmission a reality. Through digital technology, and bold, new ways of reaching those in need, we will reduce transmission, improve sexual health and help people living with HIV thrive.

A people organisation

Terrence Higgins Trust is its people- our beneficiaries are at the core of our organisation, driving how we work, where we work and what we do. Our talented staff create our innovative and engaging programmes, many of whom are also living with HIV. Our passionate supporters and volunteers enable us to do everything we can to make a difference to so many lives.

Terrence Higgins Trust makes people’s lives better every day. Come and do the most meaningful work of your career. Whatever your story, we want to hear from you.

Safeguarding

At Terrence Higgins Trust we are committed to the safeguarding and protection of the vulnerable adults and young people with whom we work and we will do everything possible to ensure that only those who are suitable to work with these groups are recruited to work for us. Certain posts are therefore subject to a range of vetting checks including a Disclosure and Barring Service (DBS) check in England and Wales or Protection of Vulnerable Groups (PVG) check in Scotland.

Having a criminal conviction and/or any other information divulged on the DBS/PVG check would not necessarily prevent you from working for the trust, but any recruitment decision will be dependent on the nature of the position sought and the circumstances and background of the offence(s).",3.0,"Terrence Higgins Trust
3.0","Brighton, England",-1,201 to 500 Employees,1982,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),-1
5,IT Coordinator,London,IT Business Partner,-1,"Company Description

IQ-EQ is a leading Investor Services group which combines global expertise with an unwavering focus on client service delivery. We support fund managers, global companies, family offices and private clients operating worldwide.

Job Description

Our IT team partners with the business to support technology solutions that address current challenges and future needs of the enterprise to give digital edge to IQEQ clients.

We strive to be a leading edge IT organization with innovative and dedicated people who focus on customer satisfaction, execution and delivery of first class services.

We have a new and exciting opportunity for an IT Business Partner in our Group Technology Services Team based in the UK. This role will be a homeworking role, as travel will be a requirement of the role to support the business locations and offices such as London, Isle of Man, Ireland, Jersey and Guernsey

The IT Business Partner has broad responsibility with the assigned business units and functional areas for the purpose of business technology support, solution discovery, service management, risk management and relationship management. The IT Business Partner serves as the link between business units (and group functions) and IT, and provides highly valued support and guidance. They collaborate with business leadership teams and key stakeholders to define opportunities, drive service improvement, escalate for positive solutions and report on IT services being delivered, as well as feedback to the IT teams on priorities and business changes.

The IT Business Partner provides support in delivering technology products that meet the needs of the business, striving to understand customer priorities and challenges.

Responsibilities
Service Reviews and senior escalation of incidents
Managing and achieving SLA compliance, analysis, review and reporting
Service Improvement Plan Management, communication and preparation
Ticket review and escalation
Post Incident Review preparation, reporting and tracking
Major incident escalation from Service desk and Support teams, assessment, communication
Establishing, developing and maintaining ITIL Continual Service Improvement plans
Jurisdictional Vendor/3rd party relationship
Attend CAB representing your Business’ interests
Problem Management – raise and manage identified service and system problems (including technical and process)
Regional Project support, occasional project management and business analysis
Agree consistent DR plans between business BCP and IT Infrastructure owners, and ensure / report that tests are performed as required. Compliance with applicable laws, service standards, company policies and procedures and agreed operational and control process
Identify, evaluate and progress and new business technology solutions
Local onsite support resource relationship, and bi-lateral IT / Business support and escalations
Possess a broad knowledge of most technical and business resources and use them effectively to directly coordinate team members and resources
Risk management; raise risks to appropriate stakeholders as they are encountered, and manage risk mitigations
Qualifications

Skills you need to Succeed:
Extensive experience working in Service Management, operations and Delivery
ITIL Foundation, Microsoft certification, Cisco Certification
Excellent communication skills
Prioritise workload and delivering within tight timeframes
Project Management/business analysis is desirable, but not essential
Experience in working with the financial services industry is desired, but not essential
Additional Information

At IQ-EQ we want you to reach your full potential. We offer an inclusive and diverse environment to support your career aspirations. With a strong emphasis on continuous learning and a holistic approach to your professional and personal development. We also offer opportunities across our service lines and our international network of offices.",3.5,"IQ-EQ
3.5","London, England",-1,1001 to 5000 Employees,1896,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
6,IT Coordinator,London,Care Coordinator,-1,"Here at Bluebird Care we pride ourselves on delivering the highest quality care to the elderly and vulnerable within our local communities. *We are looking for an experienced Care Coordinator *to join our award winning team based in Maidstone.
We are looking for the applicant to have excellent organisational skills, good IT skills and have the ability to work under pressure.*
The Care Coordinator will be responsible for the following: *
Managing rotas/schedules
Keeping accurate records
Maintaining good working relationships with customers and Care Workers
A strong knowledge of domiciliary care is essential and experience with Staffplan Roster software knowledge is desirable but not essential.*
This is an ideal position for a candidate who wants to work with a friendly team and progress within the care industry.

We are happy to consider either Part / Full time for this role, we are also happy to consider candidates looking to work within school hours. The salary for this role will depend on your working hours.
To progress with this role please APPLY NOW.*
Job Types: Full-time, Permanent

Salary: £20,000.00 per year

Experience:
Care Industry: 1 year (Required)
Care Coordinator: 1 year (Required)
Location:
Maidstone, Kent (Preferred)
Licence:
Full Driving Licence (Required)",-1,Bluebird Care Maidstone,"Maidstone, England",-1,-1,-1,-1,-1,-1,-1,-1
7,IT Coordinator,London,Wellbeing Coordinator,-1,"Wellbeing Coordinator

Warlingham, Surrey
30 Hours per week
Salary: £9.60 per hour

Caring Homes is currently recruiting for a Wellbeing Coordinator for our home Cramer Court located in Warlingham, Surrey. The home is designed around the needs of its residents and will provide the highest level of residential, nursing and dementia care.

This is an exciting role to work as a dynamic and motivated Wellbeing Coordinator where you will help promote independence, dignity and quality of life at all times in a person centred caring and supportive environment. Understanding individual personalities, feelings and lifestyle to enable us to provide each resident with personalised activities relating to their unique interests, making meaningful activity an essential part of care, so our residents can live each day in the way they want.

You will be passionate about providing a varied 7 day programme of activities to stimulate and keep our residents engaged, you will work in close conjunction with the care team, where you will build good relationships with the residents and relatives.

Responsibilities:

Responsible for providing stimulation and encouragement to residents through entertainment, activities and community links.
You will help our residents maintain active and independent lives through the creation and delivery of individualised activity plans based on their interests, abilities and life experience.
Coordinating a calendar of entertainment within the home for both indoor and outdoor activities.
To ensure a variety of daily activities suited to residents lifestyles are taking place in the home throughout the day
To formulate an activity profile for each individual resident through liaison with care/nursing staff.
Build relationships with residents, their friends and family members tailoring individual lifestyles
Liaise with senior nursing staff in respect of relative medical or nursing care information regarding residents.

Skills:

Previous experience of creating a 7 day programme from scratch and also organising activities within a care setting is essential.
Understanding of the different types of activities elderly residents will enjoy.
Creative flair with a range of practical skills e.g. arts & crafts.
Ability to motivate and engage people with good negotiation skills.
Ability to plan a calendar of activities.
Able to create an environment where residents feel able to participate and contribute ideas.

What are some of the benefits we can offer you?

Great rates of pay – we regularly review regional and competitor pay rates to ensure we’re offering the best incentives to work with us
Flexible hours – enabling you to balance work and home life.
Voluntary Benefits Package – offering amazing retail discounts at over 8,000 locations nationwide, enabling our staff to make savings of up to £1,500 per year
Personalised career path ladders including support with your Care Certificate to ensure fulfilling career development
Learning and Development programme with full induction training including buddy system
Employee Assistance Programme – Immediate access to a confidential telephone counselling and legal information service which operates 24 hours a day, 365 days a year
Online Health Portal - All colleagues have access to the online health portal which enables you to make the most of full access to an encyclopaedia of health information
Refer a Friend Scheme – earn up to £500 refer-a-nurse and £250 refer-a-friend for care and support workers.
We are a Wagestream employer, this enables you to keep track of your earnings, have instant access to 40% of wages already earned and access guidance to help with financial wellbeing.

To Apply:

If you want be part of this exciting journey and join our family we’d love to hear from you to discuss this fantastic opportunity further. Please contact Lucy; lcollins@caringhomes.org",3.6,"Caring Homes
3.6","Warlingham, England",-1,1001 to 5000 Employees,1994,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
8,IT Coordinator,London,Care Coordinator,-1,"Our busy and very successful branch in Burgess Hill are seeking a Care Coordinator to join the growing, close-knit Mid-Sussex team.

Coastal Homecare, a leading Social Care provider in the South East, need your expertise to assist us in supporting our service users. Coastal Homecare are a family-owned business that have been providing reliable, professional care since 1986.

As a Care Coordinator you'll make sure that every service user and care worker receives a warm welcome and a responsive efficient service.

You'll talk to service users and care workers offering them support and guidance, always prepared to go that extra mile. This is a highly varied role where no two days are the same.

You will be:

• Scheduling Care Workers and putting together rotas

• Using effective rostering to fully utilise staff hours

• Acting as the first point of contact for Care Workers providing advice and guidance

• Providing an excellent service for our customers, care workers and other healthcare professionals

• Ensuring compliance is met with CQC minimum standards

Above all we need a Care Coordinator who wants to be part of a high quality service where everything is tailored around the client's needs. If you feel that you can always put the client at the forefront of the service and lead a team to do the same we would love to hear from you.

About you:

• Attention to detail

• Ability to professionally communicate with Clients and Care staff is an absolute requirement

• Previous experience within a Care Setting is preferable

• Experience as a Care Coordinator or scheduler would be very desirable

• Ideally qualified to Level 3 Health & Social Care or equivalent is desirable and a good level of IT proficiency is essential

What we offer:

• Fully funded professional development

• Have a voice to share your ideas to improve and develop the service

• Long service bonus

• Excellent career progression

Job Types: Full-time, Permanent

Salary: £19,000.00-£22,000.00 per year

Schedule:
8 hour shift
Monday to Friday
Experience:
Care Coordinating: 1 year (Preferred)
Location:
Burgess Hill, West Sussex (Preferred)
Licence:
Driving licence (Preferred)
Work remotely:
No",-1,Coastal Home Care,"Burgess Hill, England",-1,-1,-1,-1,-1,-1,-1,-1
9,IT Coordinator,London,Activities Coordinator,-1,"As an Activities Coordinator, you are absolutely essential to the well-being of the residents that we support. At the Trust we aim for our homes to be vibrant, joyful communities with a wide range of stimulating activities and entertainment available, with something to suit every taste and ability

You will be required to get to know our residents, and their families; to tailor an on-going programme of activities and events aimed at promoting their independence and social engagement, and to ensure everyone has personalised involvement that suits their needs.

What experience do you need?

You will be joining a very committed team, led by a supportive management team. So albeit that someone with experience working with older people in a residential setting would be beneficial, it isnt essential. Whats more important is that you have experience creating, organising and delivering great events, engaging with your local community.

What will you get in return?

You’ll be working for one of the largest not for profit care providers in the UK. A great advantage of being a large organisation is that we can offer competitive pay, generous benefits and training to reward you for taking such good care of our residents.

#AJ2

Reference ID: Meadowcroft Activities Coordinator

Part-time hours: 20 per week

Job Types: Part-time, Permanent

Salary: Up to £11.87 per hour

Benefits:
On-site parking
Sick pay
Schedule:
Day shift
Monday to Friday
Experience:
Care Home: 1 year (Required)
Location:
Thame, Oxfordshire (Preferred)
Work remotely:
No",4.0,"Orders of St. John Care Trust
4.0","Thame, England",-1,1001 to 5000 Employees,1991,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
