,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,IT director,London,Project Manager- IT Infrastructure/ Applications,-1,"Posting Date:
26 October 2020
Location:
Portsmouth, Hampshire, GB, PO6 3EN
Company:
Babcock
IT Project Manager- Infrastructure/ Applications
Lakeside, Portsmouth
SF31627

About the role
Here at Babcock International, Devonport we’re looking to recruit an IT Project Manager- Application / Infrastructure to join an established, projects focused team working at our Devonport site.
As an IT Application / Infrastructure Project Manager, you’ll be working on the delivery of application based projects using Agile, and will be reporting into a Portfolio Manager.
You will be joining a busy, highly motivated team of 20-25 Project Managers and PMOs and will be working on application based projects. A generalist software application project management background would be ideal.

And as you’re supporting our business, we’ll be supporting you. We offer excellent benefits, facilities and amenities.

What do I need to do the role?


With proven infrastructure and software application project management experience, you will have excellent stakeholder management experience and an ability to work multiple concurrent projects.

We would also like you to have experience in all or some of these areas:
Experienced IT professional, focussed on being a part of a cost effective and efficient programme management team
Strong Project management experience
Software application Project Management experience
Microsoft Project experience essential (and Project Server preferred)
PRINCE/APM or equivalent certification
Full life cycle software application delivery
Agile knowledge
Experience of managing 4/5 projects simultaneously

What else do I need to know?
The successful candidate must be able to achieve the appropriate security clearance level for this role.
Please follow the link to find out more about how COVID-19 is impacting Recruitment and On-boarding for applicants: https://www.babcockinternational.com/wp-content/uploads/2020/07/Babcock-Guidance-for-Applicants.pdf
We are happy to talk about flexible working. Please ask about alternative patterns of work at interview.


About Babcock International
For more than a century, Babcock, the Aerospace and Defence company, has been trusted to deliver bespoke, highly-skilled engineering services. We help customers in the UK and around the world to improve the capability, reliability and availability of their most critical assets within the four market sectors of Marine, Land, Aviation, and Nuclear, underpinned by a deep understanding of technology integration, unique infrastructure and specialist training.
We’re committed to providing a great employee experience in a supportive and engaging environment. The benefits you can expect to enjoy include a generous holiday entitlement, competitive money purchase pension scheme with life assurance and a share ownership scheme. You’ll benefit from excellent career and learning and development opportunities to ensure that you grow and achieve your full potential.


Application Guidance
All applications should be made online. Please use a desktop PC or laptop to create your account and apply for a job. Once you’ve completed this you’ll be able to apply to jobs from mobile devices.
If you experience difficulties please check our career website for more information. Recruitment correspondence is normally by email so please check your email account and spam folder regularly.
We are committed to building an inclusive culture and strives to attract talent who thrive in an inclusive and flexible working environment.
If you have a disability or need any reasonable adjustments during the application and selection stages please let us know and we will respond in a way that best fits your specific needs.


Armed Forces Covenant
We are proud to support the Armed Forces community by honouring the Armed Forces Covenant. We recognise the value that Serving Personnel, both Regular and Reserves, Veterans, Uniformed Cadet Instructors and Service Families contribute to our business and the United Kingdom. As part of the Covenant, Babcock offers Reservists and Uniformed Cadet Instructors up to 2 week’s special paid leave to help them meet their commitments.
#LI-POST",3.4,"Babcock
3.4","Portsmouth, South East England, England",-1,10000+ Employees,1891,Company - Public,Architectural & Engineering Services,Business Services,$5 to $10 billion (USD),-1
1,IT director,London,Chief Technology Officer,-1,"CTO OPPORTUNITY WITH WORLD CLASS RAPIDLY SCALING SPORTSTECH COMPANY IN LONDON - FULLY REMOTE - UP TO £100k!
CTO with experience scaling startups or a strong desire to work in a scaling startup? Or a Team Lead/Manager who is ready for the next step? Love to stay hands on and drive teams to success? Great then this opportunity with an innovative global Sportstech firm creating cutting edge solutions to help clubs around the world connect to their fan base is for you!
Working directly with the two Co-Founders the CTO will be responsible for leading the expanding development team and help drive the tech and products forward for the company. Initially you will be working on the clients blockchain enabled platform, working with some of the world’s largest, most recognised sports stars and teams. Working with and enforcing a collaborative team ethic amongst both the front-end and back-end development teams you will be charged with driving the tech mission forward for the company whilst being hands on.
What you will need to apply:
8 years+ engineering experience with some experience with the React framework;
Experience/desire to work within a start-up and scaling a tech team;
Knowledge and understanding of how to build and lead on a product;
Expert understanding of Typescript
Comfortable using common development tools such as git
Comfortable working in an agile team, comfortable pair-programming and code-reviewing
1+ Years experience running Kubernetes clusters in production
Broad understanding of the Kubernetes eco system
CI and build tools, automated testing
Extensive AWS experience
Exposure to Node.js and Postgres
What would be extra awesome:
Experience of building applications with React Native
Experience with 3rd party SDKs (e.g. Firebase, branch.io, Facebook, AWS, Codepush)
Up to date React knowledge – especially hooks
Diagnosing and fixing app performance problems
Experience of setting up testing
Experience with kops, Grafana, Prometheus, Kibana
Docker
What’s in it for you?
Being the CTO of one of the worlds most downloaded free apps
Equity
Playing a key role in creating fan-engagement across multiple products
Working to the Netflix model….. Unlimited holidays!
Take part in virtual team activities including “lunch and learn” and “Team Challenges”
A truly fun environment where everyone is encouraged to grow as professionals
Remote working for now and the foreseeable.
If you are a CTO or wanting to become a CTO then please apply and one of our consultants will be in touch within 24 hours!
Reference ID: RA-FTT001
Job Types: Full-time, Permanent
Salary: Up to £100,000.00 per year
Benefits:
Unlimited paid holidays
Work from home
Schedule:
Monday to Friday
COVID-19 considerations:
Work from home.
Experience:
Typescript: 4 years (Preferred)
AWS: 5 years (Preferred)
ReactJS: 2 years (Preferred)
Software Engineering : 8 years (Preferred)
Team Lead: 3 years (Preferred)",5.0,"Ray Associates
5.0","London, England",-1,1 to 50 Employees,-1,Self-employed,-1,-1,Less than $1 million (USD),-1
2,IT director,London,Chief Executive Officer (CEO)/Managing Director,-1,"We are a stealth start-up, set to disrupt the healthcare sector with a pioneering digital model in 2021.
Quite simply, our ground-breaking technology will revolutionise audiology healthcare by delivering at-home, remote diagnostics and innovative solutions. It's going to be a game-changer.
We are projecting rapid roll-out and high growth. We are looking for an experienced Chief Executive Office (CEO)/Managing Director who can build the brand nationally and deliver smooth customer journeys for our clients.
As a dynamic and diligent Chief Executive Office (CEO)/Managing Director, you will build and lead an e-commerce startup, provide clear strategic direction to create and deliver a vision for success for this exciting new company.
You must be a prudent manager and an inspiring leader. You'll have a proven business mindset and see the “big picture” in a variety of settings. You will also be agile, taking actions to enhance the company’s cash flow whilst keeping the human factor and the customer experience at the very forefront of what we do.
And you will have energy, drive and enthusiasm to take the business from ingenious start-up to thriving national scale up.
Responsibilities of Chief Executive Office (CEO)/Managing Director;
· Develop high quality business strategies and plans ensuring their alignment with short-term and long-term objectives
· Lead and motivate to advance employee engagement develop a high performing managerial team
· Oversee all operations and business activities to ensure they produce the desired results and consistent with the overall strategy and mission
· Make high-quality investing decisions to advance the business and increase customer satisfaction, operational efficiencies, revenue and profit
· Enforce adherence to legal guidelines and in-house policies to maintain the company’s legality and business ethics
· Review financial and non-financial reports to devise solutions or improvements
· Build trust relations with key partners and stakeholders and act as a point of contact for important shareholders
· Analyse problematic situations and occurrences and provide solutions to ensure company survival and growth
· Maintain a deep knowledge of the markets and industry of the company
Skills and Experience of Chief Executive Office (CEO)/Managing Director;
· Proven experience as Chief Executive Office (CEO)/Managing Director or in another executive managerial position within an e-commerce company, ideally within the Digital Health market
· Experience in building and leading an e-commerce startup to scale.
· Experience in developing profitable strategies and implementing vision
· Strong understanding of corporate finance and performance management principles
· Familiarity with diverse business functions such as marketing, PR, finance etc.
· In-depth knowledge of corporate governance and general management best practices
· Experience in managing distribution and production logistic including customer services
Person Specification of Chief Executive Office (CEO)/Managing Director;
· An entrepreneurial mindset with outstanding organisational and leadership skills
· Analytical abilities and problem-solving skills
· Excellent communication and public speaking skills
· Strong sense of ownership and ability to deliver.
· Excellent interpersonal skills, success-driven, creative and inventive.
So what can we do in return for you, as this process works both ways?
Well, apart from a competitive package including continued retainer, share options/profit sharing, pension, private health insurance etc. personal growth, career development plans and performance bonus, you'll also be part of something special and be the driving force in its success.
We also believe in providing an environment where employees can flourish – initially you will be working remotely with an objective of setting up an office around Cambridgeshire
Application deadline: 30/11/2020
Job Types: Full-time, Permanent
Salary: From £60,000.00 per year
Application Deadline: 30/11/2020
Expected Start Date: 01/12/2020
Job Types: Full-time, Permanent
Salary: From £60,000.00 per year
Additional pay:
Bonus scheme
Benefits:
Company pension
On-site parking
Private medical insurance
Profit sharing
Schedule:
Monday to Friday
Experience:
Chief Executive Office (CEO)/Managing Director: 3 years (Preferred)
Location:
Cambridge, Cambridgeshire (Preferred)
Work remotely:
Yes, occasionally",-1,Online Hearing Care Ltd,"Cambridge, East of England, England",-1,-1,-1,-1,-1,-1,-1,-1
3,IT director,London,Veterinary Clinical Director GU29 9EA,-1,"Clinical Director required at Springfield Vets in Midhurst, West Sussex
The Role
We are looking for a Clinical Director to join our small animal practice in Midhurst, West Sussex. The role involves working closely with the rest of the team on a day to day basis, providing clinical support and guidance where needed. It also involves working closely with the Business Support Manager, to be aware of changes that are happening on a group-wide basis and enable these changes at a practice level. You should be an experienced and competent Veterinary Surgeon who is willing to lead the team in clinical matters and help in their development. The role involves managing the diary and the day to day running of the clinic, being involved in the finances of the clinic and leading the progression and development of the practice. We pride ourselves on excellent patient care and welfare, along with amazing and supportive staff.
About Us
We are a two site 100% Small Animal practice and nurse training centre in Midhurst, located within easy access to London and the beautiful South Downs National Park. We have digital x-rays, ultrasound, and all the usual toys. We are a small, kind, friendly team, with qualified veterinary nurses, and support staff.
Applicant Requirements
We are looking for a dedicated and enthusiastic Clinical Director who is motivated, experienced and has strong communication skills. Management experience although not essential, would be an advantage.
Benefits (pro rata)
30 days paid holiday not including bank holidays
5 days paid CPD leave
£1500 CPD Allowance per annum
Company bonus scheme
Private Medical Insurance
RCVS membership paid
VDS membership paid
BVA Membership paid
Service based holiday entitlement increases
Enhanced maternity, adoption, shared parental leave and surrogacy pay
Enhanced paternity pay
Birthday leave
Discounted veterinary fees
My Benefits - various discounts including retail & gym memberships
Cycle to Work scheme
Pension
CPD/training support
Paid bereavement leave
Company sick pay
Employee opinion survey
Free uniform in a number of roles
Annual pay reviews
Social events
Sponsorship for overseas employees
Academy & Leadership courses
Focus on employee wellbeing
Relocation packages
Career progression opportunities
Free flu jabs
As a Disability Confident Employer we are keen to hear from candidates with disabilities and long term health conditions, and would be happy to discuss any reasonable adjustments needed during the recruitment process.
IVC500
Reference ID: BH1823
Job Types: Full-time, Permanent
Schedule:
Monday to Friday
Weekends
Licence:
RCVS (Required)",-1,Springfield Veterinary Surgery,"Midhurst, England",-1,1001 to 5000 Employees,2001,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
4,IT director,London,Interaction Design Director,-1,"Are you ready to do your career’s best work with a once-in-a-lifetime opportunity to pioneer a new type of experience at the intersection of physical play and technology?
Creative Play Lab (CPL), LEGO’s innovation department and origin of successful products like LEGO® Super Mario, is incubating a new (top secret) project. CPL’s mission is to create exciting new experiences which share our love of LEGO building with future generations of kids, whilst keeping play relevant for existing builders.

We are looking for a seasoned design leader to manage, challenge and inspire a highly innovative team. Equipped with extensive people leadership and interaction design experience – demonstrated through successful launches of cutting-edge products – you will re-define toys by creating magical and memorable moments that will wow kids for decades to come.

You will lead your agile team through this high-stakes, category defining project. No two days will ever be the same but here’s a snapshot of what you can expect.
Core Responsibilities
In partnership with the Toy Design Director, translate the product vision into a design direction, leading the Design teams across intuitive UX, toy and electronic interaction design.

Represent the voice of our audience – the child. You are a big kid with an understanding of the psychology of play and design for kids (experience creating play for kids, play loops, play mechanics, rewards systems and how play relates to human responses & vice versa).

Drive the user experience development process, deeply integrating design research with kids. Ensure that kids can intuitively understand the core system functions, set-up & use them seamlessly, then be surprised, delighted and inspired by the results.

Integrate Toy & Tech – champion play first but ensure the tech delivers. Represent the two on behalf of the kids, uphold our play and tech principles and use them in your decision making.

Protect the investment – help less technical members of the team understand the desirability, feasibility and viability impacts in technical trade-off discussions – ensuring solutions are fun.

Advocate to the Tech team to ensure the project delivers intuitive and productive design authoring tools, to enable design teams to work quickly and iteratively, delivering maximum play quality.

Evangelize to the LEGO Product Groups – partnering with internal stakeholders, understand the needs of the existing LEGO Product Lines and use this to inspire and guide interaction development. Convince the existing Product Lines of the play & UX value of the project.

Play your part in our team succeeding

We aim for the highest bar in innovation, and working with our internal and external partners we make sure that our innovations move smoothly into production.

The team are tackling strategically important projects designed to create new toy categories, and this complex project requires a substantial investment in technology and its success factor rests on the quality of the UX, interactions and play the technical innovation creates for kids. The Interaction Design Director takes the primary responsibility for ensuring that the system experience is easy, intuitive and playful.
Do you have what it takes?
Experience and track record are more relevant than specific education. We would love to meet applicants from diverse backgrounds.

Experience in explorative work and R&D – thrives with ambiguous, early development projects and brings organised focus to discovery phases of a project. Experienced with Agile and rapid iteration environments.
Several years of experience as a leader in a creative role – team leadership, goal-setting, people development.
Demonstrated experience in pushing boundaries beyond typical, existing play types – e.g. creating a never-before-seen type of play.
Demonstrated ability to make difficult trade-off decisions and explain reasoning to gain buy-in from the team.
An energizing and inspiring leadership style – champion your team, empower them and unlock their potential whilst pushing for the highest standards, always represent the voice of the kids in all decision making.
Pragmatic dreamer – you will be able to show projects where you created grand visions based in deep market understanding and grounded in the play needs of mainstream kids.
A challenger mindset – help evolve the broader business by role modelling new approaches and ways of working, do not accept the status quo.
Natural connector – adept at forging relationships with internal stakeholders, to evangelise the project and solicit input.
Technically literate & creatively minded – experienced with complex consumer electronics projects and software development, having lead interactive or interaction teams in a creative industry (toy, games).
Good command of project/development management tools is an advantage (e.g. Jira, Microsoft Project, Hansoft).
Experience of development tools, such as Unity and Git, is an advantage.
Advanced level of English.
The successful applicant will be asked to take part in a Child Safety Background Check.

Other Considerations
We offer a flexible approach to your primary office location, working either out of LEGO® ’s home town of Billund, Denmark, or London. There may be travel to each of the team studios from time to time, as needed by the project. As you will be leading a distributed team, the ability to lead remotely is essential.
Join the global LEGO® family
Children are our role models. Their curiosity, creativity and imagination inspire everything we do. We strive to create a diverse, dynamic and inclusive culture of play at the LEGO Group, where everyone feels safe, valued and they belong.

The LEGO Group is proud to be an equal opportunity and an affirmative action employer. We are committed to equal employment opportunity regardless of race, colour, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.

We support our employees in being there for the moments that matter in life and celebrate families of all kinds, the loved ones that make us who we are. Being part of the LEGO Group also means taking part in our annual Play Day, playing a part in building a sustainable future and continuing our mission to “inspire and develop the builders of tomorrow.” Build your career brick by brick at the LEGO Group.

#LI-NS2",4.4,"LEGO
4.4","London, England",-1,10000+ Employees,1932,Company - Private,Consumer Products Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
5,IT director,London,Veterinary Clinical Director SO16 6TL,-1,"Clinical Director required at Christopher Carter Vets in Southampton
The Role
We are a single site small animal surgery located on the outskirts of Southampton seeking a Clinical Director to join our close knit team. The role is for a motivated team leader to fully integrate with our family of 6 vets, 9 Nurses and 2 support team members. CPD is actively encouraged to allow team members to fulfil their full potential. No OOH as the surgery is covered by Vets Now, approximately 1 in 4 Saturday morning as solo charge. Dedicated half a day off a week. Widely recognised as a special group of family friendly caring professionals, our team strive for continuity of care for our patients and aim for the highest standards with the personal touch. We would welcome applications from Veterinary Surgeons seeking part time hours also.
About Us
The practice, based in central Southampton, is well-established and highly regarded with a strong and loyal client base. Its close proximity to the New Forest National Park and the water sport amenities of the Solent, allow for added lifestyle perks for both staff and clients alike. We are an RCVS General Practice Accredited and a training practice for VN’s (currently 2 in training) with comprehensive range of diagnostic equipment (Extensive IDEXX in-house laboratory machines, ultrasound, X-ray with digital plates, ECG etc) and a range of internal fixation orthopaedic equipment.
Applicant Requirements
UK experience preferred. We need a Clinical Director / Surgeon to be able to seamlessly fit into our busy, friendly team with a sense of humour and a good work ethic. New ideas are welcomed and encouraged. An interest in all aspect of the job required with an interest in surgery an advantage. Will be required to assist teaching New Graduates with surgery etc.
Benefits (pro rata)
30 days paid holiday not including bank holidays
5 days paid CPD leave
£1500 CPD Allowance per annum
Company bonus scheme
Private Medical Insurance
RCVS membership paid
VDS membership paid
BVA Membership paid
Service based holiday entitlement increases
Enhanced maternity, adoption, shared parental leave and surrogacy pay
Enhanced paternity pay
Birthday leave
Discounted veterinary fees
My Benefits - various discounts including retail & gym memberships
Cycle to Work scheme
Pension
CPD/training support
Paid bereavement leave
Company sick pay
Employee opinion survey
Free uniform in a number of roles
Annual pay reviews
Social events
Sponsorship for overseas employees
Academy & Leadership courses
Focus on employee wellbeing
Relocation packages
Career progression opportunities
Free flu jabs
As a Disability Confident Employer we are keen to hear from candidates with disabilities and long term health conditions, and would be happy to discuss any reasonable adjustments needed during the recruitment process.
IVC250
Reference ID: BH1814
Job Types: Full-time, Part-time, Permanent
Schedule:
Monday to Friday
Weekends
Licence:
RCVS (Required)",-1,Christopher Carter Veterinary Surgery,"Southampton, England",-1,1001 to 5000 Employees,2001,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
6,IT director,London,Performance Account Director (Remote),-1,"Role
As a Performance Director, you would be in charge of leading the strategy for between 2-5 of our portfolio of high-growth clients, devising ways to improve results both in and out of the major platforms that we operate on (Paid Social and Paid Search). The work is extremely varied, looking at different business challenges for each client and giving you the space to creatively apply your knowledge at a number of different levels.
There are 3 main responsibilities of the role:
1. Account performance
You are the one responsible for ensuring we achieve successful results for our clients and you will work in conjunction with our excellent Campaign Managers to deliver industry-leading campaigns.
2. Client Relationship Management
Your role is to understand the goals of the client and help them set things up to best meet those objectives. We also like to build collaborative relationships with our clients that also make it enjoyable to be a part of.
3. People Development
As a senior member of the team we would expect you to have a positive impact on those around you, helping to train those you are working directly with and giving support to the development of others. PDs are often line managers too, however, that is not always the case.
Required Experience
– Minimum 5 years of experience running direct response marketing campaigns on a biddable platform (Paid social, Search)
– A proven track record of hitting targets and executing your work to a very high standard
Desired Qualities
– Ability to operate autonomously
– Strong analytical and numeracy skills
– Excellent written & verbal communication skills
– Self-motivated
– Fast learner
– Proactive
Benefits
– Fully remote working means you can work from wherever you want, no commute and no ties to any particular location.
– Work with some of the best digital marketers in the industry and a range of exciting, high-growth companies in different industries
– Unlimited holiday. Yes, we don’t have a cap on holiday
– Competitive salary based on experience and the opportunity to grow with clear progression plans
About TRGT
Not your typical agency...
We set up TRGT because we felt a lot of agencies were overcharging and underdelivering where it really mattered; there was too much emphasis on making results look good rather than actually making them good. We focus all of our time on improving returns for our clients using a combination of industry-leading expertise, in-house tech and excellent collaboration. The results speak for themselves.
We offer a fast-paced, dynamic and inclusive environment where all employees can have an impact. Our people are our most important asset and you will be challenged to achieve, grow and develop. You will get a lot of autonomy within your work and are looking for proactive people that thrive in such environments. We encourage a healthy work-life balance and have a flexible approach to making work hours fit around personal obligations outside of the workplace.
We've been working remotely for 6 years; we know how to build teams, collaborate and deliver projects without being in the same room and all business structure and processes are designed with this in mind.
Job Type: Permanent
Salary: £50,000.00-£65,000.00 per year
Benefits:
Casual dress
Company events
Company pension
Flexible schedule
Profit sharing
Sick pay
Unlimited paid holidays
Wellness programmes
Work from home
Schedule:
Monday to Friday
Experience:
Digital Performance Marketing: 5 years (Required)
Work remotely:
Yes",-1,TRGT Digital,"London, England",-1,-1,-1,-1,-1,-1,-1,-1
7,IT director,London,Technical Director,-1,"Technical Director Job Specification
· To support members of the senior management team and wider sales team with technical expertise in relation to project and product specific requirements
· To work alongside the rest of the management team ensuring that technical specifications and drawings are produced to a high standard
· Liaise with other Departments on a regular basis, in order to review and comment on a range of construction / technical issues from potential sites through to existing developments.
· Priorities and manage workload effectively ensuring concise and regular communications is maintained with both internal and external stakeholders.
· In accordance with corporate responsibility for the business, work effectively as part of the senior management team and take a “whole company” perspective to managing issues.
· The job holder has corporate governance responsibilities which extend across all business areas and which require the job holder to actively promote best practice throughout the company.
· The job holder, with fellow Directors has corporate responsibility for the management of the company; including the general running of the company and seeking to positively influence the progression and growth of the company.
· Comply with responsibilities as laid down in the Group’s Health & Safety Policy in order to ensure a safe working environment for employed, sub-contractors and members of the public.
· Ensure compliance with the same, throughout the Department.
· Monitor and continually review the quality being produced to ensure that at all stages of the tender and delivery process, the highest standards are being achieved.
· To perform any other Ad Hoc duties are required by the management team.
Reference ID: SA-03
Application deadline: 23/11/2020
Expected start date: 24/11/2020
Job Types: Full-time, Permanent
Salary: £50,429.00-£75,000.00 per year
Additional pay:
Bonus scheme
Schedule:
Monday to Friday
COVID-19 considerations:
We are Currently working Remotely and also from the office when necessary using social distancing methods
Experience:
Construction Partition: 5 years (Required)
Work remotely:
Yes, temporarily due to COVID-19",-1,Specwall Alliance Limited,"Crowborough, England",-1,-1,-1,-1,-1,-1,-1,-1
8,IT director,London,Director of Performance,-1,"Organisation
UK Sport

Salary
Director Level

Location
London, Currently working remotely given restrictions

Contract type
Permanent (Full time)

Closing date
6 December 2020

Job Description
Are you passionate about showcasing Britain’s sporting success on the global stage? Committed to inspiring the nation, bringing communities and countries together as we create new decade of exceptional sporting moments? Are you an exceptional leader and relationship builder, skilfully able to lead a large team, whilst bringing your knowledge and experience of elite performance sport? Are you considered by your peers to be a performance expert who can truly lead British Olympic and Paralympic success? If so, we want to hear from you.

Following our pausing of this recruitment after the summer, we are now restarting our recruitment for this critical post. Now, more than ever, it is critical that the Director of Performance is able to work closely with our senior leaders in sports, understanding their new world and using that insight to shape our future. It is a unique role, representing one of the most significant global appointment opportunities in high-performance sport.

We’re searching for an outstanding leader, an innovative thinker and a results-driven team‐player to play an integral role in UK Sport’s leadership team. Working directly for our CEO and leading a highly talented and committed team, you’ll be joining us at an exciting time in Britain’s sporting success story. Join us and you’ll be leading our work in shaping the work of our performance directorate, linking it to the future organisational strategy. Shaping our pathway to success through Beijing, Paris and beyond. Through horizon scanning and identifying the next performance opportunity gains, you will be ensuring that we uphold Britain’s global leadership position on the sporting stage and continue to inspire a nation.

The Tokyo Games are soon upon us. Our sports are ready to deliver on the greatest stage.

If you think you have what it takes, please read our detailed recruitment pack (link in how to apply section) or pick up the phone and speak to Dawn Brown in confidence to find out more about the role. Dawn can be contacted by mobile on 079369 228160 or via email at dawnbrown@positivedynamics.co.uk.

We are particularly interested to hear from candidates who have not previously applied.

About UK Sport

Working at UK Sport is all about how we can inspire the nation through Olympic and Paralympic success. We know the power that sport has and we want to deliver inspirational sporting moments that the whole county can feel proud about and motivated by, through success at the Olympic and Paralympic Games, through the staging of major international sporting events in the UK and by making sure all of our sports are run with world leading standards of culture, governance and integrity.

Want to find out what it’s really like to work here? Then please follow this link to hear from current staff: https://vimeo.com/326316751

UK Sport offer a competitive benefit package this includes:
• Defined benefit pension scheme
• Employer pension contribution of 12%
• Pension Allowance of 4%
• 6 weeks Annual Leave
• Interest free season ticket loans
• Enhanced Maternity/Paternity/Parental Leave
• Healthy Lifestyle allowance of up to £480 per year
• Cycle to Work Scheme

How to apply

If you think you have what it takes, please read our detailed recruitment pack here or pick up the phone and speak to Dawn Brown in confidence to find out more about the role. Dawn can be contacted by mobile on 079369 228160 or via email at dawnbrown@positivedynamics.co.uk.

We are particularly interested to hear from candidates who have not previously applied.

To apply please login to our recruitment portal and follow the instructions at the following link:
https://www.cloudonlinerecruitment.co.uk/uksport/

UK SPORT IS AN EQUAL OPPORTUNITIES EMPLOYER
We’re committed to a diverse and inclusive workplace and strongly encourage applicants from all backgrounds and walks of life. Come and join us.
Interviews to take place in December 2020.",4.2,"UK Sport
4.2","London, England",-1,51 to 200 Employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$1 to $5 million (USD),-1
9,IT director,London,Business Unit Director,-1,"Company description
Family owned M+E company.
Job description
City & Guilds qualified
CSCS Card
Minimum 5 years’ Experience
You will have a recognized commercial Gas qualification – essential
You will be Gas Safe certified – essential
HVAC knowledge – desirable
You will have a full driving licence - essential
Willing to carry out plumbing tasks
Un vented hot water
Significant experience ideally gained in retail environment
Understanding of commercial M&E service technologies
Awareness of budgeting of parts and material usage
Skills Competence
Ability to work unsupervised in a pressurized environment dealing with store teams and members of the public
Committed to delivering exceptional customer service
Actively contributes to the team’s targets either individually or by supporting others
Appreciation of refrigeration systems and the ability to provide visual only inspection
Proficient IT skills
Capable of prioritizing a complex and demanding workload
Flexibility and willingness to learn
Enjoys working with people
Application deadline: 27/11/2020
Expected start date: 30/11/2020
Job Type: Permanent
Salary: Up to £45,000.00 per year
Benefits:
Company car
Company pension
Free or subsidised travel
Schedule:
Monday to Friday
Experience:
gas: 5 years (Preferred)
Work remotely:
No",-1,B&R Bars,"West Thurrock, England",-1,-1,-1,-1,-1,-1,-1,-1
