,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,IT security specialist,San Francisco,IT SPECIALIST,-1,"SUMMARY:
Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. Respond to computer security breaches and viruses. Provide technical assistance to our team members. Answer questions or resolve computer problems for team members in person, or via telephone or electronically. Provide assistance concerning the use of computer hardware and software, including phone system, CRM, printing, installation, word processing, electronic mail, and operating systems.

DUTIES:
Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.
Monitor current reports of computer viruses to determine when to update virus protection systems.
Encrypt data transmissions and erect firewalls to conceal confidential information as it is being transmitted and to keep out tainted digital transfers.
Perform risk assessments and execute tests of data processing system to ensure functioning of data processing activities and security measures.
Modify computer security files to incorporate new software, correct errors, or change individual access status.
Review violations of computer security procedures and discuss procedures with violators to ensure violations are not repeated.
Document computer security and emergency measures policies, procedures, and tests.
Confer with team members to discuss issues such as computer data access needs, security violations, and programming changes.
Monitor use of data files and regulate access to safeguard information in computer files.
Coordinate implementation of computer system plan with establishment personnel and outside vendors.
Train team members and/or other users and promote security awareness to ensure system security and to improve server and network efficiency.
Answer team member inquiries regarding computer software or hardware operation to resolve problems, and provide technical assistance and support.
Assess and track compliance with regulatory and legal requirements relevant to our business such as the CCPA, GLBA, and Payment Card Industry Data Security Standard Coordinate with 3rd party audits.
Oversee the daily performance of computer systems.",1.9,"Financial Rescue
1.9","Milpitas, CA",-1,51 to 200 Employees,2008,Company - Private,Lending,Finance,$10 to $25 million (USD),-1
1,IT security specialist,San Francisco,Client Relationship Specialist –,-1,"Your Opportunity:

Our branch network is part of the broader Investor Services organization and is primarily responsible for helping individuals and families with their financial needs. Whether it’s retirement planning, charitable giving, estate planning, active investing or managing banking and lending needs, Investor Services can help.

To read more about our client offerings visit: Charles Schwab - Investor Services

What you are good at:

Building strong, personal relationships with our clients is a key component of our business strategy.

Our Client Relationship Specialists will pursue this mission through:

Greeting our clients and prospects as they arrive at the branch
Delivering unparalleled value, excellent service and providing a positive client experience
Assisting the Branch Manager and sales staff with meeting our client's needs

We are looking for people with a passion for helping clients. You will be responsible for:

Receiving checks and or security deposits, check disbursements and new account processing
Actively uncovering additional business development opportunities
Scheduling clients with an Associate Financial Consultant and/or Financial Consultant for further consultation

We believe that our values have helped us to build both a successful business model and an outstanding work environment. We value teamwork, integrity, service, open communication, and perseverance.

If you want to be apart of a firm that truly values your contributions, consider a career at Charles Schwab.

To learn more about the culture at Schwab, click here to meet our people.

What you have:

We place a premium on high performance, quality service and the ability to execute the Schwab strategy. Essential skills include:

Bachelor's degree or equivalent work related experience
A valid and active Series 7 license is required (may be obtained under a condition of employment)
A valid and active Series 63 license is required (may be obtained under a condition of employment)
Notary preferred
Minimum 12 months in a client service industry
Basic understanding of brokerage regulations and rules that govern client accounts
Demonstrated experience handling client concerns and issues with tact and diplomacy
Outstanding written and oral communication skills
Ability to work independently and effectively as part of a team, while handling multiple tasks and responsibilities simultaneously
Ability to manage multiple client situations, needs and inquiries simultaneously
Need be able to build and maintain good cross enterprise working relationships",3.7,"Charles Schwab Inc.
3.7","Los Altos, CA",-1,10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1
2,IT security specialist,San Francisco,Compliance Specialist,-1,"Do you have a compliance background, and want to use that expertise to advise a fast-growing business on emerging legal issues? Are you creative and like to think on your feet? Do you want to shape the future of the cannabis industry? If so, then this role is for you.

Stachs LLC is a subsidiary of Eaze Technologies and supports the operations of a network of cannabis delivery, manufacturing & distribution facilities. Eaze, our technology arm, uses sophisticated logistics and technology to facilitate access to fast delivery of a broad variety of cannabis products.

The Compliance Specialist will serve as a key point person in managing cross-functional compliance initiatives across the company, helping ensure that Stachs and its facilities adhere to the many laws and regulations applicable to the cannabis industry and corporations operating within it. Reporting to the VP of Compliance, this role is essential to ensuring that Stachs remains at the forefront of this rapidly changing industry.

What you'll do:
Research relevant laws, regulations and ordinances on Federal, state, and local levels.
Coordinate with internal teams, including product, growth, operations, marketing, and finance, to implement laws and regulations.
Work with Stachs external retail and brand partners to ensure they are in compliance with all applicable laws and regulations.
Continually audit and review Stachs systems to ensure compliance with existing and new regulations.
Build, implement and manage compliance audit processes across Stachs facilities.
Serve as a point of contact for Health and Safety, Security, and HR teams.
Who you are:

2+ years experience in a fast paced industry, with legal or regulatory experience preferred
Bachelor's Degree
Ability to research and interpret state compliance documents and regulations
Familiarity with regulations, licensing, and related terminology
Can take a project and run with it
Willing to learn and be challenged
Excellent communication, interpersonal, and organizational skills
A can-do, customer-focused, optimistic attitude
High expectations for success
Why You Should Join:

As an organization, we are keenly aware of the injustice of the war on drugs - which for so many years has been used to incarcerate black and latinx people on a massive scale. We are always trying to do our part to support these communities, whether it's through the promotion of social equity brands or funding underrepresented cannabis business founders through our accelerator program.

We are committed to growing a diverse and welcoming team in a safe space to be yourself and learn from your colleagues. Minorities, women, and LGBTQIA+ people are encouraged to apply!

We strive to be an equal opportunity employer and enthusiastically encourage people from a wide variety of backgrounds and experiences to apply. Eaze/Stachs does not discriminate by race, color, religion, sex (including pregnancy), gender, national origin, citizenship, age, mental or physical disability, veteran status, marital status, sexual orientation or any other basis prohibited by law.

Powered by JazzHR",3.8,"Eaze Solutions Inc.
3.8","San Francisco, CA",-1,51 to 200 Employees,2014,Company - Private,Internet,Information Technology,$25 to $50 million (USD),-1
3,IT security specialist,San Francisco,"Licensed Health Insurance Specialist - Performance bonus incentives, work from home",-1,"Assurance has opened up 100 spots nationally for Licensed Health agents to join our platform by 10/31

Join the revolutionary ASSURANCE platform in time to have the best Open Enrollment Period (OEP) of your career. Earn from the industry’s best comp plan, selling trusted health insurance plans to exclusive, in-market shoppers.

Work as an independent, remote, contract agent. Enjoy the freedom of working with an unbelievably flexible schedule, helping exclusive, incoming shoppers – at no cost to you. It’s like Uber for insurance!

Sell with a lenient 45-day chargeback window, and get paid daily (same day commissions)!

Through the platform we’ve built over 3.5 years, we’ve erased agency inefficiencies and we’re built for your success, with free training, support, and analytics.

Terms & Conditions

Pay these out at the first Wednesday of every month to lessen the operational burden of executing these payments.
The health team will be assisting in the ACA ready to sell bonus data gathering as we are currently the only ones who have access to this data.

Take advantage of:

Exclusive, free, and active shopper leads sent straight to you
Recognized and trusted carriers (UnitedHealthcare, Cigna, Anthem, and more)
Commissions and production bonuses. There are no caps on how much you can earn and many agents make over $90,000 annually. Earn up to $50,000 in OEP alone
Assurance will spend over $300 million in 2020 to acquire high-intent shoppers that are delivered to our agents at no cost
1,000s of Guides prospecting and delivering shoppers to you
Access to the Assurance platform (no dialing, product recommendations)
Have maximum control of your career as a 1099, independent contractor

What you need:

5 Health insurance state licenses
Short Term Medical experience
Hospital Indemnity experience
Affordable Care Act experience
High-speed Internet, reliable computer, and headset with microphone
Understanding of HIPAA privacy and security laws, and insurance regulatory laws
Don't miss this exciting Work at Home opportunity - apply now!",3.7,"ASSURANCE Independent Agents
3.7","Stockton, CA",-1,201 to 500 Employees,2016,Company - Public,Internet,Information Technology,$100 to $500 million (USD),-1
4,IT security specialist,San Francisco,Senior IT Support Specialist,-1,"IT at Ripple keeps the lights on and enables our employees around the world to work as productively as possible. We're looking for an enthusiastic Senior IT Support Specialist to join our team in our San Francisco headquarters. This position will report to the IT Support Manager.

WHAT YOU'LL DO:
Act as the sole IT point of contact/liaison for our Executive team, which includes C-level, SVP, VP, and Executive Assistants
Provide one-on-one, white-glove IT, AV, and event support for our Executive team
Build and own the executive IT support process and procedures
Be the most technically knowledgeable and proficient member of the IT Support team
Provide strong technical leadership and coaching to the global IT Support team, and act as a technical escalation point
Ensure the team is following policies and procedures
Work on a range of IT projects
Provide front-line IT support to employees via walk-ups, tickets, and chats
This position has two unique functions beyond regular IT support:
IT support and liaison for our Executive team
Technical leadership for the IT Support team
WHAT WE'RE LOOKING FOR:
5+ years of IT support experience in a corporate environment
Significant experience supporting company executives and executive assistants
Strong technical knowledge across all pillars of corporate IT, including email, AV, videoconferencing, networking, security, cellular, etc.
Extensive experience with Macs, iOS, G Suite, and videoconferencing in a business environment
Experience with Windows 10, Android, Slack, and Okta
Can troubleshooting any issue without assistance by applying troubleshooting methodology on unfamiliar systems
Bonus skills:
BlueJeans
Cisco WebEx
Jamf
Jira
Confluence
Chrome OS
WHAT WE OFFER:
The chance to work in a fast-paced start-up environment with experienced industry leaders
A learning environment where you can dive deep into the latest technologies and make an impact
Competitive salary and equity
100% paid medical and dental and 95% paid vision insurance for employees starting on your first day
401k (with match), fully paid parental leave, commuter benefits
Generous wellness reimbursement and weekly onsite programs
Flexible vacation policy - work with your manager to take time off when you need it
Employee giving match
Modern office in San Francisco's Financial District
Fully-stocked kitchen with organic snacks, beverages, and coffee drinks
Weekly company meeting - ask me anything style discussion with our Leadership Team
Team outings to sports games, happy hours, game nights and more!
WHO WE ARE:

Ripple provides one frictionless experience to send money globally using the power of blockchain. By joining Ripple's growing, global network (RippleNet), financial institutions can process their customers' payments anywhere in the world instantly, reliably and cost-effectively. Banks and payment providers can use the digital asset XRP to further reduce their costs and access new markets.

With offices in San Francisco, New York, London, Mumbai, Singapore, São Paulo, Reykjavík, Washington D.C. and Dubai, Ripple has more than 300 customers around the world.

Ripple is an Equal Opportunity Employer. We're committed to building a diverse and inclusive team. We do not discriminate against qualified employees or applicants because of race, color, religion, gender identity, sex, sexual preference, sexual identity, pregnancy, national origin, ancestry, citizenship, age, marital status, physical disability, mental disability, medical condition, military status, or any other characteristic protected by local law or ordinance.

Please find our UK/EU applicant privacy notice here.",4.4,"Ripple
4.4","San Francisco, CA",-1,201 to 500 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
5,IT security specialist,San Francisco,IT Systems Administrator,-1,"Better is redefining homeownership and making it simpler, faster—and most importantly—more accessible for everyone. We leverage technology and expertise to find ways that we can make the homebuying journey more approachable and understandable. Right now we’re funding over $2 billion in home loans per month We’ve funded over $14 billion in loans and $3.5 billion in insurance We ranked #1 in the U.S. on LinkedIn's Top Startups 2020 We ranked #11 on Fortune’s Best Places to Work in Financial Services 2020 Our Founder and CEO was named in Comparably's Top 25 CEOs for Diversity We were listed to Forbes’ FinTech 50 2020 And #15 on the 2020 CNBC Disruptor 50 We’ve secured over $254 million from our investors to date Our company is made up of driven, passionate people who bring their unique backgrounds and perspectives to everything we do and we are committed to fostering diversity, multiculturalism, and inclusion. We see the perspectives that each person brings and a diverse workforce as essential for individual and collective success. We believe it’s important to foster a company culture that encourages curiosity and passion—from employee resource groups and learning opportunities to team outings and community outreach. A Better opportunity: Better is looking for a self driven person to help us build, maintain, and oversee our IT function. This person will work strategically with our IT Manager & various team managers to make sure our IT practices stay aligned with business needs. The ideal candidate is a customer-service driven, technical person who can manage day-to-day operations and provide escalation support for the IT team & support to end users across the organization. This person should be comfortable multi-tasking, able to maintain high attention to detail, and be resourceful as needed. Responsibilities will include: Support OS X and Windows users (e.g. software installs and VPN troubleshooting) Provision, manage, and repair of employee's laptops Enforce best practices of office IT security Provision and support of VOIP telephony and telepresence equipment Support wired and wireless networks Create documentation for frequently asked questions Asset management and procurement Escalate to Leadership appropriately Respond to, and diagnose, problems through discussions with users, including problem recognition, logs, research, isolation, resolution, and follow-up steps; Provide level 1 remote desktop support and perform other activities based on SOPs Perform user account management activities Escalate complex problem to appropriate support specialists Responsible for activities relating to the evaluation, analysis, and setup of PC-based software products Troubleshoot client software and basic network connectivity problems Identify, evaluate and prioritize customer problems and complaints May train users and operators on a limited basis and/or may write training procedures Participate in on-going training and departmental development Routine maintenance updates with other IT staff and business units Create all required documentation including standards, configurations and diagrams Lead various projects on the IT Support team. Some cross-functional work may be required. About You: 3-5 Years Experience Familiar with Active Directory Basic networking knowledge (OSI network layers, TCP/IP) required. Preference for those who have worked for regulated companies Fluent in English (Orally & Written) Familiar with Help Desk ticketing systems Preference for those who have worked with overseas IT offices in the past Experience with Saas management Project-based work experience Able to motivate a team Bonus Points for: Understanding of working in a cross-platform (Windows and macOS) environment. GSuite Admin experience a plus. Okta / Jumpcloud experience a plus. The Better mission is rooted in values that drive us. We do what’s in the best interest of the consumer, not ourselves We have growth mindsets, not fixed ones We believe that success lies in execution, not credentials We act like owners, not just employees We work to find answers on our own, not wait for them to be given to us We optimize for mission, not ego Our mission speaks for itself—we continue to outpace the industry at every turn. We’ve recently joined forces in partnership with Ally Bank, and our backers have helped build some of the most transformative tech and finance companies in history. Kleiner Perkins, Goldman Sachs, American Express, Citigroup, Activant Capital, Ally Bank, and others have invested in our vision for what homeownership can be. Better is an equal opportunity employer. We do not discriminate on the basis of race, color, religion or religious creed, sexual orientation, gender, gender identity, marital status, family or parental status, disability, military or veteran status, age, or any other basis protected by law. All employment decisions at Better are based on a person’s merit, business needs, and role requirements. Depending on your location, the California Consumer Privacy Act or other laws may regulate the way we manage the data of job applicants. For further information on how we collect data of job applicants, please click here. By submitting your application, you are agreeing to our use and processing of your data as required.",4.3,"Better Mortgage Corporation
4.3","Oakland, CA",-1,1001 to 5000 Employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
6,IT security specialist,San Francisco,Compliance Specialist,-1,"Iterable is the growth marketing platform that enables brands to create, execute, and optimize campaigns to power world-class customer engagement across email, push, SMS, in-app and more with unparalleled data flexibility. We are an integrated, cross-channel solution—Iterable is built for marketers, trusted by engineers, and designed with intelligence. We know this space well: our product team built the growth systems that powered Twitter's early success. We've raised a $60M Series D from top-tier investors like Index Ventures and CRV, and hundreds of companies like Zillow, SeatGeek, and Box rely on us to captivate their many millions of users.

Iterable's momentum grows daily and there has never been a more exciting time to join the team! We've been recognized as one of the Best Places to Work - SF for three years running and we have also made Best Places to Work - Denver for 2020. In addition, Wealthfront listed us on their 2020 Career Launching Companies List and we've earned ourselves a top 20 spot among the SaaS 100. Lastly, we have a nationwide presence with offices in San Francisco, New York, and Denver, plus our first international office in London.

How you will make an impact:

Compliance Specialists are motivated team players who ultimately drive positive change in a company's risk posture. This critical role ensures that risks which are known to the organization are evaluated and addressed in a timely manner. They partner with various stakeholders to achieve the common goal of preventing cybersecurity breaches. You'll report directly to our Compliance Manager.

We're looking to expand our small but growing organization with teammates who are intellectually curious, willing to embrace challenges, all while keeping our company values of Humility, Trust, Growth Mindset, and Balance top of mind. One of our core values is growth mindset and Iterable is a company where everyone can grow. If this is a role that excites you, please do apply as we value applicants for the skills they bring beyond a job description.

In this role you'll get to:
Lead security and compliance risk assessments
Problem solving to devise solutions, and present actionable risk information and remediation strategies
Conduct regular checkpoints with stakeholders to assure remediation activities are effectively executed
Create timely and accurate status reporting related to remediation activities
Project manage cross-functional remediation efforts
Support external audit engagements (i.e. SOC2, ISO, Customer-driven)
Support compliance management efforts regarding GDPR and other privacy standards
We are looking for people who have:
Prior experience partnering with Engineering, Legal and Sales organizations
Customer service mindset and Iterable's values of Growth Mindset, Trust, Humility and Balance
Experience using compliance frameworks (ISO, NIST, PCI, SOC2, etc)
Working knowledge of risk assessment fundamentals (impact analysis, residual risk analysis, mitigation strategies, etc)
Experience managing risk remediation lifecycle
Prior exposure and technical aptitude for understanding application and infrastructure vulnerabilities; especially in cloud environments.
Perks & Benefits:
Paid parental leave
Competitive salaries, meaningful equity, & 401(k) plan
Medical, dental, vision, & life insurance
Flexible PTO
Daily lunch allowance
Monthly Employee Wellness allowance
Quarterly Professional Development allowance
Pre-tax commuter benefits
Complete laptop workstation
Iterable is an Equal Employment Opportunity employer that proudly pursues and hires a diverse workforce. Iterable does not make hiring or employment decisions on the basis of race, color, religion or religious belief, ethnic or national origin, nationality, sex, gender, gender-identity, sexual orientation, disability, age, military or veteran status, or any other basis protected by applicable local, state, or federal laws or prohibited by Company policy. Iterable also strives for a healthy and safe workplace and strictly prohibits harassment of any kind. Pursuant to the San Francisco Fair Chance Ordinance and other similar state laws and local ordinances, and its internal policy, Iterable will also consider for employment qualified applicants with arrest and conviction records.

Last Update: 10/14/20",4.7,"Iterable
4.7","San Francisco, CA",-1,201 to 500 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1
7,IT security specialist,San Francisco,Background Check Specialist,-1,"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Opportunity


The Background Check Specialist is an integral part of our broader shared services team within the Employee Resource Center (ERC). The ERC motto is that with every interaction, the ERC is helping employees navigate through their Adobe journey. Come join the team who is shaping those experiences! This role will have key ownership of the Background Check process, balancing program integrity and security with making sure our candidates receive the best experience possible. As this is one of the first processes our soon-to-be employees have with Adobe, it is high impact and requires someone with swift and consistent follow-though. Professionalism and confidentiality are crucial to success. Besides ensuring the actual completion of all background checks in the Americas for Adobe, this person will also be a driver for the global background check program design, vendor implementation and integration process.

What you'll do
Collaborate with program owner to define and deploy program improvements
Conduct background checks for pre-hire and acquired employees
Responding to and vetting customer requested background checks
Work closely with vendor to remediate issues
Triage case management system to ensure timely responses to requests
Train cross-functional teams and partners on process
Support with generalist responsibilities and projects as needed
What you need to succeed
Bachelor’s degree or equivalent relevant experience.
3+ years of experience in Talent, Recruiting, or HR Generalist roles with knowledge of hiring and onboarding processes
Successful Project management experience with a cross-functional team
Demonstrated maturity and sound judgment
Strong analytical skills and attention to detail
Self-starter, resourceful and ability to independently drive to results
Strong organizational and time management skills. Capable of multi-tasking in a fast-paced environment
Solid verbal, written, and presentation communication skills
HR Shared Services experience is a plus",4.3,"Adobe
4.3","San Francisco, CA",-1,10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),-1
8,IT security specialist,San Francisco,IT Specialist,-1,"Summary of Role:

We are seeking a talented IT specialist to join our growing medical technology company. This individual will be running day-to-day IT operations working with cross functional teams . The ideal candidate will have excellent people skills and a can-do attitude as well as a passion for working on a cutting-edge, life-saving product.

Responsibilities:
Provide IT support to our employees by collaborating closely with stakeholders in a cross-functional collaborative environment.
Manage equipment inventory from evaluation and purchasing to license management and maintenance.
Oversee all Element Science hardware, software, servers, internet/VoIP etc., for the office(s)
Monitor costs for these tools and provide solutions to drive efficiency
Find technical solutions for the specific needs of our employees.
Manage and maintain AV aspects of our office: conference rooms and systems, meetup areas, projectors, speaker systems
Help define and drive IT policy decisions, procedures, and internal
documentation
Help with implementation of our business operations SW infrastructure as needed
Participate in and/or complete other activities as assigned
Qualifications:
Minimum of 2-3 years of related experience
Experience setting up and maintaining Windows servers and Virtual Machines
Generalist knowledge in various IT areas, such as networking, desktop support, and security, and methods used in those areas.
Understanding of security industry best practices for endpoints and peripherals.
Experience setting up and configuring systems cloud and on-prem systems like AWS, NetSuite etc.
Experience working in a team-oriented, collaborative environment.",3.9,"Element Science
3.9","San Francisco, CA",-1,1 to 50 Employees,2011,Company - Private,Health Care Services & Hospitals,Health Care,Less than $1 million (USD),-1
9,IT security specialist,San Francisco,Security Specialist,-1,"Security Specialist will play a critical role in protecting the people and property of NorCal Cannabis Company on the company's campus and by monitoring remote locations. The purpose of this position is to stand post and/or patrol campus by foot, enforce policy, and investigate all facility related incidents.

This is a full time position located in Santa Rosa reporting to the Security and Safety Manager.

Start date will be in January 2021
Security Reception Desk
Responsible for ensuring that all employees, suppliers, and visitors on company property have proper company issued identification
Ensure that the client, its associates, and facility personnel are provided with a safe and professional work environment
Patrol assigned post on foot to maintain visibility and observe possible unusual activity
Ensure that daily administrative documentation is kept complete at all times; maintain all daily assigned equipment in functional and presentable condition
Investigate and report maintenance and safety conditions which might endanger personnel, including fires, evacuations, hazardous situations, or other facility related events; provide back up to client personnel as needed
Emergency Response
Respond to all requests for assistance relayed by company management; submit incident reports
Responsibilities include crowd control and assisting Police Department/Fire Department/EMS or other officials during these processes; maintain control at traffic accidents, assist victims, and investigate causes
Investigation and Video Monitoring
Investigate security related accidents/incidents, interview witnesses, complaints, and victims; responsible for gathering physical evidence and preserving it for future use; complete report and follow up with management as needed
Monitor remote sites and dispatch security services or police as needed
Qualifications and Requirements
High School diploma (or GED) required or any equivalent combination of education, specialized training, and/or experience which provides the requisite knowledge, skills, and abilities for this position
Must have a valid guard card.
Site specific training will need to be completed within the first thirty days
Mature, and professional individuals that can give a high level of customer service
Must be able to climb stairs, sit and/or stand for long periods of time
Must have a high level of competency with administrative and data entry tasks
Must have basic computer and report writing skills
Must be able and willing to work with minimal supervision
Must be able to handle stressful situations and emergencies
Experience with CCTV and Access Control preferred
What we bring to the table
Our co-workers are a close-knit, intelligent, collaborative and motivated team.
We care about you. We offer competitive health, dental, and vision insurance benefits for employees and their dependents.
Invest in yourself and your family. We offer a company 401(k) retirement plan to all employees after 6 months of continued employment and are at least 21 years of age.
We value diversity and inclusivity. We are an equal opportunity employer and do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Our Values:
Grow with Integrity
Bring People Together
Build with Ambition

Company Description
NorCal Cannabis has been developing and shaping the legal cannabis industry since 2015 in the areas of cultivation, distribution and retail.

NorCal’s mission is to bridge the strong roots and rich heritage of the cannabis industry with the bright future and unlimited potential now available to companies that fully understand the intricacies of the business. From seed to sale, our brands, products, and assets are meticulously developed from cultivation and manufacturing to delivery and retail. Throughout the entire process, we value every element of the supply chain and proudly serve distributors, retailers and consumers across California.

We believe cannabis is a force for good, and will make positive impacts to society, the economy and the environment.

The history of cannabis and social reform go hand in hand. We honor the struggles of the past by building a better future. NorCal Cannabis recruits, employs, trains, compensates and promotes regardless of race, religion, color, national origin, gender, disability, age, veteran status, and other protected statuses as required by applicable law. We believe that in our differences, we find strength.

We are committed to equality, diversity, multiculturalism, and inclusion. We know we will always have to work to contribute to making our world a more equitable place. We focus first on building a values driven foundation inside the physical and virtual walls of our company and make concerted efforts to engage in the local communities we operate in and the global community for which we are citizens.

NorCal Cannabis also strives to be a steward of our ecological environment, knowing that our business’s health and health of our people is dependent and integrally connected to the health of the earth's ecosystem. We do our best to tread lightly.",4.2,"NorCal Cannabis
4.2","Santa Rosa, CA",-1,501 to 1000 Employees,-1,Company - Private,Consumer Products Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
