,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,IT technician,London,Senior IT Technician,-1,"Job Summary
Senior IT Technician
Chailey Heritage Foundation is seeking to recruit a senior technician working within a small niche team, responsible for supporting the organisation in delivering its strategic objectives through the appropriate provision of information and communication technologies.
The Senior IT Technician will supervise the organisational information and communication technology infrastructure and to deliver a customer focussed and responsive support service for the whole Foundation. They will also be responsible for line managing the Junior IT Technician and IT apprentice.
Working at Chailey Heritage Foundation isn’t like working anywhere else. We are a nationally recognised School and Residential home for children and young adults with complex neuro disabilities. The Senior IT Technician at Chailey will also assist with the maintenance of specialised equipment, some created by our own team, to support the lives of the people we care for.
Due to the nature of the role the following qualification are considered essential:
Minimum CompTIA A+ or similar. Ideally CompTIA N+, CompTIA Security+ & Cloud+
City & Guilds ICT Systems and Principles (NVQ ICT Level 4 equivalent).
Please read the attached JD for full role responsibilities.
Why join us?
Competitive rates of pay starting at £25,375 p.a. (£13.19 per hour)
Pension scheme
Generous holiday entitlement
Full Time hours are 37 hours per week Monday-Friday 52 weeks per year with additional out of hours work when needed.
Comprehensive benefits package
Strictly No Agencies
Chailey Heritage Foundation is committed to safeguarding and promoting the welfare of children and young adults; as such an enhanced DBS disclosure is required.
Chailey Heritage Foundation is an equal opportunities employer and is committed to promoting diversity and inclusion for all its young people and staff. We welcome applications from all sections of the community.
As part of our recruitment process, Chailey Heritage Foundation (CHF) collects and processes personal data relating to job applicants. CHF is committed to being transparent about how it collects and uses that data to meet its obligations under GDPR. Please ensure you have reviewed our privacy policy prior to completing an application with us.",4.0,"Chailey Heritage Foundation
4.0","Chailey, England",-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
1,IT technician,London,IT Support Technician,-1,"We are looking for a 1st Line IT Support Technician in our growing, transformational charity.

Key responsibilities:
1st line technical ICT support to staff via phone, email and Microsoft Teams
ownership of customer technical issues through to resolution, escalating where needed.
hardware builds, including PC’s, desktops, tablets, phones etc.
technical advice for the ongoing improvements of the Fundraising, HR/Payroll, Operations and Finance systems.
Update systems and servers, apply patches, test systems and liaise with support partners accordingly.
Aid administration of ICT Systems: Internet, Email, Telecoms, Microsoft Office, antivirus/spam software and web filtering.

Are you a 1st Line Service Support Analyst - Service Desk Analyst - 1st Line Desktop Support – 1st Line IT Technician who has the following experience:

Using remote desktop applications to provide support
Minimum 6 months’ experience of IT support in a relevant environment
Providing advice to key users on ICT and systems issues
Willingness to travel
Full clean driving licence

FitzRoy is a national charity that supports people with learning disabilities to develop life skills & achieve their potential. If you are customer-focussed with the ability to research an IT problem and implement solutions, we can offer a stable, permanent role on a full-time basis at our central offices in Petersfield, Hampshire. Join us and be a part of our ambitious digital transformation strategy!

What we can offer in return:
Secure, permanent role
A friendly, flexible environment
25 days holiday (+ bank holidays) rising with service
Pension

We anticipate a large volume of interest in this post, and reserve the right to close this vacancy early should we find the right candidate.

No agencies please",3.7,"FitzRoy
3.7","Petersfield, England",-1,501 to 1000 Employees,1962,Nonprofit Organization,-1,-1,$25 to $50 million (USD),-1
2,IT technician,London,IT Support Technician,-1,"Company introduction
Southern Solutions was founded in 2008. We are a friendly dynamic team focusing on customer satisfaction and completing jobs to the highest standard. We focus on working closely with customers across a wide range of industries to provide the highest level of support. Our support is focused at the small to medium business market providing a completely managed service to companies across the south. Flexibility in how we work allows us to support a wide range of customers in many different sectors. We are passionate about personal and professional development and will support any successful candidate in the progression of their career through training and hands-on experience.
The IT Support Technician role
As an IT Support Technician, you will be joining the company’s expanding support department, supporting clients as a member of their outsourced IT department. You will work closely with the team and customers in a varied role, maintaining the company’s excellent customer service, and presenting a friendly, approachable point of contact for all their IT needs.
In the role you will be required to:
Be involved in the day to day running and management of the helpdesk
Create and resolve IT support tickets for customers
Resolve issues with broadband and leased lines
Resolve 2nd, moving to 3rd line IT support requests
Resolve 2nd, moving to 3rd line server related issues
Maintain a high level of customer satisfaction
Perform maintenance tasks for servers and workstations remotely
Visit site to resolve issues adhering to customers SLA
Visit site to perform planned upgrades/migrations
For site visits a van will be provided
Essential experience / skills required:
Minimum of three years’ experience within a similar IT Support role, preferably supporting SME’s
Infrastructure diagnosis
Microsoft 365 support and deployment
Microsoft Windows Server (2016, 2019)
Microsoft Azure environments
Hardware troubleshooting
Advanced router/firewall configuration
2nd -3rd line support
Desirable experience / skills
Windows Server installation/migration
Microsoft 365 migration
Advanced knowledge of DrayTek and WatchGuard firewalls
Experience working with SQL servers
MCP/MCTS qualifications
3rd line support
What do you need to be successful in this IT Support Technician role
The successful candidate must have a good amount of experience in a similar role, be presentable, punctual, and possess excellent communication/organisational skills. The candidate should also show a real interest in IT and a desire to progress and build upon their current skill set. You will need to absorb yourself in new technologies and continuous development within this role. This is an opportunity to become a key member of a small team within which you will be able to expand your knowledge, experience, and progress your career. Training is key to understanding new technologies, courses will be offered based on candidate skill set.
Benefits
Competitive salary
Training
Company events
You must be eligible to work in the UK.
Reference ID: SS02618
Job Types: Full-time, Permanent
Schedule:
Monday to Friday
Experience:
IT Support: 3 years (Required)
Education:
GCSE or equivalent (Preferred)
Work remotely:
No",-1,Southern Solutions,"Whiteley, England",-1,-1,-1,-1,-1,-1,-1,-1
3,IT technician,London,IT Support Technician,-1,"Company introduction
Southern Solutions was founded in 2008. We are a friendly dynamic team focusing on customer satisfaction and completing jobs to the highest standard. We focus on working closely with customers across a wide range of industries to provide the highest level of support. Our support is focused at the small to medium business market providing a completely managed service to companies across the south. Flexibility in how we work allows us to support a wide range of customers in many different sectors. We are passionate about personal and professional development and will support any successful candidate in the progression of their career through training and hands-on experience.
The IT Support Technician role
As an IT Support Technician, you will be joining the company’s expanding support department, supporting clients as a member of their outsourced IT department. You will work closely with the team and customers in a varied role, maintaining the company’s excellent customer service, and presenting a friendly, approachable point of contact for all their IT needs.
In the role you will be required to:
Be involved in the day to day running and management of the helpdesk
Create and resolve IT support tickets for customers
Resolve issues with broadband and leased lines
Resolve 2nd, moving to 3rd line IT support requests
Resolve 2nd, moving to 3rd line server related issues
Maintain a high level of customer satisfaction
Perform maintenance tasks for servers and workstations remotely
Visit site to resolve issues adhering to customers SLA
Visit site to perform planned upgrades/migrations
For site visits a van will be provided
Essential experience / skills required:
Minimum of three years’ experience within a similar IT Support role, preferably supporting SME’s
Infrastructure diagnosis
Microsoft 365 support and deployment
Microsoft Windows Server (2016, 2019)
Microsoft Azure environments
Hardware troubleshooting
Advanced router/firewall configuration
2nd -3rd line support
Desirable experience / skills
Windows Server installation/migration
Microsoft 365 migration
Advanced knowledge of DrayTek and WatchGuard firewalls
Experience working with SQL servers
MCP/MCTS qualifications
3rd line support
What do you need to be successful in this IT Support Technician role
The successful candidate must have a good amount of experience in a similar role, be presentable, punctual, and possess excellent communication/organisational skills. The candidate should also show a real interest in IT and a desire to progress and build upon their current skill set. You will need to absorb yourself in new technologies and continuous development within this role. This is an opportunity to become a key member of a small team within which you will be able to expand your knowledge, experience, and progress your career. Training is key to understanding new technologies, courses will be offered based on candidate skill set.
Benefits
Competitive salary
Training
Company events
You must be eligible to work in the UK.
Reference ID: SS02618
Job Types: Full-time, Permanent
Schedule:
Monday to Friday
Experience:
IT Support: 3 years (Required)
Education:
GCSE or equivalent (Preferred)
Work remotely:
No",-1,Southern Solutions,"Whiteley, England",-1,-1,-1,-1,-1,-1,-1,-1
4,IT technician,London,IT Technician - Business Support,-1,"JSPC Computer Services are looking for a Full Time IT Technician. The role consists of on-site and office based work. You will be dealing visits to resolve issues on desktops and servers. We are looking for someone to work with our business clients that range from 1 user to 200 users.
You will also be working on the helpdesk within the main HQ of JSPC that is in Sompting. This will involve telephone, email, remote and face to face support. You will also be involved in supporting the general infrastructures of our clients.
Please only apply if you are confident in all the following: -
Skills Required: -
Advising Customers of their needs
Maintain a reliable and secure network including the network hardware; firewalls, switches, routers etc., and the DNS, DHCP and associated services.
Manage HyperV environment, maintaining several Windows 2012-2019.
Active Directory, Microsoft 365 and Azure administration.
Support users by trouble shooting hardware and software issues
PC Diagnostics & Fix
The Job comes with many benefits including: -
Company Vehicle
Mobile Phone
An excellent Team to support one another
Pension Scheme
Health Insurance
A DBS Check will be carried out due to the nature of our clients. A driving licence is required.
The successful candidate should be able to demonstrate: -
People management skills, of both direct and indirect reports
Strong communication, planning and organisational skills
Evidence of being a highly motivational team leader with exceptional team building capabilities
Ability to influence at all levels
Strong customer focus
Proven and strong record in 2nd line IT Support environment
Support and extensive trouble shooting ability
Salary Negotiable
Job Types: Full-time, Permanent
Salary: From £25,000.00 per year
Benefits:
Company Car
Company Events
Company Pension
On-site Parking
Private Medical Insurance
Schedule:
Monday to Friday
Experience:
IT Support: 3 years (Required)",-1,JSPC Computer Services LTD,"Lancing, England",-1,-1,-1,-1,-1,-1,-1,-1
5,IT technician,London,IT Technician - Business Support,-1,"JSPC Computer Services are looking for a Full Time IT Technician. The role consists of on-site and office based work. You will be dealing visits to resolve issues on desktops and servers. We are looking for someone to work with our business clients that range from 1 user to 200 users.
You will also be working on the helpdesk within the main HQ of JSPC that is in Sompting. This will involve telephone, email, remote and face to face support. You will also be involved in supporting the general infrastructures of our clients.
Please only apply if you are confident in all the following: -
Skills Required: -
Advising Customers of their needs
Maintain a reliable and secure network including the network hardware; firewalls, switches, routers etc., and the DNS, DHCP and associated services.
Manage HyperV environment, maintaining several Windows 2012-2019.
Active Directory, Microsoft 365 and Azure administration.
Support users by trouble shooting hardware and software issues
PC Diagnostics & Fix
The Job comes with many benefits including: -
Company Vehicle
Mobile Phone
An excellent Team to support one another
Pension Scheme
Health Insurance
A DBS Check will be carried out due to the nature of our clients. A driving licence is required.
The successful candidate should be able to demonstrate: -
People management skills, of both direct and indirect reports
Strong communication, planning and organisational skills
Evidence of being a highly motivational team leader with exceptional team building capabilities
Ability to influence at all levels
Strong customer focus
Proven and strong record in 2nd line IT Support environment
Support and extensive trouble shooting ability
Salary Negotiable
Job Types: Full-time, Permanent
Salary: From £25,000.00 per year
Benefits:
Company Car
Company Events
Company Pension
On-site Parking
Private Medical Insurance
Schedule:
Monday to Friday
Experience:
IT Support: 3 years (Required)",-1,JSPC Computer Services LTD,"Lancing, England",-1,-1,-1,-1,-1,-1,-1,-1
6,IT technician,London,HGV Technician with Class 1 HGV,-1,"ASM Truck Diagnostics Ltd is a family run independent workshop based in Grays, Essex, we deliver preventative maintenance, routine servicing, responsive call outs and repairs on all makes of trucks/trailers and commercial vehicles to private sector markets, local authorities and our own hire fleet vehicles. We are looking for an established HGV Technician with Class 1 Licence to work Monday to Friday, alternate Saturdays. Working closely with an established team in order to create high levels of morale and focus to ensure that work is completed in a timely manner and with excellence in quality. Effective communication with the Workshop Manager and team to ensure that you have valid job specifications and time budget prior to work commencing. Ensuring that customer expectations are managed at all times.
Position available with immediate start.
Benefits
· £17 per hour
· Plenty of overtime available if you want it
· Monday to Fri 07:00 to 16:00 hrs, Alternate Saturdays 07:00-12:00 hrs
· Service Van & Fuel provided
· Mobile phone and IPAD
Role and Responsibilities
In order for to be successful in this role, you will work well as part of a small team, be a good communicator and have the ability to take on a variety of different workloads, planned or otherwise.
Working unsupervised to a high standard carrying out –
· Diagnosis and repair of vehicles with a ""right first time"" attitude
· Carrying out pre-MOT inspections to a high standard
· Servicing of vehicles to a high standard
· Ability to use diagnostic equipment
· Carry out scheduled safety inspections and report any rectifications required
· Attend customer sites and carryout work as required
· Complete electronic job cards, timesheets clearly and accurately
Skills and Experience
· 10+ Years’ experience
· NVQ3 Vehicle Technician industry recognized qualification and served an apprenticeship
· Good understanding of H&S
· Clean Driving Licence - HGV Class 1
Job Types: Full-time, Permanent
Salary: Up to £17.00 per hour
Benefits:
Company car
Company pension
Free or subsidised travel
On-site parking
Schedule:
Day shift
Holidays
Monday to Friday
Overtime
Weekends
COVID-19 considerations:
Masks provided for close contact working. Social distancing adhered to at all times, hand sanitizer stations provided.
Experience:
Commercial vehicle: 10 years (Preferred)
Flexible Working Options Available:
Not offered",-1,365 Go!,"Melton Mowbray, England",-1,-1,-1,-1,-1,-1,-1,-1
7,IT technician,London,HGV Technician with Class 1 HGV,-1,"ASM Truck Diagnostics Ltd is a family run independent workshop based in Grays, Essex, we deliver preventative maintenance, routine servicing, responsive call outs and repairs on all makes of trucks/trailers and commercial vehicles to private sector markets, local authorities and our own hire fleet vehicles. We are looking for an established HGV Technician with Class 1 Licence to work Monday to Friday, alternate Saturdays. Working closely with an established team in order to create high levels of morale and focus to ensure that work is completed in a timely manner and with excellence in quality. Effective communication with the Workshop Manager and team to ensure that you have valid job specifications and time budget prior to work commencing. Ensuring that customer expectations are managed at all times.
Position available with immediate start.
Benefits
· £17 per hour
· Plenty of overtime available if you want it
· Monday to Fri 07:00 to 16:00 hrs, Alternate Saturdays 07:00-12:00 hrs
· Service Van & Fuel provided
· Mobile phone and IPAD
Role and Responsibilities
In order for to be successful in this role, you will work well as part of a small team, be a good communicator and have the ability to take on a variety of different workloads, planned or otherwise.
Working unsupervised to a high standard carrying out –
· Diagnosis and repair of vehicles with a ""right first time"" attitude
· Carrying out pre-MOT inspections to a high standard
· Servicing of vehicles to a high standard
· Ability to use diagnostic equipment
· Carry out scheduled safety inspections and report any rectifications required
· Attend customer sites and carryout work as required
· Complete electronic job cards, timesheets clearly and accurately
Skills and Experience
· 10+ Years’ experience
· NVQ3 Vehicle Technician industry recognized qualification and served an apprenticeship
· Good understanding of H&S
· Clean Driving Licence - HGV Class 1
Job Types: Full-time, Permanent
Salary: Up to £17.00 per hour
Benefits:
Company car
Company pension
Free or subsidised travel
On-site parking
Schedule:
Day shift
Holidays
Monday to Friday
Overtime
Weekends
COVID-19 considerations:
Masks provided for close contact working. Social distancing adhered to at all times, hand sanitizer stations provided.
Experience:
Commercial vehicle: 10 years (Preferred)
Flexible Working Options Available:
Not offered",-1,ASM Truck Diagnostics Limited,"Grays, England",-1,-1,-1,-1,-1,-1,-1,-1
8,IT technician,London,Vehicle Technician/MOT Tester,-1,"Preparation Technician\MOT Tester Car Store Exeter
Our aim is to bring back the excitement in buying a car – it should be one of the best experiences in life and we want to keep it that way. Car Store makes the car-buying occasion fun from start to finish. We don’t call ourselves ‘staff’, we’re a crew and we are all ambitious and energetic.
The role of the preparation technician\MOT Tester is a key productive role in Car Store. Working as part of the workshop team you will be central to the preparation process ensuring that cars are mechanically inspected, MOT tested and repaired on a daily basis in line with Car Stores preparation standards.
Whatever your background or experience level, if you’re an automotive technical guru, you could be the Retail Vehicle Technician we’re looking for. Whether you’re newly qualified, semi-skilled, and MOT tester or even a master technician/ mechanic, from a prestige, volume franchised or independent garage, as long as you’re dedicated to providing the best possible service getting your hands dirty, you’ll fit right in.
Duties of a Preparation Technician\MOT Tester;
Mechanical\cosmetic inspection of vehicles to Car Store preparation standards
Recording health checks on Tech+ App utilising tablet computer
Clocking on and off jobs utilising Tech+ App using tablet computer
Utilising Autodata to investigate correct repair methods
Fitment of parts to cars
Servicing of cars
Communication with production leader to ensure that quality repairs are carried out on all vehicles
Carrying out MOT tests on vehicles as required
Skills and Experience required to be a Preparation Technician\MOT Tester;
Qualified MOT tester
Strong technical background with experience of working as motor vehicle mechanic in similar role
Good communication skills
Ability to carry out repairs efficiently and to a high level of quality
At Car Store we also offer a competitive salary, an awesome environment to work in, as well as the option to treat yourself thanks to our exclusive Crew offers – from high street discounts to new car deals, you’ll be lucky enough to access it all! Sound like your bag? Apply today.
Job Type: Full-time
Additional pay:
Bonus scheme
Schedule:
Day shift
Licence:
MOT (Required)
Driving Licence (Required)",-1,"Car Store
2.6","Gloucester, England",-1,-1,-1,-1,-1,-1,-1,-1
9,IT technician,London,Master Vehicle Technician/Mechanic,-1,"Department:
Aftersales
Location:
Edgware
Salary Range:
Competitive Salary and Great Benefits
Contract Type:
Permanent

“Our cars are so advanced, you can practically have a conversation with them. #ilovesmarttechnology”
From voice control features that let you tell your car to play music or make a phone call, to the most advanced EcoBoost engine technology, Ford vehicles are a Technician’s dream, you’ll have the chance to drive the standard in customer care that’s because you’re as smart as the technology you’ll be working with, and leave no stone unturned to get the job done for the customer in double-quick time and to the highest standards.
We are looking for a Master Technician to join the Aftersales Team.
You will have the attitude to make it happen and scrupulous attention to detail, you’ll enjoy lots of rewards, from a performance-related bonus, to 33 days’ holiday and ongoing training to keep you up to speed with the latest technical developments. To join us, you’ll need an NVQ 3, City & Guilds or equivalent and Service Technician experience as a minimum. Ideally, you’ll also have an MOT testing qualification and some main dealership experience. You’ll definitely have the smarts.
So what do we look for from you?
An NVQ 3, City & Guilds or equivalent,
Service Technician experience and main dealership experience
An MOT testing qualification is desirable but this isn’t essential.
A full valid driving licence as a minimum
What is vital is that you have the attention to detail to keep standards sky high, and the team spirit that will see you working closely with everyone from the workshop controller and parts department to your fellow technicians.
Please note previous Automotive Technician experience is required for this position.
In addition to receiving a competitive salary, for the right candidate this position will offer:
Industry leading package
33 days annual leave (including bank holidays) in addition to an annual leave purchase & sale scheme
Pension Scheme & Life Assurance
Ford Privilege vehicle purchase scheme
Discount on Service, Bodyshop and Parts
1 day each year to volunteer for a charity of your choice
Cycle to work purchase scheme
Access to Perks at Work discount website
AN AMAZING OPPORTUNITY WITH ONE OF THE TOP 25 SUNDAY TIMES BEST BIG COMPANIES TO WORK FOR
When completing your application please give specific detail of your experience, skills and previous responsibilities that you believe would be relevant to the role you are applying for.
TrustFord is an equal opportunities employer and does not discriminate on any grounds other than ability to carry out the job role.
Should you wish to discuss this position in more detail please email recruitment@trustford.co.uk with your contact details and we will arrange for the recruiting Manager to contact you directly.
We advertise our vacancies to attract candidates and not agency suppliers. If we need agency assistance then we will contact agencies from our Preferred Supplier List. Any speculative CVs we receive will not be accepted as an introduction.",4.2,"TrustFord
4.2","Edgware, England",-1,1001 to 5000 Employees,2014,Subsidiary or Business Segment,Vehicle Dealers,Retail,$1 to $2 billion (USD),-1
