,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Network engineer,San Francisco,Network/Infrastructure Engineer,-1,"Who We Are

Newport helps companies offer their associates a more secure financial future through retirement plans, insurance and consulting services. Newport offers comprehensive plan solutions and consulting expertise to plan sponsors and the advisors who serve them. As a provider and partner, Newport is independent, experienced and responsive.

Job Description:

This position requires ability to prioritize and complete assigned tasks in a timely manner, allowing for adjustment of changes in priorities and resource availability. In addition, demonstration of initiative for completing separate job-related tasks as time permits.

General systems administration and maintenance of Linux and Windows servers, including review of patching and adherence to best practices
Development of routine automation tasks, including scripting (e.g. bash, Python, Perl, PHP, PowerShell) and including orchestration tools such as Ansible, Chef/Puppet, etc.
Maintain records of physical server/network equipment and cabling diagrams for datacenters and branch offices
Support network relocations, upgrades, and site additions
Monitor and identify needs for equipment upgrades as part of lifecycle management
Support additional teams within organization with requests for core infrastructure changes
Fault isolation, recovery, and root cause analysis
Development and continual improvement of network monitoring, including use of third party tools as needed

Education and Experience:

Bachelor's degree from accredited institution or 5+ years working experience
Excellent network design, implementation, and troubleshooting skills, including documentation
5+ years of experience in operating and monitoring large-scale enterprise, highly-available networks
5+ years of experience with routing protocols, specifically BGP and EIGRP
5+ years of experience with networking hardware from major vendors (Cisco, Juniper)
Fundamental understanding of TCP/IP networking
Linux systems administration and performance troubleshooting, including CentOS, RedHat, Ubuntu
Ability to perform as a team member
Excellent written and oral communications skills

Additional Considerations:

VoIP and SIP trunking: setup, troubleshooting, and adherent to quality of service
Network security, including firewall administration, VPN (site-to-site and DMVPN)
Virtualization management/monitoring
Certifications will be considered

Newport offers for employment are conditioned upon satisfactory completion of our employment screening process (including, but not limited to, a review of past employment and education records, background investigation, and/or credit check and fingerprints.)

Newport unequivocally rejects racism and discrimination of any kind and fosters an environment of belonging to provide access and opportunity for all. As an Equal Opportunity Employer we do not discriminate on the basis of race, religion, color, sex, sexual orientation, gender identify, gender expression, national origin, age, non-disqualifying physical or mental disability, veteran status, or any other basis covered by applicable law. All employment is decided on the basis of qualifications, merit, and business need.

#LP",3.6,"Newport Group
3.6","Folsom, CA",-1,1001 to 5000 Employees,1985,Company - Private,Financial Transaction Processing,Finance,$50 to $100 million (USD),-1
1,Network engineer,San Francisco,Network Engineer III,-1,"Summary

SUMMARY: The Network Engineer III functions as the network and telecommunications engineering lead responsible for facilitating appropriate connectivity & communications requirements and solutions in support of the mission, vision, and business objectives of the organization. The Network Engineer III will be responsible for optimizing network infrastructure and services. This position supports the availability and performance of accessing applications and information that contributes to operational efficiency. The Network Engineer III focuses on network reliability (data and voice networks), optimization, integration, and standardization for the organization. Performs related duties as required.

DUTIES & ESSENTIAL JOB FUNCTIONS: NOTE: The following are the duties performed by employees in this classification, however, employees may perform other related duties at an equivalent level. Not all duties listed are necessarily performed by each individual in the classification.
Design and deploy functional networks (LAN, WLAN, WAN, VOIP).
Configure and install software, servers, routers and other network devices.
Create, oversee and test security measures (e.g. access authentication and disaster recovery).
Designing and implement functional network and voice infrastructure.
Mentor a team of engineers to troubleshoot and optimize our networks for our users.
Advises and educates management on their relative importance and impact on networking.
Collaborates with end users to identify needs and opportunities for improved data access and delivery.
Collaborates with IS Leadership, establishes and implements network infrastructure goals.
Designs network infrastructure to be scalable, compatible, and agile.
Maximizes opportunities to leverage the existing infrastructure, tools, assets, and resources.
Oversees the ongoing development and operations of network management systems to ensure reliability and performance.
Provides innovation in the provision of enterprise connectivity and services to ensure data communication reliability and security to support clinical and administrative functions.
Remains current with industry network infrastructure and security trends.
Any combination of education and experience that would likely provide the required knowledge, skills and abilities as well as possession of any required licenses or certifications is qualifying.

MINIMUM QUALIFICATIONS:

Education: Bachelor of Science degree in Information Management, Project Management, Engineering or related field.

Minimum Experience: Five years of increasing technical experience in an IT infrastructure position. Experience and knowledge of best practices related to enterprise network infrastructure. Experience with network architecture strategies and creating sustainable networking environments.

Required Licenses/Certifications: Cisco CCNA (Collaboration and/or Routing & Switching).

Preferred Licenses/Certifications: Cisco CCNP (Collaboration and/or Routing & Switching), Citrix CCA, and VMware VCP certifications.

Additional Details: Knowledge and experience on legacy collaboration systems (Nortel, Avaya, NEC, Mitel etc) is a plus.
Oakland, CA
Information Systems
SYS IT Infrastructure
Full Time - Day
Business Professional & IT
Req #: 26800-17777
FTE: 1
Posted: November 4, 2020",3.3,"Alameda Health System
3.3","Oakland, CA",-1,5001 to 10000 Employees,1864,Hospital,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),-1
2,Network engineer,San Francisco,Network Deployment Engineer,-1,"About Altran: -

""Altran is the world leader in engineering and R&D services. We offer our clients a unique value proposition to meet their transformation and innovation challenges. We support our clients, from concept through industrialization, to develop the products and services of tomorrow and have been working for more than 35 years with major players in many sectors: automotive, aeronautics, space, defense & naval, rail, infrastructure & transportation, industrial & consumer products, life sciences, communications, semiconductor & electronics, software & internet, finance & public sector. Altran has more than 50,000 employees operating in over 30 countries. In April 2020, we became part of Capgemini, a global leader in consulting, digital transformation, technology and engineering services. Visit us at www.altran.com. ""
Job Description: -*
Preparing Initial Installation MOP, Upgrade MOP, Base configuration for Cisco products.
Experience on installation of Cisco’s optical products NCS4K, NCS2K, NCS4200, NC540 at customer premise.
Co-ordinate with customer’s network operation team and Cisco TAC for any troubleshooting during installation/upgrade.
Experience on deployment of OTN, DWDM, SDH, ROADM, SONET technologies on Cisco optical products.
Good knowledge of IP technologies – OSPF, ISIS, BGP, MPLS, L2 Switching
Good knowledge on IOS-XE and XR operating system.
Strong troubleshooting skills and capability to work with TAC & customer to troubleshoot an issue.
Issue management – Triage, Cisco BU coordination, follow-up, RCA reporting to customer.
""This company is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.""

Job Types: Full-time, Contract

Salary: From $50,000.00 per year

Schedule:
Monday to Friday
Contract Renewal:
Possible
Full Time Opportunity:
Yes
Work Remotely:
Temporarily due to COVID-19",-1,Altran,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
3,Network engineer,San Francisco,Network Deployment Engineer,-1,"About Altran: -

""Altran is the world leader in engineering and R&D services. We offer our clients a unique value proposition to meet their transformation and innovation challenges. We support our clients, from concept through industrialization, to develop the products and services of tomorrow and have been working for more than 35 years with major players in many sectors: automotive, aeronautics, space, defense & naval, rail, infrastructure & transportation, industrial & consumer products, life sciences, communications, semiconductor & electronics, software & internet, finance & public sector. Altran has more than 50,000 employees operating in over 30 countries. In April 2020, we became part of Capgemini, a global leader in consulting, digital transformation, technology and engineering services. Visit us at www.altran.com. ""
Job Description: -*
Preparing Initial Installation MOP, Upgrade MOP, Base configuration for Cisco products.
Experience on installation of Cisco’s optical products NCS4K, NCS2K, NCS4200, NC540 at customer premise.
Co-ordinate with customer’s network operation team and Cisco TAC for any troubleshooting during installation/upgrade.
Experience on deployment of OTN, DWDM, SDH, ROADM, SONET technologies on Cisco optical products.
Good knowledge of IP technologies – OSPF, ISIS, BGP, MPLS, L2 Switching
Good knowledge on IOS-XE and XR operating system.
Strong troubleshooting skills and capability to work with TAC & customer to troubleshoot an issue.
Issue management – Triage, Cisco BU coordination, follow-up, RCA reporting to customer.
""This company is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.""

Job Types: Full-time, Contract

Salary: From $50,000.00 per year

Schedule:
Monday to Friday
Contract Renewal:
Possible
Full Time Opportunity:
Yes
Work Remotely:
Temporarily due to COVID-19",-1,Altran,"San Francisco, CA",-1,1 to 50 Employees,-1,Company - Private,Internet,Information Technology,$5 to $10 million (USD),-1
4,Network engineer,San Francisco,Hardware Engineer - 5 yrs exp required,-1,"Hardware Engineer*
Full time, direct hire

Digital Dynamics, Inc. is growing and has a career opportunity for an experienced Hardware Engineer.

DDI designs and manufactures Input/Output (I/O) controllers and related hardware and software. Our products are customized for industrial applications such as the semiconductor tool industry. We are an employee owned (ESOP) company with 45 years of design and manufacturing experience, and a worldwide installed base of more than 60,000 units.

You will join a team creating scalable and optimized software systems at our location in Scotts Valley, California, just over the hill from Silicon Valley and 10 minutes from Santa Cruz. Our employees describe the company as a challenging collaborative environment with a small company feel in a great location.
Role Description*
Responsible for the engineering part of a major project. Performs engineering work and applied research, development and design of new products. Work includes design, fabrication, modification, and evaluation of electronic apparatus, components, or circuitry for use in electronic equipment and devices. Analyzes equipment to establish operating data and conducts experimental tests.
Essential Responsibilities*
· Design electronic circuits & systems, including analog, digital, microcontrollers, and FPGAs

· Creates software and firmware for electronic systems

· Designs, implements, tests, and modifies product prototypes

· Determines procedures for testing products and fabrication of test control apparatus and equipment

· Evaluate electronics/electrical systems and recommend design modifications to eliminate causes of malfunctions or to recommend changes in system requirements

· Uses computer assisted engineering and design software and equipment to perform engineering tasks

· Performs tests, documents test results in an understandable manner

· Understands the operation of customer plants and associated requirements

· Writes production and test Q/A documents

· Requires ability to design and execute test procedures
Successful candidate will possess*
BSEE or equivalent experience
5+ years of experience designing electronic circuits and systems
OrCAD/Allegro experience required
If you are qualified and interested in this job opportunity please submit a resume for consideration. Relocation assistance is not available.

Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Experience:
Hardware Engineering: 5 years (Required)
Work Location:
One location
Work Remotely:
No",-1,"Digital Dynamics, Inc.","Scotts Valley, CA",-1,-1,-1,-1,-1,-1,-1,-1
5,Network engineer,San Francisco,Network Engineer,-1,"About Us:
Founded in 1983 and headquartered in San Jose of California, Ma Labs is a leading computer product distributor. The company's product line encompasses everything in the PC, including memory modules, CPUs, storage products, motherboards, multimedia, video graphic cards, communication products, notebooks, and Microsoft products. With 6 distribution hubs, Ma Labs is able to provide just-in-time services and ships orders to customers from the nearest hub.
For more information please visit our website at www.malabs.com
At Ma Labs, you can build a career with meaningful work; create a positive and lasting impact on the business; and find the support and training you need to advance your career. As a contributor to our success, the Network Engineer will enjoy working in a business-casual, friendly environment that offers training and an excellent work life balance. As we are setting our goals for the productive IT environment, we have a need for goal-orientated and highly motivated people to join our IT team for the success!
This position reports to the Director of IT.
Our motto is Learn. Contribute. Grow.
As a Network Engineer, you will be responsible for:
Responsible for assuring users are provided with efficient and timely supports on general office-based desktop/laptop, as well as general office networking, office software and hardware (switches, Router and VPN etc.).
Act as the primary technical support for all helpdesk and critical IT network issues
Provides professional and timely support for a wide range of IT equipment, software and server room systems and network devices.
Identify and implement solutions to resolve client’s issues and bring idea for improvement
Proactively manage any planned changes, upgrades. Inform those who would be impacted, ensure everything is working 100%
Ensure technology (WiFi, Laptop VPN , Phone system) are synced in and working fine
Build and set up computer networks by physically installing, connecting and configuring equipment.
Install and configure network software, including security software and protections.
Participate in troubleshooting network outages or performance issues.
Support telecom equipment and other connected devices.
Schedule the installation of firmware patches and updates to all network devices and software.
Perform network security measures and monitor for threats.
The ideal Network Engineer will also have:
BS in Computer Science, Information Technology or Engineering or equivalent.
3+ years of experience in IT delivery professional services environments.
Deep knowledge of IT and networking including experience managing enterprise technology.
Strong attention to detail, making and keeping commitments and meeting deadlines
As a member of our team you will enjoy:
Base Salary
Annual Company Bonus Program*
Health Insurance (medical, dental, vision, other optional insurances)
Paid Holidays, Paid Time Off and Paid Sick Leave
401(k) Program
Employee Referral Program
Employee Discounts
Employee Appreciation Events
Solid Training Program for New Hires
Our EEOC Statement:
Ma Labs welcomes and encourages diversity and inclusion in the workplace. Ma Labs is committed to equal employment opportunity regardless of race, color, religion, sex (including pregnancy, childbirth, or related medical conditions), gender identity, gender expression, national origin, ancestry, citizenship, age, physical or mental disability, military or veteran status, marital status, domestic partner status, sexual orientation, genetic information, or any other basis protected by applicable law. Ma Labs is also committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any accommodations due to a disability, please let us know.",2.9,"MA Laboratories
2.9","San Jose, CA",-1,201 to 500 Employees,1983,Company - Private,Wholesale,Business Services,$1 to $2 billion (USD),-1
6,Network engineer,San Francisco,Project Manager / Controls Engineer Job Description,-1,"Controls*
Essential Functions: *
Primary duties include selection of equipment, duct and pipe sizing and routing, detail design engineering of commercial and industrial HVAC system involving heat load calculation, and preparation of drawing and specifications including VRF system design, install, and start-up.
Able to perform HVAC heat load analysis using software.
Prepare all mechanical drawings for permitting and responding to plan check corrections as needed.
Answer Project Request for Information (RFIs) as needed in a timely manner
Estimating to include controls and specific projects
Responsible for all company project equipment start-up and documentation for extended warranty
Documentation and execution of all Select Mechanical’s jobs as build’s as needed.
Perform job walks to gather field information for HVAC design.
Oversee manufacturer’s start up
Interact directly with customer base including but not limited to (consulting engineers, owners, architects, contractors).
Assist with accomplishing company goals
Review and evaluate all new technologies and bring recommendations to Scott Owens with recommendations
Provide product, application, pricing, and sales support as needed.
Requirements*
Knowledge of building, mechanical, and plumbing codes for commercial HVAC installs.
Knowledge of California Title 24 Energy Codes.
Working knowledge of HVAC equipment, materials and how the units function.
Project Manager*
As a Project Manager, you are responsible for profitable execution of assigned projects, including project delivery, estimating small jobs (under $50k revenue), and financial management. Performs or delegates tasks as required to execute and fully complete assigned projects including scheduling and coordinating the following: installation coordination, updating change orders, system programming, network commissioning, and project closeout. It is the project managers responsibility to ensure the project is estimated\*, designed\*, and executed seamlessly including the management of internal and external subs. This involves double checking the estimators work for your jobs.

Following standardized project management procedures, you will determine optimum resource levels needed to meet schedule milestones and monitor workforce levels. You will have your hand on the project pulse at all times, ensuring that all scope changes are quickly and properly documented and that change orders are approved prior to performance of work.
Essential Functions: *
· Visit job sites and proactively identify next installation steps to keep it on schedule

· Ability to read wiring schematics and blueprints

· Accountable for budget and P&L of assigned projects

· Build strong customer relationships; build knowledge and understanding of customer needs and expectations

· Resolve any issues and solve problems throughout project life cycle

· Effectively manage project scope by ensuring any changes are documented and approved with change orders

· Track and report project milestones and provide status reports to management

· Conduct job evaluation with management documenting execution and improvement areas for future projects

· Preparing monthly invoicing and obtain management approval to process invoicing of all active jobs

· Manage the selection, ordering, and delivery schedule of materials to be procured for the projects assigned

· Interface with customer throughout the project life cycle to gain feedback on customer satisfaction

· Communicate project status to management highlighting active and potential roadblocks and how to satisfy those

· Actively pursue additional business through change orders; perform associated cost estimates, prepare proposals and negotiate final settlement price and customer acceptance

· Adhere to all company and customer safety standards, demonstrating a high degree of safety awareness for all company employees

· Prioritize requirements for the specified jobs and take into consideration availability and skillsets of field personnel, job duration, etc.

Job Type: Full-time

Pay: $40.00 - $60.00 per hour

Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Experience:
HVaC PM and Controls: 5 years (Preferred)
Work Remotely:
No",-1,Confidential,"Livermore, CA",-1,-1,-1,-1,-1,-1,-1,-1
7,Network engineer,San Francisco,Network Operations Engineer III,-1,"Company Description

Astreya is the leading IT solutions provider to deliver technology-enabled services and fuel digital transformation to some of the most exciting companies on the planet. We are at the cusp of a new way of working with our delivery model that helps our clients be positively productive by matching exceptional people to on-site teams delivering world-class IT service. With engineers in over 30 countries and 70 cities around the world, we are a global company working with the world's most recognizable and innovative organizations.

Job Description

What this Job Entails:

The Network Operations Engineer III is a network and server support engineer for CDN cluster environments. This position requires the ability to work independently with a high level of accuracy and attention to detail.

Scope:
Resolves a wide range of issues in creative ways
Seasoned, experienced professional with a full understanding of their specialty
Works on problems of a diverse scope
Receives little instruction on day to day work, general instruction on new assignments
Your Roles and Responsibilities:
Independently handle global production content delivery network deployments
Configure and manage firewall policies, VPN, QoS and VLANs -Traffic monitoring and analytics such as packet capture analysisHandle production and corporate network and internet peering strategies
Configure and troubleshoot firewalls, routers, switches and wireless controllers
Manage server hardware technologies relative to content delivery performance and capacity
Day-to-day activities involve working on multiple vendor servers and various software and hardware issues
Handle traffic and any other queries raised by ISP/partners
Manage switches for any incidents such as input errors, CRC, RMA etc.
Work with ISP/vendors on fixing any issues related to network
Participate in 24/7 support with other teams across the globe. Some weekend work may be required.
Other duties as required. This list is not meant to be a comprehensive inventory of all responsibilities assigned to this position.
Required Qualifications/Skills:
Bachelor’s degree (B.S/B.A) from four-college or university and 5 to 8 years’ related experience and/or training; or equivalent combination of education and experience
CCNA/CCNP Certifications
Networks with senior internal and external personnel in own area of expertise
Design & deployment of firewall solutions. Exposure to deploying new firewalls, migrating from legacy platforms, and troubleshooting firewall policy issues
Cisco router/switches and IP experience
Demonstrates good judgment in selecting methods and techniques for obtaining solutions
Understanding of fiber-optic technology including cable types, connector types, optic types, patch panels, and optical transport technologies
Understanding of preparing root cause analysis for any network and server outages Programming and scripting capabilities
Strong communication skills, including the ability to work with service providers, colocation facilities, and ISPs around the world
Preferred Qualifications:
Experience working in a multi-vendor network environment.
Network certifications, including server level certifications
Physical Demand & Work Environment:
Must have the ability to perform office-related tasks which may include prolonged sitting or standing
Must have the ability to move from place to place within an office environment
Must be able to use a computer
Must have the ability to communicate effectively
Some positions may require occasional repetitive motion or movements of the wrists, hands, and/or fingers
What can Astreya offer you?
Employment in the fast-growing IT space providing you with a variety of career options
Opportunity to work with some of the biggest firms in the world as part of the Astreya delivery network
Introduction to new ways of working and awesome technologies
Career paths to help you establish where you want to go
Focus on internal promotion and internal mobility - we love to build teams from within
Free 24/7 accessible Professional Development through LinkedIn Learning and other online courses to give you opportunities to up skill at your own pace
Education Assistance
Dedicated management to provide you with on point leadership and care
Numerous on the job perks
Market competitive compensation and insurance, health and wellness benefits",3.4,"Astreya
3.4","Santa Clara, CA",-1,1001 to 5000 Employees,2001,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1
8,Network engineer,San Francisco,Sr. Automation Engineer,-1,"*About Project Farma*

Project Farma (PF) is a rapidly growing professional service company headquartered in Chicago, IL. We consult in the pharmaceutical, biotechnology, medical device, and gene and cell therapy industries providing cGMP and industry best practices to our clients. We are an industry leader in providing project management, validation, engineering, quality/compliance and consulting services to support finding ground-breaking treatments and solutions. Our clients include early stage startups, established life science companies and CMOs / CROs. Our family-oriented culture strives to develop and leverage your interpersonal skills and technical experience for long term success.

*Purpose and Scope of Position*

We are looking for a highly motivated Sr. Automation Engineer providing manufacturing support including working on processing equipment in clean and mechanical spaces within a manufacturing facility in the South San Francisco area. This individual will be responsible for providing support for bio-pharmaceutical manufacturing projects and operations for the Downstream Automation group with a focus on Drug Product. Area of focus will primarily be supporting manufacturing computer/automation/process control systems to ensure reliable operation of Drug Product systems, including Commercial and Clinical fill lines and associated control systems used in and supporting bulk processing, the filling of recombinant proteins, packaging, and inspection. Candidate must be a self-starter, who can independently drive projects and day to-day work tasks to completion according to a defined budget and schedule. The candidate must be able to work well with others in an informal results-oriented environment.

*Responsibilities*

*-*Manufacturing technical support. Provide 24x7 on-call for manufacturing computer/automation/process control systems

-Monitoring and analysis of manufacturing data as necessary to provide support for process discrepancies, investigations, validation protocols, process transfers, or equipment troubleshooting

-Developing and implementing technologies which enhance manufacturing operations

-Support implementation of projects of various magnitude to maximize success rates, reduce discrepancies, increase capacity/productivity, increase levels of safety and/or compliance

-Design and execution of large and/or strategic projects in line with overall department and plant strategies, including: project approach and resource needs, options analysis, execution plan, engineering document development, and system ownership through the project delivery life cycle of planning, design, implementation, installation, commission and qualification.

-Contribute towards infrastructure improvements to guidelines, procedures, practices, standards and cross-functional business processes to increase efficiency and effectiveness of the Automation group. Candidate should have a mindset of sharing insights and improvements and participating in/lead design reviews.

-Ensure that systems achieve a high level of performance, reliability and regulatory compliance.

-Author and maintain detailed design documents, system architecture diagrams and standard operating procedures.

-Provide technical leadership, guidance and mentoring to staff including projects, continuous improvements and inspection/regulatory readiness initiatives.

-Assess and manage risks associated with system operation and use, and design, and implement improvements.

-Support site audits and inspections, and implement corrections as needed.

-This position requires strong adherence to compliance and safety requirements, cGMPs, SOPs, and other manufacturing documents. As with any position in a manufacturing environment, the job requires an ability to adapt to rapidly changing priorities and the flexibility to support operations in accordance with the manufacturing schedule.

*Qualifications*

*-*B.S or M.S. in Chemical, Electrical or Mechanical Engineering or equivalent degree

-3+ years of relevant work experience/training.

-Working experience supporting multiple controller platforms (such as Allen-Bradley PLC 5 & ControlLogix, Siemens, etc.) and interfaces (GE iFix, RSView, etc.), as well as historian and SQL/database experience.

-Experience at reviewing instrumentation and electrical wiring diagrams, communication networks, installation and troubleshooting.

-Theoretical and applied knowledge of process instrumentation, classical process control, continuous process control, Electrical areas and S88 Batch programming, validation and GMP regulations applicable to automated systems (including ISPE GAMP guidelines), ISA standards and P&ID nomenclature.

-Experience working in a cGMP environment

-Requires an ability to adapt to rapidly changing priorities and the flexibility to support operations in accordance with the manufacturing schedule.

-The successful candidate must have strong initiative and integrity as well as strong interpersonal, written and verbal communication skills. They should be able to successfully work independently and within teams, demonstrate strong problem-solving skills, partner/customer focus, and the ability to work with complex business systems and processes

-Flexibility for after-hours on call support rotation and support of 24/7 manufacturing operations

*In return for your skills, knowledge, and passion, Project Farma offers a wide range of benefits including: *

*-*Competitive salary based on experience

-Aggressive bonus structure to reward your commitment

-Paid Time Off

-Company laptop

-Continuing education (internal and external)

-Health Insurance

-401k plan with company match and discretionary annual profit sharing

Job Type: Full-time

Benefits:
* 401(k)
* 401(k) matching
* Dental insurance
* Disability insurance
* Health insurance
* Life insurance
* Paid time off
* Parental leave
* Professional development assistance
* Referral program
* Retirement plan
* Vision insurance
Schedule:
* Monday to Friday
Supplemental Pay:
* Bonus pay

Education:
* Bachelor's (Required)

Experience:
* Manufacturing Execution Software: 3 years (Preferred)
* historian and SQL/database: 3 years (Preferred)
* Pharmasuite: 3 years (Preferred)

Work Location:
* One location

Company's website:
* projectfarma.com

Company's Facebook page:
* facebook.com/projectfarma

Benefit Conditions:
* Waiting period may apply
* Only full-time employees eligible

Work Remotely:
* No",4.5,"Project Farma
4.5","South San Francisco, CA",-1,51 to 200 Employees,2013,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1
9,Network engineer,San Francisco,Solutions Engineer,-1,"Company Description

ifm efector, inc., headquartered in Malvern, PA, has earned the distinguished Top Employers certification for 2020 in North America for our outstanding people practices. ifm efector is the US subsidiary of ifm electronic gmbh, a global company with over 7,300 employees in 95 countries serving 174,000 customers worldwide. Our core business is the development and production of sensors and controls for industrial automation and process applications.

""Exceptional success can only be achieved when the employees believe in the company and when they know that they are treated in a fair and honest way."" -ifm philosophy

ifm is a privately-owned company whose success can be attributed to three guiding principles: Employees First, Customer Loyalty, and Safe Growth. With a supportive and collaborative culture, ifm welcomes new ideas and fosters honest communication and trust. Distinguished by their individual capabilities and contributions, every employee plays a role in the success of our business, so that we may provide innovative solutions to meet and exceed our customer’s business needs. ifm is dedicated to ensuring employees are engaged, enabled, and empowered to realize their full potential in a positive, diverse, and inclusive work environment filled with meaning and a shared sense of purpose.

“We have amazing products, but best of all we have amazing people. This is a core value of our success.” - Roger Varma, CEO, ifm efector

Deemed an essential business during the 2020 global pandemic, ifm has maintained successful operations both in-person for production and distribution roles, and in creative ways as appropriate for sales and other corporate departments. A significant number of employees have returned to the office with exceptional precautions in place, as the primary focus remains the health and well-being of our employees. As a leader in innovation ifm continues to leverage an array of business technologies to cultivate the customer relationship, especially in cases where on-site visits are not yet feasible.

Position Overview

As a Solutions Engineer, you will have the opportunity to apply your superior technical skills and industrial automation knowledge in a dynamic sales environment. Supporting both hardware and software, you will be a technical expert for: networking and control systems; vision, identification and diagnostic sensors; and other ifm products.

Position Description

Work closely with sales engineers and customers to support the sales process for ifm's most innovative solutions. Support will include product presentations, validating solutions with customers during proof of concept, troubleshooting technical problems, and providing ongoing sales support, e.g., commissioning and training of both customers and sales engineers.
Apply a comprehensive understanding of ifm's complete line of products including principle of operation, functionality and benefits, and application feasibility. This will build customer confidence and enable you to proactively identify and resolve technical application challenges.
Work closely with our product management team to identify product challenges and requirements for new functionality, create tools for improving the sales process for ifm solutions, and develop and execute a strategy for new product introductions.
Maintain technical documentation to include engineering drawings, reference material and application data.
Maintain a high level of motivation and commitment to helping the local sales team with promotion of ifm's innovative solutions. Need to conduct training on products, applications, sales tools, project quotes, and sales arguments. Make joint calls with ifm sales team and rep partners to build their confidence and help to ""close"" the business.

Candidate Requirements

BSME, BSEE or BS in a related discipline.
Three plus years practical hands-on experience with industrial controls and automation technologies, preferably in the areas of technical problem solving and controls architecture.
Strong proficiency in programming languages used in PLC or SCADA platform development.
Excellent presentation, interpersonal, writing and technical problem-solving skills.
Strong team and customer orientation.
Travel to customer sites (post COVID); approximately 30% overnight travel.
*We are not offering sponsorship for this position**
ifm efector, inc. is an Equal Opportunity Employer and does not discriminate on the basis of race, color, religion, gender, national origin, age, disability or handicap, marital or protected veteran status, genetic information, sexual orientation, gender identity, or any other category protected under applicable federal, state or local law.

Back Share
Apply Now",4.4,"ifm efector, inc.
4.4","Walnut Creek, CA",-1,201 to 500 Employees,1969,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),-1
