,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Quality assurance tester,London,"Quality Assurance Tester, London",-1,"Snapshot
You are a Quality Assurance Tester with a real passion for ensuring quality and a dedicated, can-do, attitude to overcoming technical and process challenges. To succeed in this role you will have experience as a professional games tester.
The Team
DeepMind's mission is to ""Solve intelligence. Use it to make the world a better place."" The Worlds Team provides DeepMind Researchers with the best training and testing environments possible. These range from bespoke mini-games aimed at answering specific research questions, to expansive first-person environments using modern game engines. The Worlds Team is important in helping steer DeepMind's research forward.
We design and implement our learning environments carefully as it's likely we'll live with them for many years to come so we apply thoughtfulness to everything we do. We take robust design and implementation seriously to ensure the delivery of high quality, repeatable, research environments. You'll join a close-knit team of hardworking individuals who openly share ideas with one another. Projects we've worked on include AlphaGo, DM Lab, and DQN on Atari as well as contributions to countless publications. You will not need prior machine learning experience for this role.
DeepMind's AI systems are the best in the world and they have surprised the world by learning to play video games, mastering the ancient Chinese game of Go, and making inroads into solving protein folding. They are trained to perform visual processing tasks, exhibit cognitive abilities like memory and planning, and can learn to control physical bodies. Much of what you know is of huge value to us as we strive towards building the challenges that are used as training environments for increasingly general-purpose learning systems, but there will also be much you will need to learn about the process of learning itself.
If this challenge intrigues you, then get in touch.

About The Role
As a QA Tester on our team you will be part of a small but growing team of testers/games players. The duties of the team are two fold:
Testing and validation of the games, platforms and tasks created by the Worlds and Research teams.
Recording scores and play sessions in a wide variety of games from classic console games and bespoke mini games to modern 3D games. The data recorded will be used for scientific research purposes in novel and exciting ways.
Responsibilities include:
Collaborating with engineers, the QA lead, researchers and designers to ensure the research requirements are met and the tasks are of sufficient quality.
Finding and reporting issues in a clear and accurate manner.
Provide feedback and produce detailed test plans and test cases.
Run bug reviews.
Set reference scores for games used for research.
About You
Minimum requirements:
QA testing experience.
Familiarity with popular games across a variety of genres and platforms.
A real passion for both automated and manual testing.
Ability to work with diverse groups of people with different requirements and ways of working.
Preferred/Nice to have:
Unity3d experience.
Python and C# knowledge
Passionate about functional testing
Opening date: 10th November 2020
Closing date: 8th December 2020
DeepMind welcomes applications from all sections of society. We are committed to equal employment opportunity regardless of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity or any other basis as protected by applicable law. If you have a disability or additional need that requires accommodation, please do not hesitate to let us know.
Competitive salary applies.",4.9,"DeepMind
4.9","London, England",-1,501 to 1000 Employees,2010,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
1,Quality assurance tester,London,Quality Assurance Engineer,-1,"Want to join a team with a mission to improve and save lives?


We continually look for motivated and skilled individuals who are interested in supporting our customers – healthcare professionals who use our products to help patients and their communities.

We currently have the following opportunity available - please contact us for more details!

Description –
Responsible for supporting process owners in defining and implementing processes and system changes analyzing process improvements to drive efficiencies. Support the local quality management system and processes. Is an advocate of Quality and promotes the group’s vision and mission while supporting the goals of the overall business. They work closely with functional teams in areas such as Engineering, Order fulfillment, Regulatory Affairs, Sales & Marketing, and Manufacturing among others.
Responsibilities -
Work on projects / compliance activities to completion.
Prepare monthly metrics for their area of expertise / responsibility.
Analyze process data and trends and drives optimization / improvement.
Represent QA organization in specific processes (e.g. CAPA, Order fulfillment, Manufacturing, etc.)
Support others in the QA organization and other functional organizations on technical aspects in order to drive results.
Participate in external audits before regulatory authorities.
Participate in the execution of the internal audit plan.
Promote and maintain adherence to Elekta values.
Authorities -
Preparation of audit plans, execution of audits and preparation of audit reports as applicable.
Issuing and supporting closure of non-compliances.
Support processes and procedural changes.
Authorize documents and forms.
Relevant Knowledge, skills and competEncies -
Bachelor’s degree in Engineering or equivalent or a related field or a formal engineering apprenticeship with demonstrated experience in a similar role
Training and experience in relevant medical device regulatory requirements and standards (e.g. ISO, IEC, MDD, QSR, CMDR.)
Proven experience in relevant areas of Quality, Regulatory or Engineering, preferably within a medical device environment.
Strong written and verbal communication skills and ability to collaborate effectively.
Objective driven and customer focused. Capable of producing results working unsupervised under own initiative.
Professional integrity. Able to translate regulations into meaningful business requirements.
Possess a structured approach to problem solving with an appreciation of quality tools & techniques.
Must be an effective team player with the ability to mentor, lead and problem solve to provide solutions to the business.
Confident and open personality who is able to communicate effectively, both written and orally with people at all levels.
Ability to work efficiently under tight timelines.
Proven fluency in English and other applicable languages relevant to their specific geographies.
Quality professional certifications preferred (e.g. CQI, CQMoE, CQA, CQE.)
Experience in quality improvement tools and techniques is a plus (e.g. Lean, Six Sigma, DOE, Statistical Methods, etc.)
Travel may be required.",3.1,"Elekta
3.1","Crawley, West Sussex, South East England, England",-1,1001 to 5000 Employees,1972,Company - Public,Health Care Products Manufacturing,Manufacturing,$1 to $2 billion (USD),-1
2,Quality assurance tester,London,Quality Assurance (QA),-1,"We are looking for a QA Tester/ Engineer for our growing IT delivery team. We are looking for someone that is passionate and a creative problem-solver, with an exceptionally high attention to detail. The right individual not only finds bugs, but plays a leading role in understanding the Customer requirements and working closely with the broader QA and development teams to identify acceptance criteria. They will follow the customer QA process as an extension of the current team. Their involvement will range from design to deployment to ensure we deliver the highest quality systems and features.

Responsibility:
Take direct responsibility for the quality of our teams output.
Work within the cusotmer's QA team to deliver exceptional work from the Syentec Team/s
Understanding business, system and feature requirements.
Validating requirements with the solution consultants, product owners and development team
Identifying, agreeing and documenting appropriate acceptance criteria
Creating and maintaining appropriate regression tests
Professionally and thoroughly executing regression tests and reporting results internally and externally
Identifying and recommending improvements to the Synetec processes in order to improve our teams quality
Increase the adoption of automated testing
Requirements
Happy to move quickly and independently. Take ownership of the outlined goals and make things happen.
Commercial experience working on collaborative engineering teams
Experience with test driven development. You also love to work with an engineering team to automate testing and then create tools so the team can test their own code
Strong experience and deep understanding of testing RESTful APIs including Authentication & Authorisation, API responses and API response codes
Commercial experience with any unit testing frameworks (NUnit, JUnit, xUnit, or similar)
Commercial experience with any test automation tools (Selenium Webdriver, Appium, Espresso, MSTest, Coded UI, Cucumber, FitNesse, Testium)
Hands on experience with web technologies (HTML, JavaScript, AJAX, CSS, jQuery)
Experience in Accessiblity Automation Testing (aXe, Selenuim, Wave)
Experience in cross browser and device testing (crossbrowsertesting)
Knowledge of Object Oriented Programming, Web Service testing, Front-End UI automation and have built a Test Automation framework yourself. Implemented testing Builds for Continuous Integration
Ability to write SQL queries as well as stored procedures and perform back-end testing
Exposure to Azure DevOps
Very organized, able to meet and keep track of tight deadlines with lots of moving parts
Know how to get things done, possessing a keen sense of urgency and the ability to prioritize problems, and analyse and resolve issues
Excellent written and spoken English
Minimum of 3 years commercial testing experience
Benefits
Culture of inclusivity
Up-skill/Training opportunities
Office hours will be 9am to 6pm
Permanent position
Great Location in London near London Bridge, Southwark and Waterloo stations
Starting ASAP. There will be some remote working due to COVID restrictions
Generous Leave Allowance 23 days leave as well as all working days between Christmas and New Years Day
Private Healthcare after qualifying period
Generous salary depending on experience",3.4,"Synetec
3.4","London, England",-1,Unknown,-1,Unknown,-1,-1,Less than $1 million (USD),-1
3,Quality assurance tester,London,QA Manual Tester,-1,"About Us:

Motion Pictures Solutions (MPS) is a leading international film services company, providing end-to-end solutions at all stages in the field of theatrical film delivery. From 24/7 post-production and mastering through to secure electronic distribution, KDM delivery, live event management, creative services and specialist technical consultancy, MPS offers distributors, exhibitors and industry partners a culture of innovation, a high level of expertise and fast turnaround times.

MPS has spent the past 15 years building a company that major Film Studios and Distributors trust. We’re a leading company at what we do and our aim is to make the global cinema industry run better, with our software already forming the basis of that ambition. We want to drive the cinema industry forward using the power of new, secure web-based technologies.

MPS is an energetic company and we guarantee a fun workplace and maybe the odd movie in one of our state-of the-art screening rooms. Most of all we want ambitious, driven people who are passionate about technology and film.

The Role:

To ensure software quality and reliability, which includes software testing, playing a leading role in Process Improvement, performing quality assurance and audit activities and by working closely with product and departmental managers to identify non-conformances and assist in the implementation of cost effective, timely solutions.

Key Responsibilities:
Write and execute manual test plans
Identify suitable test data and write acceptance tests
Test across multiple devices and platforms
Identify and execute complex test scenarios
Identify root causes of defects and ensure measures are taken to correct issues
Perform adequate fault logging, escalation and monitoring
Maintain automated test profiles
Encourage, support and coach other team members in their own development
Maintain a positive and solution-oriented approach to work, providing open and honest feedback


Requirements

Qualifications
ISTQB Certified Tester Foundation Level
Experience:
Min. 2 years of experience working in a fast paced agile environment
Experience with writing and executing manual test plans
Experience of non-functional testing e.g. Performance, usability, accessibility etc.
Skills and Knowledge:
Good understanding of Scrum, Kanban and Jira (or other agile toolsets)
Software Development Lifecycle (SDLC) & Software Testing Lifecycle(STLC) experience
Experience/exposure of performance, unit, security, penetration, scalability /stress and load testing (Non-functional requirements)
Experience of testing APIs and familiar with tools for testing APIs(Swagger/Postman)
Be comfortable using the command line (Unix/Linux)
Working closely with developers on functional tests and coordinating test/release branches in Git for deployment
Profound understanding of modern QA methodologies and practices.
Jira
GIT – Source Control
Competencies and Personal Attributes:
Ability to collaborate well with scrum teams
Self-Starter
Strong communication skills
Desirable:
Media file formats and metadata files such as XML
Digital Cinema Industry (DCI) file types and general DCI knowledge
JavaScript programming language
Aspiration to move to automation in the near future
Benefits

We offer a variety of great benefits to our employees, including:
25 days Annual Leave
Medicash Health Cash Plan
Cycle to Work Scheme
Dexters 'No Deposit' Option
Interest Free Deposit Loan
Cinema Ticket Deals & Discounts
Enhanced Maternity & Paternity Leave
Company Sick Pay Scheme
Season Ticket Loan
Mid-Term Incentive Plan
Superhero Scheme (Bonus)
Objectives Bonus
Summer & Christmas Parties
Training (including Study Support & Leadership Programme
We offer competitive salary of up to £35,000 pro-rata per annum depending on experience - negotiable
*Motion Picture Solutions is committed to providing equal opportunities in employment and freedom from unlawful discrimination on the grounds of age, race, ethnic or national origin, sex, pregnancy and maternity, marital or civil partnership status, sexual orientation, gender reassignment, disability, religion or beliefs.",4.6,"Motion Picture Solutions
4.6","London, England",-1,51 to 200 Employees,-1,Company - Private,Motion Picture Production & Distribution,Media,$10 to $25 million (USD),-1
4,Quality assurance tester,London,Manual Tester,-1,"Who we are
We are digital healthcare in the palm of your hand. We are clinical excellence in just a few taps. We are doctors, designers and data analysts. Software developers, managers and marketers. And we’re changing the GP experience – forever.

No more waiting for appointments. No more waiting rooms. With Doctor Care Anywhere, you speak to a doctor when it suits you, by video or phone call from anywhere.
But this is just the beginning.

We have ambitious goals and need ambitious people to reach them. If you’re talented, hard-working and make a habit out of dreaming big, we’d like to hear from you.

The role:
We are seeking a Manual Tester to join our dynamic and motivated team in order to Reduce the number of bugs reaching the production environment and ensure quality of Production releases for both web and mobile applications.

The key tasks in your new role with us
To ensure the release delivers applications of a quality that meets business requirements, are valuable to end users and are fit for purpose
Work closely with project stakeholders to prioritise and resolve bugs while delivering continuous feedback during the development process
Support in the creation, maintenance and implementation of test plans and scenarios
Carry out manual Regression testing, user acceptance testing experience
Work closely with Product to investigate, document and where necessary push for swift resolution of critical issues
Work in a team using the Kanban Agile methodology
Collaborate with other key stakeholders for the feature you are working on e.g. Product Owner, Developer, Designer
Comfortable in writing scenarios in Gerkin

Hopefully a description of you and your experience!
Knowledge:
Technical knowledge of web and mobile application development
Skills:
Experience in a QA role
Good communication skills both written and verbally
Experience of working in an agile environment
Basic IT skills such as email/ calendar management
Comfortable making builds in test environments
Attitudes:
Discreet with confidential matters (inc. patient information)
Detail orientated Excited to learn new things
Passionate about sharing
Excellent analytical and problem-solving skills with strong attention to detail

Why you want to work here:
We understand the importance of good health and happiness for our patients and our employees. You can expect to be supported and valued as a member of out team and have the freedom to make the most of your role and careers with us! As part of that, as an employee you will have access to:
Benefits:
Free Private Medical Insurance
Doctor Care Anywhere subscription for you and 5 members of your friends or family
Bonus scheme!
25 days holiday + bank holidays
Competitive Maternity and Paternity leave
Bike2Work scheme (for all biking equipment - even if you don’t bike to work!)
Other cool things we offer!:
4 x charity ‘Care in the Community’ days per year
Progressive environment with a focus on wellbeing
An environment where the ‘sky is the limit’ offering career opportunities and development
Flexible working environment with the option of coming into the office for a collaborative space
Open, transparent and dynamic environment, trusted to work independently but with a great team around you
Virtual Fitness classes three times a week",4.4,"Doctor Care Anywhere
4.4","London, England",-1,51 to 200 Employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
5,Quality assurance tester,London,Quality Assurance Engineer,-1,"3+ years of software quality assurance engineering experience
Knowledge of QA methodology and industry-standard testing and bug tracking tools
Experience with one scripting language
Experience driving quality through process, instrumentation, requirements and testing
Experience developing test strategies, test plans and test cases
Experience communicating cross-functionally and across management levels in formal and informal settings
Are you interested in shaping the future of what people watch on television? Amazon Fire TV Edition team is looking for experienced, results-oriented Software Quality Assurance Engineers who are capable of translating high-level, ambiguous business goals into working software solutions. We own the voice experience on all of our streaming media players, and are constantly experimenting and innovating to improve the customer experience. Successful candidates are creative engineers who take great pride in both the technical and business contribution of their work and are passionate about great software and ultimately a great customer experience.
You will have the opportunity to work with a wide variety of technologies from front-end UI (both web and device) to back-end distributed web services to device software. You will own the quality of major deliverables end-to-end, working closely with multiple engineers and teams to execute them. Scaling, latency, and customer experience are top priorities as the business grows. This is a high visibility team where you will make a direct positive impact on customer experience and the business. If you enjoy broadening your technical skills, building a new product, and working in an environment that thrives on creativity, experimentation, and innovation, then this is the job for you!
Quality Assurance Engineers test code at the user level, both manually and with automated tools. Our QA Engineers are not pure black box testers; they test at the appropriate level and are able to understand software internals, debug problems using log files, and write automated tests with scripts and/or user-level automated tools. QA Engineers work with Software Development Engineers, and Business Owners to understand technical implementation of features. QA Engineers will also work with groups such as Product Management, User Interaction, and Customer Support to understand customer usage models and develop test plans and suites that approximate real-world environments and regression tests and driving the software development process towards quality focused methodologies, always seeking to avoid defects or find them earlier in the process.

BS degree, preferably in Computer Science, engineering or other technical field
Experience with Python scripting or other automation framework
Experience with usability best practices; able to influence and improve user experience
Experience with Android, iOS or other mobile application development or testing
Excellent verbal and written communication skills",3.9,"Amazon Dev Centre (London) Ltd
3.9","London, England",-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
6,Quality assurance tester,London,Quality Assurance Engineer,-1,"Hudl is changing the future of sports technology, our mission is to capture and bring value to every moment in sports.

We build video analytics platforms and hardware products for teams around the world, at every level of the sporting world. Our software provides six million coaches and players the insights they need to win. To help our users, we need an automation focused QA Engineer, who will work with a small cross-functional team (PM, Engineers, Designer) to build a quality product.

We are using a BDD solution for our API and UI layer tests that focuses on the Gherkin language and backed by python and selenium webdriver. Our QA Engineers test like our users, write automation, evaluate root causes, know the difference between testing and quality and deploy code to production. They are involved throughout the entire development process, frequently pairing to achieve higher quality outcomes.

We work in a Teams and Squads model and follow Scrum. You would be working in the Elite Team, their focus is on professional teams and the unique coaching requirements they have. Your Squad's current project is building new features for the Replay product - an application used by coaches pitch side during matches and training sessions to provide insights and aid tactical decision making. The work can be varied and comprises mobile, thick client and web applications.

As the world's best sports teams start a match, your work will have impacted their preparation, change how they make in-game decisions and help them assess their post-match performance.

Our environment here at Hudl is tech/product orientated first and foremost. We have a values based culture that places an importance on autonomy and creating a relaxed 'nice' place to work. Our management style is based on coaching and ensure you have the tools and a pathway to succeed.

During COVID we are all working remotely. Once things are back to normal, we'd like you to be commutable to our office in London but there will be flexibility on how much you are required to come into the office.

You Are
Technical. You have experience implementing service and UI level automation
Naturally Curious. You discover edge scenarios and are constantly digging in to learn more about features and use cases.
Constantly Learning. You are passionate about learning and are hungry for new ideas.
User-Focused. You think critically about the user experience and adapt your testing to user workflows.
Quality Focused. You promote and maintain a high standard of quality beyond testing.
Risk Aware. You can evaluate risk and design a testing approach to mitigate risk to ensure adequate coverage.
Eager. Keen to work alongside senior Engineers and learn from them.
You Will
Work. In an autonomous squad, following Scrum methodology.
Think like a user. Everyone at Hudl is expected to interact with our users directly.
Test. Use your customer and system understanding to create testing approach and plans.
Evaluate. You will evaluate the root cause of issues and recommend corrective action to address it.
Automate. You will use your skills to assess what to automate and design service and UI layer automation to ensure adequate coverage.
Ship. You will test, talk with users, evaluate trends and deploy code on a frequent basis.
We Will
We Will Treat you like an adult. We will trust you to get the work done and take a break when you need it. Use your unlimited holiday when and how you want and enjoy our flexible work culture.
Give you what you need. We will supply the environment and tools for success, allowing you to focus on professional growth and career development.
Help you to grow. We promise you'll be surrounded by people equally committed to the company's success.
Delight You. We get great perks, like tickets to see our customers and funding that you can spend on your own development.
Diversity at Hudl


We believe that sport has the power to inspire people of all ages and backgrounds. It creates communities that are united in their goals, dedicated and adhere to a universal set of values. At Hudl, we operate the same way and look to build engaged diverse teams that reflect our user base.",4.3,"Hudl
4.3","London, England",-1,1001 to 5000 Employees,2006,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
7,Quality assurance tester,London,QA Tester,-1,"Would you like to work for a company that`s at the heart of providing cutting edge pharmacy technology?

Do you have a keen eye for detail and accuracy?

Do you have previous software testing experience with some exposure to SQL and are looking to enhance your career?

Sounds like you? Then read on...

Your new role

As our QA tester, you’ll provide quality control and functional testing of our innovative solutions and products: ProScript Connect, Clinical Service Hub, ePOS - just to name a few.

You’ll get involved in all aspects of the full testing lifecycle, so plenty of exposure of end to end testing. This will include creating and executing both manual and automated test scripts and scenarios of both our newly created and updated modules, to identify any differences in the product and logging in Team Foundation Server (TFS). You’ll work closely with development and clinical teams, communicating any software bugs and issues that you’ve found and making sure they’re resolved.

The role is a fixed term contact.

The team you’ll join

The Quality Assurance team is committed to be a skilled and motivated quality assurance team, delivering high quality and high value products, efficiently and predictably. We work in an agile manner in the UK and India. Your role will require you to join up with other teams, such as pharmacy, PMO, Product owners and development so it`s really important that you`re a team player and enjoy working alongside other people. That being said, you`ll be surrounded by plenty of talented people, who`ll share their expertise and skills with you, to help you succeed in your role.

What you’ll bring

We want to make sure you’re set for success so the key skills we are looking for in the role are below;

You’ll be an experienced software tester who knows Agile software engineering methodologies and processes
You’ll have your ISTQB Foundation Level qualification
You’ll have great knowledge of SQL and .Net

What we’ll give you

As well as a competitive salary, you’ll get a benefits package which includes a pension, life assurance and far more!

We also take our corporate social responsibility pretty seriously and we believe in giving back to our community, so you’ll get the chance to be involved in lots of fundraising events throughout the year. In the past, these have included challenge to complete up to a 100km walk over 24hrs across the Peak District and a walk over the Yorkshire Three Peaks!

So if this snapshot of the role looks interesting, click apply. If you don’t apply now, the job may vanish, but don’t panic; sign up for our job alerts and we’ll keep you updated.",3.7,"EMIS
3.7","Watford, East of England, England",-1,501 to 1000 Employees,1994,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1
8,Quality assurance tester,London,"Junior QA Analyst, Tester, Manual, Automation, Java",-1,"Junior QA Analyst, Tester, Manual, Automation, Java

A rare and exiting opportunity has arisen for Junior QA Analyst, Test Engineer with experience of both manual and automated testing, to join an Oxford University spin-out company!

Joining the company in their central Oxford office, you will join a highly–skilled Agile development team working across my clients Java-based product, built by Developers for Developers – powered by AI.

This pioneering organisation, is utilising Artificial Intelligence building products that have a global reach, having an enormous impact on speed, quality and efficiency. Working alongside exceptional talent, the QA Analyst, Test Engineer will focus primarily on the manual testing of my client’s core product, but will also get involved in automation testing working in an organisation that values their staff offering a unique office environment and exceptional benefits.

What’s required of the Junior QA Analyst?

- Commercial experience with both manual and automated testing

- Experience with Java including Junit

- Experience ideally working within a CI/CD environment

- Any awareness of Python Scripting would be highly advantageous

If you have any questions or would like to have a chat about this Junior QA Analyst position, just call me or drop me an email, as I’d love to hear from you! If, though, you think this role could be right for you and you’d like to learn more, then please apply now.

Junior QA Analyst, Tester, Manual, Automation, Java

Corriculo Ltd acts as an employment agency and an employment business.",-1,Corriculo Ltd,"Oxford, England",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
9,Quality assurance tester,London,QA Tester,-1,"Petlab Co. is currently on the lookout for an additional QA Tester to join our scaling technical department. You will be bridging the gap between the Customer Success and Development teams to resolve technical problems for customers and make sure that all new features released into the live platform are working correctly. You will build a deep understanding of our eCommerce platforms, and use this knowledge to test bugs and new releases and make sure they are managed properly to ensure the best possible experience for our customers.

About Petlab Co:
Petlab Co. is the world’s fastest-growing pet supplement business. Launching in December 2018, Petlab Co. is currently on track to drive over $100m in sales in 2020 without any external funding. They have a loyal community of over 100,000+ pets and tens of thousands of owners have had their lives positively impacted by innovative Petlab Co. products. Petlab Co. is a vibrant, fast-moving, and customer-centric team who value and reward high performing players. It is an ideal place for a candidate who is ambitious, hardworking, loves animals, is looking to rapidly progress their career and would enjoy working in a vibrant environment with smart co-workers and friendly office dogs! With a currently strong foothold in the United States, in the next several years, the Company intends to rapidly establish a presence across Europe and Asia. This exciting growth/hyper-scale will be underpinned by a continually evolving bedrock of proprietary product formulations which will improve pet and owner lives. Finally, the Company intends to continue to grow the value-add services and innovative products it provides to its enthusiastic community.

Role Requirements:
3+ years of experience in manual testing in a similar role within an eCommerce or tech company.
Experience in testing web applications.
UI, functional, regression testing experience.
Proficiency with issue tracking applications (Jira).
User-oriented perspective.
Desirable:
Knowledge and working experience of SQL.
Knowledge of automation scripting language, for example, python.
Non-functional testing experience (Load, etc.)
Experience with Jenkins.
Responsibilities
Effectively test all technical changes to sales funnels and e-com pages before deployment to the live environment.
Minimize the number of deployed errors to the live environment to ensure full scalability.
Providing third line technical support to end-users & Customer Success team to help resolve any issues/queries they have.
Creating, maintaining, and actioning test plans containing manual tests when there are no detailed requirements from the customer.
Ensuring that each feature provides a great user experience & that bugs are captured and managed efficiently.
Drawing up a test plan and test cases.
Investigate product quality in order to make improvements to achieve better customer satisfaction.
Identify the quality assurance process bottleneck and suggest actions for improvement.",-1,Cofoundant,"London, England",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
