,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Quality assurance tester,San Francisco,MV-22 Operational Test Engineer,-1,"Frontier Technology, Inc. is seeking a full-time MV-22 Operational Test Engineer/Analyst to join our team of qualified, talented, and diverse individuals in Yuma, AZ. Candidates will be required to relocate to Yuma, AZ. Relocation assistance will be provided.

Responsibilities:
This position is responsible for providing MV-22 System Engineering expertise in support of test and evaluation for the Department of the Navy’s (DoN) Commander, Operational Test and Evaluation Force (COMOPTEVFOR).
The successful candidate will provide operational test subject matter expertise while functioning as an expert in support of DoN test activities.
Ensure viability, traceability and control of test procedures
Work with the assigned Operational Test Director (OTD) to ensure the developed test plan and ensuing reports meet all COMOPTEVFOR, DOT&E and Joint testing requirements for assigned USMC Type/Model/Series aircraf
Provide support for:
Assigned project documentation and additional documentation as required to include:
Test and Evaluation Master Plan (TEMP) updates
Operational Test (OT) and Integrated Test (IT) Plans and Reports
Verification Correction of Deficiencies (VCD) related documentation
Ensure coordination of inputs to execute a safe, and operationally realistic test event(s)
Ensure the timely delivery of test related documents in preparation for, during, and after test events
Execute Knowledge of the IEF and Mission Based Test Design in creating an operationally realistic test plan, as well as concepts of Integrated DT/OT testing, Multi-service T&E and Joint T&E
Support the OTD in preparations for and execution of Operational Test Readiness Reviews for the various stages of testing
Assist the OTD in test design, execution and reporting

Education/Qualifications
(Preferred) minimum of 3 years of experience in planning and organizing test plan related work tasks, developing test plans, collecting data, and performing reconstruction and analysis for the test and evaluation of tactical operational systems.
(Preferred) Defense Acquisition Level 1 Test and Evaluation certification
Minimum of 2 years of direct experience with DoD/DoN instructions and policies with respect to Test and Evaluation, including for example, ORD/CDD/CPD, TEMP and Test Plan development and approval, Operational Assessment management, and IOT&E/OT&E/FOT&E decision milestone management.
Knowledge and understanding of historical aircraft and rotary wing test techniques and procedures used within DoD
Bachelor’s Degree in Science, Engineering, Mathematics, Computer Science or related field from an ABET accredited College or University.
Working knowledge of Department of Defense mission, activities
Must be a U.S. Citizen with the ability to obtain a DOD Secret security clearance
Working knowledge of Department of Defense mission, activities and terminology.
Working understanding of the DoD 5000 series, OPNAVINST 5000.42 series, as well as SECNAVINST 5000 series instructions
Demonstrated ability to communicate and interact effectively with members of a diverse military and civilian team
Highly proficient in desktop computer applications, e.g. Microsoft Office Suite (Word, Excel, PowerPoint) a must.
FTI is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.
#DNPAJE",4.2,"Frontier Technology Inc.
4.2","Monterey, CA",-1,201 to 500 Employees,1985,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1
1,Quality assurance tester,San Francisco,SQA Test Engineer,-1,"SQA Test Engineer
About the Position

We are looking for a Manual QA Test Engineer for the new CTO, Software team. NETGEAR is going through a revolutionary change to add software subscription services to its hardware offerings, and we need someone to perform end to end testing of our app-based service offering in accordance with software test plans and procedures. Assist product development engineers in the diagnosis and replication of product failures. NETGEAR is the leading provider of networking technology for small businesses, the smart home, and online gameplay, today. The Software CTO’s team is responsible for further developing the company’s services and application products that will support the current and future growth of the company.

“As a pioneer of network technology, NETGEAR has worked tirelessly to provide people with the tools they need to connect and collaborate online. We are now looking to improve this experience even further with value-added services,” said Patrick Lo, chairman and chief executive officer of NETGEAR.

This CTO, Software team is building out a full QA team from scratch to better interact with the team’s new Agile processes. You will be working in a team of 3-5 manual testers and be responsible for defining test plans, setting up test procedures, and performing end-to-end testing. Maintains documentation of test operations and reports results to engineering. The products are fairly complex involving interaction between routers, phones and internal and third-party cloud systems. This is an exciting opportunity to be part of a new team leading a top technology company through a critical change. Apply now at https://www.netgear.com/about/careers/

Responsibilities
Testing Mobile Applications
Develop effective strategies, test plans, and test cases
Execute manual test cases and analyze results
Report bugs and errors to development teams
Help troubleshoot issues. Ability to not only find a defect but also narrow it down to the root cause
Conduct post-release E2E testing
Strong verbal and written communication skills
Work as an agile member of a combined development and test team, running in short cycles to develop functional software in quick iterations.
Required
Minimum 2 years of experience in testing mobile applications on both Android and iOS platforms
Understanding of QA and release processes
Working knowledge of test case management tools (JIRA)
Attention to detail and strong organizational skills
Analytical and problem-solving aptitude
Strategic understanding of automation tools like Selenium, Appium
Nice to have
Knowledge in Wifi/Router/Networking is a plus but not mandatory
Python scripting
Knowledge in CI/CD processes, Jenkins type build automation tools
SOAP / REST API experience is a plus
NETGEAR is an equal opportunity employer and makes employment decisions on the basis of merit. We want to have the best available people in every job. Company policy prohibits unlawful discrimination based on race, color, religious creed, sex, gender, gender identity, gender expression, marital status, registered domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition including genetic characteristics, sexual orientation, military and veteran status, or any other consideration made unlawful by federal, state, or local laws. It also prohibits unlawful discrimination based on the perception that anyone has any of those characteristics, or is associated with a person who has or is perceived as having any of those characteristics.",3.0,"NETGEAR
3.0","San Jose, CA",-1,501 to 1000 Employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),-1
2,Quality assurance tester,San Francisco,QA Analyst II,-1,"Company Summary

MGE is a utility infrastructure contractor serving investor-owned and public utilities throughout California from its headquarters in Paso Robles and satellite offices throughout the state. Our mission is to be the leading provider of innovative construction solutions for our clients, providing the best value in support of their growing utility and infrastructure requirements.

Job Summary

As a Senior QA/QC Analyst you will manage the document control process to ensure quality, regulatory and legal compliance. Works with all departments to develop and execute QA/QC strategies to meet and exceed company and client quality and compliance goals. Monitoring of Quality activities, including results, defects, providing root cause analysis and identifying areas of improvement for the project and Quality team and implement the steps required to improve the processes. Evaluates and monitors tools, methodologies, and automation to ensure effective execution of the quality management system. Oversees user acceptance, research, and testing efforts. Provides input to strategic decisions that affect the functional area of responsibility. Capable of resolving escalated issues arising from business operations and requiring coordination with other departments.

Duties and Responsibilities

Lead document creation and management across the organization.
Lead ISO 9001:2015 certification process.
Work with department leaders to develop Policies, Procedures and Work Instructions.
Manage tracking, reporting and analysis of compliance programs.
Create and maintain reports, KPIs, dashboards, forecasting and tracking for the quality department and other departments.
Analyze past results, perform variance analysis, identify trends, and make recommendations for improvements opportunities.
Provide backup and support to other Quality department team members and other departments.
Assist in the execution and management of company-wide strategic initiatives and projects.
Build and maintain positive working relationships with co-workers, client and the public, using principles of good customer service.
Perform other job-related duties as assigned.
Reasonable accommodations may be made to enable individuals with disabilities to perform these essential functions.

Qualifications and Experience

Self-starter with excellent interpersonal communication and problem-solving skills
Excellent Technical and creative writing skills.
Strong quantitative and analytical competency
Work in a fast-paced environment with high attention to detail.
Work on multiple projects simultaneously.
Ability to quickly learn new software, systems, and technologies.
Knowledge of safe work practices.
Understand and follow all applicable safety regulations.
Understand and carry out oral and written directions.
Operate a computer/tablet/mobile device as necessary to perform job duties.
Work independently in the absence of supervision.
Communicate clearly and concisely, both orally and in writing.
Ability to learn all department policies and procedures.
Ability to establish and maintain cooperative working relationships with those contacted in the course of work.
1+ year project management experience
Required: 2+ years of Quality Control/ Analyst experience in the construction field or related industry
Required: Successful candidates must pass the following pre-employment requirements prior to beginning employment: drug screen and background check. Background checks include, but are not limited to, Social Security Verification, Prior Employment Verification, Motor Vehicle Records, Personal and Professional References, Criminal History.

Education

Required: High School Diploma or GED equivalent
Preferred: Bachelor’s Degree, ASQ Quality Technician, Six Sigma

Physical Requirements

The physical requirements described here are representative of those that must be met by an employee to successfully perform the essential functions of this job:

Employee is frequently required to walk, use hands to finger, handle, or feel objects, tools, or controls, and talk or hear. The employee is often required to stand and sit; reach with hands and arms; and stoop, kneel, crouch, or crawl.
The employee must occasionally lift and/or move up to 25 pounds individually or up to 50 pounds with assistance. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception, and the ability to adjust focus.
Employee may occasionally be required to drive a motor vehicle and travel to various project sites.
Must be able to access and navigate job sites and construction areas.

Prolonged periods sitting at a desk and working on a computer.

Reasonable accommodations may be made to enable individuals with disabilities to perform these essential functions.

Powered by JazzHR

JOTYSTxXmf",5.0,"MGE Underground, Inc.
5.0","San Jose, CA",-1,51 to 200 Employees,-1,Company - Private,-1,-1,$10 to $25 million (USD),-1
3,Quality assurance tester,San Francisco,Audio Test Engineer,-1,"Job Description


CETECOM Inc. is a leader in the wireless communications testing industry with test labs in the USA, Europe and Asia. Our clients are some of the most well-known and influential companies in this field. We focus on emerging technologies such as 5G, LTE NB IOT, LTE CAT M1, 802.11ax as well as voice recognition. CETECOM Inc. offers a full-time position for an Audio Test Engineer in the Milpitas facility.

Job Duties:
Evaluation of audio quality of wireless products (e.g. Smartphones) based on 3GPP standards 26.131 and 26.132
Development of test methods and test setup for audio quality testing
Product to Product Interoperability Testing and Usability Testing according to test specifications
Problem analysis and troubleshooting in test projects using protocol / audio analyzing tools and techniques
Job Requirements:
A degree in electrical engineering or related fields
5 years of experience in the field of acoustic / psychoacoustic principles and measurement methods
Knowledge of wireless transmission technologies use in today wireless audio products (e.g. Bluetooth , WiFi, LTE)
Knowledge of subjective audio test methodologies and standards including ITU P.862/P.835 specifications
Experience with Audio Equipment including B&K/HEAD Acoustics HATS, R&S UPV Audio Analyzer, HEAD ACQUA test system, Network simulators etc.
Knowledge and experience with MATLAB a plus
Capacity to work on several projects simultaneously
Fast learner and ability to handle different types of wireless audio products
Good communication skills
Capability to work with minimal supervision
Strong work ethic and desire to get the job done
Job Type: Full-time

Powered by JazzHR",3.6,"CETECOM
3.6","Milpitas, CA",-1,51 to 200 Employees,1998,Company - Private,Telecommunications Services,Telecommunications,$10 to $25 million (USD),-1
4,Quality assurance tester,San Francisco,Software Quality Analyst,-1,"Indio Technologies, a Subsidiary of Applied Systems, Inc., is currently searching for a talented Software Quality Analyst to join our development teams and help us achieve our software quality goals through planning, feature development collaboration, manual testing, and assisting our test automation team. In this role, you will have the opportunity to work alongside a talented group of software engineers, quality engineers, automation engineers, designers and product managers in planning the quality assurance strategy of new features through planning, regression testing, and quality verification; you should have a keen eye for detail and excellent communication skills. Ultimately, you will ensure that our products, applications, and systems work correctly and delight our users.
RESPONSIBILITIES
Collaborate with Engineers to develop, document, maintain and execute thorough test case plans in a timely and efficient manner for all areas of the product from verbal and/or written specifications
Communicate defects clearly and concisely using defect tracking tools as well as other methods such as written or verbal form as required
Work with cross-functional teams to ensure quality throughout the software development lifecycle
Participate and provide input into Agile ceremonies such as product backlog grooming, release planning, retrospectives, and reviews
QUALIFICATIONS FOR THIS JOB
Bachelor’s Degree or equivalent experience in computer science, technology, or a related field
2-5 years of hands on experience in a manual Quality Analyst role
Knowledge of test management software such as TestRail and Jira
Perform appropriate testing methods (Functional, Regression, Usability, Performance etc.) as applicable to the project deliverables
Experience with object-oriented programming and SQL are a plus
Strong attention to details; the ability to identify discrepancies between actual and expected results
Excellent communication and self-management skills
Strong analytical and decision-making skills
WHO WE ARE
Indio is modernizing the business insurance industry, making the insurance application and renewal process fast, easy, and error free. Indio’s application solves a traditionally broken process in the insurance industry by digitizing the client risk capture and application experience, making it more collaborative, simpler and error-free.
The Indio team has years of experience in traditional insurance, software engineering, and modern design, and is driven by a passion to transform an industry. Owned by the industry’s leading software company, Applied Systems, our staff has access to resources, expertise, and global scale to grow their career and change an industry.",4.1,"Applied Systems, Inc.
4.1","San Francisco, CA",-1,1001 to 5000 Employees,1983,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
5,Quality assurance tester,San Francisco,Device Test Engineer,-1,"Note: Role will initially be based in Milpitas for 3 - 6 months, and then move to TEOCO labs in Dallas, TX. MUST be willing to work in both locations.*
The successful candidate will perform the following responsibilities:
Maintenance and operation of LTE and GSM/ UMTS test systems
a. Resolution of all failures by working with test system manufacturers or others
b. Monitor certification regime database for change requests related to test system
c. Install new system software or equipment firmware versions as needed
d. Maintain test system information in proprietary database
e. Perform Conformance and Operator testing and debug problems if necessary.
Act as point of contact for LTE questions and technical issues related to device testing
Provide expert opinion and interpretation as required for the test projects.
Perform training of test technicians and monitors their proficiency.
Prepare and maintain documentation for test system maintenance and operation.
Involved in the improvement of testing processes and testing efficiency
Reports to test lab manager
Qualifications:
2-4 years of experience in the Mobile Device Testing
Should have hands-on experience in executing test cases on some Equipment vendors
Experience on Rohde & Schwarz, Anite, Anritsu would be added advantage
Should have log analysis expertise for LTE
Experience of Qualcomm or Intel tools like QXDM, QPST would be an added advantage
Should have very good understanding of LTE, WCDMA, IMS Call flows
Knowledge of Carrier specific testing (Verizon, T-Mobile) is required.
Desirable:
Excellent written and oral communication skills. Must be able to communicate clearly with test system manufacturer, customers and within TEOCO as part of a multi-disciplinary team
Fast learner in order to adjust to the frequent changes in a new technology.
Work independently with only minimal supervision.
Strong work ethic and desire to get the job done.
Academic Criteria: Bachelor’s or Master’s degree in Electrical, Electronics or Computer

Job Type: Full-time

Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Work Location:
One location
Multiple locations
Work Remotely:
No",3.5,"TEOCO Corporation
3.5","Milpitas, CA",-1,501 to 1000 Employees,1994,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
6,Quality assurance tester,San Francisco,Junior Software Quality Analyst,-1,"Indio Technologies, a Subsidiary of Applied Systems, Inc., is currently searching for a Junior Software Quality Analyst to join our development teams and help us achieve our software quality goals through planning, feature development collaboration, manual testing, and assisting our test automation team. In this role, you will have the opportunity to work alongside a talented group of software engineers, quality engineers, automation engineers, designers and product managers in planning the quality assurance strategy of new features through planning, regression testing, and quality verification; you should have a keen eye for detail and excellent communication skills. Ultimately, you will ensure that our products, applications, and systems work correctly and delight our users.
RESPONSIBILITIES
Collaborate with Engineers to develop, document, maintain and execute thorough test case plans in a timely and efficient manner for all areas of the product from verbal and/or written specifications
Communicate defects clearly and concisely using defect tracking tools as well as other methods such as written or verbal form as required
Work with cross-functional teams to ensure quality throughout the software development lifecycle
Participate and provide input into Agile ceremonies such as product backlog grooming, release planning, retrospectives, and reviews
QUALIFICATIONS FOR THIS JOB
Bachelor’s Degree or equivalent experience in computer science, technology, or a related field
1+ years of experience with manual testing
Strong attention to details; the ability to identify discrepancies between actual and expected results
Perform appropriate testing methods (Functional, Regression, Usability, Performance etc.) as applicable to the project deliverables
Working knowledge of test management software such as TestRail and Jira are a plus
Experience with object-oriented programming and SQL are a plus
Excellent communication and self-management skills
Strong analytical and decision-making skills
WHO WE ARE
Indio is modernizing the business insurance industry, making the insurance application and renewal process fast, easy, and error free. Indio’s application solves a traditionally broken process in the insurance industry by digitizing the client risk capture and application experience, making it more collaborative, simpler and error-free.
The Indio team has years of experience in traditional insurance, software engineering, and modern design, and is driven by a passion to transform an industry. Owned by the industry’s leading software company, Applied Systems, our staff has access to resources, expertise, and global scale to grow their career and change an industry.",4.1,"Applied Systems, Inc.
4.1","San Francisco, CA",-1,1001 to 5000 Employees,1983,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
7,Quality assurance tester,San Francisco,Quality Assurance Engineer II,-1,"ONLY LOCAL CANDIDATES WILL BE CONSIDERED. NO RELOCATION ASSISTANCE FOR THIS ROLE.

ALLDATA®, an AutoZone® company, is the leading provider of automotive repair information and solutions to the professional automotive service industry. Thousands of professional repair and collision shops across North America depend on ALLDATA for service & repair information, shop management and customer relations C# solutions.

We are building teams to develop a complete suite of mobile enabled products and services. Come be part of a talented group working with the latest technology to create world class software products.

We offer:
• Competitive pay & flexible work schedules
• Full Benefits (Medical, Dental, Vision, 401k, STD, LTD, Adoption assistance, Tuition reimbursement, Life Insurance)
• Stock Grants (for eligible positions) & Employee Stock Purchase Plan
• Full work-out facility on the premises for use by our employees
• Game room for use by employees during breaks (billiards, foosball, air hockey)
• Free coffee and tea supplied daily, donuts and bagels each Friday, monthly planning lunch-and-learn
• Access to AutoZone Corporate Perks, offering store discounts, mobile carrier plan, air travel, hotel, car rental and other discount programs, including new vehicle purchases discounts
• Employee Incentives (i.e. professional sporting events tickets, movie tickets etc.)
• Special recognition programs & annual employee fun / community events
• Access to ALLDATA’s Online and Mobile products
• Well-Being Program developed to promote whole-being wellness awareness, including but not limited to: Mental Health/Stress Management, Physical Health/Fitness, Conflict Resolution, Financial Management and Personal Development

Position:
Software Quality Engineer II is a mid-level technical position requiring previous experience in software testing. Must be able to work with the development team to support project activities; write and execute a test plan; and have some previous experience with automated testing tools. Must be self-motivated and able to work in a fast-paced, challenging environment.

Primary duties and responsibilities include but are not limited to the following:
• You will collaborate with a team of skilled Software Engineers and Product Managers to develop and translate business goals into high quality, reliable and scalable technology. In order to deliver faster and set a high-quality bar, we invest the time and commitment to automating tests. This position requires an individual who is creative, team-oriented, a quick learner and driven to produce results
• Organize test efforts by establishing test criteria and test environments. Develop and Execute test plans, identify defects and report findings to development team and management.
• Develop and maintain test automation software for various products
• Create test cases and test plans, employing automated test tools whenever possible.
• Actively participate in Agile ceremonies
• Provide training and support to Customer Service on all new end-user products and utilities that are released.
• Develop manual and automated tests, enhance and expansion of the current Test Automation Infrastructure
• Support and test release deployments to QA, Staging and Production environments.
• Design, develop and maintain test automation tools/frameworks (e.g. Selenium WebDriver, Jenkins, SOAPUI, QAF, JIRA, Gherkins, TestNG, JMeter etc.)
Qualifications:
• Bachelor’s degree (BA, BS) in Computer Science or related computer/engineering field, or equivalent.
• 3-5 years’ of demonstrated experience in software development or software testing and quality assurance (QA) activities
• Well-versed in all testing methodologies (black box, white box, system, functional, exploratory and automated testing)
• Experience in creating and documenting test plan and test case scenarios and processes
• Experience with at least one Test automation framework is strongly preferred (Selenium/LeanFT/JMeter/ Appium)
• Working knowledge of Java or C# or any object-oriented language
• Strong analytical skills, strong judgment and ability to understand complex business problems quickly
• Familiar with SQL is desired
• Experience in Agile/Scrum, JIRA or any other agile management or bug tracking tools
• Ability to rapidly learn new technologies based on business needs

Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Referral program
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Work Remotely:
Temporarily due to COVID-19",4.0,"ALLDATA
4.0","Sacramento, CA",-1,201 to 500 Employees,1986,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1
8,Quality assurance tester,San Francisco,Data QA Engineer,-1,"Job Description: Data QA Engineer
Location: San Jose, CA
Department: Quality Engineering
Hours/Shift: Full Time
Reports To: VP, Software Engineering
Job Description:
Affinity Solutions is looking for a self-motivated mid-level Data QA Engineer to lead the testing framework design, development, automation for our big data infrastructure leveraging latest technologies such as Hadoop and Spark, both on-premise and in the cloud. This position requires experience in testing and automation of data pipelines, data services, data warehouses, business intelligence and machine learning platforms, especially around unified consumer transactional, demographic and behavioral data.
The ideal candidate is a passionate and highly skilled individual, who can utilize programming and analytics tools/technologies such as SQL/NoSQL, Python, and Tableau to validate products, data pipelines and data deliverables. If you have experience in automation, quality engineering of data centric applications/systems, especially around credit/debit card transactions, unified consumer behavioral and profile data, and excited about leveraging your experience to catapult into hyper-growth, this job is for you.
Responsibilities:
Design and implement Test Automation frameworks using Python, node.js, SQL, javascript and React JS.
Develop test strategies, plans, test cases and engineering best practices related to software test engineering, both manual and automated testing with a specific focus on data quality
Work closely with data engineers, data scientists and analysts to inform solution designs in terms of testability.
Building and automating testing frameworks around data ingestion pipelines for master data management, deep-learning, and predictive analytics
Build and maintain testing frameworks for big data environments that are highly secure, scalable, flexible, and performant using appropriate SQL technologies.
Lead data governance and data profiling efforts to ensure data quality and proper meta data documentation for data lineage.
Creating quality metrics to evaluate data pipelines, products and customer deliverables.
Collaborate with diverse technical and non-technical teams located across multiple time-zones on client deliverables and technical support
Participate-in and contribute to design and code reviews
Qualifications:
Bachelor’s or Master’s degree in Computer Science or related field such as Mathematics and Statistics, preferably with focus on data analytics.
3+ years of experience in data integration / data engineering
3+ years of experience in data modeling and architecture
3+ years of experience in QA automation
Experience in working with large scale Enterprise data warehouse, data integration, data migration and data quality verification
Hands-on testing experience in working Hadoop, Spark and other Big data technologies is highly preferred
Knowledge of data pipelines using SQL, Hive, Spark, Spark ML
Excellent analytics, problem-solving and debugging skills",3.2,"Affinity Solutions
3.2","San Jose, CA",-1,51 to 200 Employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
9,Quality assurance tester,San Francisco,"Software Test Engineer, Medical Device",-1,"_*The Company*_
The world is facing a medical crisis, bacteria are increasingly evolving resistance to even our strongest antibiotics. The problem is already very real and immediate; for example, bloodstream infection leading to sepsis is now responsible for more than half of all deaths in hospitals and is the most expensive condition treated in hospitals. Sepsis mortality rate increases >6% every hour without effective antibiotic treatment. Yet, despite the life and death urgency, and healthcare cost impacts, current methodologies require 3 days to determine the correct antibiotic.

Specific Diagnostics has developed a breakthrough solution to rapidly determine the effective antibiotic treatment for bloodstream and other acute infections. Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection.

We have been funded by nearly $30 M in non-dilutive government sponsored research support and recently $17.5 M in venture capital. This is an opportunity to join us at an inflection point in our commercial growth as we bring our first key product to market and with recognition from major customers fueling an expansion of our staff.

_*The Job*_
This role is a key member of our development team, responsible for design, development, execution, and debug of test software based on software requirements and technical specifications. Central to the job is creation of test cases, development of test software and verification of results against requirements and generating a historical analysis of applications’ state and stability. Use of tools such as Jira and Arena for documentation of defects in a maintained issue tracking database will be a routine task. The job responsibilities include deploying, operating, and maintaining application test instances and development of automation wrappers for off the shelf test equipment.

You will be a key contributor in a fast track development program for a medical diagnostic system, and leadership experience in software development and test of FDA-regulated medical devices in an ISO 13485 quality environment is critical. The job includes reviewing and documenting software in compliance with medical device software standards including IEC 60601 and 62304. Testing against requirements includes evaluating software ease of usability and error handling procedures. Responsibilities include:
Design, develop, execute, and debug test plans of applications based on software requirements and technical specifications
Create test cases and validate results against functional requirements
Detect and identify software failures so that defects may be discovered and corrected
Quantify system reliability, scalability, load, and throughput
Develop automation wrappers for off the shelf test equipment
Document results and generate historical analysis of applications’ state and stability
Document defects in a maintained issue tracking database
Deploy, operate, and maintain application test instances
Ensure compliance with general software development, testing, and maintenance best practices
Evaluating software ease of usability and error handling procedures
Provide application instructions for users
You*
You better be great because you will be central to assuring our products are great and performing as required. You should have direct experience in the engineering development of software, test software, verification and validation of regulated medical devices. You will be part of a multi-disciplinary technical teams in collaboration toward system-level solutions, and demonstrated interpersonal skills and the ability to lead technical teams will be essential. Our software development is very diverse, and you will have the opportunity to work on various technologies and develop various aspects to our solution. You should be excited by the prospect of working in a dynamic, entrepreneurial environment and have the following qualifications :
Experience in C#, WPF, and Python
Minimum 3 years of experience in automated testing, using, developing, and extending SW test frameworks
Bachelor Degree in Computer Science, Electrical Engineering, or other related field preferred.
Experience in automating WPF UI testing a plus
Experience with static analysis tools and code coverage tools
Experience with source control and defect tracking systems (Github, Jira, etc.)
Experience with electronics and related test equipment (e.g. Oscilloscope)
Must possess excellent written and verbal skills to communicate with the development team
Must be able to work independently as well as in a team environment
Previous automated script design, coding, debugging and maintenance skills are a must
Experience with IEC 62304 medical device development, test, and documentation
Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
On call
Experience:
Software Testing: 3 years (Preferred)
WPF testing: 3 years (Required)
web services testing: 2 years (Required)
C# testing: 3 years (Required)
Python testing: 3 years (Required)
automated testing: 2 years (Required)
Work authorization:
United States (Required)
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Outcome-oriented -- results-focused with strong performance culture
Team-oriented -- cooperative and collaborative
Company's website:
https://www.specificdx.com/
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",2.6,"Specific Diagnostics
2.6","Mountain View, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
