,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Software engineer,London,Software Engineer (Backend),-1,"At Zoopla we want to help everyone make intelligent home buying decisions. We are building a team that will have the once in a career opportunity to re-imagine our industry.

The interesting stuff…
You will have spent lots of quality time with your IDE of choice, learning the powerful idioms and important idiosyncrasies of at least one programming language. We like to code mostly in Golang, Python, Node.js / JavaScript, .NET Core and Perl here, but we’re open to all.
You regularly practice honing your engineering craft, expanding your skills in techniques such as TDD, refactoring, clean code and pair programming.
You will ideally be familiar with AWS, although it’s useful if you have some knowledge of other cloud services, too.
You appreciate the benefits of CI pipelines and automation for both quality and deployment.
You understand the importance of delighting users with your product while making sure it remains stable, performant, observable and supportable.
Why Zoopla…
We're serious about tech but we don't take ourselves too seriously.
We are spiritually agile, not religiously agile.
We strongly believe in the value of good design. We believe it is a primary differentiator in an increasingly crowded marketplace.
We believe in the value of data. We run a team that is data informed. We think being data-driven is soulless and dangerous. Clean, confident, clear data combined with the insights of the team is what drives our decisions.
We want to build small, collaborative, cross-functional teams that push each other to create elegant, simple solutions to difficult customer problems.
No matter what the role we want everyone to be obsessed with getting inside the minds of our customers.
How do you know we’re the best place for you?
You strive to set the standard and are always looking to raise the bar and want to be surrounded by others who do so as well.
You enjoy knowing your customer.
You want to build things together, collaboratively with your team.
You want to own it; to have ownership and accountability for the outcomes of your effort.
You value sharing and committing to discussions and debates with your teammates.
And if you want to come help us re-imagine an industry.",3.7,"Zoopla
3.7","London, England",-1,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
1,Software engineer,London,Java Software Engineer,-1,"PRODYNA
We are an international IT service and technology consultancy organization. Our focus is on innovative and customized IT solutions in the Java and open source environments. We offer our employees exciting projects, a broad customer portfolio and the opportunity to grow with us, a dynamic and experienced team.

YOUR TASKS
Implementing of software solutions based on Java (SE/EE) and Open Source technologies
Supporting challenging projects with a modern architecture (e.g. microservices) and a varied technology stack (e.g. Neo4j, Spring Cloud, React and AngularJS)
Designing of CI/CD processes to achieve highly automated software development
Solving complex and highly interesting technical problems for our customers

YOUR PROFILE
As a passionate developer, you need to have initial experiences in Java technologies. Additionally, you need to have fluent knowledge in English as well as excellent communication skills. If you can work well in cross-functional teams and you are an excellent analytical problem solver, you are a perfect fit for PRODYNA.


YOUR BENEFITS
Location in the city center
25 days + bank holidays paid
Private health Insurance
Business travels
Team events
Global event participations
Employee education
Flexible working hours
Fruits in the office
Employee referral program
*Work permit is needed for this role.",4.1,"PRODYNA
4.1","London, England",-1,201 to 500 Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
2,Software engineer,London,Software Engineer,-1,"At Gearset, we build a cutting-edge release management solution for the millions of developers building applications on Salesforce, the world's biggest enterprise PaaS. You'll join a passionate and experienced cross-functional development team with a laser focus on quality - from infrastructure, to code, to user experience. The features you build will make thousands of businesses around the world more effective.

You'll be a good fit if you:
Can write code and solve complex problems. Generally, this means having a bachelor's degree from a top university, or a few years experience working as a programmer in a software development team
Like to write well-structured, testable code, with a focus on simplicity and maintainability
Care about quality, not only of the code you write, but of the product you're building
Are comfortable with both frontend and backend development
Enjoy working with a collaborative team of varied disciplines, including developers, designers, marketers and salespeople
Have an enthusiasm for working directly with users to build and deliver the right features
Are a skilled developer, but more importantly, have an innate desire to learn and improve
Working at Gearset, you will:
Maintain and extend existing features, and collaborate with the rest of the development team to spec, design and build new features end-to-end
Learn from, and share your experience with, a great team - alumni of Microsoft, EA and Cambridge University to name a few
Become familiar with a pragmatically-chosen tech stack, including a mix of cutting-edge and proven technologies such as Docker, AWS, C#, and TeamCity
Work closely with users, delighting them with support, researching new features and soliciting feedback
Contribute opinions on a range of topics, from development practices to product strategy and roadmap
Nice to haves:
Familiarity with JavaScript and C#
Experience working on a hosted product
Experience working in an agile development team, following software engineering best practices
Benefits:
Salary is £32k - £60k, depending on experience
Bupa health care
Flexible working hours
Free lunch",4.7,"Gearset
4.7","Cambridge, East of England, England",-1,51 to 200 Employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
3,Software engineer,London,Remote Software Engineer,-1,"At Gearset, we build a cutting-edge release management solution for the millions of developers building applications on Salesforce, the world's biggest enterprise PaaS. You'll join a passionate and experienced cross-functional development team with a laser focus on quality - from infrastructure, to code, to user experience. The features you build will make thousands of businesses around the world more effective.
You'll be a good fit if you:
Can write code and solve complex problems. Generally, this means having: a bachelor's degree from a top university, or a few years experience working as a programmer in a software development team
Like to write well-structured, testable code, with a focus on simplicity and maintainability
Care about quality, not only of the code you write, but of the product you're building
Are comfortable with both frontend and backend development
Enjoy working with a collaborative team of varied disciplines, including developers, designers, marketers and salespeople
Have an enthusiasm for working directly with users to build and deliver the right features
Are a skilled developer, but more importantly, have an innate desire to learn and improve
Can work closely with your team members and make an active effort to collaborate effectively

Working at Gearset, you will:
Maintain and extend existing features, and collaborate with the rest of the development team to spec, design and build new features end-to-end
Learn from, and share your experience with, a great team - alumni of Microsoft, EA and Cambridge University to name a few
Become familiar with a pragmatically-chosen tech stack, including a mix of cutting-edge and proven technologies such as Docker, AWS, C#, and TeamCity
Work closely with users, delighting them with support, researching new features and soliciting feedback
Contribute opinions on a range of topics, from development practices to product strategy and roadmap
Nice to haves:
Familiarity with JavaScript and C#
Experience working on a hosted product
Experience working in an agile development team, following software engineering best practices
Previous experience working remotely
Benefits:
Salary is £32k - £60k, depending on experience
Bupa health care
Flexible working hours
Note that you must be based in the UK for this role.",4.7,"Gearset
4.7","Cambridge, East of England, England",-1,51 to 200 Employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
4,Software engineer,London,Senior Backend Engineer,-1,"Join us today and make a difference in people's lives!

The Senior Backend Engineer is a unique opportunity and an exciting time to join a pioneering company at a critical time in its growth. LivaNova is a global medical technology company built on nearly five decades of experience and a relentless commitment to improving the lives of patients around the world. Our disruptive technologies and breakthrough treatments provide meaningful solutions for the benefit of patients, healthcare professionals, and healthcare systems.
We are a global leader in cardiovascular solutions with an established leadership position in heart-lung machines and recognition as the world’s #1 cardiopulmonary bypass company. Plus, as a global leader in neuromodulation and as pioneers of the VNS (Vagus Nerve Stimulation) Therapy® system, we continue to advance medical device solutions for people affected by treatment-resistant epilepsy, depression, heart failure, and other chronic disorders.
About Epsy Health
Epsy is a leading digital health platform empowering patients, caregivers and healthcare providers: we give the world a better way to live with seizures and epilepsy.
Come work with us and build something that matters – we provide patients and physicians with tools and insights that help to accelerate the pathway towards better outcomes. We do this by bringing together the best people, the latest technologies, user-centric designs and state-of-the-art data analysis.
We are solving a large problem as epilepsy affects more than 65 million people and is one of the most common neurological diseases.
We operate as an independent startup within LivaNova. This gives us unique advantages: we move fast and drive growth, while we benefit from the corporate umbrella for excellent funding and resources. Epsy Health is headquartered in London (UK) and Houston (Texas, USA), and our team has fully embraced remote work for the long-term.
We’re looking for skilled and ambitious developers which are:
genuinely interested– motivated, as well as open to change and new challenges
eager to cooperate – able to work in a group in order to achieve collective goals
strive towards professionalism – focus on the highest level of their performance
effective – able to handle complications and take advantage of beneficial circumstances
product and customer oriented – care about long-lasting and rewarding relationships, are able to listen to and meet the expectations of our users
Your role :
work as a member of the team at every stage of software development life cycle - being capable of designing solutions, writing and testing application code and finally manage the deployment (with automated pipeline)
research and innovate during your day to day work – gather and share knowledge
provide input and influence discussions around best practices and new technologies, helping us to develop an effective basis for future developments
You will work on:
modern microservice architecture fully build on AWS stack with dozen of components like EventBridge, API Gateway, DynamoDB, Cognito, Amplify and AppSync etc.
data pipeline for gathering and processing high volume of the data collected from global network of IoT sensors – including customer electronics
our Machine Learning platform implementation, build together with our Data Science engineers
global infrastructure managed with terraform and CloudFormation
our high performance internal and external APIs build with Serverless, Flask and Amplify frameworks
Required Skills and Experience :
5+ years of Python experience, building API powered solutions
good understanding of microservice architecture
experience with at least few common Python frameworks and libraries (flask, pyramid, bottle, celery, tornado, pandas...)
familiarity with API gateways, configuration, rate limiting
experience with client-server architecture using REST and GraphQL protocols
good knowledge of relational and non-relational databases (DynamoDB, PostgreSQL)
building, testing and deploying applications using Docker container on AWS ECS platform
building and deploying cloud native solution with AWS using SQS, SNS, EventBridge, Kinesis, API Gateway, Cognito just to name a few
understanding of continuous integration and continuous delivery (CI/CD) tools and systems (ideally if you can participate in continuous improvement of our delivery pipeline)
Desirable Skills and Experience :
managing AWS with infrastructure as code using terraform and CloudFormation
building and deploying services with Serverless framework (both APIs and async services)
multi-region, geo-distributed applications with performance, privacy and compliance management
web application security best practices (OWASP), nice to see some security testing experience
other backend / data processing languages knowledge – Node.JS, TypeScript, PHP, GO, R
experience with designing and building distributed, event based solutions using message brokers and enterprise integration patters
experience in big data processing from set of IoT devices using AWS tech stack
If you would like to see what we use to power our amazing platform please visit: https://stackshare.io/epsy-health/epsy-health
Why work for Epsy?
Join our growing team of motivated and innovative individuals. Our friendly team encompasses experienced designers, app developers, product managers, marketeers, customer success managers and data analysts. At Epsy we pride ourselves on our all-team collaborative approach and actively encourage learning, whether it be in your speciality or simply an area you might like to learn about (examples include talks about Hedge Fund management and wine!). If you are looking to develop as a candidate in a supportive team who actively want to better the lives of millions of people, then Epsy is the place for you.
Here is an illustrative list of what you can expect at Epsy:
Engaging and multicultural work environment
Flexible work from home arrangements
Supportive senior leadership with a real positive and enthusiastic atmosphere throughout the company
Pension contribution
Cycle to work scheme
Private Medical Insurance/Eye Care
Employee Assistance Program (EAP): core resources available with additional access to discounted merchandise and a Wellbeing Assessment
Company Sick Pay
Life Assurance
Gym Membership
Company Shares purchase program
Long Service – extra day off for each year of the service, after first one
Newest MacBook Pro and all software you need to work effectively
Opportunities to shine with our various collaborative team meetings
Lots of social events or virtual events (due to the current situation)
Our commitment to Diversity & Inclusion:
LivaNova values equality and celebrates diversity. We are committed to ensuring that our recruitment process is fair, transparent and free from unlawful discrimination.
Our selection process is driven by the key demands/requirements for the role rather than bias or discrimination on the basis of a candidate’s sex, gender identity, age, marital status, veteran status, non-job-related disability/handicap or medical condition, family status, sexual orientation, religion, color, ethnicity, race or any other legally protected classification.
Background Checks at LivaNova:
Upon successful completion of the hiring process an offer may be extended. Please note, LivaNova reserves the right to conduct background investigations and/or reference checks on all its potential employees, where permitted by local legislation. This offer therefore, is contingent upon a clearance of such a background investigation and/or reference check, and can be rescinded, where permitted by local legislation, based upon data received in the background check and/or refusal to cooperate with or any attempt to affect the results of this check. This process is not currently valid in Germany.
Notice to third party agencies:
Please note that we do not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed Recruitment Services Agreement, we will not consider, or agree to, payment of any referral compensation or recruiter fee. In the event that a recruiter or agency submits a resume or candidate without a previously signed agreement, we explicitly reserve the right to pursue and hire those candidate(s) without any financial obligation to the recruiter or agency.",3.9,"LivaNova
3.9","London, England",-1,1001 to 5000 Employees,2015,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1
5,Software engineer,London,Design Engineer,-1,"DESIGN ENGINEER
SWINDON
£32000 BASIC + BONUS + SUPERB BENEFITS
This leading international manufacturer of specialist telecoms equipment and components are seeking to recruit a Design Engineer to be based at their major manufacturing facility in Swindon.
The role:
To develop new cables, products and materials that support the needs of the business. Technical support for commercial and production issues as and when they arise. Maintenance of items within the Oracle MRP system.
Skills:
An excellent work ethic and be able to respond quickly to enquiries as they come in.
Solid understanding of scientific and engineering principals
Bachelor's Degree or higher in Physics; (mechanical engineering or scientific degrees will be considered),
Minimum 3 years’ experience in a comparable role
Ability to understand fundamental problems
Excellent time keeping and organisational skills
Good working knowledge of MS Office package (Excel and Access including VBA)
Design work using CAD software
This is a fantastic opportunity to join a leading manufacturer in a role which offers opportunity for both career and personal development.
On offer is a highly negotiable basic salary together excellent bonus and superb benefits
Reference ID: KT221020A
Job Type: Full-time
Salary: Up to £32,000.00 per year
Additional pay:
Bonus scheme
Benefits:
Casual dress
Company pension
Discounted or free food
Life insurance
On-site parking
Private medical insurance
Sick pay
Schedule:
8 hour shift
Experience:
Design: 3 years (Required)
Education:
Bachelor's (Required)
Language:
English (Required)
Work remotely:
No",-1,AGATE CONSULTANTS,"Swindon, Wiltshire, South West England, England",-1,-1,-1,-1,-1,-1,-1,-1
6,Software engineer,London,Software Engineer,-1,"Are you a starting a career as a Software Engineer and wants to join a leading cyber team within an evolving and dynamic organisation?
Due to the success of a number of strategic Gloucestershire based programmes, we are growing our Software Development team with creative and ambitious Software Engineers. With a primary focus on Java, your experience will cover different technologies within an agile environment

Different thinking for a Different world
Northrop Grumman is a leading global security company providing innovative systems, products and solutions to government and commercial customers worldwide. In Northrop Grumman’s rapidly growing UK Cyber and Intelligence business, we support our customers’ work to make the UK the safest place to live and do business, both physically and online.
Working with and alongside our customers, we use modern software engineering methods (Scaled Agile Development, DevSec Ops, Site Reliability Engineering, micro-service architectures) and cutting edge techniques (data science, Artificial Intelligence, Machine Learning) to tackle complex and challenging problems and deliver cost effective, reliable, supportable solutions.
Our solutions support complex analysis of substantial amounts of data, requiring state of the art ‘big data’, stream processing and cloud-based analytics, identifying and using ‘best of breed’ commercial and open source technologies and integrating them with our own software to meet customer needs quickly and efficiently.
At Northrop Grumman we pride ourselves on our ability to combine agile development with sound engineering and security practices to ensure that our solutions are robust and resilient; designed and built to start secure and stay secure against ever evolving cyber security threats. As well as designing for security, Information Assurance and legal / policy compliance, we actively assess products and services, identifying vulnerabilities and weaknesses that could be exploited by cyber attackers, and we create and run exercises to pit cyber security specialists against secure systems and each other.
We carry out research and innovation locally in the UK, with commercial and academic partners, and across our 85,000+ worldwide workforce.
How you will make a difference
For us, innovation is key and we have immediate opportunities for talented software engineers to join our team to help us develop and maintain a suite of applications. We are in a phase of rapid growth and there are opportunities to develop your career with us to meet your aspirations.
You will be helping us to solve our customer’s problems within an agile team. You will have opportunities throughout the Software Life cycle from requirements capture through to R&D(Research & Development), implementation, automation and test in a wide range of technologies.
You will work as a member of a Scrum Agile development team, with the opportunity to contribute to design,development, and deployment of software systems. You will gain experience in abroad range of technologies and tool sets.
Key criteria required...
Knowledge of the processes to design, develop, test and integrate quality software
Keen to learn a broad range of technologies on the Java stack
You must have high level clearance
Also, we’d love it if you have experience of...
Agile/Scrum methodologies using tools such as Confluence and Jira
DevOps approaches and associated tools such as Ansible, Docker and Jenkins
Messaging and Routing Technologies such as NiFi and Kafka
Cloud-based architectures
Linux operating systems (Red Hat Enterprise Linux Server/CentOS)
Different programming languages, such as: Java, C, C++ and Python
Working with open source products
You will enjoy a growing career as we work collaboratively to innovate the world of cyber security.
Additional information for your consideration...

Opportunities exist across the UK to enhance your career progression
Being a part of Northrop Grumman gives you the opportunity to use your skills to make a difference in our mission of enabling global security. Our company grows because of our employees' dedication and commitment to achieving our mission, something we always remember. In return for working for us you will have access to a benefits package that provides you with flexibility to balance your professional career with your personal life, health & well-being benefits, discount schemes, pension benefits and investment in your future development.
We are committed to equality and diversity in our workplace. Northrop Grumman provides equal employment opportunities to all employees and applicants without regard to an individual’s protected status, including race, ethnic origin, colour, nationality, national origin, ancestry, sex/gender, gender identity/expression, gender reassignment, sexual orientation, marriage/civil partnership, pregnancy/maternity, religion or belief, creed, age, disability, genetic information, or any other protected status or characteristic.",3.8,"Northrop Grumman UK
3.8","Cheltenham, England",-1,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
7,Software engineer,London,Data Engineer,-1,"See yourself being part of a large, transformational change? This could be the role for you!

Iress is continuing to hire for roles during Covid-19 with all interviewing and on-boarding done virtually. Everyone new to the team, along with our current staff, will temporarily work from home until it is safe to return to our offices.
Passionate about data? Yes, so are we. And we’re looking for Data Engineers to join our team (you may call yourself a BI Developer, but let’s not fall out).
We’re just here to make sure people enjoy their job, get the opportunity to work on a bunch of cool stuff and get rewarded and noticed for doing so. Come and talk to us, we’re nice. What we need are talented people who really understand data.
You’ll have great attention to detail when it comes to designing, developing and maintaining SQL Data Extracts and ETL Packages. You're a methodical problem solver and working with SQL, C# and ideally Powershell, will come as second nature to you.
A self starter? You betcha. You’ll definitely be curious about Cloud technologies, actively seeking to broaden your understanding of these, as well as taking an interest in driving automation. It should excite you, as it does us.
Making sure our clients are as happy as we are is important too. You’ll be their go to for all things business intelligence and keep in touch with them regularly, as well as supporting your fellow, like minded colleagues on internal projects.
Sounds like you? Do you want to hear about us?
Iress is a technology company that began as a start-up. Now, around 500,000 people use our software to help them perform better and deliver more. We believe creating an inclusive workplace, where people feel supported to be their best both at work and at home, is how we'll achieve great things.
We support flexible working and offer employee benefits designed to support our people at every stage of life - some of the best in the industry.

Employment Type
Employee
Time Type
Full time",4.4,"IRESS Limited
4.4","Cheltenham, England",-1,1001 to 5000 Employees,1993,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
8,Software engineer,London,Solutions Engineer,-1,"We're Bloomberg Enterprise Data - fast paced, innovative and expanding. We have worked hard and smart to become the business we are today. We partner closely with our clients, taking time to understand their unique businesses and individual data and technology needs. We provide a vast number of data sets that cover all asset classes, via multiple delivery technologies and flexible scheduling options. This means our clients get exactly the data they need, when they need it, in the format they prefer. Without us, they simply can't operate.
The Role:
We're looking for a passionate, motivated, highly technical, client facing individual to come join our team. As a Solutions Engineer, you'll be providing programming and best practice consultation directly to our internal and external clients for the integration of our Enterprise Data products and services. You'll be a quick study, eager to develop your understanding of the Bloomberg Enterprise Data Products and our customer base, in order to technically lead client engagements as well as provide a third tier of technical expertise for complex issues. You'll drive the partnership with other teams to understand client requirements, communicate product improvements, and assist with all client development needs. You'll adopt and embrace our cultural and innovative best practices and solutions in order to quickly and accurately identify and address highly technical problems. You'll be solution focused, able to quickly and accurately perform detailed & meaningful diagnostic work & troubleshooting, developing additional tools where you see a need internally or for our clients. You're a programming and technical professional who is personable, intelligent, analytical and solution driven. You are not afraid of getting your hands dirty and making independent decisions when the situation demands.
We'll Trust You To:
Work closely with technical and market data contacts at client firms to understand their requirements and help them to build out solutions using Bloomberg's Enterprise Data Technology such as BLAPI & HAPI.
Collaborate with peers, sales, technical account managers and service delivery teams to drive critical client on-boarding initiatives, technology partnerships and highly technical projects.
Proactively identify ideas to help drive stronger product performance and implement those ideas from start to finish.
Provide technical development guidance, leadership & structure to Enterprise Data clients.
Cultivate deep technical partnerships with key members of the client development community.
Building strong stakeholder relationships with clients, engineering and product development teams to resolve issues or build out enhancements.
Actively identify potential areas of improvement or gaps in internal tools & monitoring systems and propose solutions.
Administer training to clients for coding to our API during the pre-sale, implementation and adoption phases of an engagement.
Support the developer community around Bloomberg's data delivery mechanisms.
Provide timely and informative feedback to the Enterprise Data Product teams.
Take ownership of complex questions and issues reported by clients as a second tier of technical support via phone calls, ticket systems, email, and in person.
You'll Need To Have:
Strong client facing experience, be presentable & able to articulate complex technical concepts to all skill levels.
Strong organisational skills, attention to detail and the ability to handle multiple technical streams / lead client engagements whilst collaborating across different teams.
At least 3-5 years of development experience.
Bachelor's degree in Computer Science or Information Systems/Technology or equivalent experience.
Industry experience with software development .NET, Java, C++, C# and Python.
Experience programming in UNIX and/or Windows.
Excellent written/verbal communication skills.
The ability to communicate complex information to a wide range of skill levels both in verbal and written form.
Excellent analysis and problem solving skills.
Experience writing readable example code.
Confident to work with clients ranging from developers to CTOs.
We'd Love To See:
Exposure and understanding of Financial Data, especially Real Time Market Data is helpful.
Knowledge of market data distribution platforms and feed handlers is preferred.
Knowledge and experience of Big Data, Data Science and Cloud technologies.
Knowledge and experience with Hypermedia APIs.
Experience developing on public cloud platforms, AWS, GCP and Azure.
Ability to derive requirements from stakeholders via email, meetings, and conference calls, relay this to internal groups, plan detailed technical engagements and facilitate client adoption of Bloomberg's Enterprise Data products and services.
UNIX skills with ability to investigate technical issues or willingness to learn
Exposure to Perl is useful (for some of the older tools)
Experience with database querying languages such as SQL, NoSQL or similar
Exposure to architectural design in order to facilitate client adoption of Bloomberg's Enterprise Data products and services
If This Sounds like You:
Apply if you think we're a good match! We'll get in touch to let you know what the next steps are, but in the meantime feel free to have a look at this:
https://www.bloomberg.com/professional/solution/data-and-content
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Opening Date - 14th August 2020
Closing Date - 13th September 2020
Salary - Competitive & Benefits",4.0,"Bloomberg
4.0","London, England",-1,10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
9,Software engineer,London,Lead Software Engineer,-1,"Are you an experienced Software Engineer who wants to join a leading cyber team within an evolving and dynamic organisation?
Due to the success of a number of strategic programmes, we are growing our Software Development team with creative and ambitious Software Engineers. With a primary focus on Java, your experience will cover different technologies within an agile environment
Different thinking for a Different world

Northrop Grumman is a leading global security company providing innovative systems, products and solutions to government and commercial customers worldwide. In Northrop Grumman’s rapidly growing UK Cyber and Intelligence business, we support our customers’ work to make the UK the safest place to live and do business, both physically and online.
Working with and alongside our customers, we use modern software engineering methods (Scaled Agile Development, DevSec Ops, Site Reliability Engineering, micro-service architectures) and cutting edge techniques (data science, Artificial Intelligence, Machine Learning) to tackle complex and challenging problems and deliver cost effective, reliable, supportable solutions.
Our solutions support complex analysis of substantial amounts of data, requiring state of the art ‘big data’, stream processing and cloud-based analytics, identifying and using ‘best of breed’ commercial and open source technologies and integrating them with our own software to meet customer needs quickly and efficiently.
At Northrop Grumman we pride ourselves on our ability to combine agile development with sound engineering and security practices to ensure that our solutions are robust and resilient; designed and built to start secure and stay secure against ever evolving cyber security threats. As well as designing for security, Information Assurance and legal / policy compliance, we actively assess products and services, identifying vulnerabilities and weaknesses that could be exploited by cyber attackers, and we create and run exercises to pit cyber security specialists against secure systems and each other.
We carry out research and innovation locally in the UK, with commercial and academic partners, and across our 85,000+ worldwide workforce.

How you will make a difference
For us, innovation is key and we have immediate opportunities for talented software engineers to join our team to help us develop and maintain a suite of applications. We are in a phase of rapid growth and there are various opportunities to develop your career with us to meet your aspirations.
You will be helping us to solve our customer’s problems within an agile team. You will have opportunities throughout the Software Life cycle from requirements capture through to R&D(Research & Development), implementation, automation and test in a wide range of technologies.
As a Lead Software Engineer you will have had responsibility for the design and delivery of packages of work; leading teams and working with customers. You will be able to deploy applications in a controlled, repeatable way and be developing technical specialisms in frameworks and/or tool sets. Experience of mentoring or line management would be advantageous.
Key criteria required...
Proven experience in professional Java development, writing well-designed, testable code
Keen to learn a broad range of technologies on the Java stack
Experience of DevOps automated deployment technologies such as Jenkins, Docker, Ansible
Agile Scrum methodologies using tools such as Confluence and Jira
You must have high level clearance.
Also, we’d love it if you have experience of...
Cloud-based architectures; certification is a bonus.
Microservice-orientated or serverless architectures
Messaging and Routing Technologies such as NiFi and Kafka
UX development; creating intuitive and sleek front-ends for clients
Big data open source platforms such as Accumulo or Elasticsearch
Supporting business development through contributions to customer proposals and R&D projects
You will enjoy a growing career as we work collaboratively to innovate the world of cyber security.
Additional information for your consideration...
You must be able to hold UK Government clearances
Opportunities exist across the UK to enhance your career progression
Looking for flexibility? Talk to us at the application stage about what may be possible.
Being a part of Northrop Grumman gives you the opportunity to use your skills to make a difference in our mission of enabling global security. Our company grows because of our employees' dedication and commitment to achieving our mission, something we always remember. In return for working for us you will have access to a benefits package that provides you with flexibility to balance your professional career with your personal life, health & well-being benefits, discount schemes, pension benefits and investment in your future development.
We are committed to equality and diversity in our workplace. Northrop Grumman provides equal employment opportunities to all employees and applicants without regard to an individual’s protected status, including race, ethnic origin, colour, nationality, national origin, ancestry, sex/gender, gender identity/expression, gender reassignment, sexual orientation, marriage/civil partnership, pregnancy/maternity, religion or belief, creed, age, disability, genetic information, or any other protected status or characteristic.",3.8,"Northrop Grumman UK
3.8","London, England",-1,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
