,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Support specialist,London,Security Support Specialist (Industrial placement),-1,"G-Research is Europe’s leading quantitative finance research firm. We hire the brightest minds in the world to tackle some of the biggest questions in finance. We pair this expertise with machine learning, big data, and some of the most advanced technology available to predict movements in financial markets.

The role

This is an exciting opportunity for a student studying for a security related technology degree to complete their year in industry placement by joining our Technical Support team as a Security Support Specialist.

We are looking for an individual who can provide advice and guidance on the application and operation of security controls. Understands the implications of their and the company’s actions; performing vulnerability assessments, security risk analysis and think about the business impact risk of requests. The team is the first line of defence in security changes that take place, being in the epicentre for security at the company.

The successful candidate will be a part of a team that deals with a large range of technologies in a fast paced environment spread across multiple sites, primary based in London, some of those technologies include:
Key BAU Security management functions
Active Directory, machine access changes and other various authorisation controls
Email Perimeter Appliances
Password Manager Software
Multiple security control applications
Create and help maintain the Security Awareness Campaign
Investigate security alerts
Support ongoing investigations with the SOC where applicable
First line alerting for the SOC team
Creating, using and updating scripts, in particular with PowerShell to automate daily tasks
Predominantly Windows, with some Linux systems and support
This role will suit someone with a passion for customer service with a strong technical and security focussed background who can help the business strive for the best

Who are we looking for?

This role requires a candidate with energy, drive and a passion for customer success in a technically advanced workplace. Working across the company; interacting with multiple teams, this role is perfect for anyone who wants to push the boundaries on the teams and technologies they currently work with.
Strong academic grades at A Level or BTEC (UCAS points 300 and above)
Currently studying for a security related technology degree and on track towards obtaining a 2:1 or above
A keen interest and passion for cyber security with a broad knowledge and understanding of various security technology related risks
Ability to think about the request as a larger picture, using security know how to guide the user in to a better solution if needed and not be afraid to question requests
Practical experience reviewing and delivering key security requirements
Strong quantitative and qualitative analytical skills
Experience of Windows 10 desktop, PowerShell, Networking, JIRA Service Desk, Confluence Wiki
Why should you apply?
Highly competitive compensation plus annual discretionary bonus
Informal dress code and work/life balance
Comprehensive healthcare and life assurance
25 days holiday
9% company pension contributions
Cycle-to-work scheme
Subsidised gym membership
Monthly company events
Central London office close to 5 stations and 6 tube lines
Please note, due to our desire to convert the top of our intern cohort into our graduate programme we are only able to consider applications from those graduating in 2023.",4.8,"G-Research
4.8","London, England",-1,501 to 1000 Employees,2001,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
1,Support specialist,London,IT Support Specialist (Industrial placement),-1,"G-Research is Europe’s leading quantitative finance research firm. We hire the brightest minds in the world to tackle some of the biggest questions in finance. We pair this expertise with machine learning, big data, and some of the most advanced technology available to predict movements in financial markets.

The role

This is an exciting opportunity for a student studying for a Computer Science, Computer Systems, Cyber Security or Networks-related degree to complete their year in industry placement by joining our Technical Support team.

Working across our Corporate IT division, you will spend the year as a crucial member of the Technical Support group, troubleshooting, advising and providing great customer service to a
range of stakeholders, including senior staff.

This is primarily a first line support/operations role where you will be working alongside a mentor and experienced members of the team who will provide continuous support and guidance, enabling you to learn rapidly and contribute effectively to the business.

The successful candidate will be a part of a team that deals with a large range of technologies in a fast paced environment spread across multiple sites, primary based in London, some of those technologies include:
Active Directory, machine access changes and other various authorisation controls
Mobile Device Management - Enrolling users on corporate mobile devices or BYOD profiles
Creating, using and updating scripts, in particular with PowerShell to automate daily tasks
Predominantly Windows, with some Linux systems and support
Windows administration
IT troubleshooting skills
Networking fundamentals - troubleshooting connectivity issues on workstations and servers
Enterprise architecture – Troubleshooting user mailboxes, setting up public folders, creating/updating distribution groups and security groups
This role will suit someone with a passion for customer service with a strong technical and methodical approach to any given task.

Who are we looking for?

This role will suit someone who has a real interest in IT and an aptitude for applying computing concepts and their skills to solve real problems.

The ideal student will have strong grades at either A-levels or BTEC, be studying a Computer Science, Computer Systems, Security or Networks related degree and be on track for a 1st or 2.1 Must be highly organised, motivated, willing to learn with a positive can do attitude and enjoys problem solving.

Why should you apply?
Highly competitive compensation plus annual discretionary bonus
Informal dress code and work/life balance
Comprehensive healthcare and life assurance
25 days holiday
9% company pension contributions
Cycle-to-work scheme
Subsidised gym membership
Monthly company events
Central London office close to 5 stations and 6 tube lines
Please note, due to our desire to convert the top of our intern cohort into our graduate programme we are only able to consider applications from those graduating in 2023.
We will respond to applications in September ahead of interviews in October.",4.8,"G-Research
4.8","London, England",-1,501 to 1000 Employees,2001,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
2,Support specialist,London,Community Support Worker,-1,"Job Summary
Community Support Worker:
Chailey Heritage Foundation is a pioneering charity providing education, care and transition planning for young people aged 3-25 with complex physical disabilities and health needs.
In this unique role you will split your time working both here on-site within our vibrant Futures provision – The Hub and out in the community at a young persons home or facilitating access to activities, events or attractions.
No day is the same and as such this role is varied, exciting and highly rewarding.
What Makes Us Different?
Our Community Support Workers are able to spend longer periods of time with the young adults and therefore do not move from call to call, you may sometimes spend a full day with one young adult.
You will work with a small group of young adults so you can really get to know those that you are supporting.
Although driving is essential, you will not be expected to spend the entire shift driving from one location to another.
You will split your time working on-site and out in the community
About Us
Chailey Heritage Pathways, part of Chailey Heritage Foundation, offers highly specialist care for children, young people and young adults with physical disabilities and/or sensory impairments and associated health needs.
We provide a flexible way for families to access highly specialist care and support, both at home and in the community, facilitating access to activities, events or attractions.
We are very proud of the warm, caring and professional relationships our staff build with the children and young people and as such, are looking to recruit a new Community Support Worker to widen our reach into the community.
We are based in North Chailey close to Haywards Heath and provide support in the community in Sussex and Surrey.
Day to Day Responsibilities
Various shifts available- between 7:30am and 9:00pm, candidates must be flexible to work over 7 days, including weekends.
Attend to the personal care, social needs and meal support of young people within their own homes.
Support with accessing the local community to attend appointments or social activities.
Assist in creating an environment where the client can achieve the greatest possible independence.
Requirements
Full, valid driving licence and your own transport is essential. Mileage will be paid at 40p per mile.
Experience in supporting vulnerable people.
Understand the importance of treating people with respect to promote independence.
You will have excellent communication skills, be reliable, flexible, honest and trustworthy.
Why join us?
Competitive rates of pay for full time hours starting at £9.98 per hour rising to £11.41, plus 40p per mile, mileage
Pension scheme
Generous holiday entitlement
Comprehensive benefits package
Full time, part time and bank positions available
Opportunities to further develop your career via training and development
An excellent mileage allowance
Strictly no Agencies
Chailey Heritage Foundation is committed to safeguarding and promoting the welfare of children and young adults; as such an enhanced DBS disclosure is required.
Chailey Heritage Foundation is an equal opportunities employer and is committed to promoting diversity and inclusion for all its young people and staff. We welcome applications from all sections of the community.
As part of our recruitment process, Chailey Heritage Foundation (CHF) collects and processes personal data relating to job applicants. CHF is committed to being transparent about how it collects and uses that data to meet its obligations under GDPR. Please ensure you have reviewed our privacy policy prior to completing an application with us.",4.0,"Chailey Heritage Foundation
4.0","Brighton, England",-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
3,Support specialist,London,Quality Specialist,-1,"PURPOSE OF THE ROLE
PerkinElmer is on the frontline of fighting Covid 19. Our complete workflows with standardized equipment and kits are available to help labs address their SARS-CoV-2 testing challenges. We are recruiting a team of Quality Analysts for a 6-12 month fixed term contract at a new greenfield laboratory based in Charnwood, nr Loughborough
Your primary responsibility will be to support to site operation managers in all aspects of Quality Management and ensuring each department meets or exceeds the standards required of ISO 15189
You will be part of a team of onsite Quality Specialists who will create awareness and provide training and education to all employees on quality processes and programs.
This role will be day shift Monday to Friday only, though some flexibility may be needed on occasion.
DUTIES AND RESPONSIBILITIES
Maintenance of the Quality Management System
Maintenance of the Document Control System
Quality Assurance and Control of laboratory performance through internal and external audits
Training & Education: Develop and implement training and education programs, to educate employees and management on quality processes, standards and results
Project Management: Plan, initiate and management quality improvement projects
Provide input into review meetings with business leaders.
Provide advice and support to the Site Manager and teams on Quality issues.
QUALIFICATIONS
Previous experience working in quality in clinical molecular biology or infectious disease testing labs
Have working knowledge with the ISO 15189 or 17025 standard
Work collaboratively with Laboratory Operations staff
Proven track record of delivering continual positive process improvement in systems and process.
Excellent organisation and communication skills.
A good balance of negotiating and influencing skills.
Excellent presentation skills
What we offer:
Fixed term contract with competitive remuneration package
Stimulating role in startup
Purposeful & inspirational environment
Access to cutting-edge expertise and solutions contributing to the wellbeing of the local community
Being part of a highly qualified team that is committed to excellence
#LI-CW1",3.2,"PerkinElmer
3.2","Loughborough, England",-1,10000+ Employees,1937,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1
4,Support specialist,London,Service and Technical Specialist BioProcess,-1,"Would you like to work for a company who has made it its mission to make a contribution to improving human living conditions? With more than 3,600 employees worldwide Eppendorf is a leading Life Sciences company. We develop and distribute devices, consumables and services for use in laboratories worldwide. Our daily work is characterized by our principle: Collaborate on new ideas. You would like to take responsibility and help to make a difference in an experienced international company? Exciting tasks combined with a positive and affirmative working environment await you at Eppendorf. You are also motivated by technical challenges? Then apply now!
Your challenges
You work in a PAN-European Team with the UK as your main territorial responsibility.
You execute maintenance, repairs, installations and commissionings as well as trainings on the Eppendorf bioprocess systems and create the documentation.
You maintain and further develop relationships with existing pharmaceutical, biotech and academic customers and strive to achieve strategic & operational targets for the technical support of the Eppendorf bioprocess business in Europe.
You are responsible for processing technical enquiries via e-mail/phone and for continuously increasing customer satisfaction and Eppendorf's brand image by providing premium support to bioprocess customers in Europe.
You identify future customer requirements and pass on product improvements.
Your expertise
You have a completed technical education as a mechatronics technician, electronics technician or comparable and basic knowledge of process engineering.
You have a great willingness to work flexible hours, willingness to travel (approx. 70% incl over-night stays).
You have strong IT skills in hardware and software (MS software, CRM, Processing software etc.).
Your benefits at Eppendorf
We appreciate your performance, offer an attractive salary and career development options.
By working with us, you will make a meaningful contribution to improving human living conditions.
To enable you to depend your technical knowledge and to continuous development, we offer a wide range of training and development options",3.3,"Eppendorf
3.3","Stevenage, England",-1,201 to 500 Employees,1945,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),-1
5,Support specialist,London,Accreditation & Chartered Chemist Specialist,-1,"Overview:
The Royal Society of Chemistry (RSC) has an opportunity for an Accreditation & Chartered Chemist Specialist to join our Accreditation & Careers team on a full-time (35-hour week) temporary basis to cover maternity leave from January 2021.

You will need to be able to initially work from home and then from our Cambridge office, travelling within the UK and occasionally overseas if required, in line with Covid-19 guidance.

As an Accreditation & Chartered Chemist Specialist for the RSC you will be responsible for:
Delivering the UK and Ireland degree accreditations programme and helping with occasional overseas accreditations.
Raising awareness of degree accreditation and its importance throughout the chemistry community, especially among learners.
Managing individual applications for Chartered Chemist and contributing to the membership and industry strategies.
Updating and maintaining standards associated with Chartered Chemist within a framework and increasing support for this award, alongside the Professional Standards Specialist.
Advising stakeholders and external partners (e.g. universities, applicants, CChem candidates and colleagues) on RSC qualifying processes.
The Royal Society of Chemistry is the world’s leading chemistry community, an internationally-renowned publisher of high quality chemical science knowledge and the professional body for chemists in the UK. We connect the world of science to advance chemical knowledge for a better future.

We are looking for:

Essential:
A degree in the chemical sciences.
An awareness of the range of universities offering chemical science programmes.
To be (or be eligible to be) a member of the RSC and CChem.
Able to work independently and as part of a team, with very good communication and interpersonal skills, attention to detail, accountability, time management and IT skills.
Able to support individuals and institutions to complete applications, guiding them through processes and contributing suggestions for improvements to processes.
Able to interact and network competently with RSC colleagues, members on committees, senior university staff, employers of chemists and peers at other professional bodies.
Desirable:
A comprehensive understanding of degree courses and qualifications in the chemical sciences.
Able to develop a broad knowledge of overseas qualifications.
Able to provide reasoned opinion and objective advice to applicants/assessors and mentors on Chartered qualifying aspects.
At the Royal Society of Chemistry we support development and offer excellent benefits.

If you are interested in this opportunity, please apply before the end of the closing date.

Download the full job description here.",4.0,"The Royal Society of Chemistry
4.0","Cambridge, East of England, England",-1,501 to 1000 Employees,1841,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),-1
6,Support specialist,London,Support Worker – Residential Care,-1,"Division:
Residential Care Services
Contract type:
Full Time
Location:
Halstead
Job ref:
999
Contracted hours:
Various Available
A full time Support Worker vacancy has arisen at our specialist Residential Service in Halstead. You will be working with people with complex needs and behaviours that challenge. Your role will make a real difference to those who you support.
We pride ourselves on the understanding of Positive Behaviour Support (PBS) and believe these are key to supporting people to overcome personal challenges.
We offer both 12 hour and 7.5 hour shifts across a 7 day period working alternate weekends. You will be working within a dedicated team of professionals who are supported by an experienced management team.
In return you will receive all meals on shift, bonus incentives, excellent training and career opportunities with a clear development pathway through to management within 2 years.
Not only do we make a difference to the individuals we support, we strive to make a difference to our employees. Whether you have experience with supporting people with complex needs or if this is your first step into the support worker role, we are sure we have a rewarding position for you.
To talk to one of our dedicated HR team, please call 01787 479491 ext 201 and we will be happy to answer any questions.",5.0,"The Royal Society of Chemistry
4.0","Halstead, England",-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
7,Support specialist,London,Business Systems Specialist,-1,"Business Systems Specialist

Business Systems Analyst at Rendall & Rittner (Manchester)

Working Hours - 09:00 – 17:30, Monday – Friday

Salary – up to £38,000 depending on experience

Contract – Permanent

Who we are?

Rendall & Rittner is a place where hard work is acknowledged and rewarded, where development is nurtured and supported, where values are never compromised and where success is celebrated.

We are a responsible modern organisation, with best practice a fundamental part of our DNA. We're ever conscious of the need for balance: superlative client service with sustainability; management excellence with staff motivation; financial prudence with a permanent programme of growth and improvement.

At Rendall & Rittner, we focus on delivering outstanding management to our clients and lessees. We are constantly developing initiatives to ensure that our day-to-day management is as effective as possible. Key services and strategies include our innovative approach to management and customer service, our dedication to corporate social responsibility and investment in our staff.

Every great Rendall & Rittner experience needs great people!

Your working environment?

Our Manchester Office is located in the heart of Deansgate and a short walk to Deansgate station. Our Manchester office offers an extremely modern working environment with several interactive meeting, conference and training rooms as well as a break out area for all employees.

What makes a brilliant Rendall & Rittner Business Systems Specialist?
You’ll ensure the online customer support system is maintained to include security, performance, interoperability and reliability.
You will review and improve data quality and integrity of the online system.
You’ll provide guidance to the IT support desk to enable quick resolution of any issues.
You’ll proactively manage updates to all parties through to complete resolution.
Youll
You’ll have working knowledge of Microsoft Dynamics
You’ll coach mentor and support end users in the working on the Online customer portal.
You’ll be a true expert in customer service, who uses this to lead, engage and inspire others.
Working with Rendall & Rittner is more than a job, it’s a career!

As a Rendall and Rittner Business Systems Specialist, you’ll receive
Support with your career development aspirations with fully funded training programmes such as IOSH, NEBOSH, IRPM and many more.
Exclusive savings on travel, shopping, restaurants and health and fitness through our benefits portal. Including, but not limited to discounts at Virgin Media, Virgin Active, TM Lewin, Charles Tyrwhitt, Apple, Samsung, BT Broadband, EE, Deliveroo, The Gym, Nespresso and much much more.
A competitive salary
Private Medical Care for Managers and Employees following a qualifying period
Season Ticket Loans
Free Eye Tests
Life Assurance
Full Company Induction with VIP guest speakers
Induction onto our staff recognition platform
25 days holiday + bank holidays
Discretionary Bonuses
Employee referral scheme with rewards up £1500 per referral
Enrolment into the Rendall & Rittner Pension scheme
Free Magazine stand offering titles such as Top Gear, Mens Health, GQ, Ideal Home, Elle, Cosmopolitan, Grazia and many more
Break out area with Fruit, filtered water and hot drinks facilities
Employee Assistance Programme including support on matters such as Family, Health, Money and Work.
Participate in our Corporate Social Responsibility Initiatives
and so much more!
To apply please respond with your CV. Look us up at Instagram, Twitter, LinkedIn or for more information please visit our website Rendall & Rittner - Work with us page for a list of our current opportunities.

All applicants must be eligible to live and work in the UK, without restrictions. Documented evidence of eligibility will be required from all candidates.

Share


Apply now",4.4,"Rendall and Rittner
4.4","London, England",-1,1001 to 5000 Employees,1990,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,-1
8,Support specialist,London,Supplier Relations Specialist UK,-1,"A snapshot of what you would do:
We are seeking a Supplier Relations Specialist (SRS) to assist in the Recovery audit process working with our clients' suppliers to ensure we are completing an efficient and successful audit for our clients. The Supplier Relations Specialist is responsible for obtaining accounting statements from suppliers that reflect our client's financial status/transactions.You will review, identify, and contact vendors by telephone, email, and fax to obtain accounting statements to achieve assigned weekly export targets. You will track their call information received in appropriate databases by making notes of every conversation with vendor in the database with brief detailed notes. The SRS position plays a key role in capturing outstanding transactions not yet processed by the client. The ideal candidate thrives in an environment where they can utilize their time management, independence, and conflict resolution skills.
Contact vendors via telephone to obtain a statement or an aging schedule per vendor list and handle all calls in a professional manner and obtain weekly call targets
Locate vendors via Vendor Research Tool, internet, APEX for phone number/address
Review, identify and contact additional vendors with previous client project recoveries by telephone, email and fax to obtain statements (call goal established by mgmt)
Re-contact vendors for updated statements where credits were previously out of scope and are now in scope that was never exported.
Achieving assigned weekly export targets
Track information received in appropriate databases by making notes of every conversation with vendor in the database with brief detailed notes
Required Skills:
Fluent or strong background in the following language : German
Fundamental knowledge of various office machines (copiers, fax, etc.).
Adept at prioritizing duties in a fast-paced environment
Strong attention to detail and ability to multitask
Outstanding verbal and written communication skills for communicating with internal and external staff
Proficiency in the use of Internet and MS Office (Excel, Word, Outlook) software applications
Independent, Dependable, Inquisitive, Initiative
Required Experience:
2+ years of customer service or relevant business experience
An Associate’s degree in accounting, business administration, or equivalent; Bachelor’s degree is preferred.
Relevant experience may be considered in lieu of education.
Experience contacting suppliers/customers via the telephone
Experience in a call center environment is a plus

About Us:
APEX Analytix is the leading provider of trusted supplier data; supplier portal software; controls, audit and analytics software; and AP recovery audit services. We protect over $5 trillion in spend and prevent or recover over $3 billion in overpayments annually, and our client portals actively support over 3 million suppliers. Our software and audit services are built on our SmartVM® database of over 20 million supplier records with contacts, scored for accuracy and age, based on integration with over 650 external data sources and over 10 million communications with suppliers each year. APEX Archimedes™, an advanced cognitive technology and innovation system, supported by IBM Watson®, is integrated into APEX Analytix software and services to harness the power of the future through smarter recoveries, controls, analytics, working capital and supplier data. We serve over 250 Fortune 500/Forbes Global 2000 clients around the world and are fluent in languages covering 98 percent of global trade.
Our Culture:
At APEX Analytix, our culture drives everything! We live our culture of performance, respect, candor and fun—in that order. Performance is measured by delivering value to our clients, generating goodwill, trust and partnership. Sincere respect for each other, our diverse backgrounds and our well-being are our cornerstones. We value open and honest relationships with each other, our clients and our communities. And, life is too short to not have fun! We look for team players who possess the qualities of being humble, hungry and smart. We recruit candidates who will strive for accountability in performance and career growth, serving our clients in long-term respectful relationships, and working in a diverse and caring environment.
The Perks:
We owe our growing success to our team of bright, passionate, and innovative individuals. We truly value our associates and strive to provide the highest quality benefits program, offering competitive compensation packages with tailored bonus plans and generous benefits. Our benefits include health and insurance plans (medical, dental, optical, life insurance, disability insurance, FSA, HSA employee assistance program, supplemental insurance options and pre-paid legal), a generous paid time off plan, 401k plan, flexible work schedules, wellness programs (company fitness and weight loss challenges, financial wellness software tool, and gym membership stipend), associate and customer referral bonus programs, and paid community hours. And here at APEX Analytix, you won’t get lost in the shuffle. Our focus on internal training, growth and development results in annually filling over a quarter of our open positions with internal promotions! With resources such as a strong Mentor Program, Internal Training Portal, plus Education, Tuition, and Certification Assistance, we provide tools for our associates to grow and develop. If you are looking for a place to shine, come join the team!",4.0,"Rendall and Rittner
4.4","London, England",-1,201 to 500 Employees,1988,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1
9,Support specialist,London,Process Specialist,-1,"When you’re part of Thermo Fisher Scientific, you’ll do challenging work, and be part of a team that values performance, quality, and innovation. With revenues of $24 billion and the largest investment in R&D in the industry, we give our people the resources and opportunities to make significant contributions to the world.

At our site in Swindon, Thermo Fisher are forging partnerships that are transforming the industry, creating new business models between pharma companies and their pharma service providers. We are pioneering solutions that are driven by client needs.

The job:
To provide daily support for the operation of production of aseptic bulk and filling process in close collaboration with Technical Operators, Engineers, QA, and other operation supporters. The job holder has to solve a wide range of tasks, ranging from process improvements and validations to deviation issues. When challenges arise in operation, the job holder must ensure overview so that the problems can be resolved quickly and efficiently. The job holder play a key role in ensuring the operation and ability to release products by systematic root cause analysis and technical evaluation. Participation in larger and smaller optimization and standardization projects is required.

What will you do?

Equipment and process establishment
Process documentation generation and approval.
Transfer and leveraging of existing process knowledge into the SWC systems.
Supporting and driving the implementation and delivery of effective, safe, and compliant production manufacturing operations within the agreed organisation framework.
Ensuring the process for products to be manufactured is set up and maintained in accordance with GMP, Standard Operating Procedures and other regulatory agency requirements.
Involvement in the equipment and process establishment and validation phases on through into routine commercial manufacturing.
Actively working with and supporting other members of the project team in delivering the project goals.
Working as an effective member of the project team, liaising with other SMEs as appropriate to draw in expertise.
Troubleshooting manufacturing, filling, inspection packaging processes to improve fields.
Tracking improvements, preventing troubleshooting solutions to key stakeholders.
Ensure cross-functional cooperation in the generation of all documentation related to the batch manufacturing process and supporting processes are executed, reviewed and approved in compliant and timely manner e.g. BMR’s, Deviations, CAPAs, Change Controls, Logbooks, Validation/qualification protocols and reports
Ensure that own and operation team KPI’s, plans, targets and objectives are effectively tracked, monitored, and achieved in accordance with timelines
High level of presence on the Shop floor to Maintain a high level of compliance and oversight by working closely together with QA and engineering ensuring proactive approach to identify potential issues and minimise impact
Identify and support PPI initiatives to eliminate or/and reduce waste and non-value adding activities within the BU
Undertake/support Self-inspections, GEMBA walks and Huddles as well as support during internal audits as well as external audits and inspections.
Support appropriate staff training and development programs are in place and implemented to assure a high level of technical competency as well as regulatory compliance in relation to current guidelines.
Inspire and lead the team to meet corporate goals and be “best in class” on compliance, timeliness, and reliability KPI’s
Support and encourage a “Quality Culture” throughout the BU
Responsible for ensuring own training is current and compliant and own PDP is current and actioned
EH&S:
Understand and ensure implementation of emergency procedures and safe systems of work.
Ensure compliance with environment, health and safety rules, signage, and instructions at all times.
Ensure prompt reporting and investigation of all accidents, near misses and breaches of rules.

What we need from you:
Science or Engineering based degree. Ideally Pharmaceutical or Chemical Engineering.
Understanding of the end to end manufacturing, filling, inspection of aseptic processes (liquids, powders and lyophilisation) is essential.
Experience of new facility/process start-up desirable.
Aptitude for or working knowledge of mechanical and software operation desirable.
Proactive approach to work with a willingness to do what needs to be done to deliver against milestones.
Pragmatic / common sense approach to problem solving.
Demonstrable ability to make sound risk-based decisions.
Experience in lean/removal of non-value add from documentation and manufacturing processes desirable.
Experience of technical writing, production documents such as DR’s, Protocols, SOP’s and BMRs
Experience of supporting OE/Lean initiatives.


The role may require the holder to travel and work outside of the UK for approximately two-week blocks to support equipment validation and process establishment.

About us:
Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner, and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies, or increasing productivity in their laboratories, we are here to support them.

Our global team of more than 75,000 colleagues delivers an unrivaled combination of innovative technologies, purchasing convenience and pharmaceutical services through our industry-leading brands, including Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific, Unity Lab Services and Patheon

With Thermo Fisher Scientific, it’s not just a career. It’s a chance to realise your best – professionally and personally.

Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other legally protected status.

Apply today! http://jobs.thermofisher.com",3.6,"Thermo Fisher - EMEA
3.6","Swindon, Wiltshire, South West England, England",-1,10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
