,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,System analyst,London,Business Systems Analyst,-1,"Business Systems Analyst
London, London
From £50,000 to £70,000 per annum
Business Systems Analyst
London
Permanent
Salary up to £80,000
My client is looking for an experienced Senior Business Systems Analyst to join their Reporting and Analytics Team to join in an exciting project around their TM1/Planning Analytics landscape. You will be required to work with regional partners world wide in order to fully understand the requirements necessary to improve the Planning Analytics solution. My client is looking for someone from a strong finance background with a good understanding of finance (such as FP&A, Audit, Management Accounting etc). Also previous experience of working in projects revolving around TM1 or comparable EPM systems is required.
This role is for a market leading company with a fantastic work culture so they are looking for candidates with who are keen to learn, positive with excellent analytical skills. Due to the structure of the business the ability to travel (when safe) is also preferable.
If you would like to know more about this role, please send your CV to chris@systemsaccountants.com and we can arrange a time to discuss it in more detail.",3.8,"SystemsAccountants
3.8","London, England",-1,1 to 50 Employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1
1,System analyst,London,"Senior Systems Engineer – Project Engineer, Helicopters",-1,"QinetiQ comprises teams of dedicated people; experts in defence, aerospace, security and related markets. We draw on our extensive technical knowledge and intellectual property to provide the know-how and support to solve some of the world’s most challenging problems. Our people make the critical difference to customers by providing unique approaches to problem solving. Why don’t you join some of the world’s finest scientific and technical minds and help us make tomorrow work today?

Job description/Person specification
Senior Systems Engineer - Aerospace

Permanent, Salisbury

Within Systems Engineering we are looking for Senior Systems Engineers to fulfil the roles within the Air Engineering business, with excellent leadership skills and who is willing to work in a team environment, both civilian and military.

What will I be doing?

As a Systems Engineer you will operate at platform level and be the overarching technical lead for projects, accountable for the technical solution, its quality and assurance and delivery to schedule.

You will coordinate activities between the various disciplines, working in partnership with the Project Managers to ensure a consistent approach to the creation and delivery of our products and advice.

You will engage with our customers to elicit and understand their requirements, and manage the process of analysis and decomposition of the requirements.

You will also provide significant technical support to the Sales and Bid teams in terms of the creation of the Technical Delivery Plans and estimates, supported by Subject Matter Experts, to develop robust technical solutions.

What do I need?

A strong aerospace background

HNC/HND/Degree in a relevant subject, or other qualifications with suitable experience

Recent experience of delivering multi-disciplinary complex solutions

Knowledge and understanding of a Systems Engineering V-Model approach

A good knowledge of UK Military Aviation Authority regulatory publications, certification, Release to Service, and UK military trials activities and processes

The following would be desirable:
Chartered/Incorporated Engineer Status or the willingness to undertake the application for registration
Experience of aviation trials
Experience in the identification of hazards and subsequent risk assessment, combined with the ability to clearly articulate these in written and verbal communications.

Click to apply!

#MH",3.6,"QinetiQ
3.6","Salisbury, England",-1,5001 to 10000 Employees,2001,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1
2,System analyst,London,Analyst,-1,"N/A
Summary:
Analyses RT PCR data generated by the clinical laboratory team to provide results of Covid 19 diagnosis.
Duties and Responsibilities:
Reviews test results, maintains legible work records, and enters findings into the laboratory information systems.
Participates, as requested, in the training of new employees.
Abides by laboratory safety policies and procedures.
The list of duties and responsibilities is not exhaustive and may be substituted as necessary.
Qualifications & Experience:
Bachelor’s Degree in a physical science such as chemistry, biology, molecular biology or medical technology.
Certified molecular biologist an advantage but not required
3+ years clinical testing experience
Experience of high throughput environment
Previous experience of reviewing real time PCR data an advantage.
Physical Demands:
While performing the duties of this job, the employee is regularly required to sit, use a keyboard, type, and occasionally stand and move to other parts of the lab.
Must have manual dexterity to use lab equipment.
Reach above/below the shoulder, bend at the knees and waist.
Lift up to 25 lbs.
Working Environment
Clinical and research lab environment; exposure to blood borne pathogens; must wear protective lab gear including lab coat, gloves and completely closed footwear.
Employee may be requested to work shifts other than daylight depending on the needs of the laboratory. Weekend rotation may be required.
Travel is not required.
Ensure safety, security, and the environment in all aspect of the daily activities, and any potential safety hazards are addressed and corrected immediately.
Understand ergonomic relationship between people, equipment and working environment.",3.2,"PerkinElmer
3.2","Loughborough, England",-1,10000+ Employees,1937,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1
3,System analyst,London,Claims Analyst,-1,"Job Title: Claims Analyst
Start Date: As soon as possible
Contract Type: Permanent
Salary Range: up to £38,400 DOE
Location: Gloucester or Eastleigh (travel between sites will be required)

Claims Analyst: Our Ageas Claims department are looking to bring on board a dynamic and driven Claims Analyst to join either our Gloucester or Eastleigh team. Initially working from home until it is safe and appropriate to return to the office.
Working closely with the leadership team the Claims Analyst will play a leading role in the team as they will be responsible for helping to drive business success by developing, reviewing and analysing new data sources in claims. By continuously improving and developing Claims MI reporting the Claims Analyst will help feed innovative processes and change to help contribute to the development of our claims strategies. Experience working in Claims and an Insurance environment is desirable however not essential.

The Claims Analyst must have strong numerical and analytical skills to be able to analyse and review data to help create and deliver business change and to closely monitor these changes to help improve business processes and ultimately performance. Therefore, a proven track record of effectively reviewing data to help implement and lead change to drive business success is a must. Furthermore, strong communication and strong stakeholder management skills with the ability to lead and influence is also a must.

The Claims Analyst is a fantastic opportunity for someone who thrives working in a changing environment and who enjoys variety in their role and who would like to lead and work on a number of exciting projects where they will have the opportunity to directly influence business change.

Main responsibilities as the Claims Analyst:
Continuously respond, improve and develop Claims MI reporting and contribute to the development of claims strategies.
Help create and deliver effective and accurate reporting and help influence process improvements.
Review the management information produced within the departments to propose ways to improve the claims process.
To ensure that all regular jobs allocated run on schedule, including monthly reporting.
To work with claims operational areas to support and develop staff in delivering enhanced operational MI capabilities.
To help create and deliver effective and accurate reporting.
Skills and experience you need as the Claims Analysts:
High level of analytical and technical skills in turning data into understandable, concise and visually appealing information through manipulation and analysis.
A high level of problem-solving ability is required, along with an ability to engage in research.
Knowledge of the data stored in Claims systems and spreadsheets and a keen understanding of how to access the data.
Strong stakeholder management skills with the ability to influence and drive business change.
Ability to manage workload and be self-motivated and able to work to deadlines without supervision, demonstrating the ability to plan and prioritise a wide range of activities.
Here are some of the benefits you can enjoy within the Claims Analyst role based in either Gloucester or Eastleigh:
A competitive pension for which Ageas will pay twice the amount.
Generous amount of holidays with the option to buy up to 10 additional days.
Annual Salary review.
Discretionary annual bonus based on personal and company performance.
Life assurance of 4 x salary with the option to flex up.
Return to work programme scheme.
Flexible benefits package (private medical insurance, health and dental plans, free life assurance policy, discounted gym membership, cycle to work scheme as well as discounts with a wide range of retailers through our partner Perkz.com).
Support groups- well-being activities, yoga, mindfulness sessions, Sports and Social Club events and more.
#INDHP2",3.5,"Ageas Insurance Limited
3.5","Southampton, England",-1,10000+ Employees,1824,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1
4,System analyst,London,Sign Out Analyst,-1,"Title: Analyst
Location: Newport or Charnwood, nr Loughborough
PURPOSE: PerkinElmer is on the frontline of fighting Covid 19 Our complete workflows with standardized equipment and kits are available to help labs address their SARS-CoV-2 testing challenges We are recruiting staff for 6-month fixed term contracts at a new greenfield laboratory based in Newport and another in Charnwood, near Loughborough
SUMMARY: Analyses RT PCR data generated by the clinical laboratory team to provide results of Covid 19 diagnosis.
RESPONSIBILITIES: * Reviews test results, maintains legible work records, and enters findings into the laboratory information systems * Participates, as requested, in the training of new employees * Abides by laboratory safety policies and procedures * The list of duties and responsibilities is not exhaustive and may be substituted as necessary
QUALIFICATION & EXPERIENCE: * Bachelor’s Degree in a physical science such as chemistry, biology, molecular biology or medical technology * Certified molecular biologist an advantage but not required * 3+ years clinical testing experience * Experience of high throughput environment * Previous experience of reviewing real time PCR data an advantage
PHYSICAL DEMANDS: * While performing the duties of this job, the employee is regularly required to sit, use a keyboard, type, and occasionally stand and move to other parts of the lab * Must have manual dexterity to use lab equipment * Reach above/below the shoulder, bend at the knees and waist Position Description * Lift up to 25 lbs
WORKING ENVIRONMENT: * Clinical and research lab environment; exposure to blood borne pathogens; must wear protective lab gear including lab coat, gloves and completely closed footwear * Employee may be requested to work shifts other than daylight depending on the needs of the laboratory Weekend rotation may be required * Travel is not required * Ensure safety, security, and the environment in all aspect of the daily activities, and any potential safety hazards are addressed and corrected immediately * Understand ergonomic relationship between people, equipment and working environment
If you are interested in this opportunity please contact our partners Aerotek on 07422 077401 or EurPerkinelmer@aerotekcom
Contract length: 6 months
Job Types: Full-time, Contract
Work remotely:
No",3.2,"PerkinElmer
3.2","Loughborough, England",-1,10000+ Employees,1937,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1
5,System analyst,London,Senior Business Analyst - Telephony,-1,"Coventry Building Society has grown into the second largest building society in the UK. Despite being a national Society, it keeps its local values and loyalty, and its caring family ethos.
The best way to judge a company is based on what the people who work there say. Our recent employee survey rated us Number 2 in the Sunday Times 25 Best Big Companies to Work For list. We offer not only fulfilling jobs and exciting career opportunities but a place where everyone can be long and feel proud to work. What makes us such a rich and progressive place to work is the huge variety of people that make up our workforce.
And of course, we don’t pretend that what you do for us is all there is to you. We want you to bring your whole self to work – parent, carer, artist, triathlete, introvert… whatever it is that makes you YOU. We offer the balance to make sure you have plenty of time to do the things you need or want to do alongside work, because we know that’s how you are able to be your best.
About You
We’re recruiting for a Senior Business Analyst with a proven delivery record, responsible for deciding the analysis approach and delivering to the business needs across multiple technology domains, on large complex projects.
You will be excited by change and have experience of all areas of business analysis including early design discussions, shaping and scoping the project right through the project lifecycle, including implementation support.
You will have experience of taking the lead for business analysis on projects or programmes, with responsibility for the approach, critical assessment and quality of delivery. Experience of analysis, facilitation and business readiness on a wide variety of projects and large complex programmes is essential.
You will be seen as a role model in leading and motivating a team, having significant experience of leading and directing other analysts or business staff, and forecasting resource needs for the analysis workstreams.
You will be able to build strong relationships with business stakeholders and other project delivery resources, with a clear focus on the successful delivery of the change objectives.
You understand the overarching business strategy and the impact that design decisions have on stakeholders. You’ll be able to articulate issues and design concepts clearly to stakeholders and project team members,
You will influence opinion at all levels of the organisation, listening, challenging and collaboratively solving to deliver both business and programme outcomes, and not afraid to challenge the status quo to find a better way of getting things done whilst influencing others to follow.
You will interpret and challenge business needs and work with technical teams and solution owners to understand how their solution can deliver against these requirements.
You will maintain a line of sight across multiple workstreams or projects, you will be able to look for contradictions and gaps in proposed changes and make recommendations for solutions.
Essential Experience:
Professional business analysis qualifications and/or agile practitioner
Telephony, Cloud Migration/backup, NFR’s, System Analysis,
A brilliant problem solver, with an innovative attitude and the ability to deal with complex issues when they arise.",4.1,"Coventry Building Society
4.1","Coventry, England",-1,1001 to 5000 Employees,1884,Company - Private,Lending,Finance,$500 million to $1 billion (USD),-1
6,System analyst,London,Junior Data Analyst,-1,"Junior Data Analyst

Location: Bedford

Full Time

Permanent

Salary: £25,000.00
bpha are a forward-thinking housing association, on a mission to build thriving communities where people can live happily in a home they can afford.

We work right across the Oxford to Cambridge Arc, and own or manage over 19,000 homes. As one of the top 25 housing association developers in the country, we are committed to providing quality repair and maintenance services to our Residents. Our amazing hard-working team make sure our properties are maintained to the highest

standard, whilst ensuring our homes meet the needs of our Residents.

We are currently looking for a Junior Data Analyst to join our Property Services department. This is an exciting role that will offer the opportunity for growth and career development for the right candidate. The main purpose of this role is to work with the Senior Data Analyst to ensure that we have good quality, comprehensive information about our assets whilst maintaining data integrity to ensure that data management systems and data collection methods are in place across the department. This role will be a mixture of home and office based.

What you will be doing:
Ensuring that data in our asset management system is accurate and comprehensive and meets all applicable data quality standards
Ensuring that the asset management database is fully populated with asset data
Ensuring the flow of information between the asset management system and the housing management system
Dealing with the preparation of planned works programmes, providing property information and tenant details etc as required
Ensuring that data for all completed works is recorded and updated
Updating and maintaining budget templates with contract information


We’d love to meet someone with:
An analytical way of thinking and the ability to take initiative to drive tasks forward
A good working knowledge of MS Office with excel knowledge being intermediate or higher
Strong interpersonal skills
Good practical knowledge of statistical techniques, data manipulation and reporting with a high level of attention to detail
Experience of collecting and analysing data (desirable)
Ability to manage a large amount of data both quantitative and qualitative (desirable)
Experience of using GIS (desirable)
If you are driven, naturally analytical and looking for an opportunity to learn new skills in an organisation that values its employees then this could be the role for you.

Amongst what we offer you is:
£25,000
28 days holiday PLUS Bank Holidays!
Contributory pension scheme
Private health care
Opportunities for development and professional training
Discounted gym membership
Retail discount scheme
Successful candidate will need to complete a basic DBS application.

Closing date Sunday 22nd November.

We reserve the right to close this recruitment if it is deemed that we have received a suitable number of applications. On this basis we would advise that applications are submitted as soon as possible.
bpha is an equal opportunities employer and we are keen to attract diversity into the organisation.",4.2,"bpha
4.2","Bedford, England",-1,201 to 500 Employees,1990,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),-1
7,System analyst,London,Business Systems Specialist,-1,"Business Systems Specialist

Business Systems Analyst at Rendall & Rittner (Manchester)

Working Hours - 09:00 – 17:30, Monday – Friday

Salary – up to £38,000 depending on experience

Contract – Permanent

Who we are?

Rendall & Rittner is a place where hard work is acknowledged and rewarded, where development is nurtured and supported, where values are never compromised and where success is celebrated.

We are a responsible modern organisation, with best practice a fundamental part of our DNA. We're ever conscious of the need for balance: superlative client service with sustainability; management excellence with staff motivation; financial prudence with a permanent programme of growth and improvement.

At Rendall & Rittner, we focus on delivering outstanding management to our clients and lessees. We are constantly developing initiatives to ensure that our day-to-day management is as effective as possible. Key services and strategies include our innovative approach to management and customer service, our dedication to corporate social responsibility and investment in our staff.

Every great Rendall & Rittner experience needs great people!

Your working environment?

Our Manchester Office is located in the heart of Deansgate and a short walk to Deansgate station. Our Manchester office offers an extremely modern working environment with several interactive meeting, conference and training rooms as well as a break out area for all employees.

What makes a brilliant Rendall & Rittner Business Systems Specialist?
You’ll ensure the online customer support system is maintained to include security, performance, interoperability and reliability.
You will review and improve data quality and integrity of the online system.
You’ll provide guidance to the IT support desk to enable quick resolution of any issues.
You’ll proactively manage updates to all parties through to complete resolution.
Youll
You’ll have working knowledge of Microsoft Dynamics
You’ll coach mentor and support end users in the working on the Online customer portal.
You’ll be a true expert in customer service, who uses this to lead, engage and inspire others.
Working with Rendall & Rittner is more than a job, it’s a career!

As a Rendall and Rittner Business Systems Specialist, you’ll receive
Support with your career development aspirations with fully funded training programmes such as IOSH, NEBOSH, IRPM and many more.
Exclusive savings on travel, shopping, restaurants and health and fitness through our benefits portal. Including, but not limited to discounts at Virgin Media, Virgin Active, TM Lewin, Charles Tyrwhitt, Apple, Samsung, BT Broadband, EE, Deliveroo, The Gym, Nespresso and much much more.
A competitive salary
Private Medical Care for Managers and Employees following a qualifying period
Season Ticket Loans
Free Eye Tests
Life Assurance
Full Company Induction with VIP guest speakers
Induction onto our staff recognition platform
25 days holiday + bank holidays
Discretionary Bonuses
Employee referral scheme with rewards up £1500 per referral
Enrolment into the Rendall & Rittner Pension scheme
Free Magazine stand offering titles such as Top Gear, Mens Health, GQ, Ideal Home, Elle, Cosmopolitan, Grazia and many more
Break out area with Fruit, filtered water and hot drinks facilities
Employee Assistance Programme including support on matters such as Family, Health, Money and Work.
Participate in our Corporate Social Responsibility Initiatives
and so much more!
To apply please respond with your CV. Look us up at Instagram, Twitter, LinkedIn or for more information please visit our website Rendall & Rittner - Work with us page for a list of our current opportunities.

All applicants must be eligible to live and work in the UK, without restrictions. Documented evidence of eligibility will be required from all candidates.

Share


Apply now",4.4,"Rendall and Rittner
4.4","London, England",-1,1001 to 5000 Employees,1990,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,-1
8,System analyst,London,IT Support Analyst,-1,"Come help us Nourish the Nation! Are you an experienced IT Support Analyst looking for a fresh challenge?

If so, we would love to hear from you.

We are one of the largest employers in the Chichester area, with 4 sites employing more than 1,200 talented individuals. Travel between our 3 sites on the Chichester Food Park and Selsey will be required.

With ambitious growth plans and some exciting projects up our sleeves, it’s an exciting time to join us, make an impact and be a proud part of our onward journey.

Our employees say it’s our people that make NWF a brilliant place to work, come and find out for yourself!

A day in the life of an IT Support Analyst:

We make delicious salad meals, coleslaw, potato salad, bagged salads and leafy salad bowls. Our products are stocked by leading Retail supermarkets & restaurant chains and consumed by millions of customers in the UK, so you may well have eaten something made by us!

Our IT team and systems play a pivotal part in keeping our business moving. This is role where you will be communicating with people from all levels and areas of the business – face to face, on the phone and by email.

Here are some of the key responsibilities of the role:

Troubleshoot desktop and system problems, diagnose and solve hardware/software Incidents/problems
Incident and problem management
Contribute to polices, processes and procedures
Install, maintain and support new applications
Deployment and maintenance of new and existing hardware (laptops, desktops, phones, etc)
Establish and maintain good working relationships with the business and 3rd party’s
Keep up to date with advancements in technology
Ensure appropriate standards and procedures are adhered to
Systems monitoring
Administer backups and restores
Active Directory administration

Deliver the highest levels of customer satisfaction within agreed SLA’s and ensuring all other targets are met.
Maintain a high degree of customer service for all support queries and adhere to service management principles (ITIL)
Accurately record, update and document requests using the IT service desk system
Ownership of support tickets through to resolution
Basic Networking (includes switches, routers, firewalls, wireless access points)

IT Systems:

Virtualization technologies
Windows OS platform 10
MS Exchange 2016 Administration
MS Server 2008r2 onwards
Window Server 2012 R2 Active Directory
Skype for Business
Office 365
Experience of supporting IT Infrastructure

Covid update: We can carry out video interviews and all of our sites are Covid secure.

Hours: 8.30am – 5.30pm Monday – Friday – 1 hour for lunch. Due to the nature of the role, flexibility around hours may be required.

This is a permanent role.

About you:

Experienced in a Service Desk Support role
Natural communicator with good relationship building skills.
Problem solving skills
Ability to prioritise tasks.

Your journey with us…

You’ll have full support to help you learn our business, so you can be sure to make an impact quickly.

There’s plenty of training opportunities and you will be able to undertake internal and external training courses to build your skillset from soft skills to any relevant professional training.
You’ll be spoilt for choice with future career development opportunities at Natures Way Foods. If you’re interested in becoming an expert in your field or maybe an upwards or sideways move is part of your career plan, we want to help make your career ambitions a reality.

Perks:

Competitive salary.
Annual company performance bonus.
Relocation packages available.
Laptop and mobile phone.
Company pension.
25 days holiday + 8 days bank holiday.
Discounted gym membership.
1 day company paid volunteering day.
We have Mental Health Advocates and a well established wellbeing programme.
Healthshield Perks healthcare package.
Life Assurance policy.
Plenty of development and training opportunities.
Employee Assistance Programme.
Exclusive online benefits and discounts.
Business casual dress down policy.
Free parking available across all sites.

About us:

We are Lovers of the Leaf, Kings of Coleslaw and proud of our Stunning Salad Meals!

As a private label and branded food manufacturer, our customers are at the heart of what we do. Our products are sold in Retailers (including – Tesco, Sainsbury’s, Morrisons, Aldi) and Foodservice businesses (including McDonald’s, Pret and Itsu).

Our manufacturing sites are centres of excellence and have grown significantly since 1994. 2020 saw the launch of our very first brand, a saucy salad meal kit called FLiNG and we have plenty of exciting projects still to come so watch this space!

Natures Way Foods has a core foundation in the Chichester area, employing over 1,200 talented individuals that all have a part to play in our success story.

We are also a social bunch and get involved in a regular charitable and community projects such as Field to Fork and raising money for our chosen charity of the year.

If you want to grow your career with a supportive manager, talented colleagues and a company that champions equal opportunities - Lettuce know!

Key Words: Service desk analyst, IT Support, IT Helpdesk analyst, Desktop support, 1st line support Food Industry, Food Manufacturing, FMCG, Fresh, Produce #Chichester, #NWF",3.7,"Natures Way Foods Ltd
3.7","Chichester, England",-1,1001 to 5000 Employees,1994,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
9,System analyst,London,Control Systems Engineer (Agri-tech),-1,"About the business
It’s no secret that we are a rapidly expanding population and that we need to preserve our food production systems, whilst reducing our environmental impact. At Better Origin, we have developed insect rearing and processing systems to convert our organic waste into insect biomass, an alternative protein source that is highly nutritious yet has a low environmental impact. Feeding insects to livestock improves their health and welfare, resulting in happier and more sustainably farmed animals.
Job summary
We’re looking for hard-working, passionate individuals who love to drive change, want to drive positive impact, and thrive in a start-up environment to join us in Cambridge and help us deliver the best possible insect farming solutions. This specific role will be fundamental in the success of our flagship product, the Better Origin X1 modular insect mini-farm.
Better Origin is offering the right candidate a full-time role, focused predominantly on designing, managing and improving the control systems of our insect mini farms located throughout the UK. You will have the opportunity to take on a role within the Engineering Team, supporting and enabling the technical success of the Better Origin insect mini-farms. You will work with, and be supported by a highly innovative passionate team.
Candidate duties
You will take on ownership for the automated insect facility control system design, programming, and its maintenance
Instrumentation and Sensor selection that goes into X1s
Updating and developing design documentation, user support manuals, troubleshooting guides
Providing support to customers, mostly remotely but on-site visits will be required from time-to-time
Proactively identify and implement improvements to the control system
Innovate and drive simplification and improvement agenda
Work within the broader Engineering team in delivering enabling insect farming and processing technologies
Essential Experience/Skills/Qualifications:
Degree level qualification within a relevant engineering discipline
3-5 years experience in an automation or control systems engineering role
Experience of working with and programming PLC-based systems (Siemens, Allen Bradley, Eaton)
Knowledge of process instrumentation and sensor selection
Experience of working with HV/LV electrical systems, electrical system design
Knowledge and understanding of control system networking over protocols such as Modbus, Profinet, TCIP/IP
Knowledge and understanding of process safety system design using instrumentation and control, along with relevant standards such as IEC 61508 & 61511
Full driving license & access to a vehicle (occasional on-site visits)
Desirable Experience/Skills/Qualifications:
Hands on experience working with and programming Siemens S7 PLCs in the TIA Portal environment
Hands on practical experience with instrumentation, electrical and control system installation
Experience in agricultural, feed/food processing and/or manufacturing sectors
Experience of more general software programming (C, C++, Java, Python etc)
Experience in a role developing concepts into prototypes and working solutions is desirable
Food waste, animal welfare, food security, climate change – there are so many challenges facing our planet. But there is a solution; the solution is nature and using insects to fix the broken food system, and Better Origin is bringing that solution to market.
Better Origin is an innovative and exciting Cambridge-based SME working to improve our food chains.
Job Types: Full-time, Permanent
Salary: £29,000.00-£39,000.00 per year
Schedule:
Monday to Friday
COVID-19 considerations:
Due to the nature of the role, off-site / home working will be a possibility for part of the week (if preferred over an office environment located in Cambridge's Future Business Centre).
Experience:
control systems: 3 years (Required)
Education:
Bachelor's (Required)
Licence:
driving (Required)
Language:
english (Required)
Work remotely:
Temporarily due to COVID-19",-1,Better Origin,"Cambridge, East of England, England",-1,-1,-1,-1,-1,-1,-1,-1
