,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,System analyst,San Francisco,Business Systems Analyst,-1,"Business Systems Analyst
(REMOTE, until otherwise noted)

About the Role. . .

We are looking for Business Systems Analysts to work with cutting edge technologies and interesting companies in a fast-paced, exciting environment in our Seattle, WA based team. The BSA will participate in projects supporting one or more work streams and multiple business teams. You will need to have effective communication and a wide variety of skills in order to support or lead activities, including gathering, analyzing, and documenting stakeholder requirements (developing Process Maps/ Wire Frames/ Feature Acceptance Criteria/ User Stories), and collaborating closely with technical teams to ensure delivered solutions meet business needs.

You and the team, will be developing a portfolio of dashboards and root cause analytics to support our client in a few different areas - supply chain, procurement performance, site development and more. In our shared service engineering team, you'll also focus on supporting the decomposition of current ETLs. So think data, data and more data!

You Have. . .
Relevant work experience in evaluating business systems, project execution, or technology – empowering business through robust technology improvements.
Experience managing ambiguity and complexity in unstructured operating environments, while able to navigate in larger, more structured environments.
Experience with and ability to quickly develop and in-depth understanding of business rules and processes to the extent of being able to optimize/streamline the workflows.
Ability to clearly communicate sophisticated concepts to the clients and project team.
Experience in one or more SDLC methodology (i.e. Waterfall, Agile, Scrum), and ability to work within the process.
Proficiency with Excel, Word, PowerPoint, Outlook, and experience with Visio
Qualifications. . .
An undergraduate degree (BA/BS) in business or technology
SDLC methodologies
3-5+ years in BSA type roles (not exclusively or predominantly testing)
A high degree of creativity and innovation, with proven examples of applying knowledge, experience, and judgment to ambiguous problems.
Strong quantitative, analytical and problem-solving skills; must be very comfortable with data
Strong consensus-building skills between business and technology partners
Detail-oriented and believe that details matter greatly to the success of the solution
Strong interpersonal, communication, and presentation skills
The aptitude to see and think through complex end-to-end enterprise processes and system flows
About Logic20/20. . .

Logic20/20 is one of Seattle’s fastest-growing consulting firms. We hire remarkable people to create simple, efficient solutions for complex problems.

Although we make it look like magic, our success is due to our approach (methodical and structured) and the people we hire (smart, motivated, and team oriented). Together, these enable us to consistently exceed client expectations—and our reputation is growing.

For the past five years, we’ve placed in the top ten of Seattle Business magazine’s “Best Companies to Work For”. From engaged leadership and wide-ranging benefits to career mentorship and diverse internal opportunities, we pride ourselves on being one of the best companies to work with and work for.

We hire people that are self-motivated, comfortable conceiving strategies on the fly, and enjoy working individually and as part of a team. Our work is high-energy and demanding, but new hires will quickly feel at home among colleagues as friendly and focused as they are. We bring our best to every opportunity, driving change in industries across the West Coast. Join us and you can, too.",3.6,"Logic20/20
3.6","San Francisco, CA",-1,201 to 500 Employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1
1,System analyst,San Francisco,"Sr. Business Systems Analyst, Supply Chain",-1,"About Lam….

Together we move the Atoms that move the World:

Imagine working on the front lines of innovation! As one of the semiconductor industry's leading suppliers of wafer fabrication equipment and services, our technology depends on finding and hiring the best and the brightest employees. We know that our dynamic, global team of exceptional employees is essential to our continued growth.

Lam Research - where successful people want to work:

We are a company comprised of people who work hard, deliver outstanding results and maintain a sense of humor during even the most challenging times. This is truly a rare opportunity. Lam Research is a market leader where our core values are not just words on the back of your badge. Given the criticality of this role to Lam Research's success, this philosophy starts with you.

Job Responsibilities

Analyze complex business problems to be solved with automated systems. You will identify gaps and provide technical expertise in business requirements for system funcational specifications and scale new and current sysems, processes and procedures in a cost effective manner. In addition, you will configure system settings and options, plans and executes unit, integration and acceptance testing to meet business requirements. You'll design details of automated systems and may provide consultation to users in the area of automated systems. You may also lead cross-functional linked teams to address business &/or systems issues.

Other Job Responsibilities

• Analyze complex business problems to be solved with automated system solutions/process re-engineering
• Architect and design business process and systems solutions in support of business objectives
• Lead cross-functional efforts to address business or systems issues as required
• Serve as a lead BSA in medium to large size projects covering all phases of the project from inception through post mortem
• Provide expertise in identifying, evaluating and developing systems requirements and procedures that are cost effective, meet user requirements and consider data quality requirements
• Assists in all aspects of project management: Planning (Blueprint and Spec), Designing (Technical Spec), Test Plans (User acceptance testing), Training/Documentation (Roll-out), Cut-over, and Project Closure (Post Mortem)
• Plans and executes unit, integration and acceptance testing to support IS corporate initiative.
• Assist the business unit in troubleshooting and solving system problems.
• Collaborate with the business unit in leveraging SAP or 3rd party tools to enable the organization's future-state business capabilities.
• Grow into a position of managing a team of BSA’s

Minimum Qualification
Bachelor's degree in Computer Science, Technology or equivalent work experience.
6+ years overall SAP experience with 3+ years of experience with MM, PP, VC, specifically hands-on configuration, S4 experience preferable.
3+ years experience supporting procurement in SAP including purchasing set up, release strategies, direct and indirect procurement, output determination and sourcing strategies.
Lead in at least one end-to-end project (analysis, design, config/development build, test, deployment including training and data conversion)
Hands on experience with Ariba for direct procurement and IBP for supplier collaboration
Demonstrated people management experience
Preferred Qualification
Knowledge of some of the following modules: SD (Sales and Distribution), Logistics execution and production planning

#LI-YS1

IND123

GLD2017

More About Us ….

Our work is everywhere you look – even if you can’t actually see it. Lam Research goes deeper than software or chips to the heart of the process that enables chip creation. So if you want to help power the components that empower everything, join us.

All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability.",4.0,"Lam Research
4.0","Livermore, CA",-1,10000+ Employees,1980,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 billion (USD),-1
2,System analyst,San Francisco,Tier II Systems Engineer (MSP),-1,"About the Position: *
In the Tier II Systems Engineer (MSP) role you will contribute to the overall support and operation of our client’s IT systems and the overall success of their companies. This includes but is not limited to, designing, implementing, maintaining, and supporting internal computer networks and infrastructure using IT industry best practices.

To be happy and successful in this potion you must be a talented, intelligent, detail oriented and driven individual who enjoys working as part of a *faced-paced* highly skilled technical team.

You will play a critical role in supporting our growth by delivering best in class service and technical expertise to our clients.
Outcomes (What success looks like): *
• 95%+ of the time you receive You Rock! (our best rating) on client service surveys

• 100% of the time entering of documentation/notes done as close to real-time for all the work that you do.

• Respond to all new client service requests within our internal SLA time frame. You will then be taking and resolving tickets for yourself and escalating if needed.

• Continuing company paid technical education by obtaining additional technical certifications every year and/or enrolling and completing technical education coursework for a minimum of 24 hours per year.

• Maintain 85%+ utilization of your time for client service and project work

• Escalate less than 20% of your tickets to Tier III.
Qualifications: *
We care about your future performance as much as your current set of skills. The section above about what success looks like for you is as important as your qualifications.

Having said that, for you to be awesome as a Tier II Systems Engineer (MSP) Technician here your qualifications probably look something like this:

• Ability to clearly answer *whiteboard* scenario interview questions regarding server management, networking, cloud services and desktop support.

• Ability to *support and manage* all aspects of small to medium-sized business network technologies, i.e. end-user Helpdesk, server, and network

• *Documentation* – Document all aspects of each support call. Document every change made to each client’s environment. Document time management.

• *Communication* – Clearly communicate with each client at in a non-technical and non- demeaning way regarding their technical issues, resolutions, changes, and planned outages. Train each client end user on best practices, maintain communication with vendors and subcontractors. Great relational skills are a *requirement *to effectively communicate with the various types of individuals you’ll encounter. It’s of significant importance that you maintain electronic communications with clients, colleagues, and others with an appropriate response time.

• *Work Ethic* – You must have a strong desire to perform each task well, being vigilant and organized. To accomplish that you must have goal-oriented actions and prioritized focus, focusing on qualitative activities in your areas of responsibility in order to make a high impact on objectives. You must always be flexible, available and reliable. It’s crucial to always embrace a positive attitude and demeanor. To be early is to be on time. To be on time is to be late.
5+ years experience providing IT support (preferably as an IT Consultant or at a MSP) with the following technologies: *
• Microsoft desktop systems: Windows 7 forward.

• Microsoft server systems: Windows Server from 2008 R2 forward.

• Supporting and troubleshooting Microsoft Office applications

• Active Directory administration and troubleshooting (specifically roles, permissions and GPOs in an AD environment)

• Remote access solutions (VPN, Terminal Services)

• Networking- IP Addressing/subnets/default gateways, TCP/IP, NAT, DNS, WINS, DHCP, SMTP routing

• Mobile computing including tablets and mobile devices.

• Exchange Administration and troubleshooting including mailbox creation/deletion, the ability to troubleshoot mail flow, queues, inbound/outbound delivery, shared mailboxes for both on premise and Office 365

• Office 365 - setting up users, MFA, Azure AD Connect, licensing

• HyperV Administration
Experience with the following will make you an ideal candidate: *
• Connectwise Manage

• Connectwise Automate (Labtech)

• Connectwise Control

• ITGlue

• Mac OS
About PCC: *We are an established (18+ year) IT consulting (managed services) company that completely handles all the technology required to run small to medium size companies in the East San Francisco Bay Area (and a few other places).
Current teammates here enjoy a fun atmosphere and being part of a highly proficient, technically expert team that truly care about how their work is performed and the impact that they have on our clients.

We offer fully paid medical, dental and vision for the employee, cell phone stipend, PTO and sick days, paid technical training, a technical stipend to purchase equipment/software for testing/learning, and 401K including 3% company match.
www.pcc-sf.com*
Job Type: Full-time

Pay: Up to $95,000.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
On call
Experience:
System Administration: 4 years (Required)
Work authorization:
United States (Required)
Application Question:
Do you have previous/current experience working at a MSP?
Work Location:
One location
Company's website:
https://www.pcc-sf.com
Company's Facebook page:
https://www.facebook.com/pacificcomputer
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",-1,Pacific Computer Consultants,"Concord, CA",-1,-1,-1,-1,-1,-1,-1,-1
3,System analyst,San Francisco,Systems Administrator 2,-1,"Want to be a part of a growing MSP that is fiercely committed to helping others thrive?

Our Culture

We understand clearly that our product is a skilled service and that our service MUST be stellar.
We are teammates in technology, hard work, and high-fives.
We listen, we learn, we take pride in our craft.
We do not flaunt it, we EARN it again and again and again.
We teach, train, innovate, collaborate, and don't quit. We pursue growth and knowledge.
We are the long-view. We...CARE

Our People

We are thinkers and planners.
We are straight talk and true methods. We have great days and bad days, some tough times, some BIG wins.
We are not just some voice on the line. We are real people too.
We are families and friends, colleagues, and community.
We are men and women who believe that good enough is not enough.
And we have no doubt…that we want YOU and your IT career to be empowered, successful, and satisfied

About YOU

At Endsight, we are looking for Field Engineers, Systems Administrators, and Senior Engineers for an extraordinary career in Information Technology consulting with a nationally recognized Managed Service Provider. Technology can be taught, skills can be acquired, and Endsight is an awesome place to learn and grow. Make no mistake, an IT career with a Managed Service Provider is a challenging thing! It is fast-paced, lots of Bay Area travel, yet you will have a tremendous opportunity for hands-on experience with the newest platforms and environments. At all times you will be supported by amazing teammates who want you to succeed and thrive. We know our most important assets are PEOPLE like you, and we are looking forward to having you meet our team!

Systems Administrators

Working knowledge of all modern flavors of Windows and Mac desktop operating systems.

Able to demonstrate the basics of networking including experience in switching, routing and other communication fundamentals.
Understanding of client-server applications and how they are used in business environments.
Able to thoroughly document and diagram small and mid-sized network environments.
Familiarity with the concepts of backups and data management.
Willing to teach, train and mentor Junior Engineers as they expand their career.
Typical Work: Firewall and VPN implementations, basic routing and switching, wireless network design and deployments, client network discovery and documentation, basic Windows Server and Active Directory deployments.

Our Benefits:

Medical- Company pays 100% of base plan for either Kaiser or BlueShield
Dental & Vision
401K
Vacation and Sick Time accrual
9 Paid Holidays

RELIABLE CAR REQUIRED to perform duties",4.1,"Endsight
4.1","Berkeley, CA",-1,51 to 200 Employees,2004,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1
4,System analyst,San Francisco,Programmer Analyst 2,-1,"JOB SUMMARY

The core responsibility of the Programmer Analyst is to design, develop, maintain and support software applications in support of various business functions of the company.

ESSENTIAL FUNCTIONS

Responsible for design, coding, testing, debugging, documentation, delivery and support of business applications

Software applications development using Microsoft C#/.NET, Microsoft Power Platform and in other relevant technologies

This position is also responsible for SharePoint administration and technical support

QUALIFICATIONS

Minimum 3 years of experience in application software development. Proficient in C#, Azure DevOps and related technologies

2+ years of experience in Microsoft Power platform (Power automate, Powerapps, PowerBI)

Proficient in SharePoint technology (security, lists, libraries)

Proficient using web API services (REST)

Working knowledge of SQL

Comfortable using code versioning tools such as GitHub

Strong problem solving, design, programming and testing skills as well as a desire to learn new languages and technology

A team player, able to provide guidance and support to team members in order to achieve objectives

Excellent written communication skills and the ability to translate business requirements into clear technical specifications

PHYSICAL DEMANDS

Primary work occurs within an office environment

Ability to perform tasks requiring bending, stooping, standing, and twisting

At The Wine Group, we are proud to be an equal opportunity employer and we are committed to an environment of mutual respect, diversity and inclusion. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, disability, protected veteran status or other characteristic protected by law.",3.8,"The Wine Group
3.8","Tracy, CA",-1,1001 to 5000 Employees,1981,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
5,System analyst,San Francisco,Lead Control Systems Engineer,-1,"Lead Control Systems Engineer*
Location: Pleasanton, CA*
Experience: 2-5 Years*
RELOCATION/SIGNING BONUS IS NEGOTIABLE*
We're A $100 Million Dollar Industrial Controls Company on the Rise*
Join Us As We Continue Our Climb!*
Join a world class automation engineering firm!* Thermo Systems seeks energetic team members who strive to succeed and make a difference in a fast-paced, hands-on, engineering environment. Our greatest asset is our team and we work hard to create a rewarding environment. *_Be part of something unique; excel and enjoy._*
Who We Are*:

Thermo Systems is a global, full-service control systems integration partner, providing world-class automation solutions within the District Energy, Life Sciences, Mission Critical, and Power Generation Markets. From our Headquarters in East Windsor, NJ and offices throughout the US, Thermo Systems deploys industrial automation projects throughout the US and abroad.
What You’ll Do: *
We are currently seeking a full-time field experienced Lead Control Systems Engineer with 2 to 5 years of experience in the design and deployment of PLC/SCADA/Historian applications for the process control and energy sectors. This position will be based out of our Pleasanton, CA office. This detail-oriented position will be an integral part of our service group and project implementation team responsible for leading and coordinating the installation, start-up, and troubleshooting of PLC based control systems. Qualified candidates will also provide field service, repairs, and preventative maintenance procedures to industrial process control systems including controllers, networks and peripheral devices. In-town travel and overnight travel to project sites outside the Pleasanton area, including training and team collaboration functions at our East Windsor, NJ engineering headquarters, may be required.
Requirements: *
Qualified Candidates shall exhibit one or more of the following attributes:
Associates or Bachelor’s Degree in Engineering or Technology related field.
2+ years working with and programming automated equipment including VFDs and other programmable controllers.
Experience in programming of one or more of the following PLC platforms: Allen Bradley, Modicon, GE Fanuc, Siemens.
Hands-on experience with electrical panel, design, build and troubleshooting; including field installation of building automation systems equipment, instrumentation, and end devices.
Experience in hardware and software design development for process and energy based applications.
Experience in programming one or more of the following SCADA packages: RSFactoryTalk, Wonderware, Genesis Iconics, iFix.
Expertise in the development and deployment of Wonderware System Platform package is required.
Experience in programming of one of more of the following Building Automation System (BAS) Human Machine Interface (HMI): Tridium, Honeywell, Siemens, JCI, Allerton, Automated Logic Controls.
Experience with information technology infrastructure components as they relate to industrial automation systems.
Experience working in Chilled Water Plants, Boiler Plants, Waste Water Plants, Power Generation and Distribution Plants, Pharmaceutical and Biotech Plants, or other types of Thermodynamic and Fluid Processing Facilities.
Experience in using AutoCad to develop PLC/BAS control panel layouts and point-to-point wiring diagrams.
Experience in third-party integration devices connected through Modbus, LON, Ethernet IP, Siemens P2, BACNET, or other communication protocols.
Excellent communication and interpersonal skills.
Excellent customer service skills.
Strong hands-on mechanical and electrical aptitude to understand and troubleshoot the machinery with which our control systems interface. Previous field engineering experience a plus.
The ability to work independently as well as on a project team.
Overnight and in-town travel will be required.
What you'll get: *
RELOCATION/SIGNING BONUS IS NEGOTIABLE*
*Competitive salary, annual bonuses, 401(k) with company match, and business travel reimbursement*: We appreciate our employees and we make sure they know it.
*Benefits*: We offer full-time employees multiple healthcare packages, including low cost options.
*Training: * We offer in-house and factory technical training to keep our staff sharp.
*Vacation / PTO*: Work-life balance is important. We believe in giving our employees time to truly relax and recharge.
*Casual Dress*: Every day is “Casual Friday’, we want you to be comfortable when you come to work. You don’t have to leave your jeans at home anymore!
Visit us at www.thermosystems.com to learn more!

Job Type: Full-time

Experience:
Controls: 2 years (Required)
Education:
Associate (Required)
Location:
Pleasanton, CA (Required)
Work authorization:
United States (Required)
Required travel:
50% (Preferred)
Additional Compensation:
Bonuses
Work Location:
Multiple locations
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Signing bonus
Paid time off
Relocation assistance
Professional development assistance
Tuition reimbursement
Other
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Innovative -- prefers working in unconventional ways or on tasks that require creativity
High stress tolerance -- thrives in a high-pressure environment
Schedule:
Monday to Friday
8 hour shift",4.2,"Thermo Systems LLC
4.2","Pleasanton, CA",-1,51 to 200 Employees,1998,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),-1
6,System analyst,San Francisco,Infotainment Platform Senior Software Engineer,-1,"CIeNET is a leading global technical consulting, software engineering, and technical solutions provider.

Our team is working on design, development and maintenance of next-generation best-in-class automotive infotainment systems based on Android for a leading automobile manufacturer and looking for experienced engineers with extensive software development background in developing RTOS or Android based software solutions.

Candidate will play a key role in our global software team that works on architecture, design, development, integration, and testing of software modules in various embedded and real-time systems including mobile devices, IoT devices, automotive components and other systems.
Day to day responsibilities include:
Design, develop and integrate Linux and Android components into an RTOS based infotainment software.
Contribute to technical discussion and defect analysis with various technical teams.
Perform complex design analysis across multiple components
Provide work estimate project milestone planning
Be responsible for the complete SDLC , including requirements analysis, design, development, code review, integration, and maintenance of the infotainment software.
Follow agile SDLC process where quality comes first and ensure that the designed solutions conform to architectural requirements such as scalability, maintainability, reliability, extensibility, usability and security.
Work on multiple release branches in parallel with competing priorities and across multiple geographical teams
Work on new feature development, existing feature maintenance and bug fixes
Collaborate with team members in software development activities using the Scrum/Agile development process.
Requirements*
Minimum 5 years of relevant software development in the industry
Bachelor's degree in Computer Science, Software Engineering, Computer Engineering, Electrical Engineering or related field required
Strong background in Android native and Java framework is desirable
Experience bring up new hardware and development boards
System performance profiling, analysis and optimization experience in Linux, Android or RTOS a plus
Strong programming experience in C, C++ and scripting languages like Shell, Python
Experience working in Agile software development process
Experience with various software configuration, build, test and debug tools
Test driven development experience and experience with unit test frameworks
Excellent communication skills needed - including verbal communication, technical writing, organizational , and interpersonal
Experience working with global teams and communication skills to work in a geographically and culturally diverse team is desired
Prior experience with vehicle infotainment, telematics or navigation systems a plus
CIeNET is an equal opportunity employer. We would like to thank all candidates for expressing interest. However only those selected for interviews will be contacted. Reference and/or background check may be conducted with candidates permission.
Benefits*
Full-time salaried position
Excellent Health Benefits
PTO and Sick Leave
401K Matching
Must be able to pass a background check
Job Type: Full-time",-1,CIeNET International,"Santa Clara, CA",-1,-1,-1,-1,-1,-1,-1,-1
7,System analyst,San Francisco,Business Systems Analyst,-1,"Business Systems Analyst (*FSLA Exempt)
Santa Clara Family Health Plan (SCFHP) is a local, community-based health plan dedicated to improving the health and well-being of the residents of Santa Clara County. SCFHP's mission is to provide high quality, comprehensive healthcare coverage for those who do not have access to, or are not able to purchase, good healthcare at an affordable price.
Responsibilities for a **Business Systems Analyst*
Project and task management for small to large scale projects including facilitate stakeholder and project team meetings, track actionable items, send regular project
Troubleshoot small to large scale, basic to complex production system issues, including: thoroughly reviewing the initial service request, efficiently gathering additional information as needed from the service requester and subject matter experts, performing comprehensive critical thinking to identify root cause, documenting findings and resolution, and working with manager to determine appropriate escalation path, if applicable.
Process improvement and documentation for small to large scale, basic to complex projects; writing formal requirements and functional specifications following industry standards and departmental templates; creating process flow diagrams; overseeing implemented changes; communicating impact to affected business areas.
Act as a liaison between the business units, internal and external, including software development, production support teams, vendors and trading partners; develops and reviews small scale, basic business requirements, functional specifications, and business processes
Provides support in the maintenance and improvement of SCFHP information management systems in support of SCFHP objectives and regulatory compliance.
Qualifications for a Business Systems Analyst*
Bachelor’s Degree in Healthcare, Information Systems, or related field, or equivalent experience, training or coursework.
Minimum one year of experience with healthcare management information systems.
Minimum two years of experience as a business analyst
Minimum one year of healthcare analytics and standard reporting measures.
Minimum two years of experience utilizing project management guidelines and best practices.
Minimum two years of experience creating industry-standard business requirements and process documentation.
Working knowledge of and the ability to efficiently operate all applicable computer software including a working knowledge of computer applications such as Outlook, Word and Excel
Benefits for the Business Systems Analyst*
Competitive salary
Advancement opportunities
Job Type: Full-time

Benefits:
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Experience:
healthcare management information systems information: 1 year (Required)
as a business analyst: 2 years (Preferred)
Education:
Bachelor's (Required)
Work Location:
One location
Work Remotely:
No",3.6,"Santa Clara Family Health Plan
3.6","San Jose, CA",-1,201 to 500 Employees,1997,Government,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1
8,System analyst,San Francisco,Product Support Analyst,-1,"Product Support Analyst- Temporary Assignment (Remote)

Description: Rubicon Global is looking for a Product Support Analyst to join it’s growing SaaS Enablement and Support team. This role will play a key role in Image Audit recognition for Rubicon’s proprietary technology, in addition to support any data analytics and reporting needs. Additionally, this role will support additional Product support initiatives and projects as needed. The role will report directly to the Manager of SaaS Enablement& Support.

Responsibilities:
The Responsibilities of this role include, but are not limited to:
• Timely audit of collected images ran by hauler and city vehicles; meet a 95% timing and accuracy KPI
• Ability to annotate targets as part of image recognition audit process
• Report on metrics like image recognition accuracy, model accuracy, device utilization and data utilization, etc.
• Work closely with Product Management, Data Science, Sales and Account Management for client technology
• First Line of Product tickets associated with image recognition as well as other Product Support needs as directed
• Contribute to automation and scalability of audit process and image recognition

Preferred Experience and Qualifications:
• Minimum 2 years of professional work experience
• Degree in quantitative field such as Mathematics, Statistics, Sciences, or Technology preferred, but not required
• Previous experience in an analytical or technical role would be a plus
• Intermediate or Advanced knowledge of Excel
• Knowledge of Power BI would be a plus
• High attention to detail; ability to be thorough and deliberate while meeting tight timelines
• Desire to join a growing technology function; willingness to bootstrap a quickly growing need for client technology offerings
• Desire to learn and grow by seeking opportunity versus looking for opportunities to find you

Rubicon Global is a Certified B Corp and an Equal Employment
Opportunity/Affirmative Action Employer. We also maintain a Drug-Free Workplace.",4.0,"Rubicon
4.0","San Francisco, CA",-1,201 to 500 Employees,2008,Company - Private,Building & Personnel Services,Business Services,$500 million to $1 billion (USD),-1
9,System analyst,San Francisco,Systems Administrator 3,-1,"Want to be a part of a growing MSP that is fiercely committed to helping others thrive?

Our Culture

We understand clearly that our product is a skilled service and that our service MUST be stellar.
We are teammates in technology, hard work, and high-fives.
We listen, we learn, we take pride in our craft.
We do not flaunt it, we EARN it again and again and again.
We teach, train, innovate, collaborate, and don't quit.  We pursue growth and knowledge.
We are the long-view. We...CARE

Our People

We are thinkers and planners.
We are straight talk and true methods. We have great days and bad days, some tough times, some BIG wins.
We are not just some voice on the line. We are real people too.
We are families and friends, colleagues, and community.
We are men and women who believe that good enough is not enough.
And we have no doubt…that we want YOU and your IT career to be empowered, successful, and satisfied

About YOU

At Endsight, we are looking for Field Engineers, Systems Administrators, and Senior Engineers for an extraordinary career in Information Technology consulting with a nationally recognized Managed Service Provider.  Technology can be taught, skills can be acquired, and Endsight is an awesome place to learn and grow.  Make no mistake, an IT career with a Managed Service Provider is a challenging thing!  It is fast-paced, lots of Bay Area travel, yet you will have a tremendous opportunity for hands-on experience with the newest platforms and environments.  At all times you will be supported by amazing teammates who want you to succeed and thrive.   We know our most important assets are PEOPLE like you, and we are looking forward to having you meet our team!

Systems Administrators

Working knowledge of all modern flavors of Windows and Mac desktop operating systems.
Able to demonstrate the basics of networking including experience in switching, routing and other communication fundamentals.
Understanding of client-server applications and how they are used in business environments.
Able to thoroughly document and diagram small and mid-sized network environments.
Familiarity with the concepts of backups and data management.
Willing to teach, train and mentor Junior Engineers as they expand their career.
Typical Work:  Firewall and VPN implementations, basic routing and switching, wireless network design and deployments, client network discovery and documentation, basic Windows Server and Active Directory deployments.
Our Benefits:
Medical- Company pays 100% of base plan for either Kaiser or BlueShield
Dental & Vision
401K
Vacation and Sick Time accrual
9 Paid Holidays
RELIABLE CAR REQUIRED to perform duties",4.1,"Endsight
4.1","Berkeley, CA",-1,51 to 200 Employees,2004,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1
