,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,User experience designer,London,UX Designer (Fixed term contract - 6 months),-1,"Role overview
Purpose or aim

You will be working on the design and development of our website; ensuring that the user journey is optimised across multiple products to drive and support improved engagement.

Working within our PMO across multiple business areas you will help conduct user research, prototyping and testing, develop task flows, wireframes and designs based on user needs and business requirements.

Collaborate with key stakeholders and developers with a remit to create an intuitive digital experience and user-friendly interface that is core to our business objectives.

Description (Duties)

Plan and run workshops, usability tests, prototyping and other design research methods to identify business and user needs and inform design decisions
Translate business and user needs and technology constraints into design solutions that are meaningful, easy to use, and engaging
Determine information architecture and create sitemaps based on users’ needs and understanding of how users consume and navigate content
Combine UX thinking with design execution, to produce usable and intuitive user interfaces
Create use cases and flow diagrams, and define information hierarchies
Work closely with business analysts and product owners to define solutions
Communicate design solutions to developers and stakeholders
Collaborate with key stakeholders to evolve and refine our design system, ensuring visual cohesion and efficiency across all user touchpoints
The ability to work on both UX and UI with a strong understanding of mobile-first and responsive design
Person Specification

· Excellent communication and collaboration skills

· The ability to get buy-in on ideas from senior stakeholders

· Proven experience of designing complex, applications

· A strong command of UX tools including Sketch, InVision, Principle, Marvel, Adobe XD, Figma

· Experience with user research such as surveys, interviews, and usability testing

· Problem-solving, analytical skills and experience of analysing complex data sets

· Creative and analytical approach

· A solid foundation in layout and design

· Excellent attention to detail

· Understanding of HTML/CSS and JavaScript
Department

IT
Contract type

Full time
Hours

35
Salary

Competitive day rate (flexible delivery hours over projected 6 months)
Benefits

Competitive",4.7,"Chartered Institute of Marketing
4.7","Maidenhead, England",-1,51 to 200 Employees,1911,Nonprofit Organization,Membership Organizations,Business Services,Unknown / Non-Applicable,-1
1,User experience designer,London,Lead UX Designer,-1,"We’ve got a pretty good thing going on here at OpenMarket. We’re leaders of a mobile industry that's redefining the way customer-centric businesses communicate with their customers. Join our team: we're friendly, caring, weirdly tenacious, and fun.
The world’s biggest brands seek us out because we love finding ways to help them make their customers’ lives easier. It’s this obsession with customer experience that helps us develop software, technology and processes that competitors all over the world desire.

We’re seeking enthusiastic, collaborative and resourceful people from a range of backgrounds who know how to get things done. Success comes from our culture, diversity and dynamic global team so we value people who are authentic, take ownership, and deliver together. Does this sound like you?

This is a phenomenal opportunity for a committed Lead-level UX Designer, or a Senior Designer looking to take the next step in their career! You will be joining an established software engineering group, where you will be on a mission to embed Discovery and Design at the very core of its working practices. The career prospects for the successful candidate are excellent and there is a strong possibility of this developing into a leadership role as we build out our UX capabilities at the location.

Working closely with Product Managers and Engineers, you will help drive a transformation to become a design-led product organization delivering cutting-edge mobile messaging solutions. Supported by the Director of User Experience, you will be an advocate for Design and the product design process, helping people to understand and adopt it, and demonstrating the value it brings through your own, hands-on contribution.

Around 5 or more years’ UX design experience, currently working in a Senior or Lead capacity.
Good understanding of qualitative and quantitative research and testing techniques, including; interviews, surveys, usability tests and more.
Strong interaction design (wireframing) and prototyping skills, along with solid visual design skills, a good eye for aesthetic detail and the ability to work at varying levels of fidelity.
Competent in the use of industry standard design and prototyping tools such as Adobe XD, Sketch, InVision, Axure RP.
Strong communication skills; the ability to confidently explain concepts and influence people at all levels.
Experience leading research and test activities, workshops and other group activities like design sprints.

Knowledge of the Telecom sector
Experience working on cloud / SAAS solutions

Degree qualification in Human-Computer Interaction (HCI), User Experience (UX) Design (or other Design field), Psychology (Cognitive Science), or a related field; or an equivalent level of industry experience.

You love being a part of a small, dynamic, and agile team that encourages you to learn and grow.
You desire to work with some of the world’s top brands.
You love finding solutions to interesting problems and figuring out how things work.
You welcome having autonomy with complex tasks.
You are passionate about using your experience and expertise to inspire the team.

This role will be based at our London site and may involve infrequent international travel.
OpenMarket embraces diversity and is an equal opportunity (EEO) employer.
We are unable to sponsor UK work visas at this time.
Employment in this position may be contingent upon successful completion of a criminal and/or credit background investigation.",4.4,"OpenMarket
4.4","London, England",-1,201 to 500 Employees,1999,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
2,User experience designer,London,Visual Designer,-1,"ABOUT THE TEAM
Since 2015, Revolut has introduced over 10 million customers to a new way to handle their money. From instant spending notifications and built-in budgeting controls, to global currency exchange and stock trading, customers simply get more with Revolut.

We approach visual design at Revolut the same way that we approach everything else. We take complex issues, and create extraordinary solutions that our customers love. From on-boarding flows to new feature presentations, our goal is to both inform and delight.

Put simply, we build things we want to use ourselves, that we’re proud to show to our friends and families.

ABOUT THE ROLE
We are looking for talented 3D designers to join our team and work on producing assets across our products. We have introduced a new visual style featuring simple but beautiful 3D illustrations and animations, helping our users to easily understand actions and features of our products.

WHAT YOU NEED TO ACHIEVE
Create delightful assets as part of our Brand Studio across our product range

WHAT YOU'LL BE DOING
Create assets as part of our Brand Studio across our product range
Work with other designers and product owners to ensure high quality delivery

WHAT YOU'LL NEED
2+ years experience as a visual or 3D designer
Worked in-house, for a company with great visual identity
Experience in startup/ fast paced environment
Strong experience creating and animating 3D assets in programs like Cinema 4D, Blender, or 3DS Max

NICE TO HAVE
Design or technical degree
Work for tech company
A little about us…When Revolut was founded in 2015, we had a vision to build a sustainable, digital alternative to traditional big banks. Our mission now is to help our customers improve their financial health, empower them to have more control, and promote financial cohesion across the communities in which we operate. Launching into 2020 with 10 million Personal customers and over a quarter of a million Business customers only reinforced our belief in the vast need across the world for better financial services. As our customer base has boomed in the last year, we’ve expanded our team to match that growth. We started 2019 with several hundred employees; we closed it out with 2000.

What we’re looking for…Revolut is being scaled up by people all around the world who share our vision. We’re looking for people who align with our four core values: we Never Settle, we Get It Done because we Think Deeper and we’re Stronger Together. You’re the kind of person who wants to join a community of forward-thinking people, all personally and professionally invested in Revolut’s mission. You thrive in a collaborative space where everyone’s learning from each other, and learning fast. We believe in empowering our Revoluters in their work, giving them autonomy and ownership of what they do. We want everyone at Revolut to own their story and their successes - working with us means you’re not just another cog in the machine.

THE BENEFITS
Competitive salary
Biannual discretionary performance bonus (equity)
All the latest tech you need
Roll with a free Revolut Metal subscription
Pension plan
Private health insurance
Start the day properly with fresh fruit and cereals
Rest up with 29 days’ holiday per year",3.1,"Revolut
3.1","London, England",-1,1001 to 5000 Employees,2015,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable,-1
3,User experience designer,London,Digital Product Designer,-1,"At TTP we invent, design and develop new healthcare products and technologies that transform people’s lives. We believe change is something you make. Our collaborative approach combines science, design and engineering with the application of new technologies to transform patient lives and commercial outcomes.
We are looking for a curious digital product designer with an insightful approach to product design, who easily engages with colleagues and customers. You enjoy inventing and designing both digital and connected physical products that look, feel and function in a way that engage people emotionally and practically. You approach problem solving creatively, with deep empathy. You are not afraid to question conventions in the search for the best possible solution for the end user.
You will be part of multidisciplinary teams of engineers, designers and scientists who have played a key role in the successful development and commercialisation of ground-breaking products in a myriad of fields including drug delivery, surgical and diagnostics. We think beyond single product solutions, applying science, design and engineering to the creation of new strategies, systems, and entirely new businesses.
You will be given the space to invent, the freedom to act, and the trust to deliver. You will be expected to think both strategically and pragmatically, balancing the possible with the probable.
To apply for this role please don't forget to upload your portfolio under 'additional upload' or share a link on the application form.
Requirements
Must haves
An eye for visual design
A passion for helping people live healthier lives
Demonstrable digital / connected product and user interface design experience
Strong knowledge of user interface design processes and methodology
Experience working with product and software development teams
Proficiency with design and prototyping tools such as (but not limited to) Adobe Creative Cloud, Sketch, InVision etc
Experience working agile and in sprint scenarios
A Degree in Human-Computer Interaction design or a related design discipline

Nice to haves
Knowledge of capabilities and limitations of Web technologies such as HTML, JavaScript, CSS
Experience designing for IOT or connected device ecosystems
Proven ability to translate user insight into actionable product features and solutions
In-field user testing exeperience
Experience facilitating and participating in usability testing of new software and hardware products with end users
Strong project and people management skills. Able to run pr as well as a contributor.
Benefits
TTP is an employee-owned business operating from pleasant surroundings on our own Science Park in Melbourn, South Cambridgeshire. Our working culture encourages entrepreneurship, shared ideas and technical collaboration, while providing you the freedom to do your best work. We offer employee benefits such as your usual 25 days holiday, private medical insurance, cycle to work scheme, plus:
Employer pension contribution of 12% (+3% personal contribution)
Annual profit related bonus
Enhanced share purchase scheme
Life insurance up to 6 times salary
Discounts and memberships to local sports facilities and the theatre
A comprehensive relocation package is also available, if applicable.",4.2,"Revolut
3.1","London, England",-1,201 to 500 Employees,1987,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1
4,User experience designer,London,Product Designer,-1,"It's a great time to join our ambitious team and get involved with a business that is focused, fast paced and a really great place to work.

You'll be encouraged to share your ideas, try new things (and not worry if they don't go right the first time!) and take ownership of your own development. We have a training fund for you to spend each year, as well as the opportunity to earn up to 25% in performance related bonus. We also have; a beer fridge, pizza Friday's, sport always on in the office and regular social events!

Job Title: Product Designer - Native Apps
Department: Product

Team: Apps

What you’ll do as a Product Designer


As a Product Designer in our Transformation team, you will work on both our native iOS and Android Apps. Working closely with the Head of Product Design, you will utilise our design language to create new features that provide user value and help us achieve our long-term vision.

You will work closely with our in-house Developers to bring the features you work on to life, ensuring your design is implemented to the standards currently set by our Apps leadership team.

Your responsibilities as a Product Designer


Reporting to the Head of Product Design, you will be responsible for creating contemporary, highly usable and intuitive interface designs. Any feature you work on should be brand-consistent and follow our established design language and UX patterns, whilst being mindful of the nuances of both the IOS and Material Design languages. This being said, as part of the Design function at oddschecker, you will contribute to the constant evolution of our design system.

Responsibilities in detail:
Design intuitive, usable, and engaging interactions and visual designs for iOS & Android Apps
Collaborate with cross-functional teams throughout the design process
Participate in the development process from definition, through design, UX research, build, test, release, and maintenance
Stay abreast of UX trends and constantly look for creative ideas and inspiration
Research and track advancements in mobile application design patterns
Break any design problem down into viable actionable chunks and solve them with clarity and precision. Staying in the loop and on top of the latest standards, changes, trends in the mobile design field
We need someone who is/has
Strong varied portfolio
Experience designing for both iOS and Android platforms
Strong UX/UI design skills, with a good understanding of typography and intuitive layouts
Strong ability to recognise and predict use-cases and user interaction, including happy path, edge and corner cases, and incorporate them into designs
Excellent understanding of technology trends, demonstrable design skills, and ability to show relevant work
Proven ability to deliver high quality designs
Experience working with agile development teams
A team player who can easily adapt in a rapidly changing environment
Expert level skills in Figma, Sketch, InvisionApp and other relevant design tools
Experience in for user testing
Deep understanding of iOS and Android design languages
Understanding of betting and sport (desirable, but not a must have)
What you’ll get back from us


Alongside of being challenged daily and a real interest in your development, you will also receive:
Competitive bonus scheme
Free Sky HD package, broadband and discounted sky talk
Free puregym membership
Free healthcare with Bupa, life assurance and income protection
Pension scheme with up to 9% contribution from the company
£1,000 training fund each financial year, to spend on your professional development
25 days holiday which increases by 1 day for each year of service (up to 30 days)",4.6,"Oddschecker
4.6","Hammersmith, England",-1,51 to 200 Employees,1999,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
5,User experience designer,London,Product Designer - B2B,-1,"Product Designer - Business

ABOUT THE TEAM
Revolut is changing Business banking and has introduced over 7 million customers to a new way to handle their money. From multi-currency accounts to global currency exchange and stock trading, customers simply get more with Revolut.

We approach Design at Revolut the same way that we approach everything else. We take complex issues, and create extraordinary solutions that our customers love. From on-boarding flows to new feature presentations, our goal is to both inform and delight. Put simply, we design things we want to use ourselves, that we’re proud to show to our friends and families.

ABOUT THE ROLE
The Business team is on a mission to build the best business banking experience in the world. While we learn and reuse successful patterns from the Personal app, we also face many design challenges that are specific to small to medium-sized businesses. From expense reports to employee payroll and payment approval, we have an exciting roadmap ahead. This is why we are looking for a Product Designer to join our Business team in the London office. If you genuinely love what you do, are driven and passionate, then we want to hear from you.

WHAT YOU'LL BE DOING
Working within the product team to define the customers' and the business problems
Always researching and bringing forward new findings and learnings
Wire-framing and validating the design solutions to prepare for development
Identifying success metrics
Running user testing workshops and guerrilla testing
Building high-fidelity designs
Participating in ongoing design reviews and iterations during the sprint.
Reviewing the performance of the release and identify learnings and build hypotheses
Contributing to the design system
Representing Revolut at external design events
Always keeping in mind our customers and their interests

WHAT YOU’LL NEED
3+ years of experience in designing world-class complex commercial apps in-house
A portfolio featuring examples of product design work
Strong design skills across iOS, Android and web platforms
The ability to think at a high level about product strategy and clearly articulate design decisions
The ability to understand technical implications in their design decisions
The ability to take ownership of design process and work as self-directed member of the development team
Strong UX focus and understanding of human behaviour
Clean visual design sense
Skills in typography and grids
Love to solve problems and be challenged
To be a constant learner. You will be always growing - both personally and with the team

NICE TO HAVE
Technical higher education: BS/MS in Computer Science or a related field
Some experience in programming and ability to code simple prototypes
Strong experience in designing and maintaining cross-platform design systems
Experience working in fast-paced startup environment

We are able to hire remotely in one of the following countries - United Kingdom, Germany, Ireland, Poland, Portugal, Spain, Romania or Lithuania (for now, we can offer remote working only for the aforementioned countries). Please note that the benefits will vary for each country.

A little about us…When Revolut was founded in 2015, we had a vision to build a sustainable, digital alternative to traditional big banks. Our mission now is to help our customers improve their financial health, empower them to have more control, and promote financial cohesion across the communities in which we operate. Launching into 2020 with 10 million Personal customers and over a quarter of a million Business customers only reinforced our belief in the vast need across the world for better financial services. As our customer base has boomed in the last year, we’ve expanded our team to match that growth. We started 2019 with several hundred employees; we closed it out with 2000.

What we’re looking for…Revolut is being scaled up by people all around the world who share our vision. We’re looking for people who align with our four core values: we Never Settle, we Get It Done because we Think Deeper and we’re Stronger Together. You’re the kind of person who wants to join a community of forward-thinking people, all personally and professionally invested in Revolut’s mission. You thrive in a collaborative space where everyone’s learning from each other, and learning fast. We believe in empowering our Revoluters in their work, giving them autonomy and ownership of what they do. We want everyone at Revolut to own their story and their successes - working with us means you’re not just another cog in the machine.

THE BENEFITS
Competitive salary
Biannual discretionary performance bonus (equity)
All the latest tech you need
Roll with a free Revolut Metal subscription
Pension plan
Private health insurance
Start the day properly with fresh fruit and cereals
Rest up with 29 days’ holiday per year",3.1,"Revolut
3.1","London, England",-1,1001 to 5000 Employees,2015,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable,-1
6,User experience designer,London,Product Designer - B2C,-1,"ABOUT THE TEAM

Since 2015, Revolut has introduced over 7 million customers to a new way to handle their money. From instant spending notifications and built-in budgeting controls, to global currency exchange and stock trading, customers simply get more with Revolut.

We approach Design at Revolut the same way that we approach everything else. We take complex issues, and create extraordinary solutions that our customers love. From on-boarding flows to new feature presentations, our goal is to both inform and delight.
Put simply, we design things we want to use ourselves, that we’re proud to show to our friends and families.

ABOUT THE ROLE

We’re looking for a talented Product Designer to join one of our product teams in the London office (sometimes it's hard to tell at first which team you'd like to join. That's okay - we'd still love to talk to you!)
If you genuinely love what you do, are driven and passionate, then we want to hear from you.

WHAT YOU'LL BE DOING

Working within the product team to define the customers' and the business problems
Always researching and bringing forward new findings and learnings
Wire-framing and validating the design solutions to prepare for development
Identifying success metrics
Running user testing workshops and guerrilla testing
Building high-fidelity designs
Participating in ongoing design reviews and iterations during the sprint.
Reviewing the performance of the release and identify learnings and build hypotheses
Contributing to the design system
Representing the Revolut at external design events
Always keeping in mind our customers and their interests

WHAT YOU’LL NEED

3+ years of experience in designing world-class complex commercial apps
A portfolio featuring examples of product design work
Strong design skills across iOS, Android and web platforms
The ability to think at a high level about product strategy and clearly articulate design decisions
The ability to understand technical implications in their design decisions
The ability to take ownership of design process and work as self-directed member of the development team
Strong UX focus and understanding of human behaviour
Clean visual design sense
Skills in typography and grids
Love to solve problems and be challenged
To be a constant learner. You will be always growing - both personally and with the team

NICE TO HAVE

Technical higher education: BS/MS in Computer Science or a related field
Some experience in programming and ability to code simple prototypes
Strong experience in designing and maintaining cross-platform design systems
Experience working in fast-paced startup environment
Experience in leading design teams or managing the product development (if you are applying for a Senior/ Lead position)

We are able to hire remotely in one of the following countries - United Kingdom, Germany, Ireland, Poland, Portugal, Spain, Romania or Lithuania (for now, we can offer remote working only for the aforementioned countries). Please note that the benefits will vary for each country.

A little about us…When Revolut was founded in 2015, we had a vision to build a sustainable, digital alternative to traditional big banks. Our mission now is to help our customers improve their financial health, empower them to have more control, and promote financial cohesion across the communities in which we operate. Launching into 2020 with 10 million Personal customers and over a quarter of a million Business customers only reinforced our belief in the vast need across the world for better financial services. As our customer base has boomed in the last year, we’ve expanded our team to match that growth. We started 2019 with several hundred employees; we closed it out with 2000.

What we’re looking for…Revolut is being scaled up by people all around the world who share our vision. We’re looking for people who align with our four core values: we Never Settle, we Get It Done because we Think Deeper and we’re Stronger Together. You’re the kind of person who wants to join a community of forward-thinking people, all personally and professionally invested in Revolut’s mission. You thrive in a collaborative space where everyone’s learning from each other, and learning fast. We believe in empowering our Revoluters in their work, giving them autonomy and ownership of what they do. We want everyone at Revolut to own their story and their successes - working with us means you’re not just another cog in the machine.

THE BENEFITS
Competitive salary
Biannual discretionary performance bonus (equity)
All the latest tech you need
Roll with a free Revolut Metal subscription
Pension plan
Private health insurance
Start the day properly with fresh fruit and cereals
Rest up with 29 days’ holiday per year",3.1,"Revolut
3.1","London, England",-1,1001 to 5000 Employees,2015,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable,-1
7,User experience designer,London,Digital Product Designer,-1,"Role: Product Designer

Reporting to: Product Design Lead

Brand: Photobox Group

Location: Farringdon, London

Who We Are

Our mission is to create closer connections by making moments real. With over 12 million active users across 13 countries we are Europe’s leading digital consumer service for personalised products and gifts. We bring magic to our customers’ photos, words and feelings by turning them into precious objects that make them smile, laugh and, sometimes, cry.

We’re in the business of ‘one-of-a-kind’ and so delighting each and every customer is central to everything we do.

We face all the traditional challenges and opportunities of a classic e-commerce provider, with the added complexity of the fact that all our products are printed on demand. This brings with it the need for a highly flexible, yet easy to use, creation capability to enable our users to personalize their purchases to their heart’s content.

What You’ll Be Doing

We strongly believe in the value of good design, and believe it is a primary differentiator in an increasingly crowded marketplace. So we’re on the lookout for a product designer to be part of a group of talented product designers to develop and improve our online shopping experience.

In this role, you’ll be part of a small team of customer-centric designers working across multiple products and services within a goal-driven group of our experience. You should have a strong Product Design process, from conceptual discovery through to hands-on design / experience delivery. You should love to problem solve for real world customers, and excel at communicating your ideas and designs back to stakeholders and peers.

In this role you will be deeply embedded within a product facing team to intimately understand the customer and the product, whilst also supporting and driving experience with your product design peers within your goal-driven group.

Your role as a semi-autonomous designer will be to ensure design initiatives ladder up to company goals and support cross-functional initiatives while driving innovation, creativity and delivery of first-class design in order to solve customer problems.

You’ll be expected to champion design and customer thinking and to apply your passion for craft, user experience, and design fidelity to guide and create innovative experiences. We strive to learn and understand our users’ needs, behaviours, and emotions to gather insights that inform product strategy and design.

You’ll also work closely with your peers in Product, Engineering and Data to strategically shape the teams and pillars goals, direction and activities to meet customer-driven needs. To do that, we’re looking for someone who is as curious about the impact of their work as they are passionate about creating it.

Responsibilities
Conceptualizing original ideas that bring simplicity and user-friendliness to complex design challenges.
Understanding our customer intimately to drive, shape and influence the strategic direction of digital products from the voice of the customer.
Partner with other designers and partners across teams to guide projects from discovery to delivery.
Help to define and ensure that experience design principles are common across all product teams
Identify growth paths for your people and help them develop the skills they need to be invaluable members of cross-functional product teams
Work with our marketing and commercial teams, leveraging data, customer insights and analytics, to embed them in the design process to make agile product and feature development decisions.
Requirements

You are spot on if:
You have a strong understanding of Design Thinking, Lean, and Agile methodologies.
You have experience with developing and applying design systems through front-end development, pattern and component libraries.
You’ve led workshops, design studios, sprints and other co-design sessions.
You are all about hands-on customer-centric UX; its foundational principles, methods and processes.
You are able to identify and hypothesise customer problems and deliver wireframes, journey maps, audits and supporting designs to meet requirements.
Excellent Visual design skills.
You have a sharp eye for detail and good communication skills.
You are detail orientated.
What Do You Get From Us?
We build small, collaborative, cross-functional teams that push each other to create elegant, simple solutions to hard customer problems.
We’re open & honest, actively listening to employee feedback to help us in our goal to become the most awesome place towork.
This is a place where you can get your teeth into doing business differently, and enjoy it. Business might be serious, but we don’t always have to take ourselves too seriously
Benefits
Yearly bonus
Flexible working
Support for parents through maternity and paternity policies and flexible working
Working in our spacious offices in the heart of Farringdon
Access to our learning platform
Funded wellbeing - including discounted gyms, yoga and bootcamps in the office
Healthcare, dental and life assurance
Workplace pension scheme
Season ticket loans
Cycle to work scheme
Choice of MacBook/PC
Mental health and wellbeing support available 24/7
Coffee machine and fresh fruit in the office
Referral bonus when you bring your friends to join the team
Games in the office, including table tennis and table football
Weekly football games
Credits to spend each year on Photobox
Monthly team outings, including regular company-wide drinks at our local
25 days of holiday a year (excluding public holidays) increasing each year up to 30",3.6,"Photobox Group
3.6","London, England",-1,501 to 1000 Employees,2000,Company - Private,"Gift, Novelty & Souvenir Stores",Retail,$100 to $500 million (USD),-1
8,User experience designer,London,User Experience Designer,-1,"The client
Our client is a global, specialist information, insights and data consultancy. They are on the look-out for a User Experience Designer that is driven by data and detail to join their growing, high-performance team.
Working a part of their newly formed team, partnering with their brand and agency partners, data, and insights specialists you will be designing creative, intuitive experiences across their business portfolio including sales, marketing, and product design.
The role
Leveraging data and research to deliver best in class experiences
Work with Product Design teams to audit and adapt user journeys, feeding them updated requirements
Engage with product managers, engineering, business stakeholders, and third-parties – briefing teams on user data needs to validate recommendations
Develop and present documentation, user flows, annotated wireframes, and interactive prototypes
Lead internal showcases UX designs, working with the data and insight team to forecast performance impact of new designs
Create goal-based personas and detail requirements for user tracking studies/UX surveys
The candidate
4+ years’ experience as a UX designer/consultant
Previous experience of conducting user testing
Experience in creating and managing design systems
Understanding of front-end dev tools a bonus (HTML, CSS, JavaScript)
Inclusivity: We don’t just accept difference — we celebrate it, we support it, and we thrive on it for the benefit of our colleagues, our customers and our community. We are proud to be an equal opportunities employer.",5.0,"Zebra People
5.0","London, England",-1,1 to 50 Employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD),-1
9,User experience designer,London,Senior UX Designer,-1,"We’re an award winning digital agency who thrive on delivering only the best digital experiences to our clients, and every member of our team has helped to build and maintain our reputation, especially our Designers!

Department
Experience Design

Employment Type
Permanent

Location
London, UK

Compensation
Competitive

Reporting To
Head of UX

This role's hiring manager:
Darren Yaxley

View Darren's Profile


About the Job

As a Senior UX Designer at Somo you’ll be working with some of the most innovative people in the digital sector!

You will be leading the UCD process from start to finish, including: conducting user research, running workshops, planning user journeys, developing solutions and ideas, as well as wireframing and prototyping. All to help our clients offer the best digital experience to their consumers.


About You

You will be an inspiring UX designer, a self starter who thrives in a fast-paced agency environment. Experienced with developing clickable prototypes, creating user journeys, flows, sketches, wireframes and annotations.

You’ll be comfortable running workshops with both clients and stakeholders and a real whizz with design tools like Sketch, Flinto, InVision, Marvel etc.


About Somo

We’re one of the fastest growing digital agencies in the UK, helping the world’s biggest brands to transform their customer experiences and become the leaders in digital change.
We’re not just about building digital products. Using our Rapid Actionable Innovation Engine, we take our clients on a journey of digital transformation, identifying and solving their challenges from a truly customer-first perspective.

But we wouldn’t be where we are without our people. We hire only the best, the smartest and the nicest folks in digital – those who push boundaries, who think big and are not afraid to be different. There are a few things that make us special, but we like to think our culture is what truly makes the difference. We’re brave. We’re innovators. We lead with knowledge. And we make sure everything we do creates success.

Apply Now",4.0,"Somo
4.0","London, England",-1,51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
