,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Web developer,London,Umbraco Web Developer,-1,"We have an exciting opportunity for a Web Developer to join a forward thinking and highly successful digital marketing agency. As part of the development team you’ll be responsible for developing, modifying and maintaining a wide range of websites for a variety of clients.
The team currently work using mainly C#, .NET, HTML5, CSS, JavaScript and MS SQL Server. The majority of our sites are built using the Umbraco CMS so a knowledge of this would be extremely beneficial, but external and in-house training is available. We're looking for someone ideally with experience in the above skill set, but also willing to learn new technologies as and when required.
We are currently working remotely and coming into the office in Tonbridge for meetings every few weeks. Once COVID is over the position will still offer flexible working with the choice of office based, home based or a mixture of both - it's up to you.
MAIN DUTIES AND RESPONSIBILITIES
Developing new websites, databases and applications following a defined project brief and plan.
Updating existing customer websites, adding new functionality and solving support requests.
Liaising with customers when required and ensuring all requests are dealt with promptly and courteously.
Contributing towards architectural design decisions and our internal coding standards.
Developing in line with appropriate standards and internal practices.
Proposing and assessing solutions to problems which includes identifying and evaluating new technologies.
Keeping up to date with current industry developments and trends in order to remain at an exceptional level of technical knowledge.
PERSON SPECIFICATION
Minimum of 2 years working experience as a .Net Developer.
Computer Science Degree would be advantageous but not essential.
Excellent communication skills.
Positive attitude and excellent problem solving abilities.
Ability to work as a team and independently when required.
Key technical requirements: .NET, MVC, C#, HTML, CSS, jQuery, JavaScript and SQL Server.
Beneficial technical requirements: Umbraco, Experience of APIs, Windows Servers and IIS, VueJS, PHP, VB and WebForms
THE COMPANY
MCM Net Ltd is one of the most trusted Kent based digital agencies having been established for 22 years.
The team consistently deliver the highest levels of service, combining their creative and technical know-how with a clear and comprehensive understanding of clients business needs.
Adopting this approach has led to a whole host of award wins, satisfied clients, successful campaigns and a rather flattering title as an 'RAR Recommended Agency'.
Our staff enjoy additional benefits including a Partnership scheme, Flexible working hours, Pension Scheme, Private Health cover, In house and external Training courses, Duvet Days and a Games room.
Salary: Dependant on experience
Job Types: Full-time, Permanent
Salary: £30,000.00-£40,000.00 per year
Additional pay:
Bonus Scheme
Benefits:
Casual Dress
Company Events
Company Pension
Flexible Schedule
Gym Membership
On-site Parking
Private Medical Insurance
Profit Sharing
Sick Pay
Wellness Programmes
Work From Home
Schedule:
Monday to Friday
Experience:
.Net: 2 years (Required)
Work remotely:
Yes, temporarily due to COVID-19",5.0,"MCM Net Ltd
5.0","Tonbridge, England",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
1,Web developer,London,Front-end Developer,-1,"Job Details: Front-end Developer

Full details of the job.
Vacancy Name Front-end Developer
Employment Type Full Time
Location Country United Kingdom
Location Head Office
Job Details
An exciting opportunity has arisen, JATO are seeking a Front-end Developer to join the development team based at our Head Office.
As a Front-End Developer you will be responsible for the technical delivery of the UX and UI of JATO web-based software including internal tools, customer facing products and underlying services.
Additionally, as a Front-end Developer, you will identify and implement best practice in front-end development with a view to continuous improvement.

Key Responsibilities - Deliver intuitive, accessible, consistent, fast and well-tested internal tools, customer facing products and underlying services
Maintain a modern technology stack and modern development techniques.
Align with the team on technical quality, standards, guidance, and process, whilst striving for continuous improvement
Collaborate with Development colleagues, Product Management, Delivery, Security, Support and Operations throughout the full software development lifecycle
Engage with customer focused user research and usability testing
Provide adequate documentation to both the team and the business for the products and services delivered
Key Requirements - Ideally you will have the following technical skills or have had exposure the following languages: HTML, CSS3, JavaScript/TypeScript
Working knowledge of Libraries and Frameworks such as React, Redux, Hooks, Angular, Styled Components
Exposure to Tools such as Git, BitBucket, Azure DevOps, Node.js, Storybook, Jest, Enzyme, Microsoft Tech Stack
Broader experience with the following; Pattern Libraries, Responsive Design, W3C Compliance, WCAG Conformance, Accessibility, Semantics, Agile Methodology, CI/CD, UX, Online Prototyping Tools
Please note all CVs must be submitted in English in order to be considered for the role. You must have the right to work and live in the country you are applying for.",3.4,"JATO Dynamics
3.4","Uxbridge, England",-1,501 to 1000 Employees,1984,Company - Private,Research & Development,Business Services,$50 to $100 million (USD),-1
2,Web developer,London,Front-end Developer,-1,"The Full StackDeveloper Role
The purpose of the Role
The successful candidate will be part of the IT & Systems Development team, you will be responsible for building & maintaining websites / web applications to help fulfil the company's needs. This is a great opportunity for someone that is passionate about development and wants make a difference in a fast paced environment.
Salary £40,000
Duties and Responsibilities
· Write well designed, testable, efficient code by using best software development practices
· Create website layout/user interface by using standard HTML/CSS practices
· Integrate data from various back-end services and databases
· Gather and refine specifications and requirements based on technical needs
· Create and maintain software documentation
· Stay plugged into emerging technologies/industry trends and apply them into operations and activities
· Have regular exposure to business stakeholders and executive management, as well as the authority and scope to apply your expertise to many interesting technical problems
· Keeping regular communication with colleagues
· Be able to think and design in an Object-Oriented manner
· Contribute to and follow at all times, the firm’s policy on Treating Customers Fairly.
· Maintain professional competence by ensuring the department complies at all times with the Training and Competence procedures of the firm.
· You must act with integrity.
· You must act with due skill, care and diligence.
· You must be open and cooperative with the FCA, the PRA and other regulators.
· You must pay due regard to the interests of customers and treat them fairly.
· You must observe proper standards of market conduct.
· Operate and comply with the requirements of the firm’s own procedures, the Financial Services and FCA regulations.
Person Specification
Technological Experience Desirable:
· Laravel and PHP
· Database (Mysql / MariaDb / MSSQL)
· HTML and CSS/SCSS (Bootstrap a plus)
· CSS (Including frameworks like Bootstrap)
· JavaScript
· Experience working with REST API’s / Web Services
· Linux
· Nginx
· Docker
· Amazon Web Services
Expected Behaviours
Demonstrate the business values at all times:
· Customer First
· Always improving
· Show professionalism
· Shared purpose
· Make a difference
Benefits - What can you expect?
Contributory Pension.
Life Assurance of 6 x annual salary.
Private Health Care Insurance after 12 months employment.
25 Days Annual Leave, plus statutory bank holidays
Central Norwich location in Norfolk Tower, Surrey Street.
Close proximity to Bus station.
Travel Loan Scheme.
Application deadline: 23/10/2020
Job Types: Full-time, Permanent
Salary: Up to £40,000.00 per year
Benefits:
Company pension
Life insurance
Private medical insurance
Schedule:
Monday to Friday
No weekends
COVID-19 considerations:
Due to COVID -19 all interviews will be held via Microsoft teams
Work remotely:
Yes, temporarily due to COVID-19",2.4,"JATO Dynamics
3.4","Uxbridge, England",-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
3,Web developer,London,Application Developer,-1,"Technology Application Developer is one of the junior technical experts in NCP’s in house developed web, mobile and server-side applications team. Building new products and features in an Agile environment and ensuring quality and delivery.
Application Developer contributes with the team, product development, quality and delivery. Also, to help provide support in a DevOps culture as needed or required by the Service Delivery functions.
KEY RESPONSIBILITIES:
Team: Work as one team - back each other
Technology: Craft Software - end to end
Thinking: Think Entrepreneurially - be the customer
Tenacity: Find your grit – determined to deliver and add real value long term
Trust: Honour your word – the team to know, like and trust you
Required Skills
Understanding of Agile methodologies or frameworks, e.g. Scrum, XP, Kanban, etc
.NET and C# experience
Git version control or similar
Experience or knowledge of cloud-based development
Knowledge of Front-end technology such as JavaScript/Angular2
Delivering high quality products and quality assurance
Desirable Skills and Experience
Experience using Xamarin
Knowledge of Unit testing and automation
Building enterprise grade applications across domains
Experience deploying apps to the app stores
DevOps mindset and experience working with Microsoft Azure
Experience of NoSQL Databases, preferably CosmosDb
Cloud serverless application architecture within Microsoft Azure
Characteristics:
Excited about to learning, growing and contributing
Active team player and enjoys collaborating
Ability to direct focus and self-organise
Enjoys adding value, sharing knowledge and participation
Excellent problem-solving skills
Comfortable working in a dynamic work environment
Qualifications:
Computer science degree or similar / equivalent
Desired Qualifications:
Microsoft technology certifications
Agile Certifications
C#
Microsoft Azure
Java Script
Benefits:
We offer a Voluntary Cashback Health Plan to our staff
Pension scheme - with generous employer contributions
25 days holiday, plus one extra day for your Birthday
Free eye test and discount on gym memberships
Job Types: Full-time, Permanent
Salary: £25,000.00-£30,000.00 per year
Benefits:
Company pension
Schedule:
Monday to Friday
Experience:
Microsoft Azure: 1 year (Required)
Javascript: 1 year (Required)
C#: 1 year (Required)
Education:
Bachelor's (Preferred)",-1,NCP Ltd,"Norwich, England",-1,-1,-1,-1,-1,-1,-1,-1
4,Web developer,London,Web Developer & Content Administrator,-1,"Join an innovative outdoor business as a Web Developer & Content Administrator
The Nikwax Group operates within the growing international Outdoor industry, providing a range of aftercare products for a variety of clothing, footwear and equipment, as well as unique waterproof systems available through our premium outdoor clothing brand Páramo. The business has successfully managed its way through the recent Covid 19 crisis and has ambitious growth and development plans for the future. We are looking for a Web Developer & Content Administrator to support our very busy Web Development Team and to contribute towards our ongoing success.
The Role
Increase website analytics performance for Group websites by writing well-documented, rigorously tested and user-friendly website layout/interfaces utilising standard web coding practices by
writing well-documented, reliable, efficient code to underpin a fast and smooth user experience across different browsers and devices utilising standard PHP (incorporating Javascript and MySQL), HTML5, CSS3 and APIs
being responsible for maintaining group websites to ensure they continue to be reliable, efficient, secure and meet business and user need
configuring and maintaining web servers and integrating data from various back end services and databases with assistance from the IT Department
regularly reviewing security and implementing measures to minimise security risk breaches
Implementing and maintaining third party web services within our websites using tools such as tag manager, analytics, google console, recaptcha, maps, hotjar, geo locators.
The Person will be
highly organised with excellent attention to detail
able to think flexibly and creatively
able to explain technical concepts to colleagues in layman’s terms
an excellent problem identifier and solver
passionate about web development and tools/systems.
At present this role will be working from home, but the successful candidate will be required to attend our Wadhurst offices on a regular basis in the future.
The Rewards
work within a company where you can clearly see the effect of your efforts
work for an international company with values that you can believe in
work within a friendly and informal environment
competitive benefits and rewards.
To Apply
If you would like to apply for this position, please send your Covering Letter (clearly stating your salary requirements) & CV in English by no later than 22nd November 2020:
Recruitment
Nikwax Ltd
Unit F, Durgates Industrial Estate
Wadhurst
East Sussex
TN5 6DF
Candidates must be able to provide evidence of their right to work in the UK.
To view the Nikwax Job Applicant Privacy Notice please visit
http://www.nikwax.co.uk/en-gb/aboutus/careers_with_nikwax.php
Application deadline: 23/11/2020
Job Types: Full-time, Permanent
Additional pay:
Bonus scheme
Benefits:
Bike to work scheme
Casual dress
Childcare
Company events
Company pension
Employee discount
On-site parking
Sick pay
Store discounts
Schedule:
Monday to Friday
Work remotely:
Yes, temporarily due to COVID-19",-1,Nikwax Ltd,"Wadhurst, England",-1,-1,-1,-1,-1,-1,-1,-1
5,Web developer,London,Web Developer,-1,"Our rapidly growing team needs another diligent individual to expand our web development capacity to work on the front-end of our custom web projects.
Requirement: Ability to code HTML, CSS and JavaScript with experience working within the web development industry is essential.
The right candidate will have good experience working with HTML and CSS, along with JavaScript. Some PHP programming knowledge, using MySQL as the database server will be beneficial but is not essential if your HTML/CSS skills are sharp and you have experience in another server side scripting language.
The candidate must be keen to learn and progress by challenging themselves.
We are a friendly team of 20 and work on a range of projects including custom eCommerce sites, web applications and a number of our own platforms. The office is a fun and friendly environment with plenty of opportunity to learn from experienced people and have an input on a range of projects.
Salary based on experience.
No agencies or canvassers please.
Work includes
Web development including HTML, CSS and JS
Implementation and modifications to custom platforms
Updating and implementing new features on existing client websites
Job Types: Full-time, Permanent
Salary: £20,000.00-£35,000.00 per year
Benefits:
Casual dress
Company pension
On-site parking
Schedule:
Monday to Friday
Experience:
Front End Development: 2 years (Required)
Work remotely:
No",-1,Inteli2D,"Witham, England",-1,-1,-1,-1,-1,-1,-1,-1
6,Web developer,London,React Developer,-1,"React Developer
Ambrey is a maritime security services specialist. Established in 2010 to create a security company that was more dynamic and creative than most traditional security firms, we have a fresh approach that puts the client’s needs first. With over 150 permanent staff and 7 global office locations, we are the market leader in providing safety, security, marine and risk management services to the Shipping, Oil & Gas, and Offshore industries.
The Role
As a React developer you will be part of a small team responsible for working on a multitude of new projects including tracking ships at sea, geospatially aware alerts involving pirates and the logistics of moving weapons and guards across the ocean. Self-taught developers please apply.
Responsibilities
Developing internal and external web-based applications inline with the growing needs of the business
Developing using REST APIs and offline storage
Producing clean and efficient code
Remaining flexible when managing multiple streams of work
Able to work in a rapid paced agile environment
Qualifications and skills
3+ years’ experience of software development
Building scalable web applications with React (Hooks & Context)
Experience styling using SCSS and (S)CSS modules
Good versions control using git
String analytical skills and good communication
Knowledge of Microsoft Azure
Knowledge of Microsoft Power Platform
Can do attitude, solutions not problems. Lets rollout version 1.0 and build from there!
Terms and Conditions
Salary: £30,000 to £40,000 per annum, commensurate with experience
Annual Leave: 25 days per annum, plus public holidays
Working hours: 08:30am to 17:30pm, Monday to Friday
Job type: Full-time, permanent
Benefits: EAP, Cyclescheme, eyecare vouchers, Tastecard, travel opportunities such as trips to our Villas in Galle, Sri Lanka spending a week with Operations team getting first-hand experience of what we do. And much more!
Our Vision
To be the trusted global provider of safety, security, marine and risk management solutions
Our Values - The Ambrey Way
Accountable- “Safety first” is our promise, it’s the Ambrey way and we don’t compromise on compliance.
Moral- We pride ourselves on doing the right thing and delivering on our promises with integrity.
Bold- We value those who strive to master new things. We never stop learning, improving and pursuing the highest quality.
Reliable- We always deliver. To us this means being dependable, responsive and agile in everything we do.
Entrepreneurial- It’s our spirit. We innovate, explore, create and elevate. We have fun and celebrate while working hard.
You, Me & Us- We know teamwork produces the best results for our clients. We are respectful, inclusive, empowering and compassionate.
The Job Description for this post will be subject to routine review and revision in order to meet the developmental requirements of the company. The post holder may be required to undertake additional appropriate duties as directed and required.
Reference ID: Dev 2
Job Types: Full-time, Permanent
Salary: £30,000.00-£40,000.00 per year
Experience:
software development: 3 years (Required)
Styling (using SCSS and (S)CSS modules): 3 years (Preferred)
React (Hooks & Context): 3 years (Preferred)
Work remotely:
No",-1,Ambrey,"Southampton, England",-1,-1,-1,-1,-1,-1,-1,-1
7,Web developer,London,Full Stack Developer (Mid-level),-1,"Who are we?
We are Utility Switchboard and we empower our customers through sustainable top quality pricing and customer service for their home utilities. Did you know that around 11 million homes in the UK (44% of the population) overpay by around £300 per year on their energy bills because they haven’t switched? Well, we’re here to change that.
We operate a telephone-only service for our customers to ensure the human touch, making sure that we’re not leaving behind a huge part of the country’s demographic which would prefer not to do everything online. We offer hand-picked tariffs and companies to our customers for energy, broadband and home services, and if our Trustpilot is anything to go by (5*), they’re pretty damn happy about it, too.
Like the sound of positive change? So do we.
Join the team and build a career with Utility Switchboard.
Who are you?
We are looking for a forward thinking, dynamic full stack developer who wants to develop their skills in a rapidly growing company. If you want to grow in an exciting start up with its headquarters in South London, this could be for you!
If you love complicated databases and backend structures, but want to make the end product look amazing, too, we want to hear from you. Have your actions seen and heard, with a higher level of autonomy and responsibility, all whilst growing together as a team.
Responsibilities
Project work on a number of short and long term projects with varied degrees of complexity
Pixel perfect front-end development
Maintenance and development of databases and CRM
Integrations with in-house and external APIs/tools for automated workflow
Deliver well-structured, testable and maintainable code in a number of languages, using a variety of tools
Back-end development preferably with Django or Flask
Work on website and web applications, improving technical SEO, site performance, caches, server, etc.
Working with AI/Data Engineer to integrate intelligence into our workflows
Write technical documentation
Work with marketing/data teams to optimise existing processes
Requirements
At least 3-5 years of experience working Django/Flask, Nginx, HTML5, CSS3, any frontend JS frameworks (e.g. Angular, React, Vue, etc.)
Strong understanding of PostgreSQL/SQL servers and non-relational databases
Experience with Git and Version control
Strong understanding of testing and CI/CD
Familiarity with some ORM (Object Relational Mapper) libraries like SQLAlchemy
Experience in technical SEO optimisation using a CMS such as Wordpress, Drupal or Hubspot
Building integrations between third party software, identity providers and customer APIs
Understanding of Apache/Nginx/other server-side frameworks
The below is also desirable:
Familiarity with Azure Web-dev stack, DevOps or similar services in GCP/AWS
Experience with Containerization technologies such as Docker and Kubernetes
REST and GraphQL API (consuming and building)
Good understanding of microservices architecture
Prior mobile development experience would be much appreciated
Basics of Machine Learning fundamentals
How will the process work?
Stage 1 - A member of our talent team will be in touch with you for a brief phone call
Stage 2 - We will send you a short technical test to perform in order for us to gauge your practical skills
Stage 3 - We’ll invite you for a brief video interview to discuss your technical skills test and ask a few questions
Stage 4 - You’ll be invited to a formal interview with our Commercial Director and Data Engineer.
Job Types: Full-time, Permanent
Salary: £38,000.00-£45,000.00 per year
Benefits:
Casual dress
Company events
Company pension
Schedule:
Monday to Friday
Experience:
Full Stack Development: 3 years (Required)
Work remotely:
No",-1,Utility Switchboard,"Croydon, England",-1,-1,-1,-1,-1,-1,-1,-1
8,Web developer,London,Software Developer - Full Stack,-1,"About Sava and the role
We are looking for a talented and creative full stack software developer who loves writing code! You are ready to be integral to the start-up process for new products and services and are excited by the opportunity to be involved end to end, from initial ideas to prototype, responding to customer feedback, through to product go live and post launch support. You are imaginative and resourceful whilst being focussed on producing a high quality output based on top class code.
Our systems are predominately written in C# using ASP.NET and .NET CORE. They are either hosted in Azure or on dedicated servers leased through a third party. Client-side functionality is provided using JQuery, Ajax and Bootstrap. Our software is written using the SOLID development principles and we make extensive use of the AutoFac library to provide dependency injection for our solutions. Where appropriate we use the nUnit automated testing framework and deploy our latest products to Azure using the Azure DevOps platform.
What you’ll be doing
· Creating, refining and expanding the range of functionality for new and existing software products
· Prototyping new features, performance improvements and products
· Using your imagination and professional knowledge to turn feature specifications into slick and robust customer experiences
· Designing beautiful, responsive user interfaces using HTML, Bootstrap, jQuery and CSS
· Utilising Microsoft Developer Studio 2019 to build robust, industry leading web applications using C# and jQuery
· Writing and optimising SQL queries to retrieve data in an efficient and timely manner
· Producing internal tools to help with customer support
· Designing automated unit tests
· Working on our energy calculation engines to ensure they comply to the latest government standards
· Ensuring our web applications adhere to latest industry standard security protocols
· Debugging and problem solving to address reported issues and improve our products
· Provide technical input into adoption the of new technology and architectural design
· Liaising with integration partners to ensure they are able to make effective use of our APIs
· Working with ASP.NET and .NET CORE to create, enhance and maintain our web based products
· Deploying solutions manually to IIS
· Helping to create and maintain automated deployment pipelines in Azure Dev Ops
· Using GIT and Nuget to manage source control and access to common library packages
· Working with Azure features such as Web Apps, API Apps, Function Apps, Service Bus, Blob storage and SQL repositories
· Work with team members to adapt to and achieve the business software objectives
· Engage with the wider company to understand the commercial drivers and use your skills and expertise to help the company succeed
We really need you to have the following knowledge
· A minimum of one year in a similar role in a commercial environment
· Strong web development knowledge and experience using ASP.NET and jQuery
· Expert knowledge of C# language and .NET Framework
· Use debugging tools within Microsoft Visual Studio to debug and analyse code
We’d also like you to have
· Understanding of web security and encryption technologies
· Experience of designing modern web user interfaces using Bootstrap
· Experience of implementing web APIs using ASP.NET
· Exposure to Azure platform
· Experience with dev ops technologies, GIT, Nuget, Automated Deployment
· Ability to deploy, configure and troubleshoot web servers and deploy applications
· Relevant requirements of General Data Protection Regulation (GDPR)
We want you to have the following skills, abilities and attributes
· A genuine passion for software development and desire to create class leading software solutions
· Experience of creating scalable, robust and secure web applications or services
· Desire to learn and improve software development skills
· Quick to pick up and learn new technologies
· Able to apply knowledge to a range of problem spaces to come up with elegant and unique solutions
· Ability to turn ideas into software solutions without the need for detailed specifications by filling in the gaps and using your initiative
· A desire to really understand our business – what we sell and deliver to our customers and why they choose Sava
· A great work ethic where you bring your whole self into the role and where you derive personal satisfaction from delivering a great service to our customers
· An ability to push through your ideas and challenge the current way of doing things, in pursuit of improving the customer experience. Whilst at the same time being diplomatic and sensitive to other’s opinions
· A ‘can do’ attitude, solution focussed with innovative problem solving ideas
· Able to self-motivate and work on your own initiative whilst managing your time in order to meet deadlines and objectives
· Comfortable talking to colleagues such as sales, business development, training team members as well as our customers. Able to explain your thoughts in a non-technical manner as well as interpret their ideas into technical requirements
· Meticulous attention to detail and accuracy
Application process
To apply for this opportunity, send your CV
The selection process is likely to include the following steps:
· An initial video/ telephone discussion
· A video interview
· Online psychometric and competency assessments and a task to allow you to further demonstrate your abilities to us
· A face to face interview (following all necessary COVID-19 precautions)
No agencies please. Applications that are received via agencies will be ignored.
Sava strives to make buildings better. We do this by providing education, technology and compliance services to building owners, surveyors and the wider property industry. We were established in 1983 and our roots are within energy assessment and home condition surveying.
Our business strategy is to create unique products that are innovative and that have the potential to make a real difference to our customers, whether they be individuals or organisations. We are a growing dynamic team of building physicists and engineers, software developers, residential surveyors, statisticians, and business management specialists.
You will be working closely with the Software Development Director and the technical team to respond to business opportunities by creating new solutions for our ever-growing client base, which includes housing providers, asset managers, consultancies and other software and system providers across the UK in both the public and private sector.
You will also be enhancing our existing systems to provide enriched and additional functionality that takes our software to the next level.
Intelligent Energy is our core product, launched in 2019. It is a premium, market leading product that replaces an existing product, AutoAssessorPRO, that is used by over 200 housing providers to manage the energy efficiency of their housing stock. Our products help these organisations develop strategies to reduce their carbon emissions and improve the lives of their residents by reducing their energy costs. Our software integrates with all the major housing asset management systems, and also links to third party data sources.
Based on a national calculation methodology that Sava was instrumental in designing, Intelligent Energy provides in-depth calculation, analysis and improvement of energy efficiency stocks, using data from the customer’s own asset management system. The user can calculate the energy efficiency of their housing stock and see the range and impact of possible improvements via over 100 interactive charts. Data anomalies can be identified, there is a data quality confidence rating and the software links to both Google Earth and Street View.
We also designed and now maintain the Home Condition Report writing software, used by our customers whilst training to become residential property surveyors and valuers and once they are qualified and providing services to the house-buying general public.
· https://sava.co.uk/software/intelligent-energy/
· https://youtu.be/FpWaMnKYEro
· http://www.myhomeconditionsurvey.co.uk/
We want the best people
At Sava we’re keen to meet people with varied backgrounds. We want to build teams which represent a variety of experiences, perspectives and skills, and we recognise talent based on merit and potential. We welcome applications from candidates who have gained experience and skills through vocational routes.
All applicants will receive consideration for employment without regard to race, colour, religion, gender, sexual orientation, national origin, social background, disability or age.
We particularly encourage applications from people with a disability, or people from a black, Asian, and minority ethnic group who are currently under-represented within the company.
Employment offers will always be made on the merit of the application and performance in the selection process.
Job Types: Full-time, Permanent
Salary: £30,000.00-£40,000.00 per year
Benefits:
Casual dress
Company events
Company pension
Discounted or free food
Flexible schedule
On-site parking
Sick pay
Schedule:
Day shift
Monday to Friday
COVID-19 considerations:
To keep team members safe we practice social distancing, provide hand sanitiser and have working from home arrangements
Experience:
.NET Framework: 1 year (Required)
HTML 5: 1 year (Required)
jQuery: 1 year (Required)
C#: 1 year (Required)
ASP.NET: 1 year (Required)
Work remotely:
Temporarily due to COVID-19",-1,Sava,"Milton Keynes, England",-1,-1,-1,-1,-1,-1,-1,-1
9,Web developer,London,Front End WEB Developer/Designer,-1,"You will be designing and creating visually attractive and high converting web & landing pages as well as producing graphics / artwork for social media and broader marketing campaigns. You should have a portfolio of work which demonstrate your skills and expertise.
Responsible for a range of duties, including, but not limited to:
Review and enact a plan for the on-going design and development of the website
Create a range of new web and landing pages, built, and optimised for conversions, for direct marketing campaigns
Regularly upload content to the website / landing pages as provided
Using Google Analytics, report on the performance of the website and dedicated landing pages
Report on and fix any technical issues with the website
Help design email marketing campaigns that are fully trackable using free software (e.g. Mailchimp)
Must be confident, comfortable talking directly to clients, very open creative mind when it comes to designing modern engaging websites and to produce a range of engaging graphics for use across different social media platforms for clients
Core Skills
HTML 5
CSS/SASS
Javascript
Common frameworks like jQuery, Bootstrap etc.
.NET
Common 3rd party components like Google Web Master rools
Adobe Design packages (photoshop, Illustrator, XD)
Beneficial Skills
Knowledge of Umbraco CMS would be an advantage
React
Angular 8+ or Universal
RESTful and SOAP API usage
Webpack
Typescript
A good knowledge of current web design trends and technologies
A positive can-do attitude, good communication skills, with a professional and friendly manner, and the confidence to pitch new ideas and receive constructive feedback
Good written English, spelling and grammar, and an attention to detail
Experience
Web Design: Minimum 2 years
HTML: Minimum 2 years
CSS/SASS: Minimum 2 years
Javascript: Minimum 2 years
Adobe Packages: Minimum 2 years
If you are passionate about quality and enjoy working in a friendly but challenging environment, then get in touch we would love to hear from you.
The successful candidate will be well presented with a drive to succeed and develop their career. We are happy to train as required on our products and services giving you the opportunity to learn and develop your knowledge.
About
PSP is a digital agency based in Spalding, Lincolnshire, who focus heavily on design, rebranding, website and bespoke software development as well as legacy system support and maintenance.
We have fantastic offices in Spalding and a great fun team who work hard and play hard, now looking for a new team player to help take the company forward and help add to our in-house development skill sets.
Included as part of the package a Pension scheme, free parking, 20 days annual leave that can increase to 25 days depending on years of services, plus bank holidays. Along with annual summer and Christmas parties, an annual bonus depending on the company’s performance (not guaranteed).
If this position interests, you and you feel you could make an important contribution to our hard-working team and would like to learn more please apply in writing providing your CV in the first instance.
Job Types: Full-time, Permanent
Salary: Up to £35,000.00 per year
Schedule:
Monday to Friday
Experience:
ADOBE packages: 2 years (Required)
Umbraco: 1 year (Preferred)
CSS/SASS: 2 years (Required)
Javascript: 2 years (Required)
WEB Design: 2 years (Required)
HTML: 2 years (Required)
Licence:
Driving License (Preferred)",-1,PSP Ltd,"Spalding, England",-1,-1,-1,-1,-1,-1,-1,-1
