,Position,City,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Web developer,San Francisco,Web Developer - Avoka,-1,"Ready for the next challenge in your career? Are you passionate about technology and driving company success? If so, our Avoka Developer position may be the perfect fit for you. The Avoka Developer will design, develop, and implement all frontend changes as part of the Omni Channel Platform using REST/SOAP API, JavaScript, CSS3, HTML5, Apache Groovy, Java, JavaScript, React JS, and other technologies. Qualified candidates will have at least 3-5 years’ experience as a Software Engineer, plus EXPERT level skills in Groovy, Java, Java Script, React JS, Angular JS and jQuery.

Here's what you can expect from the job and what you need to be successful:

Job Duties
Design, Develop, Test, and Implement frontend changes using REST/SOAP API, JavaScript, CSS3, HTML5, Apache Groovy, Java, JavaScript, React JS, and other technologies. Use best practices to develop clustered, reliable, scalable, and high performance frontend application.
Actively participate and contribute in UX technology design and development
Develop prototypes as required which may include multiple platforms e.g. mobile, tablet, and desktop
Suggest and use state of the art unit testing tools to deliver high quality product
Use techniques like Test Driven Development, Continuous Integration and Continuous Delivery to production environments
Work closely with business partners, architect and technical groups to review, design, and implement requirements and strategy; provide estimates for development effort
Participate and provide potential solutions as part of production go-live warranty support period and L3 production support of systems during regular and off-hours
Follow established configuration/change control processes
Identify options for potential solutions and assessing them for both technical and business suitability
Work closely with peers, stakeholders and end users to ensure technical compatibility and user satisfaction
Plan for and work flexibly to deadlines
Essential skills
Overall 3+ years of experience in developing high performance and highly scalable consumer facing user interfaces
3+ years of experience in HTML5, CSS3, JavaScript, Java, Groovy, React JS, JSON, JQuery, AngularJS, Ext JS
Knowledge and experience of REST/SOAP web service integration
Expert level experience with JavaScript, Java and/or Groovy
Prior experience working in Agile/Scrum framework with multi-site product management, design, development, and QA team
Experience working in salesforce application development desirable, not mandatory
Financial Industry background preferred
Ability to carry out assigned tasks with limited need for supervision
Excellent problem solving and critical thinking skills
Superb verbal and written communication skills
Experience in financial services industry preferred
Bachelor’s degree in Business Administration, Computer Science or other related fields of study or equivalent work experience
Location:San Jose, CA 95134 | Rocklin, CA 95765 | Hillsboro, OR 97124

First Tech is not currently offering Visa sponsorship or transfer for this position",3.2,"First Tech Federal Credit Union
3.2","San Jose, CA",-1,1001 to 5000 Employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1
1,Web developer,San Francisco,Front-End Web Developer,-1,"ABOUT US

We are an industry-leading digital marketing company that specializes in online dating communities, internet advertisement, and affiliate programs.Located in Stockton, CA we have been in business since 2002 and have provided services for millions of users around the world. This is a fantastic opportunity to work for a great company located in the San Joaquin Valley. You would be joining a team of technically skilled developers, designers and administrators that work to build products using the latest technologies.

JOB DESCRIPTION

We are looking for a highly motivated individual who can thrive in a fast pace environment and successfully contribute to our in-house team. Our goal is to find someone who can seamlessly utilize HTML, CSS and JavaScript with the latest in responsive design and frameworks to implement cutting-edge, visually appealing, user-friendly web products.The ideal candidate will have a can-do attitude, passion for technology, extensive development experience, and will be able to learn quickly on the job.

RESPONSIBILITIES
Work with the development team to implement the front-end design of websites.
Ensure websites maintain cross-browser functionality and look.
Assist in determining the look-and-feel of websites.
Test and debug all elements before release to production.
Assume some design responsibilities of banners, widgets, and landing pages.
Push the envelope with the latest trends and technology to ensure technological longevity.
Work with Product Manager and Designer to brainstorm, create and execute projects.
Communicate tasks and milestones with team and managers.
REQUIRED SKILLS
An advanced developer's skill set, including expertise in HTML5, CSS (LESS/SASS), JavaScript, jQuery, Bootstrap, Responsive Design, Adobe CS and graphics manipulation.
A demonstrable understanding of current web standards and best practices for efficiency, load time reduction and accessibility.
Knowledge of best practices for ecommerce and digital marketing.
Relentless attention to detail, commitment to producing quality work on-time.
Creativity and the courage to present your ideas to the team.
The ability to manage multiple projects concurrently as well as the occasional hot-fixes that are sometimes required.
A Bachelor's degree in Graphic Design, Graphic Communications, Multimedia, Computer Science or a combination of training and previous experience that clearly demonstrates your skills.
Proven ability to learn new technologies and deliver measurable results in an aggressive production environment.
Strong analysis, problem solving and troubleshooting skills.
Strong verbal and written communication skills.
Organization and detailed-oriented mind set.
Flexibility to work overtime to meet departmental goals.
The ability to succeed in a dynamic team environment.
Passion in, knowledge of, and enthusiasm for Internet technologies.
BENEFITS
Health Benefits
401k and Profit Sharing Opportunities
Paid Time Off (Vacation & Holidays)
Friendly & Fun work environment
APPLYING FOR THE POSITION

To apply for this position, please provide a cover letter, resume, and code samples and links to your work or portfolio.
Please include your salary history.
Please include your experience level in design / programming.
Please include 3 professional references.
EQUAL OPPORTUNITY EMPLOYER

We value diversity in the workplace and will not discriminate against any prospective or current employee on the basis of gender, ethnicity, sexual orientation, physical ability, or religious affiliation.

Job Type: Full-time

Pay: $70,000.00 - $90,000.00 per year

Benefits:
401(k)
401(k) Matching
Dental Insurance
Flexible Schedule
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
8 Hour Shift
Monday to Friday
Overtime
COVID-19 considerations:
During the period where the state and county recommended remote work, we transitioned to work from home for 3 months. We have since returned to the office and implemented procedures regarding cleaning, congregation, masks, etc.

Experience:
HTML/CSS/Javascript: 2 years (Required)
front-end web development: 2 years (Required)
PHP/MySQL: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Location:
Stockton, CA 95219 (Required)
Work authorization:
United States (Required)
Work Location:
One location
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
Company's website:
https://www.deniromarketing.com/
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",3.6,"Deniro Marketing LLC
3.6","Stockton, CA",-1,1 to 50 Employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1
2,Web developer,San Francisco,Front End Developer,-1,"About Altran*
Altran is the world leader in engineering and R&D services. We offer our clients a unique value proposition to meet their transformation and innovation challenges. We support our clients, from concept through industrialization, to develop the products and services of tomorrow and have been working for more than 35 years with major players in many sectors: automotive, aeronautics, space, defense & naval, rail, infrastructure & transportation, industrial & consumer products, life sciences, communications, semiconductor & electronics, software & internet, finance & public sector. Altran has more than 50,000 employees operating in over 30 countries. In April 2020, we became part of Capgemini, a global leader in consulting, digital transformation, technology and engineering services. Visit us at www.altran.com.
Job Tittle- *FullStack – Senior Engineer
Purpose of the Job*
Performs research, design, implementation and support tasks as a member of Altran team. Works in accordance with project guidelines, quality standards and code conventions.
Responsible for area/areas within the team area of responsibility (AOR). One of the current team AOR is building the platform reporting the usage of the resources by Machine Learning modules of another highly loaded product, with 2+ billion active users.
Leads complex tasks execution
Responsibilities: *
Obtains tasks from the project lead or Team Lead (TL), prepares functional and design specifications, approves them with all stakeholders.
Ensures that assigned area/areas are delivered within set deadlines and required quality objectives.
Provides estimations, agrees task duration with the manager and contributes to project plan of assigned area.
Analyzes scope of alternative solutions and makes decision about area implementation based on his/her experience and technical expertise.
Leads functional and architectural design of assigned areas. Makes sure design decisions on the project meet architectural and design requirements.
Addresses area-level risks, provides and implements mitigation plan.
Reports about area readiness/quality, and raises red flags in crisis situations which are beyond his/her AOR.
Responsible for resolving crisis situations within his/her AOR.
Initiates and conducts code reviews, creates code standards, conventions and guidelines.
Suggests technical and functional improvements to add value to the product;
Constantly improves his/her professional level.
Supervises and coaches newcomers and more junior team members.
Collaborates with other teams..
REQUIRED EDUCATION AND EXPERIENCE*
Must have: *
5+ years of commercial Web Full Stack development experience
Strong Javascript skills
3+ years of experience with React.js
Good knowledge of GraphQL
Strong OOP skills and SOLID understanding
Good English (oral & written) and communication skills in general
Confident client facing skills
Would be a plus: *
• *Experience with Hack php framework
_This company is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status._

Job Type: Contract

Schedule:
8 Hour Shift
Experience:
PHP: 3 years (Required)
JavaScript: 5 years (Required)
front end development: 6 years (Required)
React.JS: 5 years (Required)
Education:
Bachelor's (Required)
Work authorization:
United States (Required)
Full Time Opportunity:
Yes
Work Location:
One location
Company's website:
https://northamerica.altran.com/",-1,Altran,"Menlo Park, CA",-1,-1,-1,-1,-1,-1,-1,-1
3,Web developer,San Francisco,Applications Developer,-1,"JOB
Under general supervision, the Applications Developer performs a variety of professional, technical, and analytical duties involving the design, development, testing, implementation, administration and support of new and existing small and medium sized systems and databases in a multi-platform environment that includes mainframe, client server, distributed and web based systems.DISTINGUISHING CHARACTERISTICSThis is a journey-level-professional classification populated with multiple incumbents. The Application Developer's responsibilities involve concepts of systems analysis and design, programming, testing, implementation, and maintenance of new and existing systems. The Application Developer classification is distinguished from a Programmer in that the former performs an increased degree of difficulty of work that requires a greater level of technical knowledge to perform assigned tasks. This classification is distinguished from the Senior Application Developer in that the latter serves as team or project leader and possesses a higher level of technical knowledge and skill.SUPERVISION RECEIVED AND EXERCISEDSupervision is provided by an Information Technology Supervisor or higher-level manager. The Application Developer does not supervise.",4.0,"City of Sacramento
4.0","Sacramento, CA",-1,1001 to 5000 Employees,1849,Government,Municipal Governments,Government,Less than $1 million (USD),-1
4,Web developer,San Francisco,Web Developer - Avoka,-1,"Ready for the next challenge in your career? Are you passionate about technology and driving company success? If so, our Avoka Developer position may be the perfect fit for you. The Avoka Developer will design, develop, and implement all frontend changes as part of the Omni Channel Platform using REST/SOAP API, JavaScript, CSS3, HTML5, Apache Groovy, Java, JavaScript, React JS, and other technologies. Qualified candidates will have at least 3-5 years’ experience as a Software Engineer, plus EXPERT level skills in Groovy, Java, Java Script, React JS, Angular JS and jQuery.

Here's what you can expect from the job and what you need to be successful:

Job Duties
Design, Develop, Test, and Implement frontend changes using REST/SOAP API, JavaScript, CSS3, HTML5, Apache Groovy, Java, JavaScript, React JS, and other technologies. Use best practices to develop clustered, reliable, scalable, and high performance frontend application.
Actively participate and contribute in UX technology design and development
Develop prototypes as required which may include multiple platforms e.g. mobile, tablet, and desktop
Suggest and use state of the art unit testing tools to deliver high quality product
Use techniques like Test Driven Development, Continuous Integration and Continuous Delivery to production environments
Work closely with business partners, architect and technical groups to review, design, and implement requirements and strategy; provide estimates for development effort
Participate and provide potential solutions as part of production go-live warranty support period and L3 production support of systems during regular and off-hours
Follow established configuration/change control processes
Identify options for potential solutions and assessing them for both technical and business suitability
Work closely with peers, stakeholders and end users to ensure technical compatibility and user satisfaction
Plan for and work flexibly to deadlines
Essential skills
Overall 3+ years of experience in developing high performance and highly scalable consumer facing user interfaces
3+ years of experience in HTML5, CSS3, JavaScript, Java, Groovy, React JS, JSON, JQuery, AngularJS, Ext JS
Knowledge and experience of REST/SOAP web service integration
Expert level experience with JavaScript, Java and/or Groovy
Prior experience working in Agile/Scrum framework with multi-site product management, design, development, and QA team
Experience working in salesforce application development desirable, not mandatory
Financial Industry background preferred
Ability to carry out assigned tasks with limited need for supervision
Excellent problem solving and critical thinking skills
Superb verbal and written communication skills
Experience in financial services industry preferred
Bachelor’s degree in Business Administration, Computer Science or other related fields of study or equivalent work experience
Location:San Jose, CA 95134 | Rocklin, CA 95765 | Hillsboro, OR 97124

First Tech is not currently offering Visa sponsorship or transfer for this position",3.2,"First Tech Federal Credit Union
3.2","Rocklin, CA",-1,1001 to 5000 Employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1
5,Web developer,San Francisco,Full Stack Developer - Python,-1,"COMPANY OVERVIEW

Want to work on state of the art AI and Machine Learning technology in fun, start up environment with stability and benefits? At Vidado you can have it all! We build great AI that reads better than a human! Operating at the intersection of cutting edge technology and business value, we create significant process improvements for our customers. We are looking for a solid Full Stack Developer to join our passionate group of engineers and help mentor/lead junior developers. If this sound like you, let's talk!

RESPONSIBILITIES

Collaborate closely with Machine Learning, Product, Design, QA and DevOps to spec, build, test and deploy AI solutions to address the market need.
Design and implement Machine Learning algorithms and model created by ML team into software solutions for our enterprise customers.
Write understandable, testable, and secure code with an eye towards quality and maintainability.

QUALIFICATIONS

Bachelor's degree in Computer Science or a related field, or equivalent training or work experience.
3-5 years of professional experience building web applications.
Expert in at least one of the following: Python (ideal), Java, C++.
Experience with database technologies, RDBMS (ideally Postgres), Key-Value (ideally Redis), and Data warehouse (ideally Redshift).
Must be able to write understandable, testable, and secure code with an eye for quality and maintainability.
Must have strong computer science fundamentals: data structures, algorithms, and distributed systems.
Ability to work in a fast paced, start up environment with a strong sense of empathy for fellow teammates and take pride in getting stuff done.

GOOD TO HAVE (not required)

AWS or other Cloud Computing services and technologies
Python frameworks - Django, FastAPI.
Front end technologies - HTML, CSS, Angular or similar frameworks.
Distributed computing framework - Celery.

Location:

San Francisco California

SS&C is an equal opportunity employer and values a diverse and inclusive workplace. All qualified candidates will receive consideration for employment without regard to age, race, color, religion, genetic information, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. For more information about Equal Opportunity in the Workplace please click here and here . SS&C is committed to working with and providing reasonable accommodation to job applicants with disabilities. If you are a qualified individual with a disability and need an accommodation or accessibility assistance to complete the online application, please contact us at PeopleCenter@dstsystems.com for assistance.",3.0,"DST Systems
3.0","San Francisco, CA",-1,10000+ Employees,1986,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1
6,Web developer,San Francisco,Full Stack Developer,-1,"About the Firm

At Aperio Group, our strategies are designed to put our clients’ and their clients’ interests at the center of our investment advice; to minimize costs and taxes; and to incorporate each client’s unique environmental, social, and governance (ESG) preferences. We are a purposefully growing quantitative/index-tracking investment management firm specializing in managing customized equity portfolios tax efficiently.

We recognize that our competitive advantage starts with our people and our culture. At Aperio, we work hard and move quickly as a well-coordinated, collaborative team whose exceptional people are focused on providing extraordinary client service. Our firm seeks to build a workforce that is as diverse in experience, perspective, and culture as the clients with whom we aspire to work. We are looking to add amazing people to our team who will bring diversity across many lines, including race, ethnicity, religion, sexual orientation, age, marital/family status, disability, gender identity, sex, and country of origin.

Our headquarters is in Sausalito, California, only one block from the beautiful harbor. It’s a short, 20-minute drive from much of San Francisco. We are looking for talented individuals in the San Francisco Bay Area as well as Nationwide as a remote opportunity. If not local, when travel is permitted, team members are expected to visit the office on a periodic basis for training and work with the core onsite team. If you are looking for an opportunity to grow and contribute in a fun, industry-disruptive, fast-paced environment, Aperio is the place for you.

APERIO GROUP, LLC IS COMMITTED TO ATTRACTING, RETAINING, ENGAGING, AND DEVELOPING A POOL OF TALENT THAT IS DIVERSE ALONG MANY DIMENSIONS. WE SEEK TO LEVERAGE THESE DIVERSE EXPERIENCES, BACKGROUNDS, AND VIEWPOINTS TO BEST SERVE THE NEEDS OF OUR CLIENTS.

Position Description

The purpose of this role is to serve as a full stack software developer. The focus of the role is developing web applications and working on other components of Aperio’s software systems. Our web applications are built using Django, so you can expect a lot of Python and JavaScript programming. Aperio practices agile software development and works in two-week sprints. Therefore, this role will work closely with all other members of the Aperio technology team as well as members of our project management team and end users.

Duties and Responsibilities

Provide consistent improvements to Aperio’s codebase and choice of third-party enterprise software components
Write code that is easily understood and maintainable by other team members
Keep up to date with developments in technologies Aperio is using
Use Git (and a flavor of GitFlow) to keep track of software versions
Contribute to overall application design, from the way applications interact with users to the way data is stored in the database
Continuously improve Aperio’s CI/CD practices
Perform other duties as assigned

Required Skills/Experience

Five-plus years’ experience in a similar role
Solid knowledge of programming fundamentals—algorithms, data structures, design patterns, and paradigms
Advanced knowledge of web development, with a deep understanding of the JavaScript ecosystem
Seasoned Python background or related experience with modern object-oriented languages (Java, Scala, etc.)
Facility with building web applications and integrating them with other software systems
Experience in an Amazon Web Services (AWS) ecosystem
Familiarity with relational databases
Strong written and verbal communication skills
Ability to communicate and work effectively, supporting various business departments
Ability to work in fast-paced interdisciplinary environment

Visa sponsorship is not available for this position.

California Residents: The California Consumer Privacy Act (CCPA) requires us to inform job applicants about the categories of information Aperio collects about you and the purposes for which Aperio will use your information. For personal information subject to the CCPA, please see this Privacy Notice, which contains required disclosures and details information that we collect as a part of our job application process.

Applicants: Please be aware and cautious about scams and requests for information from sources claiming to be affiliated with or working on behalf of Aperio Group. Be suspicious of anyone contacting you from an email domain other than “aperiogroup.com” or “app.bamboohr.com”, or calling you about a job opportunity if you have not sent a resume to us. We will never ask for personal or background check information directly over email or the telephone before providing a formal job offer, and we only use secure methods to request and receive such information. If you are concerned about the legitimacy of a communication or request, we suggest that you call our main line (415) 339-4300 to verify.",3.5,"Aperio Group
3.5","Sausalito, CA",-1,51 to 200 Employees,1999,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
7,Web developer,San Francisco,Application Developer,-1,"Application Developer (*FSLA Exempt)
Santa Clara Family Health Plan (SCFHP) is a local, community-based health plan dedicated to improving the health and well-being of the residents of Santa Clara County. SCFHP's mission is to provide high quality, comprehensive healthcare coverage for those who do not have access to, or are not able to purchase, good healthcare at an affordable price.
Responsibilities for an Application Developer*
Designs develop, implements and supports small, medium and large scale, basic in-house and vendor applications and interfaces, including the accurate data exchange between SCFHP and trading partners in support of SCFHP objectives and regulatory compliance.
Maintain existing and develop new applications to support organizational business needs.
Utilize data analysis techniques and queries to support internal business functions through the generation of reports. For the Application Developer III this also includes the development and maintenance of data warehouse.
Review existing basic processes or basic to complex processes, and recommend new or improved solutions that increase efficiency and accuracy and implement those solutions.
Assess and troubleshoot small to medium scaleproduction issues related to performance, data errors, and process failures by reviewing error logs, source code, and applicable data to identify, recommend and implement solutions.
Qualifications for an Application Developer*
Bachelor’s Degree in Computer Science, or related field, or equivalent training/experience.
One to two years of experience in application development.
Minimum one year of experience or hands-on experience with SQL programming, MS SQL database development, and T-SQL query generation.
Minimum one year of MS SQL Business Intelligence tools (SSRS, SSIS, SSAS) or other enterprise business intelligence software.
One year of experience with any of the following applicable languages/platforms: .NET, PERL, Java, SAS, VB, C++, or other modern programming language or related software.
Minimum one year of experience with healthcare management information systems.
Ability to document code and processes
Knowledge of database concepts and data processes in order to understand, develop, analyze and support various new projects and make recommendations for improvements to existing processes.
Benefits for the Application Developer*
Competitive salary
Advancement opportunities
Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
application development: 2 years (Required)
SQL programming: 1 year (Required)
MS SQL Business Intelligence tools (SSRS, SSIS, SSAS): 1 year (Required)
Work Location:
One location
Work Remotely:
No",3.6,"Santa Clara Family Health Plan
3.6","San Jose, CA",-1,201 to 500 Employees,1997,Government,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1
8,Web developer,San Francisco,Full Stack Software Engineer,-1,"Ike’s mission is to make trucks safer, truckers more valuable, and trucking more efficient. Our team is comprised of prominent experts in a wide variety of fields. We are unified by a common passion to transform the way the world moves and build a real commercial product at scale.

About Your Team
Software Infrastructure team serves as the platform which powers autonomy algorithms both onboard and offboard. We are providing computing, storage, communication and data center services & tools to enable autonomy stack to run onboard on the vehicle and offboard inside the data-center. We also provide infrastructure software to support offline machine learning training, data pipelines and simulation for validation and verification.

About Your Role
You will be a key contributor on a small, collaborative team focused on one of the most exciting robotics applications today. As a full stack software engineer, you will specifically play a major role in designing, developing, deploying and supporting Ike’s web development technologies. You will lead Ike’s information representation, UI design and full stack web applications. The list of applications is growing everyday along with the rapid business growth. Web applications serve as interfaces for both internal and external users and it’s the one-stop shop to visualize how well our system is performing.
About Your Work
Build highly-reliable and scalable full-stack products by taking advantage of modern full-stack framework’s features and flexibility
Build complex applications using technologies such as React, Ember, or Angular
Design service application interface, data models for different use cases; integrate with cloud based databases and work in large datasets; build innovative solutions involving huge datasets of imagery and sensor data
Write maintainable and extensible front-end and backend code with high quality tests and documentation, using JavaScript, Python, Golang
Further advance the cutting-edge technology and contribute production quality code to open source projects
Deploy services in cloud based orchestration system such as kubernetes; work with reliability engineers to setup proper monitoring and alerting
About You
BS, MS, or equivalent experience, in Computer Science, Computer Engineering or similar with several years of experience in software development
Expert on web technologies. you've built side projects or professionally utilize the latest stacks and libraries such as Node.js, React, Angular, Rails, Ember, CSS frameworks etc.; you are excited by the amazing pace that the web continues to evolve; you seek new methods and tools to make great web tools faster and better, both on the front-end and back-end; familiarity with principles of architecture patterns and good user experience
Experience with developing, deploying, monitoring services in production environments
Comfortable working across teams and organizations to drive the finish line
Nice to Have
Experience building production cloud infrastructure software
Experience with building user interfaces on Linux Qt environment with C++
Cloud infrastructure like AWS/GCP
Experience in self-driving industry

Please note - we are not currently hiring new graduates for this role. We may post new graduate roles in the future though, so stay in touch by following us on LinkedIn!

Ike is an equal opportunity employer. We celebrate diversity and are committed to building an inclusive environment for all employees. We never discriminate on the basis of race, creed, color, ethnicity, national origin, religion, gender, sex, sexual orientation, gender expression, age, height, weight, veteran status, marital status or disability status.",4.9,"Ike
4.9","San Francisco, CA",-1,51 to 200 Employees,2018,Company - Private,Trucking,Transportation & Logistics,Unknown / Non-Applicable,-1
9,Web developer,San Francisco,Software Engineer,-1,"Overview

Under general supervision, the Software Engineer is responsible for applying their skills and expertise leading to software solutions that improve the accuracy, efficiency, thoroughness and speed at which staff can perform their duties.

Responsibilities

Include, but are not limited to the following:
Assist with the planning and engineering of software solutions.
Develop, test, deploy and maintain customized software solutions.
Create database solutions, deploy and test to ensure optimal functionality.
Create standard operating procedures to ensure databases are being consistently maintained.
Create flowcharts and other documentations to identify requirements for software and to propose possible solutions.
Apply computer science, engineering, and mathematical analysis to the software development process.
Coordinates with internal departments and other staff to forecast whether the design will be feasible under cost and time constraints.
Communicate with customers and clients to establish maintenance procedures for software systems.
Ability to solve complex mathematical equations by applying geometry, trigonometry and calculus in the software domain.
Research, develop, and present new ideas to internal customers that effectively improve the core business and engineering processes.
Make recommendations to improve and promote quality and efficiency.
Performs other related duties as assigned.

Qualifications

Include, but are not limited to the following:

EDUCATION/ EXPERIENCE

Bachelor's Degree (B.S) in Computer Science, Software Engineering, or Mathematics required.
At least five plus (5+) Years of full-time dedicated professional software development / programming experience.
Has designed, built, deployed and managed MySQL and/or SQL Server database solution(s) in a multi-user, multi-site, enterprise environment.
Authored and deployed services for Windows servers and .Net client-server solutions for desktop.
Competent in Software language skills: Microsoft .Net, SQL, C++.
10 + Years of full-time dedicated professional software development / programming experience preferred.
Proficiency with AutoCAD, Revit or equivalent design software preferred
Excel experience developing smart spreadsheets and calculators preferred

SKILLS/ABILITIES

Strong communication skills in the English-language written and verbal.
Exhibits professional nonverbal communication skills.
Ability to present numerical data effectively both verbal and written.
Ability to work effectively in a team environment.
Proficiency in MS Office applications (Word, Excel, etc.).
Strong problem solving and analytical skills.
Maintain professional behavior and appearance.
Exhibit dependability and accountability.
Demonstrated ability to multi-task on multiple projects.

PHYSICAL REQUIREMENTS:

Regularly sit, stand, and walk for long and short distances.
Required to hear with or without correction to be able to interpret and receive information and directions.
Regularly required to communicate: verbal and written, in order to describe and explain detailed, important, and accurate instructions.
Occasionally lift and/or move material up to 25lbs.
Occasionally stoop, kneel, or crouch.
Noise level is usually moderate.

PI125406503",-1,Construction Innovations Corporate (Sacramento),"Rancho Cordova, CA",-1,-1,-1,-1,-1,-1,-1,-1
